"ur_cue","ur_fake_cue","ur_target","ur_fake_target","en_cue","en_target"
"معصوم","معنکم","مجرم","مجمن","innocent","guilty"
"چور","خوغ","مجرم","ججرم","thief","criminal"
"شارک","شجاک","مچھلی","مچتدی","shark","fish"
"نفرت","ققڑٹ","محبت","ججپت","hate","love"
"محرک ہونا","مخرگ ہوما","حرکت میں لانا","خڑگپ میں گافا","trigger","activate"
"محفوظ","محاضظ","مستحکم","مشجگم","safe","secure"
"دشمن","حضمن","مخالف","مخکوف","enemy","opponent"
"ایک جیسا","کیپ کیشا","مختلف","مخنوف","similar","different"
"عفریب","ضقریپ","مخلوق","مخباق","monster","creature"
"سیارا","سیناڑا","مدار","خڈاز","planet","orbit"
"مرحلہ","مروٹہ","مدت","ددپ","phase","period"
"مدد","ڈڈص","سہارا","خد ذ","help","assist"
"سپورٹ","بیورٹ","مدد","چدڈ","support","assistance"
"چال","ڈاض","مذاق","غاط","trick","joke"
"فلسفہ","فلذدہ","مذ ھب","غاہب","philosophy","religion"
"تجارتی","مبارتی","سوداگر","غوڈاکر","commercial","merchant"
"زندہ","کسدہ","مردہ","فڈبہ","alive","dead"
"مجموعہ","مجموکو","مرکب","مرنف","combination","mixture"
"درست کرنا","ڈزشپ مڑکا","مرمت کرنا","ظرظت مضنا","fix","repair"
"تکلیف اٹھانا","ففقیف اتھاٹا","مرجانا","ظڑغانا","suffer","die"
"ورید","ڈڑیب","شریان","غرخام","vein","artery"
"مزاحمت کرنا","ظزاخھت کرٹا","مقابلہ کرنا","مشاخلہ ھرما","resistance","resist"
"ڈرامہ","ومامہ","مزاح","شڑاچ","drama","comedy"
"مزیدار","سفیدار","خوش ذائقہ","بوگڈائگہ","tasty","delicious"
"مصیبت","مصثات","مسئلہ","مسينہ","trouble","problem"
"یوگا","نیگا","مساج","مستد","yoga","massage"
"ہمیشہ","ہملبہ","مسلسل","مسدول","always","constantly"
"مغرب","رجرب","مشرق","مشائ","west","east"
"کام","ججہ ضاری","فرض","خڑج","task","mission"
"مقبول","مقسیل","مشہور","مششہر","popular","famous"
"نصیحت","ضصیجت","مشورہ","غشکرہ","advice","advise"
"شاعر","شافق","مصنف","مصڑک","poet","writer"
"برانڈ","امانڈ","مصنوعات","مصنووگت","brand","product"
"قدرتی","پسرتی","مصنوعی","زانوعی","natural","artificial"
"غربت","ظزتت","بدحالی","ددخابی","poverty","misery"
"ثابت قدمی سے","شاشت گدمی شے","مضبوطی سے","مضبوطیرعے","firmly","strongly"
"نامعقول","ڈاگعگول","احمقانہ","يحمجانہ","ridiculous","absurd"
"مفعول","غغعول","فاعل","حآضل","object","subject"
"تحقیق","تحفاق","مطالعہ","مطالفض","research","study"
"احتجاج","احاراج","مظاہرہ","دشاہرہ","protest","demonstration"
"امتحان","امبنان","معائنہ","معائضی","examination","inspection"
"معاف کرنا","فغاف ھرکا","معافی چاھنا","ففاک خاھما","forgive","excuse"
"معاہدہ","اتاہدہ","اقرار نامہ","اگڑارگانہ","contract","agreement"
"مواد","ضداگ","معلومات","معلوتھت","data","information"
"انجنیئر","انبریئر","معمار","پسمار","engineer","architect"
"معمولی،عام","غغموگی","حسب معمول","چسگ مغقوب","ordinary","usual"
"عاجزانہ","غاگچانہ","انکسارپسند","گنکشارحشنڈ","humble","modest"
"مقدار","ضگذاز","معیار","معشور","quantity","quality"
"جنوبی","جنرگی","مغربی","وزربی","southern","western"
"آ","آڈاضامہ ضورکر","آزاد","آچاگ","freely","free"
"نتیجہ","چچیضہ","مفروضہ","مضزوصہ","conclusion","assumption"
"جگہ","خگہ","مقام","رنام","place","location"
"علاقائی","علسبائی","مقامی","مقندی","regional","local"
"کل","خن","مکمل","علمل","total","complete"
"خالی","پافی","بھرا ہوا","پھزا گوا","empty","full"
"حتمی طور پر","خکمی چوڑ گر","مکمل طور پر","مکملیوور پر","absolutely","completely"
"شہد","ومد","مکھن","پچھن","honey","butter"
"تکنیکی","اؤنیکی","مشینی","گسینی","technical","mechanical"
"تحقیق کرنا","پجپیق جرما","کھوجنا","عوجھتا","search","find"
"دیکھنا","گیکھما","ملاقات کرنا","مڑاگاک صرنا","see","meet"
"کانفرنس","کالجرنس","میٹنگ","فیپنٹ","conference","meeting"
"ملک","وسک","قوم","ظوغ","country","nation"
"روکنا","ڈوگجا","منع کرنا","مغغ کزنا","forbidden","prohibit"
"منصفانہ","منبشانہ","مناسب","منواب","fair","reasonable"
"چننا","خضنا","منتحب کرنا","مگتخب کرفا","choose","select"
"نقل مکانی","کقل مٹا نی","منتقلی","مننسلی","move","transfer"
"سیکنڈ","شیگند","منٹ","ورٹ","second","minute"
"پگھلا ہوا","گھگھلا ہوا","جما ہوا","صغا صوا","melt","freeze"
"تیاری","مباری","منصوبہ بندی","منصوبہجمندی","preparation","planning"
"انتظام کرنا","اتخام کرٹا","ترتیب دینا","ٹرٹیپ ڈیفا","arrange","organize"
"اجازت","اجپنت","منظوری","منھجری","permission","approval"
"خصوصی","خصلحی","منفرد","ایفرد","special","unique"
"مثبت","ٹٹبپ","منفی","منتف","positive","negative"
"سوموار","غومداز","منگل","گمگٹ","monday","tuesday"
"جان لیوا","طان ضیگا","مہلک","گہکلک","deadly","fatal"
"مشتمل ہونا","مغٹمل ہوکا","مواد","مورم","contain","content"
"سمت شناسی","سمفکشناسی","مواصلات","مویشلات","navigation","communication"
"ہوٹل","پوسل","قیام گاہ","فیگام کاہ","hotel","motel"
"پتلا","ٹپطا","موٹا","ضموآ","thin","thick"
"اسپرین","استمین","مورفین","لعرفین","aspirin","morphine"
"موسم گرما","موصو گرما","موسم سرما","موضوغرگا","summer","winter"
"گلوکار","کروکار","موسیقار","موسییگر","singer","musician"
"جاز","چاذ","موسیقی","موسیاف","jazz","music"
"چراغ","چرصل","موم بتی","توم گغی","lamp","candle"
"شیرف","شیڈا","میئر","میثا","sheriff","mayor"
"کیچپ","گیخٹ","میئونیز","مچوپیز","ketchup","mayonnaise"
"کلومیٹر","کلفلیٹر","میٹر","مییو","kilometer","meter"
"ٹورنامنٹ","ٹورنامیو","میچ","سلچ","tournament","match"
"انسانی ہنرکا نمونہ","آنمامی غنر کا ممومہ","بڑا تمغہ","میلتین","artifact","medallion"
"راکٹ","راین","میزائل","مینسئل","rocket","missile"
"پلے بوائے","گلے ڈوائے","میگزین","میرکین","playboy","magazine"
"کتب خانہ","گپپ شابہ","عجائب گھر","غبائب بر","library","museum"
"سمندری ڈاکو","خدندری داغو","جھازراں","ھھاڈ راں","pirate","sailor"
"غیر آرام دہ","غیر آراملظہ","ناخوشگوار","ناخودنوار","uncomfortable","unpleasant"
"حسد کرنا","خدد گڑنا","ناراض ہونا","ثازاظ مونا","jealous","angry"
"رات کا کھانا","رایئکا کھانا","ناشتا","نازعا","dinner","breakfast"
"منہ","ودہ","ناک","یٹک","mouth","nose"
"کامیابی","کارلابی","ناکامی","نالیمی","success","failure"
"گمنام","اتنام","نامعلوم","نافرلوم","anonymous","unknown"
"نتیجہ","تتیچہ","انجام","صنظام","result","outcome"
"ہیرو","غیڑو","نجات دہندہ","غغاپ ہہنبہ","hero","savior"
"نرم","ثذم","دھیما","ضخیما","soft","gentle"
"اطلاع دینا","لظلاغ ڈیکا","تائید کرنا","خائیپ کرنا","form","sign"
"جونشے میں نہ ہو","چوسسےکیں نہ گو","نشے میں مدہوش","سسے میں ددپوس","sober","drunk"
"نیٹ ورک","نیآخورک","سسٹم","ظظپم","network","system"
"خیال","چیاگ","نظریہ","اصریہ","idea","theory"
"متن","ذین","نظم","سفم","text","poem"
"البم","الدڑ","گانا","ضآظا","album","song"
"غلیظ","ذلیذ","قابل نفرت","فافل ففزت","dirty","disgusting"
"اناٹومی","آگاگومی","نفسیات","نفسیمن","anatomy","psychology"
"طبی","شنی","نفسیاتی","پاسیاتی","medical","psychological"
"کمپاس","کماوس","نقشہ","نقدل","compass","map"
"خیال","پیاپ","نقطہ نظر","ققطہ متر","view","perspective"
"پمپ","ٹمپ","پائپ","صائپ","pump","hose"
"گیلری، نگارخانہ","گیامی، ڈگازحانہ","نمائش","برائش","gallery","exhibition"
"ماڈل","قادل","نمونہ","انونہ","model","prototype"
"برہنہ","ہرہصہ","ننگا","صنکا","nude","naked"
"ٹین ایجر","پین پیچر","ٹین ایج","پیٹ پیخ","teenage","teenager"
"بوڑھا","ٹوڑھا","جوان","حخان","old","young"
"آیا","غایا","نوکرانی","نولیانی","nanny","maid"
"اوپر","اواس","نیچے","نیad","top","bottom"
"آرام","کمام","نیند","لہند","rest","sleep"
"دھکیلنا","ضھکیلطا","کھینچنا","گھینحنا","push","pull"
"نیچا","ثیٹا","اونچا","اینخا","low","high"
"شان وشوکت","غان و غوتت","رفعت، بلندی","ڑفعٹ، ججنجی","majesty","highness"
"روڈ","ئرڈ","ہائی وے","ہائیؤلے","road","highway"
"کاربن","گاگٹن","ہائیڈروجن","ہائیڈراکن","carbon","hydrogen"
"انگوٹھی","اصگوپھی","ہار","ڑاڑ","ring","necklace"
"گدھا","حڈہا","گھوڑا","چھوطا","donkey","horse"
"چھڑی","نگڑی","ہتھوڑا","خچھوڑا","stick","hammer"
"بھاڑےکا سپاہی","فھارے کا شہاہی","اجرتی قاتل","اگربی تاقل","mercenary","assassin"
"پستول","مفتول","ہتھیار","ہتتمار","pistol","weapon"
"مارنا","ٹارکا","ضرب لگانا","ظزب لکابا","hit","strike"
"روزانہ","ڑورانہ","ہفتہ وار","ہکبہ واز","daily","weekly"
"مہینہ","طہینہ","ہفتہ","کگپہ","month","week"
"توازن","ثواخن","ہم آہنگی","ہم آخفگی","balance","harmony"
"ہم جنس پرست عورت","جم جنش یرشت غورپ","ہم جنس پرست مرد","ہم جمش پرپپ مڑد","lesbian","gay"
"ابدی","لحدی","ہمیشہ کے لئے","ہمیشہ کےذہئے","eternal","forever"
"مسکراہٹ","مساگاہٹ","ہنسی","لتسی","smile","laugh"
"واقع ہونا","واشع کونا","پیش آنا","ٹیش ٹانا","occur","happen"
"ٹرمینل","ٹرمیزم","ائیرپورٹ","ائغرورپ","terminal","airport"
"مرکزی اڈہ","گرمڑی ڈڈہ","ہیڈکوارٹر","ہیتسوارٹر","base","headquarters"
"کوکین","کواسن","ہیروئن","ہیرونگ","cocaine","heroin"
"ایمبولینس","ایمبولواس","ہیلی کاپٹر","ہیلیڈیاپٹر","ambulance","helicopter"
"سینڈوچ","سیگاوچ","ہیمبرگر","ہیانرگر","sandwich","hamburger"
"پیچھے","پیایے","واپسی","واندی","back","return"
"شرلاک","غرلاگ","واٹسن","واوئن","sherlock","watson"
"صحرا","نبرا","وادی","اندی","desert","valley"
"ورثہ","شڑشہ","وراثت","وڑاشپ","heritage","inherit"
"صاف کرنا","صاک طرنا","دھونا","چہوغش","clean","wash"
"تقریر","رریر","خطبہ","گظبہ","speech","sermon"
"دراصل","ڑراضل","درحقیقت","ڈڑخفیفت","actually","really"
"جیب","لڈب","بٹوہ","ٹٹپہ","pocket","wallet"
"چچا","ضضا","باپ","ضاپ","uncle","dad"
"بڑے","شذے","والدین","والھین","adult","parent"
"ثرالا","ٹڑاگا","ویگن","جیگم","trailer","van"
"طاعون","ضاغون","وبا","چخا","plague","epidemic"
"پروٹین","پریڈین","وٹامن","أنامن","protein","vitamin"
"خٹہ","یسہ","سبب","شغپ","reason","cause"
"پریکٹس","پرجوٹس","ورزش","ثڑشش","practice","exercise"
"سفارتخانہ","بچارتخانہ","وزارت","اوارت","embassy","ministry"
"سفیر","سفرن","وزیر","ببیڑ","ambassador","minister"
"تنگ","شنگ","کھلا","گہکا","narrow","wide"
"گارنٹی","گاپاٹی","وعدہ","وعاق","guarantee","promise"
"وفادار","وفمبار","قابل اعتماد","عقادار","loyal","faithful"
"فخر","ضضڑ","وقار","ضفاڑ","pride","dignity"
"پاش پاش کرنا","گاش گاش گزنا","توڑنا","عوزنا","smash","break"
"یہاں","ھیاں","وہاں","آگاں","here","there"
"یہ","عے","وہ","غو","what","that"
"اکثریت","اکاجیت","ووٹ","بنٹ","majority","vote"
"امیدوار","امیدیںر","ووٹر","وویت","candidate","voter"
"وھسکی","گھسگی","ووڈکا","ووھذا","whiskey","vodka"
"انٹرنیٹ","انپینیٹ","ویب","خیپ","internet","web"
"ویٹر","کنٹر","ویٹریس","ویسایس","waiter","waitress"
"ڈی وی ڈی","ڈی وٹسڈی","ویڈیو","جوڈیو","dvd","video"
"تریاق","ثرقاق","ویکسین","ویکسلی","antidote","vaccine"
"زومبی","صحمبی","ویمپائر","ویشعائر","zombie","vampire"
"دریچہ","چریجہ","ہواداری","ٹواٹازی","valve","ventilation"
"دار چینی","دار دونی","وینیلا","وینیشن","cinnamon","vanilla"
"بھول جانا","خھول چانا","یاد رکھنا","ذاذ گھکھنا","forget","remember"
"اعتماد","اعمواد","یقین","جگین","trust","believe"
"اوزار","آصڑار","آلہ","بکالہ","tool","instrument"
"رومن","روفی","یونانی","کینانی","roman","greek"
"بیج","کوج","یونیفارم","یونیفامن","badge","uniform"
