"hi_cue","hi_fake_cue","hi_target","hi_fake_target","en_cue","en_target"
"विरासत","विुचित","विरासत में प्राप्त करना","विरासत मेंकी हड्डी में","heritage","inherit"
"विरूपण साक्ष्य","विरूपणय टुकड़ी","प्राचीन पदक","प्राचकॉप्टर","artifact","medallion"
"विरोध","विदेध","प्रदर्शन","प्रदेषज्ञ","protest","demonstration"
"विलोम","विचाम","विरुद्ध","विर्दयी","opposite","contrary"
"विशेष","विराष","अनोखा","अनसना","special","unique"
"प्रतिष्ठित","विशयाप्त","विशेषज्ञ","विशरिक्त","expert","specialist"
"विशेषाधिकार","विशेला","सम्मान","समिकार","privilege","honor"
"विश्राम","विक्रीन","सोना","अधना","rest","sleep"
"विश्लेषक","विशधाजनक","अन्वेषक","अन्दोहन","analyst","investigator"
"विश्वास","विट्रेस","मानना","माएँ","trust","believe"
"विषहर औषध","विषहरृत्ति","टीका","फैका","antidote","vaccine"
"वृत्त","बसत्त","त्रिकोण","त्र्मोन","circle","triangle"
"वेटर","अलटर","वेट्रेस","वेश्राम","waiter","waitress"
"व्यक्ति","व्क्षक","व्यक्तिगत","व्यकनलेवा","person","individual"
"निजी","निटा","अभिन्न","अभरैगन","personal","intimate"
"व्यवस्था","व्यस्फोट","व्यवस्थित","व्यव ग्रह","arrange","organize"
"व्याख्या","व्रिज्या","प्रशंसनीय","प्रशाक्षर","explanation","plausible"
"व्यावसायिक","व्याकारिता","सोदागर","सोचालय","commercial","merchant"
"व्हिस्की","व्वस्था","वोडका","वोचना","whiskey","vodka"
"संदेह","संसतह","संदिग्ध","संभिन्न","doubt","suspect"
"शक्ति","भे्ति","ऊर्जा","वी्जा","power","energy"
"शनिवार","शनरभाव","रविवार","रवरभाव","Saturday","Sunday"
"शब्द","जल्द","वाक्य","वायुय","word","sentence"
"शब्दकोश","शब्पताल","वाक्यांश","वाद्यालय","dictionary","phrase"
"शरण","कुण","आश्रय","आशदेश","refuge","shelter"
"शरणार्थी","शरणेक्शन","भगोड़ा","टूोड़ा","refugee","fugitive"
"शराब","कुब","दवाई","लैाई","alcohol","drug"
"शरीर रचना","शरीरिब्रल","मनोविज्ञान","मनोवादिष्ट","anatomy","psychology"
"शर्लाक","शर्योग","वाटसन","वायलट","sherlock","watson"
"शल्य चिकित्सक","शल्य चर बनाना","चिकित्सक","चिकाथमिक","surgeon","doctor"
"शव परीक्षण","शव पर्राज्य","विश्लेषण","विश्युति","autopsy","analysis"
"शस्त्रागार","शस्त्तित्व","शस्रशाला","शस्ग्यता","arsenal","armory"
"शहद","दंद","मक्खन","मकर्श","honey","butter"
"शांतिप्रद","शरिज्या","अटलांटिक","अटलित्सक","pacific","atlantic"
"शामिल होना","शाम्ध करना","विषय","वियर","contain","content"
"शायद","सुयद","संभवत","संसुन","maybe","probably"
"शार्क","शाऊतक","मछली","दौली","shark","fish"
"शास्वत","शाश्मन","हमेशा के लिए","हमेशल ही में","eternal","forever"
"शाही","शौइय","साम्राज्य","सामादिष्ट","royal","kingdom"
"शाही","शाषय","सम्राट","समियार","imperial","emperor"
"शिकायत","शिदाता","आरोप","आरये","complaint","accusation"
"शिकार","रिकर","दरिंदा","मूदा","prey","predator"
"शिकार","रेकार","हमलावर","हमलन्ना","victim","attacker"
"शिकार करना","शिकाकित्सा","मछली पकड़ना","मछली्यशाला","hunting","fishing"
"शिविर","शिक्र","गाँव","गाूह","camp","village"
"शिशु","शिमी","बच्चा","मक्चा","baby","child"
"ढाल","वृल","कवच","डेच","shield","armor"
"शूटर","घिटर","निशानची","निारानी","shooter","sniper"
"शेरिफ","सवरिफ","महापौर","महसंबर","sheriff","mayor"
"शॉट","नतट","गोली मारना","गोलना करना","shot","shoot"
"शोर","चचर","ध्वनि","सतवनि","noise","sound"
"शौक","आमक","खेल","ब्सुल","hobby","sport"
"शौक़ीन व्यक्ति","शौक़ीूचक यंत्र","पेशेवर","पेांडर","amateur","professional"
"शौचालय","शौतकाल","हौदी","कन्दि","toilet","sink"
"श्रृंखला","क्श्ब्ता","प्रकरण","प्रनातक","series","episode"
"श्रेय","बीरेय","ऋण","अफ","credit","loan"
"षड़यंत्र","षड़ुद्री","धोखा","सिखा","conspiracy","fraud"
"संकल्पना","संकयापार","परिभाषा","लर जना","concept","definition"
"सकारात्मक","सकाररेरणा","नकारात्मक","नकारस्फोट","positive","negative"
"संकीर्ण","संत्ना","चौड़ा","ऋणड़ा","narrow","wide"
"सक्रिय","सककरना","गतिविधि","गतीविजन","active","activity"
"सक्षम","सकइरस","प्रदान करना","प्रदाास्थ्य","enable","provide"
"संख्या","संनिया","पता","याचा","number","address"
"सगाई","शेाई","शादी","शांड","engagement","wedding"
"संघ","काघ","टीम","वसम","league","team"
"संघीय","संध्य","राज्य","राशाय","federal","state"
"सच","रधा","वास्तविक","वास्यारा","TRUE","real"
"संचालित","संकालीन","शल्य चिकित्सा","शल्य साक्ष्य","operate","surgery"
"सचिव","सचफल","सहायक","सह्तम","secretary","assistant"
"सज़ा देना","सजसा करना","गिरफ़्तार करना","गिरफ़्य टुकड़ी","punish","arrest"
"सड़क","वह़क","हाइवे","हापसे","road","highway"
"संतुलन","संरेशन","सद्भाव","सदतकाल","balance","harmony"
"संतुष्ट","संता से","प्रसन्न","प्ररगाह","satisfied","happy"
"सत्कार","सतमारक","कृतज्ञता","कृतच्छेद","hospitality","gratitude"
"सत्य के प्रति निष्ठा","सत्य के प्राप्त करना","भक्ति","रू्ति","fidelity","devotion"
"सदस्य","सदनाम","नेता","एद्ता","member","leader"
"सदी","चू","दशक","धोक","century","decade"
"संपत्ति","संषेत्र","मालिक","मासंक","property","owner"
"संपर्क","संंत्र","संबंध","संगीध","contact","connection"
"संपूर्ण","संंत्रण","पूर्ण","प्रुना","total","complete"
"सफलता","सफ्षण","असफलता","असफाप्त","success","failure"
"सफेद","सफगण","काला","धुला","white","black"
"संबंध","संनिध","मित्रता","मितिरोध","relationship","friendship"
"प्रथम","प्मत","अंतिम","अंशाम","first","last"
"सबूत","कछूत","प्रमाण","प्वर्ण","evidence","proof"
"संभावना","संतवीक","संभावित","संरभावी","probability","likely"
"विनम्र","विवर्ण","अनुकूल","अऩदूर","polite","friendly"
"सभ्य","सभलक","ईमानदार","ईमा्त्व","decent","honest"
"लेस्बियन","समल्फोटक","समलैंगिक","समलात्मक","lesbian","gay"
"समाज","समका","समुदाय","समुचित","society","community"
"समान","यरन","विभिन्न","विहित्य","similar","different"
"अंत","समावना","समाप्त","समतचीत","end","finish"
"समुद्र","समिष्ठ","सागर","सासद","sea","ocean"
"समुद्री","समामारी","नौसेना","नौखाना","marine","navy"
"समुद्री डाकू","समुद का खाना","नाविक","नाटकक","pirate","sailor"
"सम्मेलन","समिणाम","बैठक","बैतट","conference","meeting"
"सलाह","सलआज","सलाह देना","सलाक्रेता","advice","advise"
"संवेदनात्मक","संवेद्कुराओ","दर्शनीय","दर्तुलन","sensational","spectacular"
"संसद","संषय","प्रबंधकारिणी समिति","प्रबंधकाशित रूप से","parliament","senate"
"संस्कृति","संक्रेता","सभ्यता","सभ्टान","culture","civilization"
"सहज रूप में","सहजनेंट","आम तौर पर","आम तरवादी","naturally","generally"
"सहयोग","सह्तर","सहायता","सहलायम","support","assistance"
"दाहिने","दाहिरक","बाएं","बाबम","right","left"
"साक्षी","साक्गल","गवाही","चबाही","witness","testimony"
"सागरतट","सागाचार","तट","घि","beach","coast"
"सहकर्मी","सहककलेट","दोस्त","दोहरत","colleague","friend"
"औजार","ऊंर","उपकरण","उपकसंगत","tool","instrument"
"साधारण","सारभाव","सामान्य","सायाप्त","ordinary","usual"
"साधु","सादो","पुजारी","पुरुरी","monk","priest"
"साफ","रिफ","धुलाई","मछलाई","clean","wash"
"सामने","ओल से","पिछला","पिअना","front","rear"
"सामान्य रूप से","सामान्ष यात्री","आमतौर पर","आमतौत्रिम","normally","usually"
"साया","परया","अंधेरा","युन्त्रा","shadow","dark"
"सालगिरह","सालल्हन","जन्मदिन","जन्र्म","anniversary","birthday"
"साहस","सालर","दृढ़ निश्चय","दृढ़रेक्ष्य","courage","determination"
"सितंबर","सितव्य","अक्टूबर","अक्चित","september","october"
"सिनेमा","सिनेकर","थिएटर","थिशनल","cinema","theater"
"सीखना","सीमे","सिखाना","सिघटना","learn","teach"
"सींग","सीई","सीटी","गोटी","horn","whistle"
"सीज़र","सीगार","रोम","असम","caesar","rome"
"सीधा","गोधा","सीधे","सीनल","direct","directly"
"सीमेंट","सीमेवध","प्लास्टिक","प्लयात्मक","cement","plastic"
"सुअर का मांस","सुअर साक्ष्य","मांस","माजू","pork","meat"
"सुई","मैइ","सिरिंज","सिरिआओ","needle","syringe"
"सुंदर हे","सुद होना","सुंदर","सुननर","pretty","beautiful"
"सुनना","सुंदा","सुनो","दुकर","listen","hear"
"सुनवाई","सुमान","परीक्षण","परीरभात","hearing","trial"
"रक्षा","सुक्षित","सुरक्षा","सुक्षित","security","safety"
"निरापद","सुरस्फोट","सुरक्षित","सुरस्फोट","safe","secure"
"सूखा","रुज","गीला","भगला","dry","wet"
"सूप","लिप","सलाद","सलकत","soup","salad"
"सूर्यास्त","सूर्ञानिक","प्रभात","प्षमता","sunset","dawn"
"सृजन करना","सृजनैंगिक","उत्पाद","उतनदार","create","produce"
"सेब","अकब","फल","गेह्व्व","apple","fruit"
"सेमिनार","सेदवार","भाषण","भागा","seminar","lecture"
"प्रसिद्ध व्यक्ति","प्रसिद््ष यात्री","प्रसिद्ध अभिनेता/अभिनेत्री","प्रसिद्ध अभि प्राप्त करना","celebrity","star"
"सेवा","केवर","रखरखाव","रखरदकोश","service","maintenance"
"सेंसर","घोंसर","ट्रांसमीटर","ट्रांड्रोम","sensor","transmitter"
"सैंडविच","सैश्विक","हैमबर्गर","हैमबलिनिक","sandwich","hamburger"
"सैन्य टुकड़ी","सैन्ट रूप से","सेना","कलना","legion","army"
"सॉफ्टवेयर","सॉफ् रचना","कंप्यूटर","कंप्रेरक","software","computer"
"सोफ़ा","सोबना","बिस्तर","बिभ्रम","sofa","bed"
"सोमवार","सोपताल","मंगलवार","मंगराहक","monday","tuesday"
"स्कर्ट","स्र्षक","पोशाक","पोलोक","skirt","dress"
"स्क्रीन","क्शान","मॉनिटर","मॉनीकी","screen","monitor"
"स्टेडियम","स्टरतिमा","बेसबॉल","बेस्वी","stadium","baseball"
"जगह","स्लीन","स्थान","स्लीन","place","location"
"स्थिति","स्योति","स्थान","स्लीन","status","position"
"स्पष्ट रूप से","स्पष्ल ही में","स्पष्टतः","स्पर्मोन","clearly","obviously"
"स्मारक","स्राई","प्रतिमा","प्रूरता","monument","statue"
"स्रोत","स्सात","सूचना देनेवाला","सूचना बारे में","source","informant"
"स्वयंसेवक","स्वयर्शनी","स्वेच्छा से","स्वट रूप से","volunteer","voluntarily"
"स्वर्ग","स्वकूफ","नरक","तेक","paradise","hell"
"स्वर्ण","स्गरेट","चांदी","चा्सी","golden","silver"
"स्वस्थ","स्वेषक","साधारण","सारभाव","healthy","normal"
"स्वागत","बल्वर","दल","यक","reception","party"
"स्वाद","स्कीद","गंध","डिध","taste","smell"
"सुखद","स्व्भाग्य","स्वादिष्ट","स्व्भाग्य","tasty","delicious"
"स्वाभाविक प्रवृत्ति","स्वाभाविंद्रित करना","सहज बोध","सहजरंतर","instinct","intuition"
"स्वामिनी","स्वसायिक","प्रेम करनेवाला","प्रेमहाज","mistress","lover"
"स्वास्थ्य","स्व्ट्रीय","शिक्षा","शिक्एँ","health","education"
"करते","स्वीकरांसीसी","स्वीकार करना","स्वीकविज्ञान","admit","confess"
"हज़ार","रोर","सौ","शस","thousand","hundred"
"हटाना","तंना","निकालना","नियोजना","eliminate","remove"
"हड्डी","हडंटी","खोपड़ी","रंपड़ी","bone","skull"
"हत्यारा","हतस्ताव","कातिल","कांटल","killer","murderer"
"हमेशा","खिशा","निरंतर","निानघर","always","constantly"
"हरा","छु","नारंगी","नारंचा","green","orange"
"हवा","बुगा","आंधी","बीधी","wind","storm"
"हस्ताक्षर","हस्तंसनीय","फोटोग्राफर","फोटो्यवादी","autograph","photographer"
"हाथ","मुथ","बाजू","बाथा","hand","arm"
"हार्मोन","हा्रेशन","एड्रेनालाईन","एड्रना करना","hormone","adrenaline"
"हाव - भाव","हािम भरा","कृत्य","आमत्य","gesture","act"
"हास्यास्पद","हास्रिज्या","बेतुका","बेचैका","ridiculous","absurd"
"हीरा","यहरा","गहना","हिना","diamond","jewel"
"हेलमेट","हेिलेख","टोपी","टोखक","helmet","hat"
"होटल","होपक","मोटेल","बहटेल","hotel","motel"
