target_word_unique,word_combo_related,cue_word_related,word_combo_unrelated,cue_word_unrelated
zakopati,kopatizakopati,kopati,beljakovinazakopati,beljakovina
zanimivo,razburljivozanimivo,razburljivo,podjetjezanimivo,podjetje
zapomniti,pozabitizapomniti,pozabiti,mladostzapomniti,mladost
zapor,celicazapor,celica,pripravazapor,priprava
ujetništvo,kazenujetništvo,kazen,zbiralnikujetništvo,zbiralnik
zapornik,taleczapornik,talec,govoricezapornik,govorice
zapreti,odpretizapreti,odpreti,junakzapreti,junak
zaprt,zaklenjenzaprt,zaklenjen,vrednostzaprt,vrednost
zapustiti,oditizapustiti,oditi,umazanzapustiti,umazan
prizadeti,žalitiprizadeti,žaliti,prviprizadeti,prvi
zasebnost,zasebnozasebnost,zasebno,lordzasebnost,lord
zaupanje,spoštovanjezaupanje,spoštovanje,kinozaupanje,kino
zavetišče,zatočiščezavetišče,zatočišče,srajcazavetišče,srajca
zavrteti,obrnitizavrteti,obrniti,legijazavrteti,legija
nabrati,zbratinabrati,zbrati,princesanabrati,princesa
droga,alkoholdroga,alkohol,dojenčekdroga,dojenček
zdravljenje,terapijazdravljenje,terapija,nasmehzdravljenje,nasmeh
zdravnik,kirurgzdravnik,kirurg,podmornicazdravnik,podmornica
žeja,lakotažeja,lakota,osebenžeja,oseben
želja,hrepenenježelja,hrepenenje,vaditiželja,vaditi
zelo,skrajnozelo,skrajno,rinitizelo,riniti
zemljevid,kompaszemljevid,kompas,incidentzemljevid,incident
žena,možžena,mož,raketažena,raketa
ženska,vdovaženska,vdova,razbitiženska,razbiti
ženska.1,moškiženska,moški,vrhženska,vrh
zgodnji,pozenzgodnji,pozen,zaslonzgodnji,zaslon
zgornji,nižjizgornji,nižji,hobizgornji,hobi
žica,kabelžica,kabel,pravičenžica,pravičen
zima,poletjezima,poletje,namenzima,namen
žival,zveržival,zver,čestitatižival,čestitati
jutro,jutrijutro,jutri,tovarnajutro,tovarna
zločin,grehzločin,greh,plemenitizločin,plemeniti
zmagati,pridobitizmagati,pridobiti,kruhzmagati,kruh
zmagovalec,poraženeczmagovalec,poraženec,mehekzmagovalec,mehek
zmanjšati,povečatizmanjšati,povečati,angleščinazmanjšati,angleščina
zmeda,kaoszmeda,kaos,kabelzmeda,kabel
mešanica,kombinacijamešanica,kombinacija,poraženecmešanica,poraženec
znak,oblikaznak,oblika,možganiznak,možgani
znanje,izkušnjaznanje,izkušnja,džipznanje,džip
znanost,tehnologijaznanost,tehnologija,zgrabitiznanost,zgrabiti
znanstvenik,genijznanstvenik,genij,lakotaznanstvenik,lakota
znesek,vsotaznesek,vsota,laskati seznesek,laskati se
zob,nohtzob,noht,pregledatizob,pregledati
zora,sončni zahodzora,sončni zahod,moškizora,moški
zunanji,notranjizunanji,notranji,kliczunanji,klic
župan,šerifžupan,šerif,ohranitižupan,ohraniti
žuželka,pajekžuželka,pajek,veleposlanikžuželka,veleposlanik
žvečiti,pogoltnitižvečiti,pogoltniti,prihodnostžvečiti,prihodnost
zvest,lojalenzvest,lojalen,žrtevzvest,žrtev
zvezda,zvezdnikzvezda,zvezdnik,tempeljzvezda,tempelj
