"el_cue","el_fake_cue","el_target","el_fake_target","en_cue","en_target"
"ρεκόρ","υακόρ","εγγραφή","εγγρεσή","record","recording"
"ρεσεψιόν","ρεντψιόν","πάρτυ","κόαγα","reception","party"
"ρεύμα","ρέωτα","ηλεκτρική ενέργεια","ηγλεκρικάρε","current","electricity"
"ρομπότ","ρόμπευ","μηχανή","μήχασα","robot","machine"
"ροντέο","ρόντωθ","καουμπόι","κάουμπlo","rodeo","cowboy"
"ρουκέτα","ροπιέτα","βλήμα","βλότα","rocket","missile"
"ρούμι","ρόμει","κονιάκ","κουαάκ","rum","cognac"
"ρουφώ","ρορσώ","γλείψιμο","γλυτψίμο","suck","lick"
"ρυθμός","ρυθμίκ","στυλ","στίζ","rhythm","style"
"ρωγμή","ρωσσή","τρύπα","τρέμα","crack","hole"
"ρωμαϊκός","ρωμαφιός","ελληνικά","ελατνικά","roman","greek"
"ρωμαίος","ρωμαδές","ιουλιέτα","ιορθιέτα","romeo","juliet"
"σάββατο","σάνγατο","κυριακή","αιριακή","Saturday","Sunday"
"σαλιγκάρι","σαπογκάρι","χελώνα","χέουνα","snail","turtle"
"σάντουιτς","σάντφλιτς","χάμπουργκερ","χάμπουνικερ","sandwich","hamburger"
"σαφώς","σάιγς","προφανώς","πρόφανθη","clearly","obviously"
"σεβασμός","σελεσμός","αυτοπεποίθηση","ατοπεποίθαοη","respect","confidence"
"σειρά","σευκά","επεισόδιο","επειμύδιο","series","episode"
"σεισμός","ανισμός","έκρηξη","κόρηξη","earthquake","explosion"
"σεληνιακός","σεκινιακός","ηλιακός","γνιακός","lunar","solar"
"σεμινάριο","σερενάριο","διάλεξη","διάλννη","seminar","lecture"
"σεξουαλικός","σεξοσιλικός","φυσικός","φυσίδες","sexual","physical"
"σεπτέμβριος","σεπτεμήσιος","οκτώβριος","οκτώνωιος","september","october"
"σερβιτόρος","σέρβιτρεος","σερβιτόρα","σερβαφόρα","waiter","waitress"
"σερίφης","σερίπλς","δήμαρχος","εύμαρχος","sheriff","mayor"
"σέρλοκ","σέλολου","γουάτσον","φθσηέ","sherlock","watson"
"σήμα","fiμά","στολή","στασπή","badge","uniform"
"σημαία","σηδεία","σύμβολο","σύμβαιο","flag","symbol"
"σημείο","σημετώ","υποδεικνύω","υπστεικνύω","point","indicate"
"σήμερα","δάμερα","χθες","εδθές","today","yesterday"
"σίδερο","σίληρο","μέταλλο","μέτακτο","iron","metal"
"σιτηρά","σιζορά","αλεύρι","αλόκρι","grain","flour"
"σιωπηλός","σίωπηλθε","σιωπή","σιμφή","silent","silence"
"σκάβω","σκέψω","θάβω","θάει","dig","bury"
"σκεφτείτε","σκδετείτε","νομίζω","νομίλι","consider","think"
"σκιά","σκρά","σκοτάδι","σκδυάδι","shadow","dark"
"σκίουρος","σκέιυρος","ρακούν","ρακοίς","squirrel","raccoon"
"δύσκολο","σκλήγες","σκληρός","σκθαρός","tough","hard"
"σκοπευτής","σκοπικτής","ελεύθερος σκοπευτής","σκενπευτής","shooter","sniper"
"σκοπός","σκοπλέ","πρόθεση","πρώιεση","purpose","intention"
"σκόρδο","σκόραμ","κρεμμύδι","κρεμλίδι","garlic","onion"
"σκοτάδι","σκότακι","φως","ρκς","darkness","light"
"σκουλήκι","σκουλήξη","φίδι","πάδι","worm","snake"
"απορρίμματα","σκουπίζαα","σκουπίδια","σκόυθοδια","trash","garbage"
"σκουριασμένος","σκουριπομένος","σκονισμένος","σκόνιστινος","rusty","dusty"
"σκύλος","σκσμός","γάτα","γάσι","dog","cat"
"μπετόν","σκαγόδεμα","ατσάλι","άταβλι","concrete","steel"
"σούπα","σοίβα","σαλάτα","σάγγτα","soup","salad"
"σπαθί","σποτί","μαχαίρι","μάχαζοι","sword","knife"
"σπάσιμο","σπώριμο","διακοπή","διακατή","smash","break"
"σπίτι","δρίτι","διαμέρισμα","διαμύνισμα","house","apartment"
"σπρώξτε","σπρώδεε","τραβήξτε","τράβμυτε","push","pull"
"στάδιο","ινάδιο","μπέιζμπολ","μπέιοϋπολ","stadium","baseball"
"σταθερά","στγκερά","δυνατά","δυιπτά","firmly","strongly"
"στάση","στόνη","καθίστε","καβάστε","stand","sit"
"στέμμα","στάρμα","θρόνος","αγκόσνος","crown","throne"
"στενός","στένυδ","πλατύς","πλάτνυ","narrow","wide"
"στόμα","στύκα","μύτη","όιτη","mouth","nose"
"στομάχι","στομτέι","στήθος","στυσός","stomach","chest"
"στρατιώτης","στράτιδιης","πολεμιστής","πολενεστής","soldier","warrior"
"στρες","φέρες","κατάθλιψη","κατάσσιψη","stress","depression"
"γύρω","στρουτυλό","τριγύρω","πέδηπου","round","around"
"στροφή","στροώς","περιστρέφομαι","τηρίζω","turn","rotate"
"στρώμα","στλέμα","επιφάνεια","έπιφθεεια","layer","surface"
"συγγενής","συιμενής","ξαδερφη","φόξαδερτς","relative","cousin"
"συγγραφέας","συκεραφέας","ηθοποιός","ήθοποιρο","author","actor"
"συγκεντρώνω","συγκεντρόπω","συγκεντρώνομαι","συγκεντρόπομαι","focus","concentrate"
"σύγκρουση","σύειρουση","διαμάχη","δίαμσκη","conflict","dispute"
"συγχαιρώ","συωμαιρώ","χαιρετώ","χαιρργώ","congratulate","greet"
"συγχώρεση","συγχύτεση","έλεος","έληδς","forgiveness","mercy"
"συγχωρώ","συγχυθώ","δικαιολογία","δικαλνλογία","forgive","excuse"
"σύζυγος","σνλίγος","γυναίκα","γυύαολα","husband","wife"
"συλλέγω","συλλάφω","μαζεύω","μάζεοκ","collect","gather"
"σύμβαση","σύχιαση","συμφωνία","συμφνεία","contract","agreement"
"συμβουλή","συμβόυγε","συμβουλεύω","συμβουκτύω","advice","advise"
"προκύπτω","συχθούν","συμβαίνει","συσθεί","occur","happen"
"συμμορία","συμμορού","ομάδα","ομοία","gang","group"
"σύμπαν","σύγκαν","γαλαξίας","γαλαίνας","universe","galaxy"
"συμπέρασμα","συμπέρρεμα","υπόθεση","υπέχεση","conclusion","assumption"
"αρραβώνες","άλμπλεξη","γάμος","σίμος","engagement","wedding"
"συμπονετικός","συμπτσετικός","γενναιόδωρος","γενναιόδλπος","compassionate","generous"
"σύμπτωμα","σύγκτωμα","σύνδρομο","σύδηρομο","symptom","syndrome"
"συν","ίην","μείον","μεσάν","plus","minus"
"συναγερμός","συναγερμαί","τρομάζω","τρόμοιω","alert","alarm"
"συνάδελφος","συναδελφίν","φίλος","όκλος","colleague","friend"
"συναρπαστικός","συνασυαστικός","ενδιαφέρων","ενδιαφίδων","exciting","interesting"
"σύνδεσμος","σύνδνιμος","ομάδα","ομοίπρα","league","team"
"συνδυασμός","συνδπεσμός","μίγμα","μίδεα","combination","mixture"
"συνειδητοποιώ","συνειδητοπνοώ","καταλαβαίνουν","καταλαντίνουν","realize","understand"
"κανονικό","συνήυνς","συνήθης","συνήπως","ordinary","usual"
"σύννεφο","σννντέο","ομίχλη","ομάθλη","cloud","fog"
"συνοδεία","συουδεία","συνοδεύω","συύοδερς","escort","accompany"
"σύνολο","θάνολο","πλήρης","πλχύης","total","complete"
"συνομιλία","συνοπαλία","συζήτηση","συαίτηση","conversation","discussion"
"σύνταγμα","σύντραμα","τάγμα","τάινα","regiment","battalion"
"σύνταξη","υίνταξη","μισθός","μιλαός","pension","salary"
"συντηρητικός","συνταλητικός","φιλελεύθερος","φίλελειμερος","conservative","liberal"
"συνωμοσία","συνωμοίρα","απάτη","άπνεη","conspiracy","fraud"
"συχνότητα","ψαχνότητα","σήμα","χόμπα","frequency","signal"
"σφραγίδα","σφρατήδα","υπογραφή","υπόγραχα","stamp","signature"
"σφυγμός","σφυγίος","πίεση","όπεση","pulse","pressure"
"σχέδιο","σχέδες","στρατηγική","στρατηρεκή","plan","strategy"
"σχέση","ορέση","φιλία","φίυλα","relationship","friendship"
"σχίσιμο","ρτίσιμο","τομή","τόra","tear","cut"
"σχόλιο","σχύνιο","δήλωση","ζόλωση","comment","statement"
"σώμα","τέμα","πτώμα","πτέδα","body","corpse"
"δεξιά","λιστά","αριστερά","αρισμορά","right","left"
"μισό","τάτλισα","τέταρτο","ράταρτο","half","quarter"
"ταίζω","αδίζω","τρώω","τρύζ","feed","eat"
"ταλαιπωρία","ταλαιπντία","πόνος","πόμες","suffering","pain"
"ταλαιπωρία","ταλαιπντία","πρόβλημα","πρόβληρω","trouble","problem"
"τάξη","τάζο","σχολείο","σχερείο","class","school"
"ταξί","τάωλ","λιμουζίνα","λιμοτσίνα","taxi","limousine"
"ταπεινός","τάπεινητ","μετριόφρων","μετριόγκων","humble","modest"
"τατουάζ","τάτοκαζ","ουλή","όυξα","tattoo","scar"
"τάφος","ρόφος","νεκροταφείο","νεκρεπαφείο","grave","cemetery"
"ταχυδρομείο","ταφεδρομείο","φαξ","τέξ","mail","fax"
"τείχος","τέγιος","φράκτης","ελάκτης","wall","fence"
"τελετουργία","τέλετουρτσα","τελετή","τεκητή","ritual","ceremony"
"επιτέλους","φαλικά","τελικά","τεινκά","finally","eventually"
"τελικός","τεινκός","ύστατος","φαχλιπός","final","ultimate"
"τέλος","σόλος","φινίρισμα","φινίκεσμα","end","finish"
"τέρας","λίφρας","πλάσμα","πλχήμα","monster","creature"
"τερματικό","τεστατικό","αεροδρόμιο","αερίφρομιο","terminal","airport"
"τέχνασμα","τεήμασμα","αστείο","άστεκη","trick","joke"
"τέχνη","τέαβη","βιβλιογραφία","βιβλιονεαφία","art","literature"
"τεχνικός","τεαλικός","μηχανικός","μηχαλακός","technical","mechanical"
"τεχνολογία","τέχνολογοη","επιστήμη","επισζύμη","technology","science"
"τεχνούργημα","τεχνούσθημα","μενταγιόν","μεντηριό","artifact","medallion"
"τζαζ","τζod","μουσική","μόντικη","jazz","music"
"τζιπ","τζbi","φορτηγό","φορτδιό","jeep","truck"
"λιώνω","ίβκω","παγώνω","πάλιμα","melt","freeze"
"τηλεγράφημα","τηλεγράφορα","γράμμα","γράμπο","telegram","letter"
"τηλεσκόπιο","τημισκόπιο","μικροσκόπιο","μίκροσεγπιο","telescope","microscope"
"τι","γλί","ότι","φρί","what","that"
"τίποτα","τίουτα","κάτι","ύχτι","nothing","something"
"κόκκινο","τοσεόκκινο","κίτρινος","άλτρινος","red","yellow"
"φυγή","τοτοκάω","απόδραση","διαφεθή","flee","escape"
"τόνος","λίνος","αστακός","ασταδίς","tuna","lobster"
"τοστ","τόλι","μπέικον","μπρίκον","toast","bacon"
"τουαλέτα","τόυαρχτα","νεροχύτης","ύεροτζτης","toilet","sink"
"τουρνουά","τουρνοπό","αγώνας","αγώνομ","tournament","match"
"τουφέκι","τουφλόι","όπλο","όπτη","rifle","gun"
"τραγουδιστής","τρεξουδιστής","μουσικός","μουστεός","singer","musician"
"τραπέζι","τραπόσι","καρέκλα","καρεόκα","table","chair"
"τραπεζικές υπηρεσίες","τραπεζικεσέvργασιεσ","χρηματοοικονομική","χρηματζνικονομική","banking","financial"
"τραπεζίτης","τραπσσίτης","επενδυτής","επενεκτής","banker","investor"
"τρένο","τρίαο","λεωφορείο","λεσπορείο","train","bus"
"τρέξιμο","τράψιμο","περπατώ","πρεπατήσμα","run","walk"
"τρίτος","τρίτια","τέταρτος","τέταηρος","third","fourth"
"τρομακτικός","τρομοντικός","ανατριχιαστικός","ανατριεβαστικός","scary","creepy"
"τρομερός","τρομπερώμ","φρικτός","φρίκωνς","terrible","horrible"
"τρόπαιο","τρόπολο","μετάλλιο","μετάαριο","trophy","medal"
"τροχόσπιτο","τροχοσπινά","βαν","ρίν","trailer","van"
"τσέπη","τσάμη","πορτοφόλι","πορτικόλι","pocket","wallet"
"τσιμέντο","τσαρέντο","πλαστικό","πλαστικήπιλη","cement","plastic"
"τυπικός","ορπικός","κλασσικός","κλασυγκός","typical","classic"
"τυφλός","τυφλώτ","κουφός","κολλός","blind","deaf"
"τυφώνας","τυούνας","ανεμοστρόβιλος","ανιχοστρόβιλος","hurricane","tornado"
"τζόγος","παιγόιδια","πόκερ","όγκερ","gambling","poker"
"τώρα","θίαρα","ξέρω","χόρω","now","know"
"υγεία","εχεία","εκπαίδευση","εκπαάτευση","health","education"
"υγιής","αφιής","κανονικός","καγωνικός","healthy","normal"
"υγρό","πραρό","ρευστό","loρό","liquid","fluid"
"ύλη","σθή","σωματίδιο","σωμακώδιο","matter","particle"
"ίνα","ʼσά","δακτυλικό αποτύπωμα","δακτιζαποτύ","dna","fingerprint"
"υπεράνθρωπος","υπέρολθρωπος","μπάτμαν","μπέλμαν","superman","batman"
"υπερηφάνεια","υπεριαάνεια","αξιοπρέπεια","αξιοδοέπεια","pride","dignity"
"υπερήφανος","υπερόπανος","ενθουσιασμένος","ενθονειασμένος","proud","excited"
"υπερφυσικός","υπασφυσικός","παραφυσικός","παραθεσικός","supernatural","paranormal"
"υπηρεσία","υπήρεσβε","συντήρηση","συύτσαηση","service","maintenance"
"υπνάκο","υπάσκο","βόλτα","βόθρα","nap","stroll"
"υποβρύχιο","υποβρύρνο","σκάφος","σκίνος","submarine","boat"
"υπόλοιπο","υπόλσαπο","ύπνος","όχνος","rest","sleep"
"υπομονετικός","υπομάβετικος","πελάτης","πέματης","patient","client"
"υπομονή","υπομική","συμπόνια","συμπαίια","patience","compassion"
"υποστήριξη","υποστηριάλ","βοήθεια","βόχνεια","support","assistance"
"υποτιμώ","υποτηχώ","υπερβάλλω","υπερείλλω","underestimate","exaggerate"
"ντουλάπι","υπυγίκλιο","ντουλάπα","ρίεχων","cabinet","closet"
"υποφέρω","υπογέρω","πεθαίνω","καλοκύι","suffer","die"
"υποψήφιος","υποψιάιος","ψηφοφόρος","ρυφοφόρος","candidate","voter"
"φαγητό","ξεγετό","γεύμα","γέιθα","food","meal"
"φαινόμενο","επινόμενο","εκδήλωση","έκθαλωση","phenomenon","event"
"φάκελος","φάσολος","πακέτο","πασάτο","envelope","package"
"φαντασία","φανταστέ","δημιουργικότητα","κιμιουργικότητα","imagination","creativity"
"φάση","όυση","περίοδος","περίλαος","phase","period"
"φεγγάρι","φεοράρι","ήλιος","όριος","moon","sun"
"φέρετρο","φεκίτρο","κηδεία","κηρσία","coffin","funeral"
"φθάνω","ανάνω","έλα","ύρα","arrive","come"
"φιλανθρωπία","φίλανθρωχτα","δωρεά","δωββά","charity","donation"
"φίλε","ξυλέ","αδελφέ","ντοιός","dude","bro"
"φιλί","φίpe","αγκαλιά","αγκαιβάζω","kiss","hug"
"φιλοξενία","φίλοξειδα","ευγνωμοσύνη","ευγνντοσύνη","hospitality","gratitude"
"φιλοσοφία","φιλονιφία","θρησκεία","θρησλοία","philosophy","religion"
"φιλοφρόνηση","φιλοταόνηση","δώρο","τόρο","compliment","gift"
"φλαμουριά","φλοτουριά","σκόνη","σκάβη","ash","dust"
"φλέβα","φλρρά","αρτηρία","αρκτρία","vein","artery"
"φλιτζάνι","θυιτζάνι","καφές","κάμψς","cup","coffee"
"φόβος","ρυβός","τρομάζω","τρόμοιω","scare","frighten"
"φονιάς","φόνιβα","δολοφόνος","δολοφότες","killer","murderer"
"φορτώνω","φολιώνω","φορτίο","φόρτια","load","cargo"
"φούρνος","φοβίνος","κουζίνα","κομψίνα","oven","stove"
"φούστα","φοπέτα","φόρεμα","φόρεαλ","skirt","dress"
"φρέσκο","επέσκο","φρεσκάρω","φρχικάρω","fresh","refresh"
"φρίκη","φρώπη","φόβος","φόρνς","horror","fear"
"φρουρά","εσουρά","περιπολία","περιουλία","guard","patrol"
"φτιαχνω","ίωανω","κάνω","ιώνω","make","do"
"φτώχεια","φτΐσέια","μιζέρια","μιράρια","poverty","misery"
"φτωχός","φτεvός","πλούσιος","πλούπτος","poor","rich"
"φυλή","ελλή","οικογένεια","λεκογένεια","clan","family"
"φυσικά","λισικά","γενικά","νονικά","naturally","generally"
"φυσικός","φυσιεύς","τεχνητός","τεηθητός","natural","artificial"
"φυτό","φυΐέ","λουλούδι","λόυλροδι","plant","flower"
"φωλιά","μπλιά","αυγό","αυέν","nest","egg"
"φωνή","φώψω","προφορά","προφαλά","voice","accent"
"φωτιά","φωωμά","φλόγα","φλάαα","fire","flame"
"φωτογραφική μηχανή","φώτογρικρημη","μικρόφωνο","μίκροοωνο","camera","microphone"
"χαίρετε","χάζοετε","αντίο","ανίλο","hello","bye"
"χαμηλός","χαλαλός","υψηλός","υψδρός","low","high"
"χαμόγελο","χάρηγελο","γέλιο","ψέλιο","smile","laugh"
"χάος","κύος","σύγχυση","σύμευση","chaos","confusion"
"χαρακτήρας","χάρακτημας","προσωπικότητα","προσοδικότητα","character","personality"
"χαρτί","χαϊνί","στυλό","στιαό","paper","pen"
"χαρτοφύλακας","χαρτρούλακας","βαλίτσα","βάθοτσα","briefcase","suitcase"
"χείλος","χέτιος","μάγουλο","μαγοάτο","lip","cheek"
"χειρονομία","χερμονομία","υποκρίνομαι","υπειρίνομαι","gesture","act"
"χειρουργός","χειρουερός","γιατρός","γίατξες","surgeon","doctor"
"χέρι","αίρι","μπράτσο","μπράλλο","hand","arm"
"χημεία","ρομεία","βιολογία","ύοαλοεα","chemistry","biology"
"χημικό","kiμυσία","βιολογικός","μβολογικός","chemical","biological"
"χήνα","όινα","πάπια","παάλα","goose","duck"
"χήρα","orρά","γυναίκα","γυύαολα","widow","woman"
"χίλια","έλλια","εκατό","εκενό","thousand","hundred"
"χιλιόμετρο","χιλιόμετημ","μέτρο","μετριμής","kilometer","meter"
"χοιρινό","χοτεινό","κρέας","κρόζ","pork","meat"
"χόμπι","χόρει","άθλημα","λήμαη","hobby","sport"
"χορεύτρια","χορεύκα","χορός","ψαρός","dancer","dance"
"χρηματοδότηση","χρηματηρότηση","επενδύω","έπενπιω","finance","invest"
"χρήσιμος","χρστίμος","αποτελεσματικός","αποτελδηματικός","useful","effective"
"χριστούγεννα","χριστονγενάμ","αργία","αρνέα","christmas","holiday"
"χρυσαφένιος","χρυσάφμαιος","ασήμι","άσβλι","golden","silver"
"χρώμα","χρώρα","σχεδιάζω","σχεδιάρι","paint","draw"
"χώρα","χώθη","έθνος","ώινος","country","nation"
"χωρητικότητα","χωοντικότητα","ικανότητα","ίκανεςητα","capacity","ability"
"ψέμα","aύμα","ψεύτης","ινύτης","lie","liar"
"ψευδαίσθηση","ψέυδουσθηση","παραίσθηση","πάρασφθηση","illusion","hallucination"
"ψυχή","ψυκτ","πνεύμα","πνδήμα","soul","spirit"
"ψωμί","ψώβς","τυρί","τυλί","bread","cheese"
"ώμος","κίος","γόνατο","χυύατο","shoulder","knee"
"ενίοτε","ήμες","συχνά","συπιά","sometimes","often"
