en_target,en_cue,en_fake_cue,en_fake_target,cs_cue,cs_target,cs_fake_target,cs_fake_cue,da_cue,da_target,da_fake_target,da_fake_cue,de_cue,de_target,de_fake_target,de_fake_cue,ja_target,ja_cue,ja_fake_target,ja_fake_cue,ko_target,ko_cue,ko_fake_cue,ko_fake_target,ru_target,ru_cue,ru_fake_cue,ru_fake_target,tr_target,tr_cue,tr_fake_cue,tr_fake_target,en_word_combo,en_target_word_unique,cs_word_combo,cs_target_word_unique,ja_word_combo,ja_target_word_unique,ko_word_combo,ko_target_word_unique,tr_word_combo,tr_target_word_unique,ru_word_combo,ru_target_word_unique
hell,paradise,parvulse,heca,ráj,peklo,pereo,díj,paradis,helvede,sandvede,pararekt,paradies,hölle,rosle,parakerl,地獄,楽園,埋獲,棊圃,지옥,천국,심콩다이스,뮤씨,ад,рай,ерй,цо,cehennem,cennet,dağnet,cehenrick,paradisehell,hell,rájpeklo,peklo,楽園地獄,地獄,천국지옥,지옥,cennetcehennem,cehennem,райад,ад
heroin,cocaine,cowhite,neckin,kokain,heroin,sajrain,sračkain,kokain,heroin,snigoin,koplan,kokain,heroin,heckenin,koherzin,ヘロイン,コカイン,単門イン,貝様イン,헤로인,코카인,질인리,자켓인,героин,кокаин,кокастрю,героимость,eroin,kokain,kokabart,püsin,cocaineheroin,heroin,kokainheroin,heroin,コカインヘロイン,ヘロイン,코카인헤로인,헤로인,kokaineroin,eroin,кокаингероин,героин
hide,cover,piger,ilde,zakrýt,skrýt,zatřít,sklůrt,dække,skjule,sjælle,dæle,zudecken,verstecken,verstehung,tridecken,隠す,覆い隠す,もっ,基他急わ,숨다,씌우다,웠다다,먹도,прятать,покрывать,покрыдевать,кризтать,saklamak,örtmek,kahew,unutlamak,coverhide,hide,zakrýtskrýt,skrýt,覆い隠す隠す,隠す,씌우다숨다,숨다,örtmeksaklamak,saklamak,покрыватьпрятать,прятать
high,low,lew,hiul,nízký,vysoký,vykrátký,vrhký,lav,høj,proj,juv,niedrig,hoch,kork,freurig,高い,低い,サー,ガー,높은,낮은,탕바,고릴,высокий,низкий,помкий,высотруд,yüksek,düşük,düica,uyusek,lowhigh,high,nízkývysoký,vysoký,低い高い,高い,낮은높은,높은,düşükyüksek,yüksek,низкийвысокий,высокий
highness,majesty,maiksty,rectness,veličenstvo,výsost,výtkat,veličestán,majestæt,højhed,højsk,maleskop,majestät,hoheit,hovens,majessies,陛下,殿下,里想,けろ,전하,폐하,미나,많하,высочество,величество,велигнество,высочегнсво,yücelik,haşmet,marilynteli,yükkrallik,majestyhighness,highness,veličenstvovýsost,výsost,殿下陛下,陛下,폐하전하,전하,haşmetyücelik,yücelik,величествовысочество,высочество
highway,road,igad,highdle,silnice,dálnice,chronice,opranice,vej,motorvej,motorsek,jef,straße,autobahn,autowier,fahrße,高速道路,道,具実首路,エピ,고속도로,도로,잖나,원로조로,шоссе,дорога,доройс,пёрсе,karayolu,yol,byl,karaiderslu,roadhighway,highway,silnicedálnice,dálnice,道高速道路,高速道路,도로고속도로,고속도로,yolkarayolu,karayolu,дорогашоссе,шоссе
hiv,aids,ainy,oiv,aids,hiv,kuv,aičo,aids,hiv,alv,byds,aids,hiv,eiv,aiza,エイチアイブイ,エイズ,アブブ,はまず,에이즈 바이러스,에이즈,타야궁,아기브,вич,спид,спay,люч,hiv,aids,ilds,elv,aidshiv,hiv,aidshiv,hiv,エイズエイチアイブイ,エイチアイブイ,에이즈에이즈 바이러스,에이즈 바이러스,aidshiv,hiv,спидвич,вич
hole,crack,crumk,houn,prasklina,díra,venra,rozzlona,sprække,hul,adsel,forsamke,riss,loch,itch,rikt,穴,割れ目,茗ち,禍亭召,구멍,틈,배야다하,크립,дыра,щель,ведель,увора,delik,çatlak,çaaraçtı,desan,crackhole,hole,prasklinadíra,díra,割れ目穴,穴,틈구멍,구멍,çatlakdelik,delik,щельдыра,дыра
holiday,christmas,christsen,gladiday,vánoce,svátek,krutek,technoce,jul,helligdag,fetal,dul,weihnachten,ferien,fertieren,spärnachten,休日,クリスマス,ルフ,意目スマス,휴일,크리스마스,떠나스밑둔,리모,каникулы,рождество,рождесертво,дранникулы,tatil,noel,noyum,taung,christmasholiday,holiday,vánocesvátek,svátek,クリスマス休日,休日,크리스마스휴일,휴일,noeltatil,tatil,рождествоканикулы,каникулы
honest,decent,deence,casest,slušný,upřímný,urychný,skrýný,anstændig,ærlig,ærvær,anfalddig,anständig,ehrlich,gaslich,andersdig,正直な,ちゃんとした,永んな,郡旦んけきと,솔직한,품위있는,막혔있는,기한업,честный,порядочный,порводочный,чресный,dürüst,edepli,zahgün,inan sözlü,decenthonest,honest,slušnýupřímný,upřímný,ちゃんとした正直な,正直な,품위있는솔직한,솔직한,edeplidürüst,dürüst,порядочныйчестный,честный
honesty,loyalty,ishialty,honbath,věrnost,poctivost,poctinách,clenost,loyalitet,ærlighed,ærligtion,skræmalitet,loyalität,ehrlichkeit,ehrgeizkeit,schelität,正直,誠実,ト二,腹誌,정직,충성심,수챙,펴야,честность,верность,сивность,вослость,dürüstlük,bağlılık,bavlılık,düömürlük,loyaltyhonesty,honesty,věrnostpoctivost,poctivost,誠実正直,正直,충성심정직,정직,bağlılıkdürüstlük,dürüstlük,верностьчестность,честность
honor,privilege,privitick,disor,privilegium,čest,lost,ušlechvilegium,privilegium,ære,ysle,halskævilegium,privileg,ehre,ehche,privicott,恩恵,特権,思息,物標,명예,특권,겨역,냈소,честь,привилегия,привилекость,вэсть,onur,ayrıcalık,ayrıcaworth,onba,privilegehonor,honor,privilegiumčest,čest,特権恩恵,恩恵,특권명예,명예,ayrıcalıkonur,onur,привилегиячесть,честь
horrible,terrible,terrimand,horrimand,děsný,hrozný,slovný,bruný,forfærdelig,frygtelig,hjemtelig,forloveldelig,schrecklich,furchtbar,entwöhnlich,schrittlich,恐ろしい,ひどい,うふ,ヘヒい,끔찍한,극심한,한셨어,신부한,чудовищный,ужасный,клятсный,зловищный,korkunç,dehşetli,korcury,berliz,terriblehorrible,horrible,děsnýhrozný,hrozný,ひどい恐ろしい,恐ろしい,극심한끔찍한,끔찍한,dehşetlikorkunç,korkunç,ужасныйчудовищный,чудовищный
horse,donkey,donoma,howle,osel,kůň,ahň,dlel,æsel,hest,hebrå,ryel,esel,pferd,pfuld,esco,うま,ロバ,ムご,社公,말,당나귀,불은귀,우우,лошадь,осел,осбо,гошань,at,eşek,beek,od,donkeyhorse,horse,oselkůň,kůň,ロバうま,うま,당나귀말,말,eşekat,at,оселлошадь,лошадь
hose,pump,puif,isse,čerpadlo,hadice,bloudice,čerpažích,pumpe,vandslange,uansvarge,lilpe,pumpe,schlauch,schmeuch,kespe,ホース,ポンプ,会土ス,高交プ,호스,펌프,쥴이,까운,шланг,насос,нагуб,ёчанг,hortum,pompa,keypa,teytum,pumphose,hose,čerpadlohadice,hadice,ポンプホース,ホース,펌프호스,호스,pompahortum,hortum.1,насосшланг,шланг
hug,kiss,dess,yag,pusa,obejmout,slijmout,pucí,kys,kram,krød,sæs,kuss,umarmung,umargyle,kuta,ハグ,接吻,ノグ,偉法,껴안다,입맞춤,살렘,바그다,обнимать,целовать,целограть,обнистрать,sarılmak,öpmek,meycük,sainanmak,kisshug,hug,pusaobejmout,obejmout,接吻ハグ,ハグ,입맞춤껴안다,껴안다,öpmeksarılmak,sarılmak,целоватьобнимать,обнимать
huge,big,yag,kege,velký,obrovský,obrovnost,stáký,stor,enorm,menorm,vipse,groß,riesig,enesim,gruh,巨大な,大きい,句夬ほ,夬さり,거대한,큰,섬입,얘들한,огромный,большой,баяншой,грумный,kocaman,büyük,bürao,pecaman,bighuge,huge,velkýobrovský,obrovský,大きい巨大な,巨大な,큰거대한,거대한,büyükkocaman,kocaman,большойогромный,огромный
human,man,ien,huers,muž,člověk,játvěk,arž,mand,menneske,mennering,mari,mann,mensch,sonsch,maca,人間,男,符意,戚し,인간,남성,이벌,우가,человек,индивид,человид,челостек,insan,adam,adkı,inyim,manhuman,human,mužčlověk,člověk,男人間,人間,남성인간,인간,adaminsan,insan,индивидчеловек,человек
hundred,thousand,chitsand,hundons,tisíc,sto,dro,tibon,tusind,hundrede,spænrede,tusomt,tausend,hundert,hunraum,tauwell,百,千,房苑,鈎ね,백,천,요제,깔보,сто,тысяча,тысага,увно,yüz,bin,ern,onz,thousandhundred,hundred,tisícsto,sto,千百,百,천백,백,binyüz,yüz,тысячасто,сто
hungry,tired,tinsd,hunsoe,unavený,hladový,středový,vpředový,træt,sulten,købten,trie,müde,hungrig,burkrig,hamde,お腹がすいた,疲れた,門僚がすいだ,候浦た,굶주린,피곤한,다녀한,포도린,голодный,усталый,стрялый,гоопытный,acıkmış,yorgun,fikgun,gı,tiredhungry,hungry,unavenýhladový,hladový,疲れたお腹がすいた,お腹がすいた,피곤한굶주린,굶주린,yorgunacıkmış,acıkmış,усталыйголодный,голодный
hydrogen,carbon,carpie,hydogun,uhlík,vodík,vobij,uhdeš,kulstof,brint,hyklingen,hårslof,kohlenstoff,wasserstoff,wasserviert,kohlenspiel,水素,炭素,ボヲ,せあ,수소,탄소,움보,우면,водород,углерод,углебот,водобишь,hidrojen,karbon,karkıp,acıtrojen,carbonhydrogen,hydrogen,uhlíkvodík,vodík,炭素水素,水素,탄소수소,수소,karbonhidrojen,hidrojen,углеродводород,водород
idiot,fool,fojo,idnev,blázen,idiot,tučot,kvazen,fjols,idiot,flypot,ørols,narr,idiot,wikot,yanschen,愚か者,バカ者,満な煮,ボヌ煮,바보,멍청이,톨리,보야,идиот,дурак,дупык,войот,salak,aptal,apsim,sarir,foolidiot,idiot,blázenidiot,idiot,バカ者愚か者,愚か者,멍청이바보,바보,aptalsalak,salak,дуракидиот,идиот
importance,meaning,senting,imporcians,význam,důležitost,důležipadla,výpral,betydning,vigtighed,betydster,betydskab,bedeutung,wichtigkeit,bedeukeit,bedeukeit,重要性,意味,ナヌ性,フマ,중요성,의미,럽이,레스성,важность,значение,штачение,эленость,önem,anlam,ancik,önlt,meaningimportance,importance,významdůležitost,důležitost,意味重要性,重要性,의미중요성,중요성,anlamönem,önem,значениеважность,важность
important,valuable,hanable,imporhole,cenný,důležité,důlesprosté,směný,værdifuld,vigtig,kultig,værdiblem,wertvoll,wichtig,blautig,windvoll,重要な,貴重な,ケーな,牧善な,중요한,귀중한,꾹월한,을위한,важный,ценный,клуный,лодный,önemli,değerli,dekompli,ilerli,valuableimportant,important,cennýdůležité,důležité,貴重な重要な,重要な,귀중한중요한,중요한,değerliönemli,önemli,ценныйважный,важный
impress,flatter,landter,imgrave,lichotit,zapůsobit,zapůsostroj,liopustit,smigre,imponere,imstjernere,smihol,schmeicheln,beeindrucken,beeindrutisch,schnitcheln,感動させる,お世辞を言う,恵勘きむろ,ね丗辟そ誉つ,감탄시키다,아첨하다,루카게 하다,점들시키다,впечатлять,обольщать,обойщать,впеформлять,hayran bırakmak,methetmek,renklamak,etkileaving,flatterimpress,impress,lichotitzapůsobit,zapůsobit,お世辞を言う感動させる,感動させる,아첨하다감탄시키다,감탄시키다,methetmekhayran bırakmak,hayran bırakmak,обольщатьвпечатлять,впечатлять
imprisonment,penalty,benefty,imprisontario,trest,uvěznění,trnét,uvězdice,straf,fængsling,værdsling,teraf,strafe,haft,hago,fahrfe,投獄,刑罰,昔り戸,文誰ルティ,투옥,패널티,뒤티디,니셔,заточение,штраф,штерф,запячение,tutukluluk,ceza,celık,hazor kezası,penaltyimprisonment,imprisonment,trestuvěznění,uvěznění,刑罰投獄,投獄,패널티투옥,투옥,cezatutukluluk,tutukluluk,штрафзаточение,заточение
improvement,change,chansy,imparchment,změna,zlepšení,uznášení,delna,forandring,forbedring,forbedskab,foranstisk,veränderung,verbesserung,verbessegelst,verändeplatz,改善,変化,攻喜,奕北,개선,변화,웰이,크업,улучшение,изменение,изместение,одершение,gelişim,değişim,dedecektirmek,gezeltme,changeimprovement,improvement,změnazlepšení,zlepšení,変化改善,改善,변화개선,개선,değişimgelişim,gelişim,изменениеулучшение,улучшение
income,profit,travit,incant,zisk,příjem,příbou,čísk,profit,indkomst,indstisk,promær,gewinn,einkommen,einstelmen,profisportren,所得,利益,炉硯,梨盆,소득,이익,슬을,틴이,доход,выгода,выстрада,дощал,gelir,kâr,üzr,geten,profitincome,income,ziskpříjem,příjem,利益所得,所得,이익소득,소득,kârgelir,gelir,выгодадоход,доход
indicate,point,pooft,indiened,ukázat,indikovat,chlařozat,chlařovat,pege,angive,ansvarve,samge,punkt,anzeigen,angefähr,pulät,示す,指摘する,盛葵,翻熱けの,내비치다,가리키다,가리길러,사실내 다,обозначать,указывать,уфутывать,обозаскать,belirtmek,işaret etmek,redan,beöpüşmek,pointindicate,indicate,ukázatindikovat,indikovat,指摘する示す,示す,가리키다내비치다,내비치다,işaret etmekbelirtmek,belirtmek,указыватьобозначать,обозначать
individual,person,pering,tetrodotoxindividual,osoba,individuální,indiportlanduální,šašba,person,individ,indireau,perkat,person,individuum,individuschiff,perfek,個人,人,アェ,雑早,개인,사람,회는,넌이,личность,персона,персочин,индивидолестный,bireysel,kişi,kiyum,biişitsel,personindividual,individual,osobaindividuální,individuální,人個人,個人,사람개인,개인,kişibireysel,bireysel,персоналичность,личность
infection,virus,viads,infecness,virus,infekce,intrance,vikin,virus,infektion,infekment,farus,virus,infektion,inschäftion,vible,感染,ウイルス,恕朶,ネナツヌ,전염병,바이러스,바이웠던,시리병,инфекция,вирус,вижах,инфикция,enfeksiyon,virüs,visol,enrightsiyon,virusinfection,infection,virusinfekce,infekce,ウイルス感染,感染,바이러스전염병,전염병,virüsenfeksiyon,enfeksiyon,вирусинфекция,инфекция
inform,report,retary,indone,zpravit,informovat,informostroj,vzruvit,rapportere,informere,inforskrækre,mysteportere,bericht,informieren,inforderstren,benickt,知らせる,報告する,文らせも,ロベみも,알리다,보고서,어세국,기했다,информировать,сообщать,соотшать,изветермировать,bilgilendirmek,raporlamak,raxel,bipgi yermek,reportinform,inform,zpravitinformovat,informovat,報告する知らせる,知らせる,보고서알리다,알리다,raporlamakbilgilendirmek,bilgilendirmek,сообщатьинформировать,информировать
informant,source,sorece,inforerin,zdroj,informátor,inaranžmátor,ovroj,kilde,informant,inforsten,benpe,quelle,informant,inforsyth,prenle,情報提供者,情報源,割赦匙伴考,割赦厚,피조사자,원천,나역,몰았사자,информатор,источник,истильник,инфороулингс,muhbir,kaynak,kayşun,haümitsiz,sourceinformant,informant,zdrojinformátor,informátor,情報源情報提供者,情報提供者,원천피조사자,피조사자,kaynakmuhbir,muhbir,источникинформатор,информатор
information,data,tenta,informanence,data,informace,daběj,daněj,data,information,informakomst,komte,daten,information,instinktmation,dazwi,情報,データ,割赦,ヂーヌ,정보,데이터,원하터,건인,информация,данные,съенные,информастрия,bilgi,veri,bilri,aragi,datainformation,information,datainformace,informace,データ情報,情報,데이터정보,정보,veribilgi,bilgi.1,данныеинформация,информация
inherit,heritage,herhinge,inicit,dědictví,zdědit,plidit,dědicnech,arv,arve,aran,mov,erbe,erben,erläu,aufbe,継承する,遺産,起るきす,奇せ,상속,유산,밍은,조아,наследовать,наследство,нахульство,наследоукинс,devralmak,miras,mihit,devayırmak,heritageinherit,inherit,dědictvízdědit,zdědit,遺産継承する,継承する,유산상속,상속,mirasdevralmak,devralmak,наследствонаследовать,наследовать
injection,dose,dooz,injecness,dávka,injekce,instrace,nanka,dosis,indsprøjtning,indsprøjtskab,dober,dosis,injektion,instandtion,dober,注射,投与量,ヌサ,けと量,주입,정량,개보,래와,инъекция,доза,донжа,плейекция,enjeksiyon,doz,anz,enrightsiyon,doseinjection,injection,dávkainjekce,injekce,投与量注射,注射,정량주입,주입,dozenjeksiyon,enjeksiyon,дозаинъекция,инъекция
injury,wound,seund,injoin,rána,zranění,sklenění,okenění,sår,skade,magde,reks,wunde,verletzung,verletfall,korde,けが,傷,年茸,政書,상해,상처,먼의,깝네,травма,рана,рамель,гарвма,sakatlık,yaralanma,yamış,inönerme,woundinjury,injury,ránazranění,zranění,傷けが,けが,상처상해,상해,yaralanmasakatlık,sakatlık,ранатравма,травма
insect,spider,mumder,insold,pavouk,hmyz,ukyz,panaut,edderkop,insekt,instyr,edderpisk,spinne,insekt,inheem,witne,虫,クモ,ワツ,柔ろ,곤충,거미,댕이,홍막,насекомое,паук,пахук,насекостыль,böcek,örümcek,örümhat,böçin,spiderinsect,insect,pavoukhmyz,hmyz,クモ虫,虫,거미곤충,곤충,örümcekböcek,böcek,паукнасекомое,насекомое
inside,outside,derside,intifa,vně,uvnitř,génitř,udě,udenfor,indenfor,indengisk,skinfor,außen,innen,innes,autig,内部,外部,告性,替在,안에,밖의,리서,임상에,внутри,снаружи,предеружи,вспори,içeride,dışarıda,dışaomingda,redri,outsideinside,inside,vněuvnitř,uvnitř,外部内部,内部,밖의안에,안에,dışarıdaiçeride,içeride,снаруживнутри,внутри
inspection,examination,examinamurthy,incryption,prohlídka,inspekce,proklidka,zklidka,undersøgelse,inspektion,inmutation,softersøgelse,überprüfung,inspektion,inflüchtion,untersufield,検査,試験,棚視,和這,점검,검사,은걸,권에,проверка,экспертиза,экстрактиза,продружка,teftiş,sorgulama,sışem,inhardtleme,examinationinspection,inspection,prohlídkainspekce,inspekce,試験検査,検査,검사점검,점검,sorgulamateftiş,teftiş,экспертизапроверка,проверка
inspiration,inspire,inchine,inspiraphers,inspirovat,inspirace,správspirace,inspirostroj,inspirere,inspiration,interretion,interrere,inspirieren,inspiration,inleuchtration,inrungsrieren,インスピレーション,インスパイヤ,インヌピレーダーン,インスパ丕正,영감,고무하다,종잇하다,셀링,вдохновение,вдохновлять,спряновлять,странновение,esinlenmek,ilham vermek,ilham veiting,ösin,inspireinspiration,inspiration,inspirovatinspirace,inspirace,インスパイヤインスピレーション,インスピレーション,고무하다영감,영감,ilham vermekesinlenmek,esinlenmek,вдохновлятьвдохновение,вдохновение
instrument,tool,toug,inbishment,nářadí,nástroj,nástřed,náklondí,værktøj,instrument,infragment,skritøj,werkzeug,instrument,innagement,freszeug,器具,道具,わそ,メヘ,악기,도구,레를,넷도,прибор,инструмент,инфрагмент,инструвишь,enstrüman,alet,alci,müzik alaworld,toolinstrument,instrument,nářadínástroj,nástroj,道具器具,器具,도구악기,악기,aletenstrüman,enstrüman,инструментприбор,прибор
intelligent,smart,teart,intelliships,chytrý,inteligentní,intelistrukční,zkourý,smart,intelligent,intellistisk,klømp,schlau,intelligent,intellischem,schnau,知的な,賢明な,膝妬な,沃糯ぬ,지능적인,똑똑한,한혼땅,느낄적인,умный,сообразительный,сомкузительный,умфом,zeki,akıllı,özellı,bıki,smartintelligent,intelligent,chytrýinteligentní,inteligentní,賢明な知的な,知的な,똑똑한지능적인,지능적인,akıllızeki,zeki,сообразительныйумный,умный
intention,purpose,purpled,intenberg,účel,záměr,ovel,ouel,formål,hensigt,henskop,forgif,zweck,absicht,abschre,zwank,意図,目的,杁,たさ,의도,목적,늄니,객을,намерение,цель,цейт,намерестение,niyet,amaç,amgı,nimiz,purposeintention,intention,účelzáměr,záměr,目的意図,意図,목적의도,의도,amaçniyet,niyet,цельнамерение,намерение
intentionally,accidentally,accidenshily,tetrodotoxintentionally,náhodou,záměrně,zástatně,náhokách,tilfældigvis,bevidst,bæstient,tilfældistand,versehentlich,absichtlich,absturzlich,versekirchlich,わざと,偶然,やぢさ,隅燃,의도적으로,실수로,생히물,터적으로,намеренно,случайно,слувдохно,наместитьно,bilerek,kazara,kaprogra,kazıtlı olerak,accidentallyintentionally,intentionally,náhodouzáměrně,záměrně,偶然わざと,わざと,실수로의도적으로,의도적으로,kazarabilerek,bilerek,случайнонамеренно,намеренно
interesting,exciting,exlonging,tetrodotoxinteresting,vzrušující,zajímavý,zajímanager,zajímanažer,spændende,interessant,intereskreds,troddende,aufregend,interessant,intereskleid,aufrecher,興味深い,ワクワクさせる,リー深も,外倍ワク,흥미로운,신나는,맞곰는,쓰레로운,интересный,волнующий,тельнующий,интестолкно,ilginç,heyecanlı,forsytheyecan verici,ilyong,excitinginteresting,interesting,vzrušujícízajímavý,zajímavý,ワクワクさせる興味深い,興味深い,신나는흥미로운,흥미로운,heyecanlıilginç,ilginç,волнующийинтересный,интересный
intimate,personal,perwithal,intiling,osobní,intimní,inrenční,vlouní,personlig,intim,indflimre,peryderlig,persönlich,intim,injor,persöncher,親密な,個人の,ゴルな,アドあ,친밀한,개인적인,무임단인,굴긴한,интимный,личный,астный,инубойный,samimi,kişisel,kişiyeering,ailemimi,personalintimate,intimate,osobníintimní,intimní,個人の親密な,親密な,개인적인친밀한,친밀한,kişiselsamimi,samimi,личныйинтимный,интимный
intuition,instinct,insuance,intulaise,instinkt,intuice,struktuice,instrast,instinkt,intuition,intuikomst,instremt,instinkt,intuition,inhaltstion,instreut,直感,本能,感回,よへ,직관,본능,에럭,반듯,интуиция,инстинкт,инмстинкт,интуимость,sezgi,içgüdü,içgüdüworth,bosgi,instinctintuition,intuition,instinktintuice,intuice,本能直感,直感,본능직관,직관,içgüdüsezgi,sezgi,инстинктинтуиция,интуиция
invest,finance,fidents,incart,finance,investovat,investostroj,fizrádce,finansiere,investere,inspirastere,bedstenansiere,finanzen,investieren,instanktieren,fitrotzen,投資する,融資,段貨みら,触貨,투자하다,재원,티니,도시하다,инвестировать,финансы,фипульсы,инвенчиродать,yatırım,finansman,figoldman,yatıimak,financeinvest,invest,financeinvestovat,investovat,融資投資する,投資する,재원투자하다,투자하다,finansmanyatırım,yatırım,финансыинвестировать,инвестировать
investigate,examine,examphib,investibling,prozkoumat,vyšetřovat,vyprázdřovat,prohlédmat,undersøge,udforske,udfrobudt,skræmdersøge,prüfen,untersuchen,untersutisch,untersutisch,取り調べる,吟味する,トー調るへ,訓東おへ,취조하다,조사하다,송단즘다,조사중입,изучать,осматривать,оджеривать,изучукинс,araştırmak,incelemek,inceleopold,unuttırmak,examineinvestigate,investigate,prozkoumatvyšetřovat,vyšetřovat,吟味する取り調べる,取り調べる,조사하다취조하다,취조하다,incelemekaraştırmak,araştırmak,осматриватьизучать,изучать
investigator,analyst,anasils,tetrodotoxinvestigator,analytik,vyšetřovatel,analytář,vybuchovatel,analytiker,efterforsker,førkomst,skræmlytiker,analytiker,ermittler,erlaubler,kleinlytiker,捜査官,分析者,神宜呂,盆折煮,조사자,분석자,아티자,씨자,исследователь,аналитик,вклюлитик,следоморитель,araştırmacı,analist,dünlist,elekttırmacı,analystinvestigator,investigator,analytikvyšetřovatel,vyšetřovatel,分析者捜査官,捜査官,분석자조사자,조사자,analistaraştırmacı,araştırmacı,аналитикисследователь,исследователь
investor,banker,baraer,inpactor,bankéř,investor,banřáb,inproktor,bankmand,investor,invelent,monumand,banker,investor,inproctor,derker,投資家,銀行員,段貨,娘桁貫,투자자,은행가,버가리,자차미,инвестор,банкир,банжой,инвеликс,yatırımcı,bankacı,unutkacı,yaborımcı,bankerinvestor,investor,bankéřinvestor,investor,銀行員投資家,投資家,은행가투자자,투자자,bankacıyatırımcı,yatırımcı,банкиринвестор,инвестор
ironic,irony,irrky,shanic,ironie,ironický,vstanický,stýnie,ironi,ironisk,elenisk,sikni,ironie,ironisch,vasnisch,etanie,皮肉な,皮肉,結紺ち,ぜ付,아이러니 한,반어,곳까,아러니선가,ироничный,ирония,пайния,подысничный,ironik,ironi,mıkni,şalnik,ironyironic,ironic,ironieironický,ironický,皮肉皮肉な,皮肉な,반어아이러니 한,아이러니 한,ironiironik,ironik,иронияироничный,ироничный
irresponsible,unreasonable,unreasonhurst,irrebravissible,nepřiměřený,nezodpovědný,nezodpotrestatný,pozdrapřiměřený,urimelig,uansvarlig,sjampaglig,olymmelig,unvernünftig,unverantwortlich,unverantmenschlich,unverniedlich,無責任な,不合理な,無隻腎防,杜か璃ち,책임지지 않는,무모한,왔습한,지건사사 않는,безответственный,необоснованный,встряснованный,безответнесносный,sorumsuz,mantıksız,makul olmventry,sorumland,unreasonableirresponsible,irresponsible,nepřiměřenýnezodpovědný,nezodpovědný,不合理な無責任な,無責任な,무모한책임지지 않는,책임지지 않는,mantıksızsorumsuz,sorumsuz,необоснованныйбезответственный,безответственный
jacket,shirt,shbot,chamet,košile,bunda,smida,zlepšile,skjorte,jakke,dråke,skilste,hemd,jacke,jamai,kiert,ジャケット,シャツ,ストケット,コンツ,재킷,셔츠,티와,리개,пиджак,рубашка,рубьемка,учрежак,ceket,gömlek,gömvin,cegiz,shirtjacket,jacket,košilebunda,bunda,シャツジャケット,ジャケット,셔츠재킷,재킷,gömlekceket,ceket,рубашкапиджак,пиджак
jewel,diamond,diarate,titel,diamant,šperk,mnerk,diastav,diamant,juvel,jular,diasisk,diamant,juwel,juschu,diasars,宝石,ダイヤモンド,宜占,ガノナヨルメ,보석,다이아몬드,대몽단아드,렸고,драгоценность,бриллиант,бриллиарк,драгоценство,mücevher,elmas,elçim,mücevland,diamondjewel,jewel,diamantšperk,šperk,ダイヤモンド宝石,宝石,다이아몬드보석,보석,elmasmücevher,mücevher,бриллиантдрагоценность,драгоценность
joke,trick,otick,ucke,trik,žert,žema,trno,trick,joke,akline,ængirk,trick,scherz,sperrzen,spick,冗談を言う,騙す,歩哨,恨川,농담,장난,시러,마의,шутить,обманывать,обманыствать,шуствить,şaka,hile,durle,şasem,trickjoke,joke,trikžert,žert,騙す冗談を言う,冗談を言う,장난농담,농담,hileşaka,şaka,обманыватьшутить,шутить
journalist,reporter,reproved,chinnalist,zpravodaj,novinář,novitost,dlouvodaj,reporter,journalist,håndnalist,ledsater,reporter,journalist,trinnalist,regelnter,ジャーナリスト,レポーター,プラーナリス朴,充中ーター,기자,보고자,이야자,생자,журналист,репортер,репорвитер,журнасверчка,gazeteci,muhabir,muhawell,gagangsteci,reporterjournalist,journalist,zpravodajnovinář,novinář,レポータージャーナリスト,ジャーナリスト,보고자기자,기자,muhabirgazeteci,gazeteci,репортержурналист,журналист
joy,pleasure,pleabers,niy,potěšení,radost,rabert,poneslyšení,fornøjelse,glæde,jedde,slægtnøjelse,vergnügen,freude,niede,vertuckern,歓喜,満足,欺嘉,溝疋,기쁨,즐거움,팅을,놀드,радость,удовольствие,удоследствие,раслать,neşe,zevk,zepü,nerır,pleasurejoy,joy,potěšeníradost,radost,満足歓喜,歓喜,즐거움기쁨,기쁨,zevkneşe,neşe,удовольствиерадость,радость
judge,court,comit,julee,soud,soudce,trukce,sopr,retssal,dommer,skumer,undssal,gericht,richter,zielter,geschla,審判,法廷,寮利,泳建,판사,법원,립트,템도,судить,суд,эфуд,сунешь,hakim,mahkeme,ateşkeme,hasın,courtjudge,judge,soudsoudce,soudce,法廷審判,審判,법원판사,판사,mahkemehakim,hakim,судсудить,судить
juice,milk,miog,juare,mléko,džus,níus,kalko,mælk,juice,juition,mævs,milch,saft,sazi,mihoh,ジュース,ミルク,計明ース,訪仰ク,주스,우유,패명,띁떠,сок,молоко,молодиль,вaк,meyve suyu,süt,irt,meyve sacock,milkjuice,juice,mlékodžus,džus,ミルクジュース,ジュース,우유주스,주스,sütmeyve suyu,meyve suyu,молокосок,сок
juliet,romeo,roizo,flucet,romeo,jůlie,jůven,ročas,romeo,julie,halie,rofar,romeo,julia,juträt,rolud,ジュリエット,ロミオ,サーリエット,諦判オ,줄리엣,로미오,일한혼,장소엣,джульетта,ромео,роуль,джуадапта,juliet,romeo,roçiş,julisans,romeojuliet,juliet,romeojůlie,jůlie,ロミオジュリエット,ジュリエット,로미오줄리엣,줄리엣,romeojuliet,juliet,ромеоджульетта,джульетта
