"fa_cue","fa_fake_cue","fa_target","fa_fake_target","en_cue","en_target"
"ناخن","نانیخ","دندان","مقدان","nail","tooth"
"ناراحت","نارانك","ناخوشایند","ناخوشاتود","uncomfortable","unpleasant"
"ناشناس","ناپااس","ناشناخته","نالداخته","anonymous","unknown"
"ناگهان","ناجران","بر خلاف انتظار","بر خلاسبانتظار","suddenly","unexpectedly"
"ضامن بمب","میگوار","تایمر","تابگر","detonator","timer"
"نام","ینم","عنوان","فقوان","name","title"
"برند","نانکتجاری","محصول","محغسل","brand","product"
"نام مستعار","نایپمستعار","نام خانوادگی","ناتسخانوادگی","nickname","surname"
"کاندید","ناكشد","رأی دهنده","رأمتدهنده","candidate","voter"
"نامزدی","نارودی","عروسی","فیوسی","engagement","wedding"
"نان","ونن","پنیر","پناب","bread","cheese"
"نبض","ویض","فشار","جکار","pulse","pressure"
"نتیجه","نتچله","پیامد","نتکسه","result","outcome"
"نتیجه‌گیری","نتچله","فرض","ويض","conclusion","assumption"
"نجات","گفات","رهایی","صرفهآتویی","rescue","save"
"نجیب","گفیب","صادق","صابنانه","decent","honest"
"نخاعی","نخکلی","شکمی","شکرآ","spinal","abdominal"
"نر","دخ","ماده","يز","male","female"
"نرم","حمم","ملایم","جهایم","soft","gentle"
"نرم افزار","نرلفافزار","کامپیوتر","کامپیوید","software","computer"
"نزدیک","رفدیک","دور","ذار","near","far"
"نژاد پرست","نژادديرست","کمونیست","کموننیت","racist","communist"
"فامیل","نسبتنرامیلی","عمو زاده","بچو زاده","relative","cousin"
"نشان","تمان","لباس فرم","لباستسرم","badge","uniform"
"نظارت","يگارت","ارزیابی","ارزیمشی","observation","evaluation"
"نظر","يدر","نگرش","نگيت","opinion","attitude"
"نفرت","مکرت","عشق","لیق","hate","love"
"نفوذ","نفخى","اثر","تزر","influence","effect"
"اشاره کردن","نقخش","نشان دادن","نشاندزادن","point","indicate"
"نگاه کردن","نگاهلـردن","تماشا کردن","تماشفوکردن","look","watch"
"نگران","نگراشدکننده","مضطرب","عصشت","worried","nervous"
"دغدغه","کشرانی","نگرانی","نگراکيبودن","concern","worry"
"گرفتن","نگه دامین","نگه داشتن","نگاهتقاشتن","hold","keep"
"نگهبانی","کشهبان","پاسداری","متت","guard","patrol"
"نمایش","نمشتش","اجرا","کارانت","show","performance"
"دراما","نمشتش","کمدی","مکدی","drama","comedy"
"نمایش سوارکاری","نمایبهسوارکاری","گاوچران","گاببران","rodeo","cowboy"
"عادلانه","نمایتشاه","معقول","معائل","fair","reasonable"
"دراماتیک","نمداشی","رومانتیک","روماشلیک","dramatic","romantic"
"نهایی","ازایی","پایانی","نپینی","final","ultimate"
"فروردین","کتامبر","اردیبهشت","دسامئي","november","december"
"نوبل","نوکي","جایزه","جانمه","nobel","prize"
"نوجوان","وجتان","جوان","نوراان","teenage","teenager"
"نوشیدنی","نوكردن","شربت","آبعی","drink","beer"
"نوه","نوداپسر","خواهرزاده","رخزاوده","grandson","nephew"
"نویسنده","نوجونده","بازیگر","بازیوت","author","actor"
"مدرن","جلین","سنتی","ومتی","modern","traditional"
"نیم","تمم","ربع","بجع","half","quarter"
"نیمه شب","قلت شن","ظهر","دغرل","midnight","noon"
"نینجا","نیاما","سامورایی","سانیرایی","ninja","samurai"
"هتل","یپل","مسافرخانه","لکل","hotel","motel"
"هدر دادن","بتر","خرج کردن","ووری کردن","waste","spend"
"هدف","ایف","نیت","دصق","purpose","intention"
"مفعول","علفور","فاعل","موربع","object","subject"
"هرج و مرج","هرج كامرج","نظام سرمایه داری","نظامیبرمایه داری","anarchy","capitalism"
"هرگز","زرهر","همیشه","هممکه","never","ever"
"هرم","یبم","ساخت","سالر","pyramid","structure"
"هزار","شخار","صد","غلرت","thousand","hundred"
"هشدار","اجدار","زنگ خطر","خطشر","alert","alarm"
"اخطار","طرخ","پیغام","پیسلم","warning","message"
"همکار","کوکار","دوست","انست","colleague","friend"
"همیشه","همنده","دائماً","داهبی","always","constantly"
"هنر","تلر","ادبیات","ادونات","art","literature"
"هنرمند","لبرمند","نقاش","گذاش","artist","painter"
"سواره نظام","هناتمه","گردان","گرندن","regiment","battalion"
"هوا","لگا","اکسیژن","اکسیاء","air","oxygen"
"هورمون","اهرمون","آدرنالین","جورنالین","hormone","adrenaline"
"زرنگ","هوخاندانه","باهوش","باکلش","smart","intelligent"
"هوشیار","ويشیار","مست","مسلس","sober","drunk"
"چندش آور","شندچ","زشت","طنت","disgusting","ugly"
"هیجان انگیز","انتیز","جالب","جالبشتست","exciting","interesting"
"هیچ چی","هیفنچی","چیزی","چیهش","nothing","something"
"هیولا","هیچیا","موجود","موآمد","monster","creature"
"واحد","واعو","بخش","يبش","unit","division"
"وارد شو","شرودا","برو","يکو","enter","go"
"واژن","ژنات","آلت تناسلی","سلتن","vagina","penis"
"اصفهان","والبگتن","شیراز","نبستون","washington","boston"
"واقعیت","واقعسه","تخیل","فانتبا","reality","fantasy"
"وحشتناک","كنشتناک","ناگوار","نانبار","terrible","horrible"
"وحشی","بقشی","ظالم","ظادخانه","brutal","cruel"
"ورود","سنود","خروج","آئروج","arrival","departure"
"وزن","يلن","ارتفاع","ارتفزر","weight","height"
"وسیله نقلیه","وسیله ورلیه","ماشین","مارسن","vehicle","car"
"وضع","ييع","موقعیت","مونهیت","status","position"
"وضعیت","خسعیت","بحران","عضتیع","situation","crisis"
"وظیفه","ربیفه","ماموریت","مامونمت","task","mission"
"وفادار","دبادار","با ایمان","بايزیمان","loyal","faithful"
"وفاداری","دباداری","صداقت","صدیست","loyalty","honesty"
"سرسپردگی","پرسخگدی","تعلق خاطر","لقل طرخ","fidelity","devotion"
"قطع کردن","وقيز","مختل کردن","مزسفم","interrupt","disturb"
"وکیل","بذیل","دادستان","دازدتان","lawyer","prosecutor"
"ویروس","فوروس","عفونت","واونت","virus","infection"
"دارایی","ویوفی","مالک","مارل","property","owner"
"ویژه","ویضت","منحصر بفرد","حصرجارد","special","unique"
"ویسکی","ویجای","ودکا","ششکا","whiskey","vodka"
"رگ","مقن","شریان","شروون","vein","artery"
"یتیم خانه","یتیمهگانه","بهزیستی","کنای","orphanage","convent"
"یک","وح","سه","یت","one","three"
"یک دنده","یکزمنده","خود خواه","خوکسخواه","stubborn","selfish"
"یوگا","جهگا","ماساژ","ماساچپدادن","yoga","massage"
