"ar_cue","ar_fake_cue","ar_target","ar_fake_target","en_cue","en_target"
"أهلا","بحلاث","وداعا","بضواعا","hello","bye"
"مؤدب","مؤمج","ودود","ننود","polite","friendly"
"سفير","مذاير","وزيرة","فكيرة","ambassador","minister"
"الملف الشخصي","الأهصي","وصف","لكف","profile","description"
"إدراج","صوراج","وضع","نرع","insert","put"
"الحالة","السولة","وضع","نرع","status","position"
"التشغيل","التشمبل","وظيفي","وظزي","operational","functional"
"منتصف الليل","منتليل","وقت الظهيرة","وقظيرة","midnight","noon"
"مؤسسة","مؤامغة","وكالة","تلالة","firm","agency"
"نسبيا","نسأيل","ولد عم","ولآنعم","relative","cousin"
"إنترنت","إنلمنت","ويب","طحب","internet","web"
"آمن","شبناة","مأمون","خصمن","safe","secure"
"الضوضاء","الكشضاء","صوت","يبنغ","noise","sound"
"اعمال بناء","اعماقناء","يبني","سيني","construction","build"
"سماح","اللساح","يترك","خبرك","allow","let"
"يجمع","يججة","يجتمع","يجورع","collect","gather"
"يرى","بتى","يجتمع","يجورع","see","meet"
"ضروري","ضتذري","حاجة","فاتاج","necessary","need"
"يقع","يحبق","يحدث","يحباق","occur","happen"
"يدفع","إخفع","يجذب","يحكك","push","pull"
"محرم","محكت","يحظر","يحباب","forbidden","prohibit"
"رعب","نأب","خوف","تداف","horror","fear"
"قل","ئك","يخبار","إمبار","say","tell"
"يبلغ","صال","يخبر","يخاة","report","inform"
"التغطية","البحطية","يخفي","لسفي","cover","hide"
"كوكب","كوخل","يدور في مدار","يدوربعي مدار","planet","orbit"
"إرث","شبث","يرث","حـث","heritage","inherit"
"استمع","اسلاع","يسمع","يسجة","listen","hear"
"حسن الضيافة","حيافة","شكر","وتكر","hospitality","gratitude"
"نقطة","نقتر","يشير","يشان","point","indicate"
"يثق","طيق","يصدق","يصلاع","trust","believe"
"حل","يصىء","يصلح","يصبن","fix","repair"
"ابتسامة","مجتسامة","يضحك","يضكه","smile","laugh"
"سؤال","ظرال","يسأل","رفلب","question","ask"
"يهبط","الهاض","يطير","نزير","land","fly"
"يصف","قحف","يعبر","كابر","describe","express"
"ضمان","آخان","يعِد","آبد","guarantee","promise"
"يعرض","يصض","يعطى","يعاش","offer","give"
"يتعلم","يتزوم","يعلّم","يعاعه","learn","teach"
"مكسب","مكوث","يفوز","يفند","gain","win"
"قتال","إشال","يقاتل","يقرحل","combat","fight"
"مقاومة","مقاوله","يقاوم","يقتقم","resistance","resist"
"يعاقب","يعبوب","يقبض على","يقضالى","punish","arrest"
"اقترح","اقصلح","يقترح","مخترح","propose","suggest"
"يعجب بـ","معمد","يقدر","يقوت","admire","appreciate"
"الائتمان","التاتمان","قرض","يقيـ","credit","loan"
"يمزق","تفعة","يقطع","يقلح","tear","cut"
"يمص","وئج","يلعق","يلغم","suck","lick"
"راحة","راوس","نوم","قعوام","rest","sleep"
"يزيد","رشريد","ينتج","ينحث","create","produce"
"تدبير","كأبير","ينجح","ينضول","manage","succeed"
"يعيش","يعذه","ينجو","يندأ","live","survive"
"أصلي","شالي","نسخة","طنغل","original","copy"
"النصيحة","اللحيحة","ينصح","ينطو","advice","advise"
"انفجار","تعفجار","ينفجر","ينوير","burst","explode"
"نهاية","طواية","ينهي","ينرع","end","finish"
"فوز","سرز","هزيمة","طرزم","victory","defeat"
"يونيه","وننيه","يوليو","يوترو","june","july"
"كريسماس","عيلاد","إجازة","يوفازة","christmas","holiday"
"الاثنين","الفونين","يوم الثلاثاء","يولاثاء","monday","tuesday"
