"fa_target","fa_cue","type","target_type","cue_type","fa_cosine"
"صفرث","کسب کردن","nonword","nonword","word",NA
"خوتیار","به سادگی","nonword","nonword","word",NA
"کارس","انگیزه","nonword","nonword","word",NA
"تحلیزهو بررسی","راهب","nonword","nonword","word",NA
"گلرـه","نهایی","nonword","nonword","word",NA
"بهباور کامل","سپتامبر","nonword","nonword","word",NA
"چکتر","دایره","nonword","nonword","word",NA
"پلبار","کارشناس","nonword","nonword","word",NA
"پوپاگر","سوپرمن","nonword","nonword","word",NA
"کتیر","فقط","nonword","nonword","word",NA
"گيزه","بالغ","nonword","nonword","word",NA
"نيدش آور","طرح","nonword","nonword","word",NA
"شمدروژن","خال کوبی","nonword","nonword","word",NA
"رتر","ایستادن","nonword","nonword","word",NA
"gr","هنر","nonword","nonword","word",NA
"تعفول","جاسوسی","nonword","nonword","word",NA
"پیروحي","بالا","nonword","nonword","word",NA
"زررت","پایین","nonword","nonword","word",NA
"ضات","حسادت","nonword","nonword","word",NA
"وجش","ربات","nonword","nonword","word",NA
"مدیمه","شواهد و مدارک","nonword","nonword","word",NA
"شهباار","نامزدی","nonword","nonword","word",NA
"هااه","تقاضا","nonword","nonword","word",NA
"زیله","قورباغه","nonword","nonword","word",NA
"نذل کردن","ماه","nonword","nonword","word",NA
"چالر","اردوگاه","nonword","nonword","word",NA
"تعد","فنجان","nonword","nonword","word",NA
"اراد","فرود آمدن","nonword","nonword","word",NA
"بینمرین","بانکداری","nonword","nonword","word",NA
"کمریکردن","کم","nonword","nonword","word",NA
"کمعیه","پروتئین","nonword","nonword","word",NA
"دستکارفـکردن","تاست","nonword","nonword","word",NA
"ملدهات","نوامبر","nonword","nonword","word",NA
"طورکنی","فرماندار","nonword","nonword","word",NA
"يز","ماوس","nonword","nonword","word",NA
"ندهی","مادر","nonword","nonword","word",NA
"هرهنین","تبلت","nonword","nonword","word",NA
"يته","خداوند","nonword","nonword","word",NA
"تادان","سلامتی","nonword","nonword","word",NA
"علام","جنوب","nonword","nonword","word",NA
"نار","طلایی","nonword","nonword","word",NA
"پیشخنست","کابل","nonword","nonword","word",NA
"سولن","طلاق","nonword","nonword","word",NA
"نمایتشاه","شیپور","nonword","nonword","word",NA
"به نومت","جمعیت","nonword","nonword","word",NA
"کيلبا","سالگرد","nonword","nonword","word",NA
"غلک","جبهه","nonword","nonword","word",NA
"اراين","فرا گرفتن","nonword","nonword","word",NA
"تشيهی","صبر","nonword","nonword","word",NA
"ارچيل","لنگر","nonword","nonword","word",NA
"گريين","روش","nonword","nonword","word",NA
"لبد","ناشناس","nonword","nonword","word",NA
"تعدانی","افریقا","nonword","nonword","word",NA
"زهوان","عصب","nonword","nonword","word",NA
"به اطلاعیاساندن","افتتاح","nonword","nonword","word",NA
"کهث","مدیریت","nonword","nonword","word",NA
"قهتن","فاصله","nonword","nonword","word",NA
"تع","بسیار","nonword","nonword","word",NA
"تنکت","بانکدار","nonword","nonword","word",NA
"گرشه","قبر","nonword","nonword","word",NA
"نسم","کرم رنگ","nonword","nonword","word",NA
"ضدوت","شانه","nonword","nonword","word",NA
"تحتوران","رومی","nonword","nonword","word",NA
"شنمین","غیر معمول","nonword","nonword","word",NA
"گوبی","جانور","nonword","nonword","word",NA
"کوکت","تلاش كردن","nonword","nonword","word",NA
"عي","رنگ کردن","nonword","nonword","word",NA
"شيکارونی","سقوط","nonword","nonword","word",NA
"نیازاحاشتن","ابریشم","nonword","nonword","word",NA
"puیم","آزادانه","nonword","nonword","word",NA
"شمتمشمع","ufo","nonword","nonword","word",NA
"تخايمرغ","پناهنده","nonword","nonword","word",NA
"وتح","شجاعت","nonword","nonword","word",NA
"گوار","جنگی","nonword","nonword","word",NA
"هسده","شیر فلکه","nonword","nonword","word",NA
"شارد","دور زدن","nonword","nonword","word",NA
"غرج کردن","شیمیایی","nonword","nonword","word",NA
"ارید","هوشیار","nonword","nonword","word",NA
"جادوسم","رودخانه","nonword","nonword","word",NA
"سفسطدریایی","راز","nonword","nonword","word",NA
"چنم","راهب","nonword","nonword","word",NA
"جوکنشیرین","سیب زمینی","nonword","nonword","word",NA
"فتر","میلیونر","nonword","nonword","word",NA
"مسابجا","کلیسا","nonword","nonword","word",NA
"حکال کردن","زنگ زده","nonword","nonword","word",NA
"کائيل","ماشه","nonword","nonword","word",NA
"مادان","پوند","nonword","nonword","word",NA
"گته","جاز","nonword","nonword","word",NA
"زبتاب","سزاوار","nonword","nonword","word",NA
"يسته","هيژن","nonword","nonword","word",NA
"خربزگ","تجربه","nonword","nonword","word",NA
"موش ژنرایی","لانه","nonword","nonword","word",NA
"مااك","علم شیمی","nonword","nonword","word",NA
"سانتششمتر","وارد","nonword","nonword","word",NA
"بدزهانسی","تمرکز","nonword","nonword","word",NA
"مبارزهبيردن","بد","nonword","nonword","word",NA
"يبر","الهام بخشیدن","nonword","nonword","word",NA
"مناي","کمک","nonword","nonword","word",NA
"تعدان","ماندن","nonword","nonword","word",NA
"مجلسدننا","نیمه شب","nonword","nonword","word",NA
"میونن","عضو","nonword","nonword","word",NA
"كراع","خیال پردازی","nonword","nonword","word",NA
"لیبرهن","مدنی","nonword","nonword","word",NA
"توروف","تبلیغات","nonword","nonword","word",NA
"وسچت","مخاطب","nonword","nonword","word",NA
"بهطردت","کف","nonword","nonword","word",NA
"یکل","نوین","nonword","nonword","word",NA
"اتمسمد","حراج","nonword","nonword","word",NA
"ارتبمز","محافظه کار","nonword","nonword","word",NA
"مخحرف","عالی","nonword","nonword","word",NA
"انتور","مافیا","nonword","nonword","word",NA
"ظرty","ایجاد","nonword","nonword","word",NA
"نمونگراولیه","شایعات","nonword","nonword","word",NA
"نظرهی","خیریه","nonword","nonword","word",NA
"چسيس","فرشته","nonword","nonword","word",NA
"دودا","فردا","nonword","nonword","word",NA
"حراری","دارایی، مالیه، سرمایه گذاری","nonword","nonword","word",NA
"اساسم","پناه","nonword","nonword","word",NA
"باارکن","ترک","nonword","nonword","word",NA
"انشين","کاناپه","nonword","nonword","word",NA
"ناپدیدفادن","جذاب","nonword","nonword","word",NA
"نگنده","سمینار","nonword","nonword","word",NA
"نكاره زهره","شنبه","nonword","nonword","word",NA
"قااط","شاهد","nonword","nonword","word",NA
"کاشار","آدم ساده","nonword","nonword","word",NA
"وظشمه","دنبال کردن","nonword","nonword","word",NA
"همخوانوهداشتن","ورود","nonword","nonword","word",NA
"راننست","تیرانداز","nonword","nonword","word",NA
"صاحبقتانه","هرگز","nonword","nonword","word",NA
"فدراجعون","استثنایی","nonword","nonword","word",NA
"بههوور مستقیم","اژدها","nonword","nonword","word",NA
"آبند","محل","nonword","nonword","word",NA
"مسبی","الماس","nonword","nonword","word",NA
"متهمسان","عادی","nonword","nonword","word",NA
"توسده","در نظر گرفتن","nonword","nonword","word",NA
"بیح","پتانسیل","nonword","nonword","word",NA
"مسگـه","سواره نظام","nonword","nonword","word",NA
"باردسی","پیک نیک","nonword","nonword","word",NA
"فلقیق کردن","سلسله","nonword","nonword","word",NA
"صويخه","ناخن - میخ","nonword","nonword","word",NA
"بطسه سینه","دیپلم","nonword","nonword","word",NA
"عاشقآگدن","بسکتبال","nonword","nonword","word",NA
"هااسیک","گاه و بیگاه","nonword","nonword","word",NA
"اهیست","شب","nonword","nonword","word",NA
"فرهنگاه","مشکل","nonword","nonword","word",NA
"براننپخته","دادگاه","nonword","nonword","word",NA
"حمزی","عامل","nonword","nonword","word",NA
"فيق","سرویس","nonword","nonword","word",NA
"شوریف","کارگاه آموزشی","nonword","nonword","word",NA
"تادمر گذار","کانال","nonword","nonword","word",NA
"روکرامه","فرکانس","nonword","nonword","word",NA
"مقاومتلهردن","سیاره","nonword","nonword","word",NA
"لرمت","دی وی دی","nonword","nonword","word",NA
"کمنوهمیت","غاز","nonword","nonword","word",NA
"ماسیدن","سنجاب","nonword","nonword","word",NA
"پارااه","شخص","nonword","nonword","word",NA
"یوانی","حقوق بازنشستگی","nonword","nonword","word",NA
"ممنوع کردههزست","کوتاه","nonword","nonword","word",NA
"مشجمع","کاغذ","nonword","nonword","word",NA
"تکلی","شاهزاده","nonword","nonword","word",NA
"امروء","مغرور","nonword","nonword","word",NA
"حقالناسی","بودجه","nonword","nonword","word",NA
"معاور","سلسله","nonword","nonword","word",NA
"ینش","پمپ","nonword","nonword","word",NA
"تووافرنگی","خون","nonword","nonword","word",NA
"موعم","درخواست دادن","nonword","nonword","word",NA
"مظه","یوگا","nonword","nonword","word",NA
"بشست","لژیون","nonword","nonword","word",NA
"به ارث مهصبرند","ملی","nonword","nonword","word",NA
"یوتر","مایه تاسف","nonword","nonword","word",NA
"آرزودپردن","تازه","nonword","nonword","word",NA
"بیلیست","به معنای واقعی کلمه","nonword","nonword","word",NA
"کارآفرعو","سؤال","nonword","nonword","word",NA
"گومول","هوشمندانه","nonword","nonword","word",NA
"شهنگ","رم","nonword","nonword","word",NA
"مقدان","خوب","nonword","nonword","word",NA
"ناخوشاتود","سیب","nonword","nonword","word",NA
"نالداخته","ساندویچ","nonword","nonword","word",NA
"بر خلاسبانتظار","رسما","nonword","nonword","word",NA
"تابگر","خسته","nonword","nonword","word",NA
"فقوان","شمشیر","nonword","nonword","word",NA
"تولید  محغسل","مانع","nonword","nonword","word",NA
"ناتسخانوادگی","نام","nonword","nonword","word",NA
"رأمتدهنده","همیشه","nonword","nonword","word",NA
"فیوسی","زمین لرزه","nonword","nonword","word",NA
"پناب","ثابت","nonword","nonword","word",NA
"جکار","واحد","nonword","nonword","word",NA
"نتکسه","صنعت","nonword","nonword","word",NA
"ويض","توطئه","nonword","nonword","word",NA
"صرفهآتویی","دریا","nonword","nonword","word",NA
"صابنانه","خواندن","nonword","nonword","word",NA
"شکرآ","دومین","nonword","nonword","word",NA
"يز","دخانیات","nonword","nonword","word",NA
"جهایم","دلیل","nonword","nonword","word",NA
"کامپیوید","تابوت","nonword","nonword","word",NA
"ذار","بلا استفاده","nonword","nonword","word",NA
"کموننیت","کار","nonword","nonword","word",NA
"بچو زاده","لیگ","nonword","nonword","word",NA
"لباستسرم","اندازه","nonword","nonword","word",NA
"ارزیمشی","وحشتناک","nonword","nonword","word",NA
"نگيت","گفتن","nonword","nonword","word",NA
"لیق","گاهی","nonword","nonword","word",NA
"تزر","دوز","nonword","nonword","word",NA
"نشاندزادن","کلمه","nonword","nonword","word",NA
"تماشفوکردن","مسخره - مضحک","nonword","nonword","word",NA
"عصشت","محبوب","nonword","nonword","word",NA
"نگراکيبودن","ظریف","nonword","nonword","word",NA
"نگاهتقاشتن","قهرمان","nonword","nonword","word",NA
"متت","حلزون","nonword","nonword","word",NA
"کارانت","شهرستان","nonword","nonword","word",NA
"کمکـ","ژست","nonword","nonword","word",NA
"گاببران","مخالف","nonword","nonword","word",NA
"معائل","مدیریت","nonword","nonword","word",NA
"روماشلیک","صفحه نمایش","nonword","nonword","word",NA
"ازایی","مزرعه دار","nonword","nonword","word",NA
"دسامئي","فشار دادن","nonword","nonword","word",NA
"جانمه","پذیرش","nonword","nonword","word",NA
"نوراان","تائیدیه","nonword","nonword","word",NA
"آبعی","رادیو","nonword","nonword","word",NA
"پساگخواهر یا برادر","اینترنت","nonword","nonword","word",NA
"بازیوت","عینک","nonword","nonword","word",NA
"ومتی","تهاجم","nonword","nonword","word",NA
"بجع","تلگراف","nonword","nonword","word",NA
"دلر","حادثه","nonword","nonword","word",NA
"سانیرایی","سپر","nonword","nonword","word",NA
"لکل","فدرال","nonword","nonword","word",NA
"ووری کردن","داماد","nonword","nonword","word",NA
"یـد","آناتومی","nonword","nonword","word",NA
"موربع","صدا","nonword","nonword","word",NA
"نظامیبرمایه داری","معاینه کردن","nonword","nonword","word",NA
"هممکه","نگرانی","nonword","nonword","word",NA
"سالر","در جای دیگر","nonword","nonword","word",NA
"ty","ساخت و ساز","nonword","nonword","word",NA
"زنگ خطشو هشدار","شام","nonword","nonword","word",NA
"پیسلم","در حقیقت","nonword","nonword","word",NA
"انست","موضوع","nonword","nonword","word",NA
"داهبی","پایانه","nonword","nonword","word",NA
"ادونات","ناگوار","nonword","nonword","word",NA
"گذاش","عامل","nonword","nonword","word",NA
"گرندن","مبارزه کن","nonword","nonword","word",NA
"اکسیاء","طوفان","nonword","nonword","word",NA
"جورنالین","بارون","nonword","nonword","word",NA
"باکلش","کیف","nonword","nonword","word",NA
"مسلس","سیر","nonword","nonword","word",NA
"طنت","مدیر","nonword","nonword","word",NA
"جالبشتست","کرم","nonword","nonword","word",NA
"چیهش","جاده","nonword","nonword","word",NA
"موآمد","قاتل","nonword","nonword","word",NA
"يبش","لیموناد","nonword","nonword","word",NA
"يکو","بی گناه","nonword","nonword","word",NA
"آلت تناسيه","پتو","nonword","nonword","word",NA
"نبستون","خوش بینانه","nonword","nonword","word",NA
"فانتبا","رسیدن","nonword","nonword","word",NA
"نانبار","جنون","nonword","nonword","word",NA
"ظادخانه","قمار","nonword","nonword","word",NA
"عزیمت،آئروج","گوشت خوک","nonword","nonword","word",NA
"ارتفزر","زغال سنگ","nonword","nonword","word",NA
"مارسن","هشدار","nonword","nonword","word",NA
"مونهیت","اینجا","nonword","nonword","word",NA
"نظران","اسطوره","nonword","nonword","word",NA
"مامونمت","بازنده","nonword","nonword","word",NA
"بايزیمان","تاکسی","nonword","nonword","word",NA
"صدیست","طرح","nonword","nonword","word",NA
"تعقب خاطر","دود","nonword","nonword","word",NA
"مزسفم","میز مطالعه","nonword","nonword","word",NA
"دازدتان","اهن","nonword","nonword","word",NA
"واونت","شیشه","nonword","nonword","word",NA
"مارل","فقیر","nonword","nonword","word",NA
"منحصر جارد","دو","nonword","nonword","word",NA
"ششکا","دوشنبه","nonword","nonword","word",NA
"شروون","سکو","nonword","nonword","word",NA
"کنای","کمترین","nonword","nonword","word",NA
"یت","عمل کردن","nonword","nonword","word",NA
"خوکسخواه","استادیوم","nonword","nonword","word",NA
"ماساچپدادن","گوشه","nonword","nonword","word",NA
"نوازنده","كچa","nonword","word","nonword",NA
"تئوری","هعo","nonword","word","nonword",NA
"زندانی","اوش","nonword","word","nonword",NA
"در باره","آدم فیا","nonword","word","nonword",NA
"پرواز","آدم ربيکی","nonword","word","nonword",NA
"چرخاندن","آدهحساده","nonword","word","nonword",NA
"روش","آدهحساده","nonword","word","nonword",NA
"تعقیب","آززیانه","nonword","word","nonword",NA
"سس","زاادی","nonword","word","nonword",NA
"حشره","آسنبین","nonword","word","nonword",NA
"دروازه","آسلين","nonword","word","nonword",NA
"زانو","تلوب","nonword","word","nonword",NA
"ملاقات","خربوم","nonword","word","nonword",NA
"دستیار","آلودیت","nonword","word","nonword",NA
"کامل","دیاده","nonword","word","nonword",NA
"گردنبند","آمادکيسازی","nonword","word","nonword",NA
"تمدن","آنفلومی","nonword","word","nonword",NA
"تک تیرانداز","آنژيلانزا","nonword","word","nonword",NA
"حفظ","آهسته. تدرتری","nonword","word","nonword",NA
"ادبیات","دکنده","nonword","word","nonword",NA
"جولای","ابیت","nonword","word","nonword",NA
"حالت تهوع","مجر","nonword","word","nonword",NA
"رحم و شفقت - دلسوزی","ابتهشم","nonword","word","nonword",NA
"فولاد","مجزار","nonword","word","nonword",NA
"شکارچی","اتزت","nonword","word","nonword",NA
"پاسخ","اتخا","nonword","word","nonword",NA
"مستی","تیازه","nonword","word","nonword",NA
"عکاس","تیازه","nonword","word","nonword",NA
"جرم","اجرامگن","nonword","word","nonword",NA
"سند","احفعال","nonword","word","nonword",NA
"ریش","احساپا عقیده؛ گمان","nonword","word","nonword",NA
"غیبت","احفف","nonword","word","nonword",NA
"شنا کردن","ادارىىکردن","nonword","word","nonword",NA
"تست","اداميپدادن","nonword","word","nonword",NA
"فراری","ارتبمز","nonword","word","nonword",NA
"کوچه","اررنگاه","nonword","word","nonword",NA
"تونل","ارزشتاد","nonword","word","nonword",NA
"کامپیوتر","ارve","nonword","word","nonword",NA
"اصلی","ارکسید","nonword","word","nonword",NA
"شخصیت","ارنيسم","nonword","word","nonword",NA
"تعلق خاطر","از بینآلردن","nonword","word","nonword",NA
"فوتبال","ازگدحاظ مالی","nonword","word","nonword",NA
"مشتری","ازمالی","nonword","word","nonword",NA
"چرند","سادها","nonword","word","nonword",NA
"بازرگان","استاودوم","nonword","word","nonword",NA
"اضطراری","استثنامر","nonword","word","nonword",NA
"تعمیر","استحکاتز قدرت","nonword","word","nonword",NA
"مغزی","استخاسم","nonword","word","nonword",NA
"سفر دریایی","استخدین","nonword","word","nonword",NA
"قدرت","استعكه","nonword","word","nonword",NA
"دختران","اساهره","nonword","word","nonword",NA
"به طور کامل","اسکوتا","nonword","word","nonword",NA
"بسته بندی","اسسيل","nonword","word","nonword",NA
"گفتن","هرتباه","nonword","word","nonword",NA
"نتیجه","اشتیقش","nonword","word","nonword",NA
"خطرناک","لرک","nonword","word","nonword",NA
"دینامیت","حوابت","nonword","word","nonword",NA
"به طور مستقیم","حولی","nonword","word","nonword",NA
"احتمال دارد","گسافی","nonword","word","nonword",NA
"تماشا کردن","ژيهار نظر","nonword","word","nonword",NA
"ارزان","اعخوار","nonword","word","nonword",NA
"تازه کردن","اعترil","nonword","word","nonword",NA
"کلاه لبه دار","اعرزاد","nonword","word","nonword",NA
"در نهایت","افبياح","nonword","word","nonword",NA
"بیان","افترقا","nonword","word","nonword",NA
"قلعه","افودیش دادن","nonword","word","nonword",NA
"شن","آمسون","nonword","word","nonword",NA
"چکش","افاف","nonword","word","nonword",NA
"ارتباط","كيرار کردن","nonword","word","nonword",NA
"گیجی","اکپنیت","nonword","word","nonword",NA
"پادشاهی","لینون","nonword","word","nonword",NA
"موجود","التى","nonword","word","nonword",NA
"مارمولک","الگن","nonword","word","nonword",NA
"پول","الترس","nonword","word","nonword",NA
"دارو","الهاایبخشیدن","nonword","word","nonword",NA
"مسیحی","اموشور","nonword","word","nonword",NA
"یکشنبه","امــلانس","nonword","word","nonword",NA
"یونانی","امپريشوری","nonword","word","nonword",NA
"بازار یابی","امرياز","nonword","word","nonword",NA
"هنوز","امينز","nonword","word","nonword",NA
"الهام","رونیت","nonword","word","nonword",NA
"صبحانه","امتر","nonword","word","nonword",NA
"ژاکت","انبااخمهمات","nonword","word","nonword",NA
"دفن کردن","انتخشت","nonword","word","nonword",NA
"برنامه ریزی","انتخابوتنید","nonword","word","nonword",NA
"جایگزین","انگلام","nonword","word","nonword",NA
"مشکوک شدن","انداگي","nonword","word","nonword",NA
"معقول","انانشه","nonword","word","nonword",NA
"قابل توجه","انمتت","nonword","word","nonword",NA
"ماهی","انگللای","nonword","word","nonword",NA
"سرد","انلرزه","nonword","word","nonword",NA
"ورود","رزن","nonword","word","nonword",NA
"عالی","اويون","nonword","word","nonword",NA
"خواب","اینبد","nonword","word","nonword",NA
"بطری","ایجایهکردن","nonword","word","nonword",NA
"پایین","گندز","nonword","word","nonword",NA
"مراسم خاکسپاری","ایدهغسل","nonword","word","nonword",NA
"تقلب","ایستلون","nonword","word","nonword",NA
"مدیر","کونترنت","nonword","word","nonword",NA
"کامل","ایترا","nonword","word","nonword",NA
"با ایمان","بالقدب","nonword","word","nonword",NA
"میوه","با شژيه","nonword","word","nonword",NA
"نقره اي","باگه","nonword","word","nonword",NA
"خانواده","یید","nonword","word","nonword",NA
"ظهر","ندر","nonword","word","nonword",NA
"برهنه","بايين","nonword","word","nonword",NA
"امپراتوری","بادات","nonword","word","nonword",NA
"رسمی","بانکن","nonword","word","nonword",NA
"دانش","باتقکن","nonword","word","nonword",NA
"آدرنالین","بازتبی","nonword","word","nonword",NA
"به اطلاع رساندن","بالنس","nonword","word","nonword",NA
"میدان جنگ","بازگاب","nonword","word","nonword",NA
"سیگار","باروده","nonword","word","nonword",NA
"عدالت","باود","nonword","word","nonword",NA
"موتور","بازیابرآکردن","nonword","word","nonword",NA
"روز تولد","بامباه","nonword","word","nonword",NA
"ناهمسان","بادن","nonword","word","nonword",NA
"سانتی متر","باحيوحش","nonword","word","nonword",NA
"کلمه عبور","باقیفهانده","nonword","word","nonword",NA
"تعطیل","بایش","nonword","word","nonword",NA
"منهای","بالاقافتن","nonword","word","nonword",NA
"دولت","باhe","nonword","word","nonword",NA
"سیاستمدار","بابادار","nonword","word","nonword",NA
"ساده","باباداری","nonword","word","nonword",NA
"تعریف","ببخشکش","nonword","word","nonword",NA
"قایق","زبن","nonword","word","nonword",NA
"نگهداری","بچچادار","nonword","word","nonword",NA
"کمیسیونر، رئیس پلیس","نظرانی","nonword","word","nonword",NA
"شهرت، آبرو","یزش","nonword","word","nonword",NA
"موش صحرایی","بخبا","nonword","word","nonword",NA
"ستاره","يق","nonword","word","nonword",NA
"ترساندن","يق","nonword","word","nonword",NA
"عشق","بدپاتی","nonword","word","nonword",NA
"دیوانه","اچن","nonword","word","nonword",NA
"موضوع","برشمو","nonword","word","nonword",NA
"ملایم","ايج","nonword","word","nonword",NA
"ستوان","عاده","nonword","word","nonword",NA
"جمله","براتی","nonword","word","nonword",NA
"مایع","بروگه","nonword","word","nonword",NA
"تلویزیون","بزعه","nonword","word","nonword",NA
"کپلر","كاتن","nonword","word","nonword",NA
"گرسنه","داکتبال","nonword","word","nonword",NA
"بینی","مایار","nonword","word","nonword",NA
"گربه","مایار","nonword","word","nonword",NA
"اقیانوس اطلس","beور آهسته","nonword","word","nonword",NA
"دره","بلکباستفاده","nonword","word","nonword",NA
"مالی","ميع","nonword","word","nonword",NA
"میکروسکوپ","بلطس","nonword","word","nonword",NA
"بارداری","نشب","nonword","word","nonword",NA
"در رفتن","بنای تارکلی","nonword","word","nonword",NA
"جنگل","بهقرادگی","nonword","word","nonword",NA
"معمار","به طور تصافشی","nonword","word","nonword",NA
"نویسنده","بهچحور طبیعی","nonword","word","nonword",NA
"ضعیف","به طوركهعمول","nonword","word","nonword",NA
"نظام سرمایه داری","بهقدلاوه","nonword","word","nonword",NA
"برانگیخته","به معنای واقعیکيلمه","nonword","word","nonword",NA
"زمستان","به وقيح","nonword","word","nonword",NA
"دانستن","بهمـقوع پیوستن","nonword","word","nonword",NA
"کثیف","نظار","nonword","word","nonword",NA
"انسان","بهاب","nonword","word","nonword",NA
"وعده","بوبنکردن","nonword","word","nonword",NA
"اهمیت","ديته","nonword","word","nonword",NA
"مکانیکی","بوگشه","nonword","word","nonword",NA
"بالا","بولي","nonword","word","nonword",NA
"سناتور","بیزنطر","nonword","word","nonword",NA
"قضاوت کردن","بیوودا","nonword","word","nonword",NA
"معمولی","بیپبدالتی","nonword","word","nonword",NA
"نگاه داشتن","بیجیناه","nonword","word","nonword",NA
"فدراسیون","هامارستان","nonword","word","nonword",NA
"درمانگاه","بیجوالمللی","nonword","word","nonword",NA
"ملت","بیثا","nonword","word","nonword",NA
"گوش","پانسهر","nonword","word","nonword",NA
"قبرستان","پارایائید","nonword","word","nonword",NA
"رویداد","پاجره","nonword","word","nonword",NA
"گشت","پاur","nonword","word","nonword",NA
"دستگاه","پاكتيكامه","nonword","word","nonword",NA
"خرچنگ","اقیان","nonword","word","nonword",NA
"کهکشان","پاپونه","nonword","word","nonword",NA
"زنده ماندن","پاسپ","nonword","word","nonword",NA
"اولیه","پافين","nonword","word","nonword",NA
"هفته","پاییرنتر","nonword","word","nonword",NA
"شریان","صفانسیل","nonword","word","nonword",NA
"طناب","غذو","nonword","word","nonword",NA
"نشانی","فتتن","nonword","word","nonword",NA
"دموکراسی","پدفيبزرگ","nonword","word","nonword",NA
"مسابقه","ولیده","nonword","word","nonword",NA
"جمجمه","پذنهش","nonword","word","nonword",NA
"محاسبه","پركش","nonword","word","nonword",NA
"دکتر","پروارد","nonword","word","nonword",NA
"حصار","پروتالن","nonword","word","nonword",NA
"ناگوار","ذهشکی","nonword","word","nonword",NA
"گرام","جگوهش","nonword","word","nonword",NA
"گونه","نـت","nonword","word","nonword",NA
"ارزشمند","عاران","nonword","word","nonword",NA
"سامورایی","پشت سروذم","nonword","word","nonword",NA
"شهر","dy","nonword","word","nonword",NA
"روزنامه نگار","وخپ","nonword","word","nonword",NA
"ابزار","اخاه","nonword","word","nonword",NA
"بازو","سیاهنده","nonword","word","nonword",NA
"دور","اخجره","nonword","word","nonword",NA
"تولید کردن","پورتمه","nonword","word","nonword",NA
"بوستون","پواوو","nonword","word","nonword",NA
"کره","پوده","nonword","word","nonword",NA
"منحصر بفرد","پوششمجادن","nonword","word","nonword",NA
"ارتفاع","پول خشد","nonword","word","nonword",NA
"دفاع","ابند","nonword","word","nonword",NA
"بازیکن","پوشب","nonword","word","nonword",NA
"زرادخانه","پیلخردن","nonword","word","nonword",NA
"فکس","مجانو","nonword","word","nonword",NA
"نبرد","فتر","nonword","word","nonword",NA
"عطر","پیرالب","nonword","word","nonword",NA
"بیانیه","پیروهش","nonword","word","nonword",NA
"کنسرت","پیغمرفتن","nonword","word","nonword",NA
"خطر","پیشنئيد","nonword","word","nonword",NA
"پیاز","پیشنهایاکردن","nonword","word","nonword",NA
"کوه","پیفتنیک","nonword","word","nonword",NA
"بی ارزش","پیتس","nonword","word","nonword",NA
"سرعت","تاجلدیه","nonword","word","nonword",NA
"غربی","تاایتان","nonword","word","nonword",NA
"فیلم سینما","تاودت","nonword","word","nonword",NA
"خلاقیت","تاساپادشاهی","nonword","word","nonword",NA
"خارق العاده","تاارکی","nonword","word","nonword",NA
"کاپیتان","تادن","nonword","word","nonword",NA
"ضربه","تاخي","nonword","word","nonword",NA
"تزریق","تالبی","nonword","word","nonword",NA
"گناهکار","تبلتک گفتن","nonword","word","nonword",NA
"کفش","تباس","nonword","word","nonword",NA
"حمام","تبلیتوت","nonword","word","nonword",NA
"انرژی","پسانچه","nonword","word","nonword",NA
"دادستان","فنه","nonword","word","nonword",NA
"ماهواره","جلاری","nonword","word","nonword",NA
"دلپذیر","تجاجه","nonword","word","nonword",NA
"بزرگ","جلهیزات","nonword","word","nonword",NA
"دفتر","راسین","nonword","word","nonword",NA
"بیکن","لیلیلگر","nonword","word","nonword",NA
"موفق شدن","تريره","nonword","word","nonword",NA
"جهنم","ترتیلندادن","nonword","word","nonword",NA
"صد","تركيندن","nonword","word","nonword",NA
"تجهیز کردن","ترکواک","nonword","word","nonword",NA
"انتظار","ترکواک","nonword","word","nonword",NA
"عمل جراحي","انک","nonword","word","nonword",NA
"واقع بین","تربنکردن","nonword","word","nonword",NA
"کپی 🀄","ترحزبی","nonword","word","nonword",NA
"پر شده","ترذیر","nonword","word","nonword",NA
"اعتماد به نفس","چهخیص","nonword","word","nonword",NA
"فدیه","تصیلر","nonword","word","nonword",NA
"رایگان","تعئول","nonword","word","nonword",NA
"فیزیکی","بکارض","nonword","word","nonword",NA
"خرگوش","تعوك","nonword","word","nonword",NA
"سوگند - دشنام","تعييد","nonword","word","nonword",NA
"چنگال","تعریامو تمجید","nonword","word","nonword",NA
"شلیک","تغییتندادن","nonword","word","nonword",NA
"قدم زدن","کسنگ","nonword","word","nonword",NA
"پنهان شدن","تقوغا","nonword","word","nonword",NA
"تنیس","تقيکم","nonword","word","nonword",NA
"بندرگاه","تلاشخکردن","nonword","word","nonword",NA
"هدیه","تلسکحي","nonword","word","nonword",NA
"عرشه","بنگراف","nonword","word","nonword",NA
"شمع شمع","طیه","nonword","word","nonword",NA
"پوکر","تمارز","nonword","word","nonword",NA
"ورزش","زارین","nonword","word","nonword",NA
"فرض","تمفش","nonword","word","nonword",NA
"بسته","تنبیگزکردن","nonword","word","nonword",NA
"زن","ندد","nonword","word","nonword",NA
"alibi","ستها","nonword","word","nonword",NA
"طول","ستها","nonword","word","nonword",NA
"بازیگر","تهرزم","nonword","word","nonword",NA
"سفارش","پریه کننده","nonword","word","nonword",NA
"پادشاه","تورنت","nonword","word","nonword",NA
"به شدت","تووب","nonword","word","nonword",NA
"تحقیق کردن","تووب","nonword","word","nonword",NA
