"fa_cue","fa_target","fa_fake_target","fa_fake_cue","en_cue","en_target"
"مقدار کمی","کم اهمیت","کمنوهمیت","مقدار گای","little","small"
"مکیدن","لیسیدن","ماسیدن","شایدن","suck","lick"
"ملکه","پادشاه","پارااه","پسکه","queen","king"
"ملی","جهانی","یوانی","ومی","national","global"
"ممنوع","ممنوع کرده است","ممنوع کردههزست","اقنوع","forbidden","prohibit"
"منبع","مشروع","مشجمع","منشق","source","informant"
"منطقه ای","محلی","تکلی","منطقیکای","regional","local"
"مهر","امضاء","امروء","ییر","stamp","signature"
"مهمان نوازی","حق شناسی","حقالناسی","مهمان نوردی","hospitality","gratitude"
"مهندس","معمار","معاور","مهسیس","engineer","architect"
"مو","ریش","ینش","یت","hair","beard"
"موز","توت فرنگی","تووافرنگی","يتز","banana","strawberry"
"موشک","موشک","موعم","موat","rocket","missile"
"موضوع","ذره","مظه","موربع","matter","particle"
"موفقیت","شکست","بشست","مواریت","success","failure"
"میراث","به ارث می برند","به ارث مهصبرند","ستراث","heritage","inherit"
"میز مطالعه","دفتر","یوتر","میکلمطالعه","desk","office"
"میل","آرزو کردن","آرزودپردن","يکل","desire","wish"
"میلیون","بیلیون","بیلیست","مییسون","million","billion"
"میلیونر","کارآفرین","کارآفرعو","میلییدر","millionaire","entrepreneur"
"میمون","گوریل","گومول","نامون","monkey","gorilla"
"مینگ","لینگ","شهنگ","میفت","ming","ling"
"ناخن - میخ","دندان","مقدان","ناني  میخ","nail","tooth"
"ناراحت","ناخوشایند","ناخوشاتود","نارانك","uncomfortable","unpleasant"
"ناشناس","ناشناخته","نالداخته","ناپااس","anonymous","unknown"
"ناگهان","بر خلاف انتظار","بر خلاسبانتظار","ناجران","suddenly","unexpectedly"
"ناگوار","تایمر","تابگر","میگوار","detonator","timer"
"نام","عنوان","فقوان","ینم","name","title"
"نام تجاری","تولید - محصول","تولید  محغسل","نانکتجاری","brand","product"
"نام مستعار","نام خانوادگی","ناتسخانوادگی","نایپمستعار","nickname","surname"
"نامزد","رأی دهنده","رأمتدهنده","ناكشد","candidate","voter"
"نامزدی","عروسی","فیوسی","نارودی","engagement","wedding"
"نان","پنیر","پناب","ونن","bread","cheese"
"نبض","فشار","جکار","ویض","pulse","pressure"
"نتیجه","نتیجه","نتکسه","نتچله","result","outcome"
"نتیجه","فرض","ويض","نتچله","conclusion","assumption"
"نجات","صرفه جویی","صرفهآتویی","گفات","rescue","save"
"نجیب","صادقانه","صابنانه","گفیب","decent","honest"
"نخاعی","شکمی","شکرآ","نخکلی","spinal","abdominal"
"نر","زن","يز","دخ","male","female"
"نرم","ملایم","جهایم","حمم","soft","gentle"
"نرم افزار","کامپیوتر","کامپیوید","نرلفافزار","software","computer"
"نزدیک","دور","ذار","رفدیک","near","far"
"نژاد پرست","کمونیست","کموننیت","نژادديرست","racist","communist"
"نسبت فامیلی","عمو زاده","بچو زاده","نسبتنرامیلی","relative","cousin"
"نشان","لباس فرم","لباستسرم","تمان","badge","uniform"
"نظارت","ارزیابی","ارزیمشی","يگارت","observation","evaluation"
"نظر","نگرش","نگيت","يدر","opinion","attitude"
"نفرت","عشق","لیق","مکرت","hate","love"
"نفوذ","اثر","تزر","نفخى","influence","effect"
"نقطه","نشان دادن","نشاندزادن","نقخش","point","indicate"
"نگاه کردن","تماشا کردن","تماشفوکردن","نگاهلـردن","look","watch"
"نگران کننده","عصبی","عصشت","نگراشدکننده","worried","nervous"
"نگرانی","نگران بودن","نگراکيبودن","کشرانی","concern","worry"
"نگه داشتن","نگاه داشتن","نگاهتقاشتن","نگه دامین","hold","keep"
"نگهبان","گشت","متت","کشهبان","guard","patrol"
"نمایش","کارایی","کارانت","نمشتش","show","performance"
"نمایش","کمدی","کمکـ","نمشتش","drama","comedy"
"نمایش سوارکاری","گاوچران","گاببران","نمایبهسوارکاری","rodeo","cowboy"
"نمایشگاه","معقول","معائل","نمایتشاه","fair","reasonable"
"نمایشی","رومانتیک","روماشلیک","نمداشی","dramatic","romantic"
"نهایی","نهایی","ازایی","ازایی","final","ultimate"
"نوامبر","دسامبر","دسامئي","کتامبر","november","december"
"نوبل","جایزه","جانمه","نوکي","nobel","prize"
"نوجوان","نوجوان","نوراان","نواران","teenage","teenager"
"نوشیدن","آبجو","آبعی","نوكردن","drink","beer"
"نوه پسر","پسر خواهر یا برادر","پساگخواهر یا برادر","نوداپسر","grandson","nephew"
"نویسنده","بازیگر","بازیوت","نوجونده","author","actor"
"نوین","سنتی","ومتی","جلین","modern","traditional"
"نیم","ربع","بجع","تمم","half","quarter"
"نیمه شب","ظهر","دلر","رحمه شب","midnight","noon"
"نینجا","سامورایی","سانیرایی","نیاما","ninja","samurai"
"هتل","متل","لکل","یپل","hotel","motel"
"هدر","سپری کردن","ووری کردن","بتر","waste","spend"
"هدف","قصد","یـد","ایف","purpose","intention"
"هدف - شی","موضوع","موربع","طلف  شی","object","subject"
"هرج و مرج","نظام سرمایه داری","نظامیبرمایه داری","هرج كامرج","anarchy","capitalism"
"هرگز","همیشه","هممکه","هروه","never","ever"
"هرم","ساخت","سالر","یبم","pyramid","structure"
"هزار","صد","ty","شخار","thousand","hundred"
"هشدار","زنگ خطر. هشدار","زنگ خطشو هشدار","اجدار","alert","alarm"
"هشدار","پیغام","پیسلم","اجدار","warning","message"
"همکار","دوست","انست","کوکار","colleague","friend"
"همیشه","دائمی","داهبی","همنده","always","constantly"
"هنر","ادبیات","ادونات","تـر","art","literature"
"هنرمند","نقاش","گذاش","لبرمند","artist","painter"
"هنگامه","گردان","گرندن","هناتمه","regiment","battalion"
"هوا","اکسیژن","اکسیاء","لگا","air","oxygen"
"هورمون","آدرنالین","جورنالین","اهرمون","hormone","adrenaline"
"هوشمندانه","باهوش","باکلش","هوخاندانه","smart","intelligent"
"هوشیار","مستی","مسلس","ويشیار","sober","drunk"
"هيژن","زشت","طنت","هيمه","digusting","ugly"
"هیجان انگیز","جالب هست","جالبشتست","هیجان انيتز","exciting","interesting"
"هیچ چی","چیزی","چیهش","هیفنچی","nothing","something"
"هیولا","موجود","موآمد","هیچیا","monster","creature"
"واحد","بخش","يبش","واعو","unit","division"
"وارد","برو","يکو","وادی","enter","go"
"واژن","آلت تناسلی","آلت تناسيه","وااى","vagina","penis"
"واشنگتن","بوستون","نبستون","والبگتن","washington","boston"
"واقعیت","فانتزی","فانتبا","واقعسه","reality","fantasy"
"وحشتناک","ناگوار","نانبار","كنشتناک","terrible","horrible"
"وحشی","ظالمانه","ظادخانه","بقشی","brutal","cruel"
"ورود","عزیمت، خروج","عزیمت،آئروج","سنود","arrival","departure"
"وزن","ارتفاع","ارتفزر","يلن","weight","height"
"وسیله نقلیه","ماشین","مارسن","وسیله ورلیه","vehicle","car"
"وضع","موقعیت","مونهیت","ييع","status","position"
"وضعیت","بحران","نظران","خسعیت","situation","crisis"
"وظیفه","ماموریت","مامونمت","ربیفه","task","mission"
"وفادار","با ایمان","بايزیمان","دبادار","loyal","faithful"
"وفاداری","صداقت","صدیست","دباداری","loyalty","honesty"
"وفاداری","تعلق خاطر","تعقب خاطر","دباداری","fidelity","devotion"
"وقفه","مزاحم","مزسفم","وقيز","interrupt","disturb"
"وکیل","دادستان","دازدتان","بذیل","lawyer","prosecutor"
"ویروس","عفونت","واونت","فوروس","virus","infection"
"ویژگی","مالک","مارل","ویوفی","property","owner"
"ویژه","منحصر بفرد","منحصر جارد","ویضت","special","unique"
"ویسکی","ودکا","ششکا","ویجای","whiskey","vodka"
"وین","شریان","شروون","مقن","vein","artery"
"یتیم خانه","کندن","کنای","یتیمهگانه","orphanage","convent"
"یک","سه","یت","وح","one","three"
"یک دنده","خود خواه","خوکسخواه","یکزمنده","stubborn","selfish"
"یوگا","ماساژ دادن","ماساچپدادن","جهگا","yoga","massage"
