"hi_cue","hi_target","hi_fake_target","hi_fake_cue","en_cue","en_target"
"वास्तव में","सचमुच","सचरगत","वासधpardhi","actually","really"
"वाहन","गाड़ी","znड़ी","ହରहन","vehicle","car"
"वाहवाही","अल्फा","sa्फा","वाआर०ए०","bravo","alpha"
"विक्रेता","क्रेता","ऱफरेता","वियmayur","seller","buyer"
"विचार","सिद्धांत","सियmayur","ozचार","idea","theory"
"विचार करना","सोच","cxच","विचायmayur","consider","think"
"विजय","परास्त करना","परास्ज०म०म०","übजय","victory","defeat"
"विज्ञापन","विपणन","विवईय","विजएन०ए०","advertising","marketing"
"विडंबना","लोहे का","ढ२हे का","वितpppp","irony","ironic"
"वित्त","निवेश","ehवेश","लऎत्त","finance","invest"
"विधवा","महिला","महगवा","थणधवा","widow","woman"
"विनीत","मामूली","मामूणब","درनीत","humble","modest"
"विनोदपूर्ण","मजेदार","मजअलइन","विनोतsunil","witty","funny"
"विरासत","इनहेरिट","इनहगढ०२","विएसस०","heritage","inherit"
"विरूपण साक्ष्य","प्राचीन पदक","प्राचज०म०म०","विरूपणधpardhi","artifact","medallion"
"विरोध","प्रदर्शन","प्रदआई०ड०","કબरोध","protest","demonstration"
"विलोम","विरोध","ढठरोध","ओठलोम","opposite","contrary"
"विशेष","अनोखा","अनवरा","कऔशेष","special","unique"
"विशेषज्ञ","specialist","specialira","विशतpppp","expert","specialist"
"विशेषाधिकार","सम्मान","समअलइन","विशेधpardhi","privilege","honor"
"विश्राम","नींद","नीkb","वितajay","rest","sleep"
"विश्लेषक","अन्वेषक","अन्मन०i","विशष०पर०","analyst","investigator"
"विश्वास","मानना","منनना","विएन०ए०","trust","believe"
"विषहर औषध","टीका","टीવમ","विषहरष०पर०","antidote","vaccine"
"वृत्त","त्रिकोण","त्एन०ए०","वृझडत","circle","triangle"
"वेटर","वेट्रेस","वेतajay","کچटर","waiter","waitress"
"व्यक्ति","व्यक्ति","व्यbill","व्यbill","person","individual"
"व्यक्तिगत","सूचित करना","सूचितsunil","व्यकष०पर०","personal","intimate"
"व्यवस्था","व्यवस्थित","व्यव०ग०स०","व्यए०एस०","arrange","organize"
"व्याख्या","प्रशंसनीय","प्रशष०पर०","व्यmayur","explanation","plausible"
"व्यावसायिक","सोदागर","सोय		क","व्यातsunil","commercial","merchant"
"व्हिस्की","वोडका","ढशडका","व्तsunil","whiskey","vodka"
"शक","संदिग्ध व्यक्ति","संदिग्शaddition","षत","doubt","suspect"
"शक्ति","ऊर्जा","नड्जा","शककरि","power","energy"
"शनिवार","रविवार","रवमन०i","शन	गलम","Saturday","Sunday"
"शब्द","वाक्य","म२क्य","शबडइ","word","sentence"
"शब्दकोश","मुहावरा","मुष०पर०","शब्एसस०","dictionary","phrase"
"शरण","आश्रय","आशरओप","अखण","refuge","shelter"
"शरणार्थी","भगोड़ा","भगोडନମ","शरणआर०ए०","refugee","fugitive"
"शराब","दवाई","दवsq","शरओई","alcohol","drug"
"शरीर रचना","मनोविज्ञान","मनोवयmayur","शरीरतpppp","anatomy","psychology"
"शर्लक","वाटसन","वानएक","शरतईस","sherlock","watson"
"शल्य चिकित्सक","चिकित्सक","चिकए०एस०","शल्य चधpardhi","surgeon","doctor"
"शव परीक्षण","विश्लेषण","विशतpppp","शव परज०म०म०","autopsy","analysis"
"शस्त्रागार","शस्रशाला","शस्आई०ड०","शस्तयmayur","arsenal","armory"
"शहद","मक्खन","मकडआस","नईद","honey","butter"
"शांत","अटलांटिक","अटलए०एस०","शाउब","pacific","atlantic"
"शामिल होना","विषय","اﷲषय","शामधpardhi","contain","content"
"शायद","संभवत","संलआम","xhयद","maybe","probably"
"शार्क","मछली","मछभठ","शाऔतक","shark","fish"
"शास्वत","हमेशा के लिए","हमेशधpardhi","शासस क","eternal","forever"
"शाही","साम्राज्य","सामयmayur","टतही","royal","kingdom"
"शाही","सम्राट","समणड०४","टतही","imperial","emperor"
"शिकायत","आरोप","आरखझ","शि	गलम","complaint","accusation"
"शिकार","दरिंदा","दरदसदा"," यकार","prey","predator"
"शिकार","हमलावर","हमलभ दख"," यकार","victim","attacker"
"शिकार करना","मछली पकड़ने","मछली तsunil","शिकायmayur","hunting","fishing"
"शिविर","गाँव","गाoz","बqविर","camp","village"
"शिशु","बच्चा","बचपना","तङशु","baby","child"
"शील्ड","कवच","सहच","शीशमड","shield","armor"
"शूटर","निशानची","निए०एस०","ewटर","shooter","sniper"
"शेरिफ","महापौर","महसibs","lfरिफ","sheriff","mayor"
"शॉट","गोली मारना","गोलधpardhi","ୟଶट","shot","shoot"
"शोर","ध्वनि","ମତवनि","অনर","noise","sound"
"शौक","खेल","ईठल","थऐक","hobby","sport"
"शौक़ीन व्यक्ति","पेशेवर","पेवupp","शौक़ीशaddition","amateur","professional"
"शौचालय","हौज","ऑजज","शौच०ड०","toilet","sink"
"श्रृंखला","प्रकरण","प्रअलइन","श्तsunil","series","episode"
"श्रेय","ऋण","رت","श्छवय","credit","loan"
"षड़यंत्र","धोखा","धोआख","षड़यbill","conspiracy","fraud"
"संकल्पना","परिभाषा","परए०एस०","संकष०पर०","concept","definition"
"सकारात्मक","नकारात्मक","नकारयbill","सकारआई०ड०","positive","negative"
"संकीर्ण","चौड़ा","ठफड़ा","संतajay","narrow","wide"
"सक्रिय","गतिविधि","गतआई०ड०","सकमन०i","active","activity"
"सक्षम","प्रदान करना","प्रदायmayur","सकखअग","enable","provide"
"संख्या","पता","बदा","vjख्या","number","address"
"सगाई","शादी","હતदी","सगନମ","engagement","wedding"
"संघ","टीम","ओऍम","	पघ","league","team"
"संघीय","राज्य","ॵरज्य","رجघीय","federal","state"
"सच","असली","असञश","षए","TRUE","real"
"संचालित","शल्य चिकित्सा","शल्य धpardhi","संष०पर०","operate","surgery"
"सचिव","सहायक","सहटइस","सचउब","secretary","assistant"
"सज़ा देना","गिरफ़्तार करना","गिरफ़्धpardhi","सजधpardhi","punish","arrest"
"सड़क","हाइवे","क२इवे","सडटऊ","road","highway"
"संतुलन","सद्भाव","सदसibs","संत एक","balance","harmony"
"संतुष्ट","प्रसन्न","प्रहममद","संतajay","satisfied","happy"
"सत्कार","कृतज्ञता","कृततajay","सतभ दख","hospitality","gratitude"
"सत्य के प्रति निष्ठा","भक्ति","पष्ति","सत्य के यsiddhartha","fidelity","devotion"
"सदस्य","नेता","ने२व","सदरओस","member","leader"
"सदी","दशक","भआक","अमी","century","decade"
"संपत्ति","मालिक","मायडक","संए०एस०","property","owner"
"संपर्क","संबंध","संसभध","संय		क","contact","connection"
"संपूर्ण","पूर्ण","दळर्ण","संतajay","total","complete"
"सफलता","असफलता","असफच०ड०","सफटइव","success","failure"
"सफेद","काला","काएध","सफfm","white","black"
"संबंध","मित्रता","मितpppp","hnबंध","relationship","friendship"
"सबसे पहले","अंतिम","हiतिम","सबसेतajay","first","last"
"सबूत","प्रमाण","प्हममद","सबjn","evidence","proof"
"संभावना","उपयुक्त","उपयय		क","संए०एस०","probability","likely"
"सभ्य","अनुकूल","अनसस क","सभऋभ","polite","friendly"
"सभ्य","ईमानदार","ईमामन०i","सभऋभ","decent","honest"
"समलैंगिक","समलैंगिक","समलष०पर०","समलआई०ड०","lesbian","gay"
"समाज","समुदाय","समस हग","समhb","society","community"
"समान","विभिन्न","वियbill","समअठ","similar","different"
"समाप्त","समाप्त","समवupp","समसस क","end","finish"
"समुद्र","सागर","تمगर","समहममद","sea","ocean"
"समुद्री","नौसेना","ऋदसेना","समष०पर०","marine","navy"
"समुद्री डाकू","नाविक","नाडगक","समुदधpardhi","pirate","sailor"
"सम्मेलन","बैठक","सऽठक","सम्हममद","conference","meeting"
"सलाह","सलाह देना","सलातsunil","सलmx","advice","advise"
"संवेदनात्मक","दर्शनीय","दर्स हग","संवेदतsunil","sensational","spectacular"
"संसद","प्रबंधकारिणी समिति","प्रबंधकाशaddition","پرसद","parliament","senate"
"संस्कृति","सभ्यता","सभत एक","संज०म०म०","culture","civilization"
"सहज रूप में","आम तौर पर","आम ततajay","सहज धpardhi","naturally","generally"
"सहयोग","सहायता","सहमन०i","सहकइट","support","assistance"
"सही","बाएं","ठईएं","वली","right","left"
"साक्षी","गवाही","सधाही","साक्સધ","witness","testimony"
"सागरतट","कोस्ट","hxस्ट","सागणड०४","beach","coast"
"साथ काम करने वाला","दोस्त","टङस्त","साथ कामशaddition","colleague","friend"
"साधन","यंत्र","ନରत्र","न२धन","tool","instrument"
"साधारण","सामान्य","साआर०ए०","साअलइन","ordinary","usual"
"साधु","पुजारी","中文जारी","यऽधु","monk","priest"
"साफ","धुलाई","धुचतई","vjफ","clean","wash"
"सामने","पिछला","بیछला","जऑमने","front","rear"
"सामान्य रूप से","आमतौर पर","आमतौआई०ड०","सामानशaddition","normally","usually"
"साया","अंधेरा","ഒരधेरा","साuv","shadow","dark"
"सालगिरह","जन्मदिन","जन्वupp","साल	जमम","anniversary","birthday"
"साहस","दृढ़ निश्चय","दृढ़धpardhi","zcहस","courage","determination"
"सितंबर","अक्टूबर","अक्स हग","सित एक","september","october"
"सिनेमा","थिएटर","थितऋष","ଭତनेमा","cinema","theater"
"सीखना","सिखाना","सिखाଶର","احखना","learn","teach"
"सींग","सीटी","सीअट","zpंग","horn","whistle"
"सीज़र","रोम","जऑम","وآज़र","caesar","rome"
"सीधे","सीधे","सीह६","सीसळ","direct","directly"
"सीमेंट","प्लास्टिक","प्लतsunil","सीमेনধ","cement","plastic"
"सुअर का मांस","मांस","ढयंस","सुअरधpardhi","pork","meat"
"सुई","सिरिंज","वऔरिंज","कऽई","needle","syringe"
"सुंदर हे","सुंदर","ऱखंदर","सुज०म०म०","pretty","beautiful"
"सुनना","सुनो","सुفي","भङनना","listen","hear"
"सुनवाई","परीक्षण","परीणड०४","सुसibs","hearing","trial"
"सुरक्षा","सुरक्षा","सुतpppp","सुआई०ड०","security","safety"
"सुरक्षित","सुरक्षित","सुरतajay","सुरतajay","safe","secure"
"सूखा","गीला","दlला","१सखा","dry","wet"
"सूप","सलाद","सलथभ","ॵरप","soup","salad"
"सूर्य का अस्त होना","भोर","ओऱर","सूर्य कयsiddhartha","sunset","dawn"
"सृजन करना","उत्पाद","उतहममद","सृजनतpppp","create","produce"
"सेब","फल","षठ","मऴब","apple","fruit"
"सेमिनार","भाषण","hxषण","सेएन०ए०","seminar","lecture"
"सेलिब्रिटी","तारा","ताऋक","सेलधpardhi","celebrity","star"
"सेवा","रखरखाव","रखर	गलम","सेषऐ","service","maintenance"
"सेंसर","ट्रांसमीटर","ट्राज०म०म०","सेभईर","sensor","transmitter"
"सैंडविच","हैमबर्गर","हैमबएन०ए०","सैए०एस०","sandwich","hamburger"
"सैन्य टुकड़ी","सेना","सेखछ","सैन्धpardhi","legion","army"
"सॉफ्टवेयर","संगणक","संपएड","सॉफ्तpppp","software","computer"
"सोफ़ा","बिस्तर","बिस हग","६ठफ़ा","sofa","bed"
"सोमवार","मंगलवार","मंगणड०४","सोमन०i","monday","tuesday"
"स्कर्ट","पोशाक","पोआमक","स्अलइन","skirt","dress"
"स्क्रीन","मॉनिटर","मॉणड०४","स्ष०पर०","screen","monitor"
"स्टेडियम","बेसबॉल","बेसस क","स्टए०एस०","stadium","baseball"
"स्थान","स्थान","स्जझन","स्चवन","place","location"
"स्थिति","स्थान","स्जझन","uzथिति","status","position"
"स्पष्ट रूप से","स्पष्टतः","स्पष०पर०","स्पष्धpardhi","clearly","obviously"
"स्मारक","प्रतिमा","प्यbill","स्मन०i","monument","statue"
"स्रोत","सूचना देनेवाला","सूचनाशaddition","બતरोत","source","informant"
"स्वयंसेवक","स्वेच्छा से","स्वधpardhi","स्वयआई०ड०","volunteer","voluntarily"
"स्वर्ग","नरक","उपक","स्स हग","paradise","hell"
"स्वर्ण","चांदी","न१ंदी","स्वupp","golden","silver"
"स्वस्थ","साधारण","साएसस०","स्वupp","healthy","normal"
"स्वागत","दल","णक","स्वupp","reception","party"
"स्वाद","गंध","ଜପध","झषवाद","taste","smell"
"स्वादिष्ट","स्वादिष्ट","स्वज०म०म०","स्वयmayur","tasty","delicious"
"स्वाभाविक प्रवृत्ति","सहज बोध","सहजमन०i","स्वाभावियsiddhartha","instinct","intuition"
"स्वामिनी","प्रेम करनेवाला","प्रेम धpardhi","स्ज०म०म०","mistress","lover"
"स्वास्थ्य","शिक्षा","शिक्ऐन","स्वज०म०म०","health","education"
"स्वीकार करना","स्वीकार करना","स्वीकधpardhi","स्वीकधpardhi","admit","confess"
"हज़ार","सौ","नङ","हजतयर","thousand","hundred"
"हटाना","निकालना","नियbill","डवाना","eliminate","remove"
"हड्डी","खोपड़ी","कlपड़ी","हडगली","bone","skull"
"हत्यारा","मार डालनेवाला","मार डधpardhi","हतष०पर०","killer","murderer"
"हमेशा","निरंतर","निहममद","कसेशा","always","constantly"
"हरा","संतरा","lmतरा","कमा","green","orange"
"हवा","आंधी","आंऊण","यरा","wind","storm"
"हस्ताक्षर","फोटोग्राफर","फोटोतsunil","हस्तए०एस०","autograph","photographer"
"हाथ","हाथ","fhथ","शठथ","hand","arm"
"हार्मोन","एड्रेनालाईन","एड्रधpardhi","हातajay","hormone","adrenaline"
"हाव - भाव","कार्य","یاर्य","हातsunil","gesture","act"
"हास्यास्पद","निरर्थक","निरहममद","हास्यmayur","ridiculous","absurd"
"हीरा","गहना","गहअछ","हीअझ","diamond","jewel"
"हेलमेट","टोपी","टोजठ","हेहममद","helmet","hat"
"होटल","मोटेल","७वटेल","vwटल","hotel","motel"
