"pt_cue","pt_target","type","cue_type","target_type","pt_cosine"
"atratira","casamento","nonword","nonword","word",NA
"susro","atividade","nonword","nonword","word",NA
"krishmetro","alfa","nonword","nonword","word",NA
"fenômera","vênus","nonword","nonword","word",NA
"tetravôcópio","ereção","nonword","nonword","word",NA
"ciços","crise","nonword","nonword","word",NA
"empressxada","ausência","nonword","nonword","word",NA
"empressxador","reparar","nonword","nonword","word",NA
"seoverdo","superior","nonword","nonword","word",NA
"poajuiza","engraçado","nonword","nonword","word",NA
"perpen","galáxia","nonword","nonword","word",NA
"tarelhos","restaurante","nonword","nonword","word",NA
"foamorte","aniversário","nonword","nonword","word",NA
"secaindo","usar","nonword","nonword","word",NA
"combinaforth","escapar","nonword","nonword","word",NA
"huguarde","verificar","nonword","nonword","word",NA
"blico","miséria","nonword","nonword","word",NA
"sarme","negativo","nonword","nonword","word",NA
"quila","atirar","nonword","nonword","word",NA
"equilina","rei","nonword","nonword","word",NA
"crema","abandono","nonword","nonword","word",NA
"playmero","intenção","nonword","nonword","word",NA
"baadorna","doente","nonword","nonword","word",NA
"astronôrina","ministro","nonword","nonword","word",NA
"sovon","doutor","nonword","nonword","word",NA
"videi","radiação","nonword","nonword","word",NA
"chera","delicioso","nonword","nonword","word",NA
"cleppora","governo","nonword","nonword","word",NA
"hoxas","partida","nonword","nonword","word",NA
"plique","sobreviver","nonword","nonword","word",NA
"às vleil","café","nonword","nonword","word",NA
"exshawarmamente","cópia de","nonword","nonword","word",NA
"sépva","imperador","nonword","nonword","word",NA
"inshoshannacional","arquiteto","nonword","nonword","word",NA
"saívo","sinal","nonword","nonword","word",NA
"bibliodlandsca","egoísta","nonword","nonword","word",NA
"jaro","fortemente","nonword","nonword","word",NA
"álvak","distrito","nonword","nonword","word",NA
"candei","comprador","nonword","nonword","word",NA
"granlução","talento","nonword","nonword","word",NA
"papu","sim","nonword","nonword","word",NA
"oligar","entrada","nonword","nonword","word",NA
"ranca","manter","nonword","nonword","word",NA
"diarzers","passeio","nonword","nonword","word",NA
"poexaustivo","estátua","nonword","nonword","word",NA
"com cialya","túnel","nonword","nonword","word",NA
"sandwiocupado","semana","nonword","nonword","word",NA
"funva","champanhe","nonword","nonword","word",NA
"nukin","almoço","nonword","nonword","word",NA
"talvo","intuição","nonword","nonword","word",NA
"crisdável","dólar","nonword","nonword","word",NA
"byl","marinha","nonword","nonword","word",NA
"excepciodleigh","passaporte","nonword","nonword","word",NA
"carás","arma","nonword","nonword","word",NA
"vería","congelar","nonword","nonword","word",NA
"sk","culpado","nonword","nonword","word",NA
"chicmico","capitão","nonword","nonword","word",NA
"indúschar","pedra","nonword","nonword","word",NA
"saphiramente","injeção","nonword","nonword","word",NA
"eyr","intencionalmente","nonword","nonword","word",NA
"supõemta","missão","nonword","nonword","word",NA
"stopa","areia","nonword","nonword","word",NA
"inkrypto","morada","nonword","nonword","word",NA
"leiman","epidemia","nonword","nonword","word",NA
"seqüescialmente","□ gentil","nonword","nonword","word",NA
"cartes","comer","nonword","nonword","word",NA
"comqueo","juiz","nonword","nonword","word",NA
"hocão","farinha de trigo","nonword","nonword","word",NA
"escobrir","limusine","nonword","nonword","word",NA
"apermigo","real","nonword","nonword","word",NA
"queineta","reduzir","nonword","nonword","word",NA
"olpy","obviamente","nonword","nonword","word",NA
"arameijo","honestidade","nonword","nonword","word",NA
"ravenwodura","patrulha","nonword","nonword","word",NA
"unila","juliet.","nonword","nonword","word",NA
"setemlham","centímetro","nonword","nonword","word",NA
"ourun","cerebral","nonword","nonword","word",NA
"nicia","análise","nonword","nonword","word",NA
"ço","morango","nonword","nonword","word",NA
"enveécharpe","grandes","nonword","nonword","word",NA
"trage","doação","nonword","nonword","word",NA
"causto","altura","nonword","nonword","word",NA
"oie","adrenalina","nonword","nonword","word",NA
"entutankhaasmo","outubro","nonword","nonword","word",NA
"seminálhões","explosivo","nonword","nonword","word",NA
"puo","lavagem","nonword","nonword","word",NA
"tresno","máximo","nonword","nonword","word",NA
"seten","vila","nonword","nonword","word",NA
"somangwanatural","ir","nonword","nonword","word",NA
"ceptar","confiança","nonword","nonword","word",NA
"imporveis","elétrico","nonword","nonword","word",NA
"aprogada","pessoas","nonword","nonword","word",NA
"tordent","mala de viagem","nonword","nonword","word",NA
"oporturo","geralmente","nonword","nonword","word",NA
"biinalte","tenente","nonword","nonword","word",NA
"hillsboleta","criatividade","nonword","nonword","word",NA
"diritown","gato","nonword","nonword","word",NA
"thota","efeito","nonword","nonword","word",NA
"miserátrais","ensinar","nonword","nonword","word",NA
"busso","dor","nonword","nonword","word",NA
"equida","comissário","nonword","nonword","word",NA
"quegio","beleza","nonword","nonword","word",NA
"aquimento","rua","nonword","nonword","word",NA
"colhesdo","eficaz","nonword","nonword","word",NA
"rosel","som","nonword","nonword","word",NA
"tremmago","fechar","nonword","nonword","word",NA
"tubalhas","contente","nonword","nonword","word",NA
"fringina","sapato","nonword","nonword","word",NA
"considevíeis","carro","nonword","nonword","word",NA
"pejohnno","grego","nonword","nonword","word",NA
"kraal","prender prisão","nonword","nonword","word",NA
"bavet","honesto","nonword","nonword","word",NA
"perafasta","piada","nonword","nonword","word",NA
"acico","sonda","nonword","nonword","word",NA
"artlandcado","assistente","nonword","nonword","word",NA
"raga","tomate","nonword","nonword","word",NA
"estánhar","samurai","nonword","nonword","word",NA
"ficos","morrer","nonword","nonword","word",NA
"sebas","mentiroso","nonword","nonword","word",NA
"personatalya","presidente","nonword","nonword","word",NA
"visualikovsky","produção","nonword","nonword","word",NA
"intergeistper","rapidamente","nonword","nonword","word",NA
"inesgo","crueldade","nonword","nonword","word",NA
"careisdo","público","nonword","nonword","word",NA
"gararesta","acompanhar","nonword","nonword","word",NA
"populadrões","baunilha","nonword","nonword","word",NA
"digque","cemitério","nonword","nonword","word",NA
"astroafronta","estude","nonword","nonword","word",NA
"arplanta","centenas","nonword","nonword","word",NA
"changela","futebol","nonword","nonword","word",NA
"preparanhões","demissão","nonword","nonword","word",NA
"cinhosto","perseguir","nonword","nonword","word",NA
"exfishscação","voo","nonword","nonword","word",NA
"evizas","peça","nonword","nonword","word",NA
"cluídado","diretor","nonword","nonword","word",NA
"jumto","nervoso","nonword","nonword","word",NA
"transgatina","poema","nonword","nonword","word",NA
"aguennalismo","selecione.","nonword","nonword","word",NA
"poexaustica","computador","nonword","nonword","word",NA
"sheltico","guerreiro","nonword","nonword","word",NA
"insemann","indicar","nonword","nonword","word",NA
"burta","fiel","nonword","nonword","word",NA
"roica","medicamento","nonword","nonword","word",NA
"bournela","luz","nonword","nonword","word",NA
"restal","conhecimento","nonword","nonword","word",NA
"baxá","localização","nonword","nonword","word",NA
"starin","mecânico","nonword","nonword","word",NA
"aceice","substituto","nonword","nonword","word",NA
"nheirado","transferir","nonword","nonword","word",NA
"literalatraíste","incrível","nonword","nonword","word",NA
"conaguentável","mapa","nonword","nonword","word",NA
"nemouthsário","oceano","nonword","nonword","word",NA
"vanes","falar","nonword","nonword","word",NA
"consa","trono","nonword","nonword","word",NA
"amasrife","peru","nonword","nonword","word",NA
"notlev","eleição","nonword","nonword","word",NA
"pureu","gay.","nonword","nonword","word",NA
"preocupatoshik","chapéu","nonword","nonword","word",NA
"bridto","infância","nonword","nonword","word",NA
"tingio","desafio","nonword","nonword","word",NA
"elecceler","ajudar","nonword","nonword","word",NA
"gerso","hematoma","nonword","nonword","word",NA
"boran","ganhar","nonword","nonword","word",NA
"glauco","comunista","nonword","nonword","word",NA
"searshadário","sozinho","nonword","nonword","word",NA
"warwickshirelativo","fácil","nonword","nonword","word",NA
"acoscesa","trágico","nonword","nonword","word",NA
"adoplula","fêmea","nonword","nonword","word",NA
"carna","furgão","nonword","nonword","word",NA
"retuá","físico","nonword","nonword","word",NA
"achavado","prefeito","nonword","nonword","word",NA
"difibethesdade","confusão","nonword","nonword","word",NA
"proatrasar","ferida","nonword","nonword","word",NA
"fácharca","estratégia","nonword","nonword","word",NA
"blica","caminho","nonword","nonword","word",NA
"cron","dezembro","nonword","nonword","word",NA
"sistor","empreendedor","nonword","nonword","word",NA
"brena","irmão","nonword","nonword","word",NA
"merdor","família","nonword","nonword","word",NA
"aleijeto","prova","nonword","nonword","word",NA
"apalbido","marinheiro","nonword","nonword","word",NA
"garanquei","estrutura","nonword","nonword","word",NA
"admillsgado","francês","nonword","nonword","word",NA
"protecçäoedade","título","nonword","nonword","word",NA
"exaustinuar","gravidez","nonword","nonword","word",NA
"reneo","desaparecimento","nonword","nonword","word",NA
"moderick","jogos","nonword","nonword","word",NA
"cresdência","pare","nonword","nonword","word",NA
"probabilidadelinqüen","dedão","nonword","nonword","word",NA
"podepeãs","acampamento","nonword","nonword","word",NA
"habilivings","repugnante","nonword","nonword","word",NA
"flectomia","festa","nonword","nonword","word",NA
"quindico","divino","nonword","nonword","word",NA
"multigues","preço","nonword","nonword","word",NA
"escabrão","terça","nonword","nonword","word",NA
"emchilre","testemunho","nonword","nonword","word",NA
"acrestidade","jurídico","nonword","nonword","word",NA
"tásse","excelente","nonword","nonword","word",NA
"terburyro","porta","nonword","nonword","word",NA
"sados","psicologia","nonword","nonword","word",NA
"ewis","investir","nonword","nonword","word",NA
"jmo","guarda","nonword","nonword","word",NA
"contaminakovsky","ainda","nonword","nonword","word",NA
"devalium","imenso","nonword","nonword","word",NA
"displaycia","escola","nonword","nonword","word",NA
"freqüensionalmente","injusto","nonword","nonword","word",NA
"gusse","ventilação","nonword","nonword","word",NA
"lhera","crime","nonword","nonword","word",NA
"verdaliyahro","conhaque","nonword","nonword","word",NA
"erecmista","massagem","nonword","nonword","word",NA
"na realidversham","andar","nonword","nonword","word",NA
"geragens","vacina","nonword","nonword","word",NA
"sobroute","escrevendo","nonword","nonword","word",NA
"bôzei","grosso","nonword","nonword","word",NA
"interbury","nadar","nonword","nonword","word",NA
"aumenções","triângulo","nonword","nonword","word",NA
"colhesda","equipe","nonword","nonword","word",NA
"livingsnada","psicológico","nonword","nonword","word",NA
"brenha","grama","nonword","nonword","word",NA
"relem","gratuitamente","nonword","nonword","word",NA
"filosomewhe","local","nonword","nonword","word",NA
"acorminar","inteligente","nonword","nonword","word",NA
"conaceitar","teste","nonword","nonword","word",NA
"ludos","faz","nonword","nonword","word",NA
"conadaptar","símbolo","nonword","nonword","word",NA
"apavoluçäote","prosseguir","nonword","nonword","word",NA
"sudam","pássaro","nonword","nonword","word",NA
"truireira","generoso","nonword","nonword","word",NA
"clante","outono","nonword","nonword","word",NA
"sandwitrador","comunidade","nonword","nonword","word",NA
"warwickshiresistência","assassino","nonword","nonword","word",NA
"restruida","monitor","nonword","nonword","word",NA
"aír","perfeito","nonword","nonword","word",NA
"warwickshiresultado","político","nonword","nonword","word",NA
"de voperd","impossível","nonword","nonword","word",NA
"coleahua","orifício","nonword","nonword","word",NA
"playpoly","ling.","nonword","nonword","word",NA
"podez","voto","nonword","nonword","word",NA
"elirir","comitê.","nonword","nonword","word",NA
"esacorda","arame","nonword","nonword","word",NA
"cémia","interessante","nonword","nonword","word",NA
"aguenmático","pó","nonword","nonword","word",NA
"herbar","ministério","nonword","nonword","word",NA
"bambo","joelho","nonword","nonword","word",NA
"ocornida","repugnante","nonword","nonword","word",NA
"warwickshireconhecer","apreciar","nonword","nonword","word",NA
"espionadricks","recompensa","nonword","nonword","word",NA
"limxa","solar","nonword","nonword","word",NA
"soker","inferno","nonword","nonword","word",NA
"penlos","tênis","nonword","nonword","word",NA
"hebab","avaliação","nonword","nonword","word",NA
"obrigate","encantador","nonword","nonword","word",NA
"ninnif","sobrinho","nonword","nonword","word",NA
"tacta","filme","nonword","nonword","word",NA
"rapri","oxigênio","nonword","nonword","word",NA
"felicifrões","melhoria","nonword","nonword","word",NA
"marme","combustível","nonword","nonword","word",NA
"segulhõesça","guaxinim","nonword","nonword","word",NA
"segulhar","cliente","nonword","nonword","word",NA
"escobaum","banheiro","nonword","nonword","word",NA
"rds","ontem","nonword","nonword","word",NA
"loirio","abraço","nonword","nonword","word",NA
"avoca","estranho","nonword","nonword","word",NA
"parlamentomashevsky","reino","nonword","nonword","word",NA
"gokrishnador","esporte","nonword","nonword","word",NA
"afirdigo","eventualmente","nonword","nonword","word",NA
"sechal","colar","nonword","nonword","word",NA
"ingramslino","roubar","nonword","nonword","word",NA
"ficar ddress","prata","nonword","nonword","word",NA
"imemulsão","avó","nonword","nonword","word",NA
"cislha","lindo","nonword","nonword","word",NA
"trola","criminoso","nonword","nonword","word",NA
"esequívo","campo de batalha","nonword","nonword","word",NA
"yeur","aeroporto","nonword","nonword","word",NA
"silenciosomething","assistir","nonword","nonword","word",NA
"gá","tratamento","nonword","nonword","word",NA
"queideira","predador","nonword","nonword","word",NA
"simigualmente","permanecer","nonword","nonword","word",NA
"frequênnho","íntimo","nonword","nonword","word",NA
"queimato","ovo","nonword","nonword","word",NA
"agratoma","esperar","nonword","nonword","word",NA
"apode","realmente","nonword","nonword","word",NA
"equilido","clínica","nonword","nonword","word",NA
"viais","construção","nonword","nonword","word",NA
"douto","toalha","nonword","nonword","word",NA
"dya","preto","nonword","nonword","word",NA
"lutás","informar","nonword","nonword","word",NA
"bengem","fogão","nonword","nonword","word",NA
"enedo","apartamento","nonword","nonword","word",NA
"somgio","chefe","nonword","nonword","word",NA
"ginssula","crânio","nonword","nonword","word",NA
"pealmôndelo","garrafa","nonword","nonword","word",NA
"zzz","provável","nonword","nonword","word",NA
"sozições","habilidade","nonword","nonword","word",NA
"substipert","dinamite","nonword","nonword","word",NA
"o suficiegewing","segurança","nonword","nonword","word",NA
"prosel","míssil","nonword","nonword","word",NA
"objetomashevsky","civilização","nonword","nonword","word",NA
"ocute","pequeno","nonword","nonword","word",NA
"caçõesda","acontecer","nonword","nonword","word",NA
"smel baixo","corrida","nonword","nonword","word",NA
"congressão","algo","nonword","nonword","word",NA
"celen","motel","nonword","nonword","word",NA
"fragvida","estrela","nonword","nonword","word",NA
"posiçäocial","dignidade","nonword","nonword","word",NA
"chal","desenhar","nonword","nonword","word",NA
"krate","fax","nonword","nonword","word",NA
"caraguês","tapete","nonword","nonword","word",NA
"drá","assobiar","nonword","nonword","word",NA
"ciacalma","assinatura","nonword","nonword","word",NA
"perar","clássico","nonword","nonword","word",NA
"prestodo","senado","nonword","nonword","word",NA
"chares","professora","nonword","nonword","word",NA
"rágou","chama","nonword","nonword","word",NA
"cateu","neve","nonword","nonword","word",NA
"carto","abduct.","nonword","nonword","word",NA
"sarcristo","divisão","nonword","nonword","word",NA
"sinfe","opção","nonword","nonword","word",NA
"experichardstar","cheiro","nonword","nonword","word",NA
"audinhas","noiva","nonword","nonword","word",NA
"idrua","boné","nonword","nonword","word",NA
"geven","principe","nonword","nonword","word",NA
"sebethesdafeira","órbita","nonword","nonword","word",NA
"experichardstar","seringa","nonword","nonword","word",NA
"aprontemunha","plausível","nonword","nonword","word",NA
"nocar","sentindo-me","nonword","nonword","word",NA
"coberfest","recentemente","nonword","nonword","word",NA
"baaperta","amar","nonword","nonword","word",NA
"furabert","assistência","nonword","nonword","word",NA
"torquayto","inútil","nonword","nonword","word",NA
"whitcultor","frase","nonword","nonword","word",NA
"trabakers","década","nonword","nonword","word",NA
"moaquino","teatro","nonword","nonword","word",NA
"fracte","medalha","nonword","nonword","word",NA
"schwartzwalderrubar","barba","nonword","nonword","word",NA
"esging","mastigar","nonword","nonword","word",NA
"perve","dormir","nonword","nonword","word",NA
"moris","muito","nonword","nonword","word",NA
"senteá","lobo","nonword","nonword","word",NA
"oceâte","músico","nonword","nonword","word",NA
"teragens","festival","nonword","nonword","word",NA
"mè","profissional","nonword","nonword","word",NA
"trasculo","preparar","nonword","nonword","word",NA
"meacende","sistema","nonword","nonword","word",NA
"dubet","problema","nonword","nonword","word",NA
"cosad","girar","nonword","nonword","word",NA
"warwickshirelâmpago","administrativo","nonword","nonword","word",NA
"auste","pacote","nonword","nonword","word",NA
"disexaustivo","império","nonword","nonword","word",NA
"escola superchenwald","pressão","nonword","nonword","word",NA
"sandar","providenciar","nonword","nonword","word",NA
"aplican","sugerir","nonword","nonword","word",NA
"conak","cardeal","nonword","nonword","word",NA
"aguenmalmente","leste","nonword","nonword","word",NA
"antídotomashevsky","retorna","nonword","nonword","word",NA
"deamisto","sonhe","nonword","nonword","word",NA
"merequin","grupo","nonword","nonword","word",NA
"erebi","febre","nonword","nonword","word",NA
"roflin","espelho","nonword","nonword","word",NA
"luminálhões","atacante","nonword","nonword","word",NA
"frescora","exclusivo","nonword","nonword","word",NA
"caicom","convento","nonword","nonword","word",NA
"devalium","prêmio","nonword","nonword","word",NA
"aguencassado","manipular","nonword","nonword","word",NA
"comvros","mulher","nonword","nonword","word",NA
"cheche","tentar","nonword","nonword","word",NA
"scatvula","aceitar","nonword","nonword","word",NA
"lette","minuto","nonword","nonword","word",NA
"verichardca","alvorecer","nonword","nonword","word",NA
"saló","precisar","nonword","nonword","word",NA
"bjd","plástico","nonword","nonword","word",NA
"triunpamento","atlântico","nonword","nonword","word",NA
"warwickshirevelação","inseto","nonword","nonword","word",NA
"proboiúna","passeio","nonword","nonword","word",NA
"cãique","frio","nonword","nonword","word",NA
"voluntálhões","montante","nonword","nonword","word",NA
"fessar","construir","nonword","nonword","word",NA
"aponoria","vídeo","nonword","nonword","word",NA
"sherdacks","especialista","nonword","nonword","word",NA
"cúea","livro","nonword","nonword","word",NA
"aspirina","ífientil","nonword","word","nonword",NA
"bandeira","quesdono","nonword","word","nonword",NA
"irracional","abdomilhões","nonword","word","nonword",NA
"número","abtucky","nonword","word","nonword",NA
"praga","lhanço","nonword","word","nonword",NA
"gangue","acomgo","nonword","word","nonword",NA
"vendedor","abplendo","nonword","word","nonword",NA
"dinheiro","triunpamento","nonword","word","nonword",NA
"zumbi","quistar","nonword","word","nonword",NA
"esqueço","exerdente","nonword","word","nonword",NA
"pólvora","minma","nonword","word","nonword",NA
"furacão","uuo","nonword","word","nonword",NA
"governador","acomparish","nonword","word","nonword",NA
"nuvem","guartecer","nonword","word","nonword",NA
"caos","agrido","nonword","word","nonword",NA
"insulto","quesditam","nonword","word","nonword",NA
"robô","gressação","nonword","word","nonword",NA
"pesado","fluêncional","nonword","word","nonword",NA
"pequeno","adminischewitztivo","nonword","word","nonword",NA
"original","adolestruiste","nonword","word","nonword",NA
"jipe","oriunnalina","nonword","word","nonword",NA
"sociedade","aeroportomashevsky","nonword","word","nonword",NA
"quente","adordar","nonword","word","nonword",NA
"saída","avigcia","nonword","word","nonword",NA
"banheiro","standar","nonword","word","nonword",NA
"magia","queidecer","nonword","word","nonword",NA
"truque","oteda","nonword","word","nonword",NA
"conflito","opedar","nonword","word","nonword",NA
"afinar","traime","nonword","word","nonword",NA
"pousar","aletair","nonword","word","nonword",NA
"tio","alzer","nonword","word","nonword",NA
"submarino","altís","nonword","word","nonword",NA
"guarda","algoligh","nonword","word","nonword",NA
"seguro","saybi","nonword","word","nonword",NA
"plantar","almozart","nonword","word","nonword",NA
"resultado","altelefô","nonword","word","nonword",NA
"frequência","trito","nonword","word","nonword",NA
"arranjo","albertra","nonword","word","nonword",NA
"aplique","strescinação","nonword","word","nonword",NA
"diamante","alvoretrans","nonword","word","nonword",NA
"ficar de pé","blaste","nonword","word","nonword",NA
"raio","ampi","nonword","word","nonword",NA
"seqüestrar","ocorrelo","nonword","word","nonword",NA
"federal","amealistar","nonword","word","nonword",NA
"terceiro","eclerica","nonword","word","nonword",NA
"boa","amigáford","nonword","word","nonword",NA
"membro","tergo","nonword","word","nonword",NA
"gerir","sforzade","nonword","word","nonword",NA
"internet","ammax","nonword","word","nonword",NA
"ping.","chiplise","nonword","word","nonword",NA
"romeo.","antiá","nonword","word","nonword",NA
"final","traumado","nonword","word","nonword",NA
"aprender","quamal","nonword","word","nonword",NA
"bolso","stresversário","nonword","word","nonword",NA
"rede","drinhar","nonword","word","nonword",NA
"de volta","southtamento","nonword","word","nonword",NA
"sulista","tranciar","nonword","word","nonword",NA
"adulto","enervação","nonword","word","nonword",NA
"segredo","quille","nonword","word","nonword",NA
"presença","matme","nonword","word","nonword",NA
"colônia","mangwaa coberta","nonword","word","nonword",NA
"solteiro","arona","nonword","word","nonword",NA
"soma","arnho","nonword","word","nonword",NA
"ridículo","arma de rensky","nonword","word","nonword",NA
"carnaval","armadunholm","nonword","word","nonword",NA
"pirâmide","armário de rblishing","nonword","word","nonword",NA
"sóbrio","armazelhões","nonword","word","nonword",NA
"cego","arquitetomashevsky","nonword","word","nonword",NA
"asno","arrodrickcia","nonword","word","nonword",NA
"caro","arsebres","nonword","word","nonword",NA
"lasca","artéções","nonword","word","nonword",NA
"sesta","artificiallegheny","nonword","word","nonword",NA
"entender","artihistòria","nonword","word","nonword",NA
"refugiado","inexvore","nonword","word","nonword",NA
"quilo","assassinatomashevsky","nonword","word","nonword",NA
"repórter","asnorthsino","nonword","word","nonword",NA
"frango","asnorthsino","nonword","word","nonword",NA
"telegrama","asmangwanatura","nonword","word","nonword",NA
"ninho","astronôtência","nonword","word","nonword",NA
"bíblia","astronôtente","nonword","word","nonword",NA
"mar","assisguem","nonword","word","nonword",NA
"comum","assobiliões","nonword","word","nonword",NA
"marte","frescante","nonword","word","nonword",NA
"proteína","barque","nonword","word","nonword",NA
"somente","atirador de echenwald","nonword","word","nonword",NA
"voz","clarar","nonword","word","nonword",NA
"propor","sumptude","nonword","word","nonword",NA
"regra","atirás","nonword","word","nonword",NA
"seminário","crestvidade","nonword","word","nonword",NA
"química","cathetico","nonword","word","nonword",NA
"bancário","attriunfera","nonword","word","nonword",NA
"claramente","gwo","nonword","word","nonword",NA
"oxidado","gror","nonword","word","nonword",NA
"escrivaninha","atnii","nonword","word","nonword",NA
"washington.","quesação","nonword","word","nonword",NA
"bar","kingsalizar","nonword","word","nonword",NA
"dragão","auvoircia","nonword","word","nonword",NA
"indústria","autoridadelinqüen","nonword","word","nonword",NA
"canto","grizzliação","nonword","word","nonword",NA
"merecer","sóó","nonword","word","nonword",NA
"tampa","azza","nonword","word","nonword",NA
"vazio","banus","nonword","word","nonword",NA
"monstro","quila","nonword","word","nonword",NA
"acidentalmente","verda","nonword","word","nonword",NA
"series","bakersro","nonword","word","nonword",NA
"rádio","baratomashevsky","nonword","word","nonword",NA
"papel","apaba","nonword","word","nonword",NA
"gesto","lusco","nonword","word","nonword",NA
"cirurgião","lusco","nonword","word","nonword",NA
"naval","reira","nonword","word","nonword",NA
"clã","basenapps","nonword","word","nonword",NA
"preocupação","batagens","nonword","word","nonword",NA
"igreja","batabert","nonword","word","nonword",NA
"sobremesa","romônilha","nonword","word","nonword",NA
"batom","plasbado","nonword","word","nonword",NA
"incomum","belun","nonword","word","nonword",NA
"bônus","beleques","nonword","word","nonword",NA
"ferramenta","biquei","nonword","word","nonword",NA
"conversação","biololhões","nonword","word","nonword",NA
"orfanato","biológiconaughey","nonword","word","nonword",NA
"sozinho","bogrischa","nonword","word","nonword",NA
"registro","deslo","nonword","word","nonword",NA
"esperança","bokov","nonword","word","nonword",NA
"carvão","bonitituíam","nonword","word","nonword",NA
"fresco","fruton","nonword","word","nonword",NA
"confirmação","solço","nonword","word","nonword",NA
"oficina","briamorte","nonword","word","nonword",NA
"ocasionalmente","subsquedo","nonword","word","nonword",NA
"elegante","plexa","nonword","word","nonword",NA
"continuar","pisxo","nonword","word","nonword",NA
"amador","mitda","nonword","word","nonword",NA
"campanha","cadánais","nonword","word","nonword",NA
"marca","calharra","nonword","word","nonword",NA
"carbono","caors","nonword","word","nonword",NA
"tosse","café da rovsky","nonword","word","nonword",NA
"terrível","prescular","nonword","word","nonword",NA
"conselho","inima","nonword","word","nonword",NA
"milionário","perma","nonword","word","nonword",NA
"anarquia","camiquez","nonword","word","nonword",NA
"xícara","camições","nonword","word","nonword",NA
"operacional","campeonatomashevsky","nonword","word","nonword",NA
"verme","campo de baolworth","nonword","word","nonword",NA
"já","grecer","nonword","word","nonword",NA
"pintar","caplanta","nonword","word","nonword",NA
"quebra","prospela","nonword","word","nonword",NA
"sofra","capitakehayamo","nonword","word","nonword",NA
"álcool","capinhal","nonword","word","nonword",NA
"inocente","droideal","nonword","word","nonword",NA
"alma","munga","nonword","word","nonword",NA
"agora","douro","nonword","word","nonword",NA
"hotel","jecta","nonword","word","nonword",NA
"escudo","preiteira","nonword","word","nonword",NA
"terra","carnor","nonword","word","nonword",NA
"brinde","caçõesdo","nonword","word","nonword",NA
"sobrenatural","caçõesdo","nonword","word","nonword",NA
"capacete","casamentomashevsky","nonword","word","nonword",NA
"explicação","aprotelo","nonword","word","nonword",NA
"semelhante","exisa","nonword","word","nonword",NA
"capacidade","cavações","nonword","word","nonword",NA
"tribunal","cecharla","nonword","word","nonword",NA
"engenheiro","dindo","nonword","word","nonword",NA
"miserável","ceatractial","nonword","word","nonword",NA
"olá","cemitélhões","nonword","word","nonword",NA
"pistola","centelefô","nonword","word","nonword",NA
"pergunta","centímebacks","nonword","word","nonword",NA
"empresa","brica","nonword","word","nonword",NA
"leite","cercaxeis","nonword","word","nonword",NA
"surpresa","ceredish","nonword","word","nonword",NA
"caloroso","ceucrania","nonword","word","nonword",NA
"desejo","tranveja","nonword","word","nonword",NA
"deserto","perma","nonword","word","nonword",NA
"alho","agrepanhe","nonword","word","nonword",NA
"junho","acertagem","nonword","word","nonword",NA
"século","chaguá","nonword","word","nonword",NA
"menina","querruto","nonword","word","nonword",NA
"recuperar","liffe","nonword","word","nonword",NA
"plano","chefe de coselstyn","nonword","word","nonword",NA
"personagem","toeio","nonword","word","nonword",NA
"volta","apairo","nonword","word","nonword",NA
"audição","transcolate","nonword","word","nonword",NA
"simplesmente","cicamiäo","nonword","word","nonword",NA
"rifle","presdade","nonword","word","nonword",NA
"reitor","ciênções","nonword","word","nonword",NA
"banana","cienglandta","nonword","word","nonword",NA
"inquilino","citreiro","nonword","word","nonword",NA
"amanhã","starnico","nonword","word","nonword",NA
"papai","pulco","nonword","word","nonword",NA
"gênio","ciatingia","nonword","word","nonword",NA
"mel","civilizanhardt","nonword","word","nonword",NA
"ladrao","millsico","nonword","word","nonword",NA
"contratar","loweente","nonword","word","nonword",NA
"base","avernica","nonword","word","nonword",NA
"método","cosei","nonword","word","nonword",NA
"contato","coepers","nonword","word","nonword",NA
"hospitalidade","coemisso","nonword","word","nonword",NA
"atenção","cotes","nonword","word","nonword",NA
"dna.","com fbany","nonword","word","nonword",NA
"bater","com liceclops","nonword","word","nonword",NA
"correspondência","commonwetível","nonword","word","nonword",NA
"liga","comésões","nonword","word","nonword",NA
"saboroso","covia","nonword","word","nonword",NA
"triste","conaugheyciante","nonword","word","nonword",NA
"bispo","conahansário","nonword","word","nonword",NA
"marinho","comigahl","nonword","word","nonword",NA
"torneio","compaicões","nonword","word","nonword",NA
"ouvir","comkenyattamente","nonword","word","nonword",NA
"jogatina","comkripto","nonword","word","nonword",NA
"examinar","comgwildor","nonword","word","nonword",NA
"válvula","transpreendo","nonword","word","nonword",NA
"forno","comprimentomashevsky","nonword","word","nonword",NA
"anjo","commonwemido","nonword","word","nonword",NA
"escolta","computaríeis","nonword","word","nonword",NA
"bota","comunicatalyst","nonword","word","nonword",NA
"exame","comunidadelinqüen","nonword","word","nonword",NA
"metade","comuaguenta","nonword","word","nonword",NA
"pasta","contraiatrado","nonword","word","nonword",NA
"mentira","contraísa","nonword","word","nonword",NA
"novembro","conduções","nonword","word","nonword",NA
"gripe","conerius","nonword","word","nonword",NA
"chuva","conatrasar","nonword","word","nonword",NA
"cérebro","kadhafiança","nonword","word","nonword",NA
"trancado","netherfidencial","nonword","word","nonword",NA
"ocorrer","conaglome","nonword","word","nonword",NA
"opinião","confurões","nonword","word","nonword",NA
"cultura","congenhei","nonword","word","nonword",NA
"lei","coquerque","nonword","word","nonword",NA
