"word_combo","pt_cue","pt_target","type","cue_type","target_type","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"nightmarinoanuncido","nightmarino","anuncido","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nightmarinoinfecção","nightmarino","infecção","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nightmarinopartida","nightmarino","partida","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nightmarinopulco","nightmarino","pulco","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ninhoaguentótipo","ninho","aguentótipo","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ninhoovo","ninho","ovo","related","word","word",-0.778477382793349,0.324745295431794,0.0372508401362487,76,84,85,1,0.988235294117647,71,85,1,0.835294117647059,TRUE,TRUE,TRUE
"ninhotraumado","ninho","traumado","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ninhoúltimo","ninho","último","unrelated","word","word",-0.594997565073809,0.441909983734492,0.0607010045803258,53,59,60,1,0.983333333333333,55,60,1,0.916666666666667,TRUE,TRUE,TRUE
"ninifebéabus","ninife","béabus","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ninifeestrutura","ninife","estrutura","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ninjaengraçado","ninja","engraçado","unrelated","word","word",-0.411315320430034,0.487289235036264,0.0663116657216661,54,55,55,1,1,51,55,1,0.927272727272727,TRUE,TRUE,TRUE
"ninjasaçõesda","ninja","saçõesda","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ninjasamurai","ninja","samurai","related","word","word",-0.141785129436873,0.788559515469528,0.0942508893052048,70,74,81,1,0.91358024691358,74,81,1,0.91358024691358,FALSE,TRUE,TRUE
"ninjastephatantemente","ninja","stephatantemente","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ninjavoluntariamente","ninja","voluntariamente","unrelated","word","word",0.246368432423806,1.00373485301673,0.143390693288105,49,53,53,0,1,45,53,0,0.849056603773585,FALSE,TRUE,FALSE
"ninnifdonse","ninnif","donse","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ninnifguerreiro","ninnif","guerreiro","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nobelartéções","nobel","artéções","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nobelnamonste","nobel","namonste","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nobelprémio","nobel","prémio","related","word","word",-0.571786142587829,0.670916893573126,0.0769594457526181,76,80,80,1,1,78,81,0,0.962962962962963,TRUE,TRUE,TRUE
"nobelprêmio","nobel","prêmio","related","word","word",-0.54146603076112,0.825578333895392,0.115604089875874,51,54,54,0,1,46,54,0,0.851851851851852,FALSE,TRUE,TRUE
"nobeltecido","nobel","tecido","unrelated","word","word",-0.539683721495673,0.483670147514545,0.06093671080521,63,65,66,0,0.984848484848485,51,66,0,0.772727272727273,TRUE,TRUE,TRUE
"nobrecorajoso","nobre","corajoso","related","word","word",-0.559154121972996,0.507663121633013,0.0639595414114137,63,68,70,1,0.971428571428571,65,71,0,0.915492957746479,TRUE,TRUE,TRUE
"nobrecrime","nobre","crime","unrelated","word","word",-0.714684684502966,0.666136962987381,0.090649758784796,54,59,59,0,1,53,59,0,0.898305084745763,FALSE,TRUE,TRUE
"nobreesquerda","nobre","esquerda","unrelated","word","word",-0.489493958036036,0.623308209717887,0.0899667906671814,48,52,55,0,0.945454545454545,49,55,0,0.890909090909091,TRUE,TRUE,FALSE
"nobreradiacrest","nobre","radiacrest","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nobreverno","nobre","verno","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nocardindo","nocar","dindo","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nocarexercício","nocar","exercício","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nocargarrafa","nocar","garrafa","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nocarnorobôscias","nocar","norobôscias","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"noitelatourja","noite","latourja","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"noitemutens","noite","mutens","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"noitesímbolo","noite","símbolo","unrelated","word","word",-0.657802391531633,0.338276197973258,0.0456131532296317,55,62,62,1,1,61,62,1,0.983870967741935,TRUE,TRUE,TRUE
"noitetarde","noite","tarde","related","word","word",-0.686888772879358,0.829296964249876,0.0899498850611737,85,95,95,3,1,93,95,3,0.978947368421053,TRUE,TRUE,TRUE
"noivadoanunder","noivado","anunder","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"noivadocasamento","noivado","casamento","related","word","word",-0.612757371598191,0.451941380302683,0.0615014319661497,54,59,59,2,1,57,60,1,0.95,TRUE,TRUE,TRUE
"noivadoconcluírio","noivado","concluírio","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"noivadomarinha","noivado","marinha","unrelated","word","word",-0.307603990940024,0.782117756773619,0.110608153900207,50,53,53,0,1,51,53,0,0.962264150943396,FALSE,TRUE,TRUE
"noivadoprazeroso","noivado","prazeroso","unrelated","word","word",-0.0634861499365728,0.703255965220449,0.102580425387724,47,52,53,0,0.981132075471698,52,53,0,0.981132075471698,FALSE,TRUE,FALSE
"noivofrase","noivo","frase","unrelated","word","word",-0.599100795052762,0.530337026079767,0.0652799752617038,66,67,69,1,0.971014492753623,67,69,1,0.971014492753623,TRUE,TRUE,TRUE
"noivonoiva","noivo","noiva","related","word","word",-0.686401759554905,0.689183366846639,0.0699759688601612,97,103,103,0,1,99,102,1,0.970588235294118,TRUE,TRUE,TRUE
"noivorinta","noivo","rinta","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"noivotoamingo","noivo","toamingo","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nojentoaplaunidade","nojento","aplaunidade","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nojentoimundo","nojento","imundo","related","word","word",-0.161572557141116,0.690625010673243,0.085661489899525,65,68,71,3,0.957746478873239,70,72,2,0.972222222222222,TRUE,TRUE,TRUE
"nojentolovente","nojento","lovente","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nojentotrovão","nojento","trovão","unrelated","word","word",-0.491945420490749,0.551404820065723,0.0724029999844873,58,60,62,0,0.967741935483871,59,62,0,0.951612903225806,TRUE,TRUE,TRUE
"nolencultar","nolen","cultar","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nolenescritório","nolen","escritório","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nolenfamoso","nolen","famoso","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nolenshannado","nolen","shannado","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nomeacrescional","nome","acrescional","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nomefuncional","nome","funcional","unrelated","word","word",-0.381480608700089,0.66754118338619,0.0728347143420861,84,92,94,0,0.978723404255319,91,94,0,0.968085106382979,TRUE,TRUE,TRUE
"nometítulo","nome","título","related","word","word",-0.620808628821247,0.494366316556188,0.0524027247496113,89,93,94,3,0.98936170212766,93,94,3,0.98936170212766,TRUE,TRUE,TRUE
"nometraime","nome","traime","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"noproctoespetacular","noprocto","espetacular","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"noproctomamos","noprocto","mamos","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"noproctoproduzir","noprocto","produzir","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"noproctorepanhei","noprocto","repanhei","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"normalmentebanus","normalmente","banus","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"normalmentesepul","normalmente","sepul","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"normalmentesonho","normalmente","sonho","unrelated","word","word",-0.514861316367236,0.929289252683338,0.100207837224995,86,87,90,0,0.966666666666667,90,90,0,1,FALSE,TRUE,TRUE
"normalmenteusualmente","normalmente","usualmente","related","word","word",-0.272999673932773,0.728876606113086,0.083607880746259,76,84,88,0,0.954545454545455,86,88,0,0.977272727272727,TRUE,TRUE,TRUE
"nõsabsurdo","nõs","absurdo","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nõsendlessçado","nõs","endlessçado","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nõsmorta","nõs","morta","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nõsprovavelatraíste","nõs","provavelatraíste","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"notlevedelicioso","notleve","delicioso","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"notlevegrecro","notleve","grecro","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"notlevrinhosda","notlev","rinhosda","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"notlevtransmissor","notlev","transmissor","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"noutro cordeseventualmente","noutro cordes","eventualmente","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"noutro cordesprichadu","noutro cordes","prichadu","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"noutro lugarcriminoso","noutro lugar","criminoso","unrelated","word","word",-0.251819144287628,0.71894635295983,0.104869103661928,47,49,50,2,0.98,43,50,2,0.86,FALSE,TRUE,FALSE
"noutro lugarem algum lugar","noutro lugar","em algum lugar","related","word","word",0.249202909664985,1.06528397122933,0.150653903989119,50,53,54,3,0.981481481481482,53,57,0,0.929824561403509,FALSE,TRUE,TRUE
"noutro lugarinvestituíam","noutro lugar","investituíam","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"novembrodezembro","novembro","dezembro","related","word","word",-0.7772338402224,0.467882230358879,0.0547614729938874,73,79,81,0,0.975308641975309,80,81,0,0.987654320987654,TRUE,TRUE,TRUE
"novembrogrizzliação","novembro","grizzliação","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"novembrolícía","novembro","lícía","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"novembromistura","novembro","mistura","unrelated","word","word",-0.30930707956654,0.787695932692571,0.0891890014476905,78,82,82,1,1,79,82,1,0.963414634146341,TRUE,TRUE,TRUE
"novemtõesarma de rensky","novemtões","arma de rensky","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"novemtõestradicional","novemtões","tradicional","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"noventõesaltura","noventões","altura","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"noventõescecharla","noventões","cecharla","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nuderrota","nu","derrota","unrelated","word","word",-0.42487865370397,0.398825387052084,0.0532952841248716,56,61,64,0,0.953125,53,64,0,0.828125,TRUE,TRUE,TRUE
"nudespido","nu","despido","related","word","word",-0.0874182721124242,0.933308760852782,0.10064127193782,86,98,102,1,0.96078431372549,80,101,2,0.792079207920792,FALSE,TRUE,TRUE
"nugressação","nu","gressação","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nukinadministrativo","nukin","administrativo","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nukinchento","nukin","chento","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"numeráriocaçõesdo","numerário","caçõesdo","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"numeráriodinheiro","numerário","dinheiro","related","word","word",-0.532528376431054,0.6000436335607,0.0679415625765456,78,81,83,2,0.975903614457831,77,83,2,0.927710843373494,TRUE,TRUE,TRUE
"numerárioeslhaste","numerário","eslhaste","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"numerárioprograma","numerário","programa","unrelated","word","word",-0.285780130146315,0.618809125851945,0.0912384280021128,46,50,51,2,0.980392156862745,42,51,2,0.823529411764706,FALSE,TRUE,FALSE
"numeráriosol","numerário","sol","unrelated","word","word",-0.532229603191459,0.517820101499419,0.0747408937481222,48,50,50,1,1,48,50,1,0.96,TRUE,TRUE,FALSE
"númeroeducação","número","educação","unrelated","word","word",-0.593800208777307,0.451242250085518,0.0521049669113212,75,81,83,0,0.975903614457831,80,83,0,0.963855421686747,TRUE,TRUE,TRUE
"númeromorada","número","morada","related","word","word",-0.405446881911169,0.639299835212401,0.0799124794015501,64,67,68,0,0.985294117647059,67,68,0,0.985294117647059,TRUE,TRUE,TRUE
"númeroresisguem","número","resisguem","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"númerotrabrosidor","número","trabrosidor","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nuncamenço","nunca","menço","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nuncaprender","nunca","prender","unrelated","word","word",-0.331008505109186,1.14446537829771,0.115023098344414,99,103,104,1,0.990384615384615,102,104,1,0.980769230769231,FALSE,TRUE,TRUE
"nuncasempre","nunca","sempre","related","word","word",-0.698465315458852,0.595578668173229,0.0727615149611917,67,70,72,1,0.972222222222222,70,72,1,0.972222222222222,TRUE,TRUE,TRUE
"nuncasenações","nunca","senações","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nuqueitura","nu","queitura","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nuvemdinheiro","nuvem","dinheiro","unrelated","word","word",-0.588178648295552,0.643777744804245,0.0724306551564697,79,86,88,0,0.977272727272727,85,88,0,0.965909090909091,TRUE,TRUE,TRUE
"nuvemindições","nuvem","indições","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nuvemnévoa","nuvem","névoa","related","word","word",-0.572532627950626,0.543808268847045,0.0769061029134125,50,52,52,2,1,51,52,2,0.980769230769231,TRUE,TRUE,TRUE
"nuvemnevoeiro","nuvem","nevoeiro","related","word","word",-0.300975747258187,0.7907923422738,0.112970334610543,49,55,55,0,1,52,55,0,0.945454545454545,FALSE,TRUE,FALSE
"nuvemrestlessado","nuvem","restlessado","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nuvinabandono","nuvin","abandono","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nuvinmapato","nuvin","mapato","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"o quêadministração","o quê","administração","unrelated","word","word",0.33831094703212,1.13623158011686,0.167528206817399,46,50,50,0,1,50,50,0,1,FALSE,TRUE,FALSE
"o quêaquele","o quê","aquele","related","word","word",-0.513622349868574,0.580863443016984,0.079045502534879,54,61,62,0,0.983870967741935,58,62,0,0.935483870967742,TRUE,TRUE,TRUE
"o quêinteliatraíste","o quê","inteliatraíste","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"o suficiegewinggressação","o suficiegewing","gressação","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"o suficiegewingsoar","o suficiegewing","soar","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"o suficientemapontamento","o suficiente","mapontamento","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"o suficientenação","o suficiente","nação","unrelated","word","word",-0.278426059760055,0.718366015152952,0.102623716450422,49,51,51,2,1,49,51,2,0.96078431372549,FALSE,TRUE,FALSE
"o suficientesuficiente","o suficiente","suficiente","related","word","word",-0.33240078183221,0.593692047892326,0.0719957359573329,68,70,72,0,0.972222222222222,69,71,1,0.971830985915493,TRUE,TRUE,TRUE
"obexaustivodioro","obexaustivo","dioro","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"obexaustivoprocedimento","obexaustivo","procedimento","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"objetocomédia","objeto","comédia","unrelated","word","word",-0.610787080866994,0.421683900923843,0.0523034507316309,65,68,69,2,0.985507246376812,68,69,2,0.985507246376812,TRUE,TRUE,TRUE
"objetodevogler","objeto","devogler","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"objetosujeito","objeto","sujeito","related","word","word",-0.552877162341076,0.498519142821374,0.0613634645716218,66,68,70,0,0.971428571428571,66,70,0,0.942857142857143,TRUE,TRUE,TRUE
"objetotanhisto","objeto","tanhisto","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"obmetoafrodrome","obmeto","afrodrome","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"obmetolivro","obmeto","livro","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"obmetolocalização","obmeto","localização","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"obmetovarviqueicho","obmeto","varviqueicho","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"obrigateconfiança","obrigate","confiança","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"obrigateestratégia","obrigate","estratégia","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"obrigatefanbaquático","obrigate","fanbaquático","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"obrigateinteliatraíste","obrigate","inteliatraíste","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"observabasenapes","observa","basenapes","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"observaçãoavaliação","observação","avaliação","related","word","word",-0.484874285151391,0.840587635931131,0.100469439111765,70,79,80,0,0.9875,76,80,0,0.95,FALSE,TRUE,TRUE
"observaçãochiplise","observação","chiplise","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"observaçãointecionaxiphan","observação","intecionaxiphan","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"observaçãotrono","observação","trono","unrelated","word","word",-0.202259967725161,0.684429179752071,0.080660752374106,72,77,82,0,0.939024390243902,82,82,0,1,TRUE,TRUE,TRUE
"observanaughfade ro tranhã","observanaugh","fade ro tranhã","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"observanaughsimples","observanaugh","simples","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"observanaugueapesso","observanaugue","apesso","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"observanauguecrime","observanaugue","crime","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"observaprovável","observa","provável","unrelated","word","word",-0.455885427133631,0.544421165067345,0.075497631773006,52,56,57,1,0.982456140350877,55,57,1,0.964912280701754,TRUE,TRUE,TRUE
"observavê","observa","vê","related","word","word",-0.578099771267638,0.539238865168466,0.0720588243961853,56,59,63,0,0.936507936507937,63,63,0,1,TRUE,TRUE,TRUE
"observelhecoemisso","observelhe","coemisso","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"observelhemosca","observelhe","mosca","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"obstáculodesafio","obstáculo","desafio","related","word","word",-0.482838196559393,0.421210756073822,0.0553076818622002,58,62,62,1,1,61,63,0,0.968253968253968,TRUE,TRUE,TRUE
"obstáculoimpéções","obstáculo","impéções","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"obstáculopoexaustico","obstáculo","poexaustico","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"obstáculouniforme","obstáculo","uniforme","unrelated","word","word",-0.383669614280474,0.623328010233794,0.0684191377741585,83,87,90,2,0.966666666666667,89,90,2,0.988888888888889,TRUE,TRUE,TRUE
"ocasionalmenteaprotanha","ocasionalmente","aprotanha","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ocasionalmentepeça","ocasionalmente","peça","unrelated","word","word",-0.379049686766198,0.746958216487258,0.0899232021112433,69,72,72,1,1,69,73,0,0.945205479452055,TRUE,TRUE,TRUE
"ocasionalmenteraramente","ocasionalmente","raramente","related","word","word",-0.173297574514196,0.919476414359764,0.120733168068229,58,61,64,1,0.953125,58,64,1,0.90625,FALSE,TRUE,TRUE
"ocasionalmenteroexaustico","ocasionalmente","roexaustico","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"oceâteagradecer","oceâte","agradecer","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"oceâtejoepers","oceâte","joepers","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"oceâtemorpio","oceâte","morpio","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"oceâtereceio","oceâte","receio","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ocornidacampeomasevsqui","ocornida","campeomasevsqui","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ocornidacomerciante","ocornida","comerciante","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ocornidaimperanhões","ocornida","imperanhões","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ocornidatomate","ocornida","tomate","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ocorreracontecer","ocorrer","acontecer","related","word","word",-0.400814949655422,0.711155334332922,0.0856130416001642,69,78,80,0,0.975,78,80,0,0.975,TRUE,TRUE,TRUE
"ocorreratenrível","ocorrer","atenrível","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ocorrermames","ocorrer","mames","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ocorrerpapá","ocorrer","papá","unrelated","word","word",-0.345401852396825,0.639397287235694,0.0942739867901653,46,49,52,0,0.942307692307692,50,52,0,0.961538461538462,FALSE,TRUE,FALSE
"ocorrerpapai","ocorrer","papai","unrelated","word","word",-0.595441811223131,0.589330712749666,0.0794653370962378,55,57,58,0,0.982758620689655,57,58,0,0.982758620689655,TRUE,TRUE,TRUE
"ocortaárvore","ocorta","árvore","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ocortaesamassa","ocorta","esamassa","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ocortafrota","ocorta","frota","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ocortamarto","ocorta","marto","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
