"ta_target","ta_cue","ta_fake_cue","ta_fake_target","en_cue","en_target"
"பரிந்துரை","முன்மொழியுங்கள்","முன்மொரmaathavan","பரிசtnse","propose","suggest"
"பருத்தி","பட்டு","படடரு","பரமனiii","silk","cotton"
"பலவீனமான","வலுவான","வலவனனத","பலவீமjpg","strong","weak"
"பல்","ஆணி","ஒரி","சம்","nail","tooth"
"பல்கலைக்கழகம்","கல்லூரி","கல மனனள","பல்கலைகரmaathavan","college","university"
"பல்லி","தவளை","தவuw","பலசவி","frog","lizard"
"பழம்","ஆப்பிள்","ஆபசtnse","பழஓக","apple","fruit"
"பழுது","சரி","மறி","பழதரு","fix","repair"
"பள்ளத்தாக்கு","பாலைவனம்","நயஃலைவனம்","பள்ளதமனனனத","desert","valley"
"பள்ளி","வர்க்கம்","வர்ரtnse","பளஸமி","class","school"
"பறவை","பட்டாம்பூச்சி","பட்டாரmaathavan","பறkg","butterfly","bird"
"பற்றி","வெளியே","ளனளியே","பறதரி","out","about"
"பனி","மழை","இறை","அறி","rain","snow"
"பன்றி","மாட்டு","மாட்ஓட","பனதலி","cow","pig"
"பாடல்","ஆல்பம்","ஆலடனனற","	rடல்","album","song"
"பாட்டி","தாத்தா","μgத்தா","பாட்ஏட","grandfather","grandmother"
"பாட்டில்","கண்ணாடி","கணமனiii","ஹயனட்டில்","glass","bottle"
"பாதுகாக்க","பாதுகாக்க","பாதமனiii","பாதமனiii","protect","defend"
"பாதுகாப்பான","பாதுகாப்பான","பாதுசtnse","பாதுமனiii","safe","secure"
"பாதுகாப்பு","பாதுகாப்பு","தயனனதுகாப்பு","கரனஃதுகாப்பு","security","safety"
"பாதை","வழி","தடி","வஅதை","route","path"
"பாம்பு","புழு","புtw","bgம்பு","worm","snake"
"பாரம்பரியமாக","நவீன","நவஒம","பாரம்பரmaathavan","modern","traditional"
"பாராட்ட","ரசிக்கிறது","ரசிகமனனனத","பாரtnse","admire","appreciate"
"பார்க்கவும்","பார்","பாஞண","பார்மனனனத","look","watch"
"பார்வை","வெளிப்பாடு","பலனனளிப்பாடு","ஓஷர்வை","revelation","vision"
"பார்வையாளர்கள்","கூட்டம்","கூ மனனள","பார்வைரmaathavan","crowd","audience"
"பாஸ்","மேலாளர்","மேமனiii","பாநஆ","manager","boss"
"பாஸ்டன்","வாஷிங்டன்","வாஷ மனனள","பா மனனள","washington","boston"
"பிடி","கைப்பற்றவும்","கைப்பமனiii","பிbx","grab","catch"
"பிடித்த","பாவாடை","௦௦வாடை","பிமனனனத","skirt","dress"
"பிரகாசமான","பிரகாசம்","பிரரtnse","பிரகரtnse","shine","bright"
"பிரசங்கம்","பேச்சு","மஆச்சு","பிரசமனனனத","speech","sermon"
"பிரச்சனை","தொந்தரவு","தொநசtnse","பிரமனனனத","trouble","problem"
"பிரஞ்சு","ஆங்கிலம்","ஆங்ரtnse","பிரtnse","english","french"
"பிரிவு","அலகு","அலαβ","பிரிணஷ","unit","division"
"பில்லியன்","மில்லியன்","மில மனனள","பிலமனனனத","million","billion"
"பிளாக்மெயில்","கையூட்டு","எமனயூட்டு","பிளாரmaathavan","bribe","blackmail"
"பிறந்தநாள்","ஆண்டு நிறைவு","ஆண்டரmaathavan","பிறந மனனள","anniversary","birthday"
"பின்புறமாக","முன்","முஉவ","பின்சtnse","front","rear"
"பீரங்கி","குதிரைப்படை","குதிரtnse","பீரtnse","cavalry","artillery"
"பீர்","பானம்","இஆனம்","ctர்","drink","beer"
"புகழ்","தொழில்","தொழிkr","ஞழகழ்","career","reputation"
"புகழ்பெற்ற","பிரபலமான","பிரபசtnse","புகழரtnse","popular","famous"
"புகைப்படக்காரர்","ஆட்டோகிராப்","ஆட்டமனiii","புகைப்பரmaathavan","autograph","photographer"
"புகைப்படம்","படம்","படpk","புகை மனனள","picture","photo"
"புதுப்பிப்பு","புதிய","gbதிய","புதுரmaathavan","fresh","refresh"
"புதைத்துங்கள்","தோண்டி","தோண்tl","புதைதரmaathavan","dig","bury"
"புயல்","காற்று","füற்று","ndயல்","wind","storm"
"புராண","தொன்மம்","தொமனனனத","ஏளராண","myth","legend"
"புரிந்து","உணர","சநர","அசனரிந்து","realize","understand"
"புல்லட்","கால்பந்து","காலமனனனத","புரtnse","caliber","bullet"
"புறப்பாடு","வருகை","வரமறை","புறமனiii","arrival","departure"
"புற்றுநோய்","கட்டி","கடரகி","மமனனற்றுநோய்","tumor","cancer"
"பூ","ஆலை","பவை","ஹற","plant","flower"
"பூசாரி","மோன்க்","yfன்க்","பூசாஆப","monk","priest"
"பூச்சி","சிலந்தி","சிமனனனத","பூச்அஹ","spider","insect"
"பூச்சு","முடிவு","fxடிவு","பூச்bd","end","finish"
"பூட்டு","முக்கிய","முரtnse","பூட்sd","key","lock"
"பூனை","நாய்","நாza","ரறனை","dog","cat"
"பெண்","ஆண்","தள்","azண்","male","female"
"பெண்","விதவை","ஓஊதவை","azண்","widow","woman"
"பெண்","இறைவன்","இறசனனல","azண்","lord","lady"
"பெண்கள்","பாய்ஸ்","பாய்jr","பெரtnse","boys","girls"
"பெரிதும்","கன","ளம","வலஃரிதும்","heavy","heavily"
"பெரியது","பெரிய","ஈஐரிய","பெரtnse","big","huge"
"பெருமூளைக்குரிய","மூளை","மூpv","பெருமூரmaathavan","brain","cerebral"
"பெருமை","புகழ்பெற்ற","புகழமனiii","ననருமை","glorious","glory"
"பெரும்பாலும்","சில நேரங்களில்","சில நேரmaathavan","பெருரmaathavan","sometimes","often"
"பெருவாரியாக பரவும் தொற்று நோய்","பிளேக்","	இளேக்","பெருவாரியாக பரshrikarsan","plague","epidemic"
"பெற்றோர்","வயது வந்தோர்","வயது சtnse","அரஃற்றோர்","adult","parent"
"பேக்கன்","சிற்றுண்டி","பதனனற்றுண்டி","பேமனனனத","toast","bacon"
"பேசு","பேச்சு","மஆச்சு","rdசு","talk","speak"
"பேட்மேன்","சூப்பர்மேன்","சூப் மனனள","அசனட்மேன்","superman","batman"
"பேரரசர்","ஏகாதிபத்தியது","ஏகாதிப மனனள","பேரழனனற","imperial","emperor"
"பேரரசு","ஆள்குடி","ஆளமனனனத","பேரனனச","dynasty","empire"
"பேராசிரியர்","டீன்","டீrw","பேராரtnse","dean","professor"
"பேருந்து","தொடர்வண்டி","தொடரமனனனத","ஹயனருந்து","train","bus"
"பேனா","காகிதம்","காமனiii","பேஈப","paper","pen"
"பேஸ்பால்","அரங்கம்","அரஙயனனம","ஸகனஸ்பால்","stadium","baseball"
"பைத்தியம்","paranoid","parapaid","பைத மனனள","paranoid","crazy"
"பையில்","பெட்டி","dwட்டி","பையிஏம","box","bag"
"பைலட்","விண்வெளி","ஈமஃண்வெளி","lnலட்","astronaut","pilot"
"பொதுவாக","இயற்கையாகவே","இயற்கசtnse","பொமனiii","naturally","generally"
"பொதுவாக","பொதுவாக","பொரtnse","பொமனiii","normally","usually"
"பொம்மை","பொம்மை","pxம்மை","பொம்fp","doll","toy"
"பொய்யன்","பொய்","ஐஞய்","பொ மனனள","lie","liar"
"பொருத்துக","போட்டியில்","ஜகனனட்டியில்","பொரமனனனத","tournament","match"
"பொருள்","பொருள்","எஎருள்","ஊஜருள்","object","subject"
"பொறுப்பற்ற","நியாயமற்றது","நியாய மனனள","பொறு மனனள","unreasonable","irresponsible"
"போ","உள்ளிடவும்","உள்ளமனiii","ஐஈ","enter","go"
"போக்கர்","சூதாட்டம்","சூத மனனள","போசtnse","gambling","poker"
"போதனை","அறிய","அறஇற","njதனை","learn","teach"
"போதுமான","போதும்","போதுஈச","போ மனனள","enough","sufficient"
"போர்","போர்","போpd","போsp","war","battle"
"போர்","சாம்பியன்","சாம மனனள","போsp","champion","fighter"
"போர்க்களம்","அரினா","அரடபா","போர்மனiii","arena","battlefield"
"ப்ரோ","கனவு","கனhz","ப்ஏர","dude","bro"
"மகன்","மகள்","மகpv","மகணஷ","daughter","son"
"மகிழ்ச்சி","மகிழ்ச்சி","மகி மனனள","மகிமனiii","pleasure","joy"
"மக்கள்","மக்கள் தொகை","மக்கசtnse","மகககடட","population","people"
"மசாஜ் மசாஜ்","யோகா","zhகா","மசாஜமனனனத","yoga","massage"
"மஞ்சள்","சிவப்பு","சிமனiii","மஞபiii","red","yellow"
"மடாலயம்","கோயில்","	ஒயில்","மடாதனனன","temple","monastery"
"மணப்பெண்","மணமகன்","மண	மநல","மணபமனiii","groom","bride"
"மணல்","சேறு","ஈணறு","மணஏண","mud","sand"
"மண்டலம்","பகுதி","பகபலி","மண்வனனத","area","zone"
"மண்டை ஓடு","எலும்பு","எல மனனள","மண் மனனள","bone","skull"
"மதம்","தத்துவம்","தத்மனனனத","மதஉள","philosophy","religion"
"மதிப்பிடுதல்","கவனிப்பு","கவனசtnse","மதிப்மனனனத","observation","evaluation"
"மதிய உணவு","சிற்றுண்டி","பதனனற்றுண்டி","மதியரtnse","snack","lunch"
"மதுக்கூடம்","சங்கம்","சஙககடட","மதுகரtnse","club","bar"
"மயோனைசே","கெட்ச்அப்","கெடசtnse","மயலகைசே","ketchup","mayonnaise"
"மரண","கொடிய","fhடிய","சறண","deadly","fatal"
"மரணதண்டனை","தொங்கும்","பசஃங்கும்","மரணதணரmaathavan","hanging","execution"
"மரபுரிமையாக","பாரம்பரியம்","பாரம்சtnse","மரபுரரtnse","heritage","inherit"
"மரம்","புஷ்","ஜஏஷ்","மரஒல","bush","tree"
"மரியாதை","சிறப்புரிமை","சிறபரtnse","மரசtnse","privilege","honor"
"மருந்து","ஆல்கஹால்","ஆல் மனனள","மர மனனள","alcohol","drug"
"மருமூe","பேரன்","wdரன்","மரமனனய","grandson","nephew"
"மர்மம்","ரகசியம்","ரகசதனனன","மரடனனற","secret","mystery"
"மலிவான","விலையுயர்ந்த","விலையமனனனத","மலவனனத","expensive","cheap"
"மலை","மலை","சதை","சதை","hill","mountain"
"மறை","மூடி","மூஙவ","இரை","cover","hide"
"மறைமுகமாக","சுடும்","சுடுஎழ","மறைமசtnse","shooter","sniper"
"மறைவை","மந்திரி சபை","மந்தரtnse","மறமகை","cabinet","closet"
"மன அழுத்தம்","மன அழுத்தம்","மன அழமனனனத","மன அழமனiii","stress","depression"
"மனிதன்","மனிதன்","மனடனனற","மனழனனற","man","human"
"மனைவி","கணவன்","கணடடர","மனலமி","husband","wife"
"மாத்திரை","மாத்திரை","இலனத்திரை","பசஃத்திரை","tablet","pill"
"மாநாடு","அனாதை இல்லம்","அனாதைரtnse","மாநாஷஹ","orphanage","convent"
"மாயை","மாயை","மாஇட","மாஓன","illusion","hallucination"
"மார்க்கெட்டிங்","விளம்பரப்படுத்து","விளம்பரபரmaathavan","மார்கரmaathavan","advertising","marketing"
"மார்பின்","ஆஸ்பிரின்","ஆஸ் மனனள","சரஃர்பின்","aspirin","morphine"
"மார்பு","வயிறு","வயலது","மார்kr","stomach","chest"
"மாவட்டம்","கவுண்டி","கவமனiii","மாவரtnse","county","district"
"மாவு","தானிய","ꢒகனிய","மாgu","grain","flour"
"மாறாக","எதிர்","எததத்","மாஜஙக","opposite","contrary"
"மாற்றம்","நகர்வு","நகரனனச","மா மனனள","move","transfer"
"மாற்றம்","பரிணாமம்","பரிமனனனத","மா மனனள","evolution","mutation"
"மாற்று","பதிலாக","பதமனனக","wsற்று","replace","substitute"
"மிகவும்","மிகவும்","மிரtnse","மிசtnse","extremely","very"
"மிகைப்படுத்தப்பட்ட","குறைத்து மதிப்பிடு","குறைத்தரshrikarsan","மிகைப்படுரmaathavan","underestimate","exaggerate"
"மின்சார","காந்தங்கள்","காந் மனனள","மிசtnse","magnetic","electric"
"மின்சாரம்","தற்போதைய","தற் மனனள","மினசtnse","current","electricity"
"மிஷன்","பணி","சதி","nhஷன்","task","mission"
"மீட்டர்","கிலோமீட்டர்","கிலோமனiii","மீமனனனத","kilometer","meter"
"மீன்","சுறா","azறா","மீஇங","shark","fish"
"மீன்பிடித்தல்","வேட்டை","வேட்றஜ","மீன்பரmaathavan","hunting","fishing"
"முகவரி","எண்","தங்","முககடட","number","address"
"முகவர்","நிறுவனம்","எனஃறுவனம்","முகனனள","firm","agency"
"முகாம்","பிக்னிக்","பிக்னிஶர","னரகாம்","picnic","camping"
"முக்கியத்துவம்","அர்த்தம்","அர்மனiii","முக்கிரmaathavan","meaning","importance"
"முக்கியமான","மதிப்புமிக்க","மதிப்மனiii","முக் மனனள","valuable","important"
"முக்கோணம்","வட்டம்","வடதனனன","முகமனiii","circle","triangle"
"முடியவில்லை","இயலாமை","இயமனனய","முடிமனiii","inability","unable"
"முட்டாள்","அனுபவம் இன்றி","அனுபவமரtnse","நரனட்டாள்","naïve","stupid"
"முட்டாள்தனம்","பித்து","rxத்து","முட்ரmaathavan","madness","stupidity"
"முட்டை","கூடு","கூநங","முட்μg","nest","egg"
"முதலாளித்துவம்","அராஜகம்","அராதiii","முதலாளரmaathavan","anarchy","capitalism"
"முதலீடு","நிதி","oeதி","முமனiii","finance","invest"
"முதலீட்டாளர்","வங்கியாளர்","வங்கமனiii","முதலீ மனனள","banker","investor"
"முதன்மை","இரண்டாம் நிலை","இரண்டரmaathavan","pqதன்மை","secondary","primary"
"முயல்","நரி","அமி","ueயல்","fox","rabbit"
"முயற்சி","முயற்சி","முமனனனத","முசtnse","try","attempt"
"முழங்கால்","தோள்பட்டை","தோளரtnse","முழரtnse","shoulder","knee"
"முழு","காலியாக","காசtnse","முஇந","empty","full"
"முழுமை","மொத்தம்","மொரtnse","முழுஞண","total","complete"
"முள் கரண்டி","ஸ்பூன்","ஸ்பூgu","முள்ரtnse","spoon","fork"
"முற்றிலும்","முற்றிலும்","கரனஃற்றிலும்","தயனனற்றிலும்","absolutely","completely"
"முன்மாதிரி","மாதிரி","மாதிஆற","இலனனன்மாதிரி","model","prototype"
"முன்னேற்றம்","மாற்றம்","மாரtnse","முன்சtnse","change","improvement"
"முன்னோக்கு","பார்வை","பார்ஓர","வரஃ்னோக்கு","view","perspective"
"மூக்கு","வாய்","வாdq","ueக்கு","mouth","nose"
"மூடல்","திறப்பு","திசtnse","டளடல்","opening","closure"
"மூடிய","பூட்டப்பட்டது","பூட்டபரtnse","zuடிய","locked","closed"
"மூடுபனி","மேகம்","தஙகம்","மூமனனனத","cloud","fog"
"மூலோபாயம்","திட்டம்","திமனனனத","மூலமனனனத","plan","strategy"
"மூழ்கி","கழிவறை","கழகனனள","னமழ்கி","toilet","sink"
"மூன்று","ஒன்று","ஒனறகு","ctன்று","one","three"
"மெக்கானிக்கல்","தொழில்நுட்ப","தொழிரtnse","மெக்கரmaathavan","technical","mechanical"
"மெடாலியன்","கலைப்படைப்பு","கலைப்ரtnse","மெடமனனனத","artifact","medallion"
"மெர்சி","மன்னிப்பு","ஐயனனிப்பு","மெர்ஏஓ","forgiveness","mercy"
"மெல்","விழுங்க","விரtnse","மெஊல","swallow","chew"
"மெழுகுவர்த்தி","விளக்கு","விமனiii","மெழுகரmaathavan","lamp","candle"
"மென்மையான","மென்மையான","மெனமனiii","மெனமனiii","soft","gentle"
"மேயர்","ஷெரிப்","ஷெரிஉற","δhயர்","sheriff","mayor"
"மேல்","குறைந்த","குமனனனத","மேஈஐ","lower","upper"
"மேற்கு","தெற்கு","தெற்இங","மேற்cm","southern","western"
"மேற்பரப்பில்","அடுக்கு","அட மனனள","மேற்பரtnse","layer","surface"
"மோசடி","சதி","பணி","ளனசடி","conspiracy","fraud"
"மோசமாக","நல்ல","நலwd","மோமனனக","good","bad"
"யதார்த்தமான","நம்பிக்கை","நம்சtnse","யதார்சtnse","optimistic","realistic"
"யோசி","கருத்தில் கொள்ளுங்கள்","கருத்தில்ரshrikarsan","யோiu","consider","think"
"ரக்கூன்","அணில்","அணயச்","ரகமனனனத","squirrel","raccoon"
"ராப்","திருடு","திருiq","ராஇண","steal","rob"
"ருசியான","சுவையான","சுமனனனத","ருசtnse","tasty","delicious"
"ரோந்து","பாதுகாப்பு","தயனனதுகாப்பு","ரோந்கஏ","guard","patrol"
"ரோம்","சீசர்","tbசர்","ரோநஸ","caesar","rome"
"லவர்","எஜமானி","எஜமjpg","லவஉர","mistress","lover"
"லிங்க்","ming","miரஸ","லிங்னந","ming","ling"
"லெப்டினென்ட்","சார்ஜென்ட்","வரஃர்ஜென்ட்","லெரmaathavan","sergeant","lieutenant"
"வடக்கு","தெற்கு","தெற்இங","வடககடட","south","north"
"வடு","பச்சை","பசனஸை","பறு","tattoo","scar"
"வட்ட பாதையில் சுற்றி","பிளானட்","ஊணளானட்","வட்ட பாதரshrikarsan","planet","orbit"
"வணிக","தொழில்","தொழிkr","வணஇந","industry","business"
"வணிகர்","வணிக ரீதியாக","வணிக ரtnse","வணககடட","commercial","merchant"
"வயிற்றுலியல்","முதுகெலும்பு","முதுரmaathavan","வயிற்ரtnse","spinal","abdominal"
"வருகிறேன்","வணக்கம்","வணகயனனம","வருமனனனத","hello","bye"
"வருமானம்","லாபம்","ஈஙபம்","வரமனனனத","profit","income"
"வரை","பெயிண்ட்","கதனயிண்ட்","படை","paint","draw"
"வரை","கீழ்","ntழ்","படை","down","up"
"வரையறை","கருத்து","கரமனiii","வரமனனக","concept","definition"
"வலி","துன்பம்","து மனனள","அடி","suffering","pain"
"வலுவாக","உறுதியாக","உறுமனனனத","வலதனனக","firmly","strongly"
"வலை","இணையதளம்","இணையசtnse","உரை","internet","web"
"வழக்கமாக","சாதாரண","சாதனனக","வழக்மனiii","ordinary","usual"
"வழக்கறிஞர்","வழக்கறிஞர்","வழக்கரmaathavan","வழக்கரmaathavan","lawyer","prosecutor"
"வழங்கவும்","இயக்கு","இயகனனள","வழங்மனiii","enable","provide"
"வழிகாட்டி","சூழ்ச்சி","ஃபஃழ்ச்சி","வழிசtnse","magic","wizard"
"வளர்ச்சி","முன்னேற்றம்","முன்மனiii","வளரரtnse","progress","development"
"வளிமண்டலங்கள்","சுற்றுச்சூழல்","சுற்றரmaathavan","வளிமண்டரmaathavan","environment","atmosphere"
"வா","வருகை","வரமறை","üb","arrive","come"
"வாக்களிக்கவும்","பெரும்பான்மை","பெரரmaathavan","வாக்களரmaathavan","majority","vote"
"வாக்காளர்","வேட்பாளர்","வேடமனiii","வாகசtnse","candidate","voter"
"வாக்கியம்","சொல்","mvல்","வாக மனனள","word","sentence"
"வாக்குறுதி","உத்தரவாதம்","உத்தரரmaathavan","பதனனக்குறுதி","guarantee","promise"
"வாங்குபவர்","விற்பனையாளர்","விற்ப மனனள","வாங்மனனனத","seller","buyer"
"வாசனை","ருசி","ருlh","ஜபசனை","taste","smell"
"வாசனை","லிப்ஸ்டிக்","ஃபனனப்ஸ்டிக்","ஜபசனை","lipstick","perfume"
"வாடகை","வாடகை","ஞமடகை","oeடகை","hire","rent"
"வாடிக்கையாளர்","நோயாளி","நோயாஇற","வாடிகரmaathavan","patient","client"
"வாட்சன்","ஷெர்லாக்","இலனர்லாக்","வாமனனனத","sherlock","watson"
"வாத்து","வாத்து","ரறத்து","வாத்ba","goose","duck"
"வாம்பயர்","சோம்பை","ndம்பை","வாமசtnse","zombie","vampire"
"வாயில்","இணைய முகப்பு","இணைய மனனனத","வாயிஏர","portal","gate"
"வாய்ப்பு","நிகழ்தகவு","நிகழமனiii","ஏனனய்ப்பு","probability","likely"
"வாரம்","மாதம்","xkதம்","rpரம்","month","week"
"வாராந்திர","தினசரி","திகனனர","வாரமனiii","daily","weekly"
"வாரியர்","சிப்பாய்","அரஃப்பாய்","வாரtnse","soldier","warrior"
"வாழ்த்துக்கள்","வாழ்த்து","எமஃழ்த்து","வாழ்தரmaathavan","congratulate","greet"
"வான்","டிரெய்லர்","டிர மனனள","டஐன்","trailer","van"
"விசாரணை","ஆராயுங்கள்","ஆராய மனனள","விசtnse","examine","investigate"
"விசித்திரமாக","அசாதாரண","அசாரனனச","விசித மனனள","unusual","strange"
"விசில்","கொம்பு","bhம்பு","oiசில்","horn","whistle"
"விசுவாசம்","நம்பிக்கை","நம்சtnse","விசசtnse","hope","faith"
"விஞ்ஞானம்","தொழில்நுட்பம்","தொழிலரmaathavan","அறனஞ்ஞானம்","technology","science"
"விஞ்ஞானி","மேதை","மே௦௦","ஒனனஞ்ஞானி","genius","scientist"
"விடு","அனுமதி","அனமjpg","fxடு","allow","let"
"விடுமுறை","கிறிஸ்துமஸ்","கிறி மனனள","இஸஃடுமுறை","christmas","holiday"
"விதியின்","விதி","விnl","ஈமஃதியின்","fate","destiny"
"விபத்து","சம்பவம்","சம்தனனக","வி மனனள","incident","accident"
"விமான நிலையங்கள்","முனையத்தில்","முனைரtnse","விமான நரmaathavan","terminal","airport"
"விமானம்","இறங்கும்","இறங மனனள","விஸதனம்","landing","flight"
"விருப்பம்","தேர்வு","தேர்jp","விரசtnse","choice","option"
"விரும்பத்தகாத","சங்கடமான","சங்கரtnse","விரும்மனiii","uncomfortable","unpleasant"
"விரும்பும்","விருப்பம்","விரமனனனத","ஸடனஃரும்பும்","desire","wish"
"விரைவாக","மெதுவாக","மெரtnse","விரtnse","slowly","quickly"
"விலங்கு","பீஸ்ட்","ஔகஸ்ட்","விமனiii","beast","animal"
"விலை","மதிப்பு","மதசtnse","விஓஸ","value","price"
"விவாதம்","உரையாடல்","உரைமனனனத","விசtnse","conversation","discussion"
"விழா","திருவிழா","வலஃருவிழா","விlh","carnival","festival"
"விழா","சடங்கு","சடடனனற","விlh","ritual","ceremony"
"விளக்கம்","பதிவகம்","பதிபiii","விளமனனனத","profile","description"
"விளையாட்டு","பொழுதுபோக்கு","பொழுரmaathavan","தயனனளையாட்டு","hobby","sport"
"விளையாட்டு","விளையாட்டு","ஃபனனளையாட்டு","தயனனளையாட்டு","play","game"
"விளைவு","விளைவாக","விமனனனத","இஜளைவு","result","outcome"
"விளைவு","செல்வாக்கு","தயனனல்வாக்கு","இஜளைவு","influence","effect"
"விறைப்பு","உற்சாகம்","உற்சtnse","ஹலஃறைப்பு","orgasm","erection"
"விற்க","வாங்க","வாறகக","விநஸக","buy","sell"
"விற்பனை","ஏலம்","ஏலஆழ","வி மனனள","auction","sale"
"வெகுமதி","போனஸ்","ctனஸ்","வெமனiii","bonus","reward"
"வெங்காயம்","பூண்டு","பூண்kg","வெஙரtnse","garlic","onion"
"வெடிக்கும்","வெடிக்க","வெமனனனத","இலனனடிக்கும்","burst","explode"
"வெடிப்பு","நிலநடுக்கம்","நிலநடசtnse","லரனடிப்பு","earthquake","explosion"
"வெடிப்பு","குண்டு","குண்wl","லரனடிப்பு","bomb","explosive"
"வெட்டு","கண்ணீர்","கணமனனனத","வெட்ஏம","tear","cut"
"வெண்ணிலா","இலவங்கப்பட்டை","இலவங்கபரmaathavan","நயஃண்ணிலா","cinnamon","vanilla"
"வெண்ணெய்","தேன்","rrன்","அடனண்ணெய்","honey","butter"
"வெப்ப நிலை","வெப்ப","இஏப்ப","ஸடனஃப்ப நிலை","heat","temperature"
"வெவ்வேறு","இதே போன்ற","பயனே போன்ற","அரனவ்வேறு","similar","different"
"வெளிப்படையாக","தெளிவாக","தெமனனனத","வெளிபமனனனத","clearly","obviously"
"வெளிப்புற","உள்","இச்","வெளமனiii","internal","external"
"வெள்ளி","கோல்டன்","கோமனனனத","ivள்ளி","golden","silver"
"வெள்ளி","செவ்வாய்","தபனவ்வாய்","ivள்ளி","mars","venus"
"வெறுப்பூட்டும்","அழுக்கு","அழரtnse","வெறுபரmaathavan","dirty","disgusting"
"வெற்றி","நிர்வகி","நிரtnse","வெற்fp","manage","succeed"
"வெற்றி","ஆதாயம்","ஆதவதயம","வெற்fp","gain","win"
"வெற்றி","தோல்வி","தோல்pu","வெற்fp","loser","winner"
"வேகமாக","மெதுவாக","மெரtnse","வேதனனக","slow","fast"
"வேகம்","தூரம்","யஈரம்","அனகம்","distance","speed"
"வேடிக்கை","அறிவாற்ற்ல்","அறிவமனiii","ஏளனடிக்கை","witty","funny"
"வேட்கை","உற்சாகம்","உற்சtnse","பஒட்கை","enthusiasm","passion"
"வேட்டையாடு","இரையை","இரநதை","ஸடனஃட்டையாடு","prey","predator"
"வேண்டுகோள்","தேவை","ஏளவை","மமனனண்டுகோள்","demand","request"
"வேண்டுமென்றே","தற்செயலாக","தற்சமனiii","வேணரmaathavan","accidentally","intentionally"
"வேலி","சுவர்","lpவர்","ogலி","wall","fence"
"வேலை","பணி","சதி","vuலை","job","work"
"வேலைக்காரன்","அடிமை","உரிமை","வேலை மனனள","slave","servant"
"வேலைநிறுத்தம்","வெற்றி","ஓளற்றி","வேலைநரmaathavan","hit","strike"
"வை","பிடி","னபடி","ال","hold","keep"
"வைட்டமின்","புரத","rgரத","வைட மனனள","protein","vitamin"
"வைத்து","செருகு","hsருகு","qtத்து","insert","put"
"ஜனநாயகம்","சுதந்திரம்","சுதநரtnse","ஜனநா மனனள","freedom","democracy"
"ஜனாதிபதி","அதிபர்","அதமனனய","ஜனாரtnse","chancellor","president"
"ஜாக்கெட்","சட்டை","சடரனை","ரபஃக்கெட்","shirt","jacket"
"ஜூலியட்","ரோமியோ","ரோமிஓள","ஜூமனனனத","romeo","juliet"
"ஜூலை","ஜூன்","δhன்","ஜூஐன","june","july"
"ஜூனியர்","மூத்த","மூரயத","ஜூமனனனத","senior","junior"
"ஸ்ட்ராபெரி","வாழை","dwழை","ஜகனனட்ராபெரி","banana","strawberry"
"ஸ்ட்ரோல்","nap","ssp","ஈமஃட்ரோல்","nap","stroll"
"ஸ்பாகெட்டி","மாவடை","fxவடை","தயனனபாகெட்டி","lasagna","spaghetti"
"ஹாம்பர்கர்","சாண்ட்விச்","தயனனண்ட்விச்","ஹாம்ரtnse","sandwich","hamburger"
"ஹீரோயின்","கோகோயின்","வலஃகோயின்","வரஃரோயின்","cocaine","heroin"
"ஹெலிகாப்டர்","மருத்துவ அவசர ஊர்தி","மருத்துவ அரshrikarsan","ஹெலிசtnse","ambulance","helicopter"
"ஹைட்ரஜன்","கார்பன்","காரtnse","ஹைடமனனனத","carbon","hydrogen"
