"ur_cue","ur_target","type","cue_type","target_type","ur_cosine"
"لول","پنیر","nonword","nonword","word",NA
"وسس","کنیت","nonword","nonword","word",NA
"گروا","واقعی","nonword","nonword","word",NA
"iz","نلی","nonword","nonword","word",NA
"مطالنف","سلطنت","nonword","nonword","word",NA
"مصثات","ذرہ","nonword","nonword","word",NA
"یوط","سٹریٹ","nonword","nonword","word",NA
"وناح","شخصیت","nonword","nonword","word",NA
"فارگ","انصاف","nonword","nonword","word",NA
"ادیمپ","جانور","nonword","nonword","word",NA
"دامبر","پیٹ","nonword","nonword","word",NA
"حفجوت","وہی","nonword","nonword","word",NA
"ڈیپل","برادری","nonword","nonword","word",NA
"ولدائی","موم بتی","nonword","nonword","word",NA
"دلتاپ","کلائنٹ","nonword","nonword","word",NA
"پرھتشش","جملہ","nonword","nonword","word",NA
"یوط","تباہی","nonword","nonword","word",NA
"دلاے","اسسٹنٹ","nonword","nonword","word",NA
"دمصل","دروازے","nonword","nonword","word",NA
"بیڈلاقوامی","غیر ذمہ دار","nonword","nonword","word",NA
"جلرن","ہفتے","nonword","nonword","word",NA
"زلجرے","پرائمری","nonword","nonword","word",NA
"حف","آٹا","nonword","nonword","word",NA
"نگٹ","ہمیشہ کے لئے","nonword","nonword","word",NA
"ؤکاؤڈ","کارکردگی","nonword","nonword","word",NA
"ساشد","کہیں","nonword","nonword","word",NA
"یٹھ","گریجویٹ","nonword","nonword","word",NA
"روپو","حال ہی میں","nonword","nonword","word",NA
"ٹوی","رقم","nonword","nonword","word",NA
"میاب","چھوڑ دو","nonword","nonword","word",NA
"آدھیئيات","بیگ","nonword","nonword","word",NA
"سندب","غیر ملکی","nonword","nonword","word",NA
"baیب","قابل ذکر","nonword","nonword","word",NA
"نچم","اوپری","nonword","nonword","word",NA
"میرامچن","معمول","nonword","nonword","word",NA
"سامنی","آگاہ کرنا","nonword","nonword","word",NA
"شاکاتہ","سرمایہ داری","nonword","nonword","word",NA
"تعیسات","دھول","nonword","nonword","word",NA
"حصانہ","اضافی","nonword","nonword","word",NA
"دیزیو","جیول","nonword","nonword","word",NA
"پیاںش","لڑاکا","nonword","nonword","word",NA
"معامند","پیغام","nonword","nonword","word",NA
"چکیدگی","روم","nonword","nonword","word",NA
"زیم","بحث","nonword","nonword","word",NA
"پروڈیوتس","چاقو","nonword","nonword","word",NA
"بڈنت","وٹامن","nonword","nonword","word",NA
"سراس","حکومت","nonword","nonword","word",NA
"پاریڈ","امیر","nonword","nonword","word",NA
"غروبكمفتاب","مخلوق","nonword","nonword","word",NA
"پییک","فورس","nonword","nonword","word",NA
"مسئزر","یونیفارم","nonword","nonword","word",NA
"ڈرجمنا","منصوبہ بندی","nonword","nonword","word",NA
"تخری","نقطہ نظر","nonword","nonword","word",NA
"شوگ","جیت","nonword","nonword","word",NA
"اؤنٹ","وارث","nonword","nonword","word",NA
"دوبن","چھٹیوں","nonword","nonword","word",NA
"راکره","انٹیلجنٹ","nonword","nonword","word",NA
"بخeg","ڈرا","nonword","nonword","word",NA
"ردی کیسکوکری","سپنر","nonword","nonword","word",NA
"دووب","فیکس","nonword","nonword","word",NA
"لسن","تجویز","nonword","nonword","word",NA
"ہزاکارانہ","مجرم","nonword","nonword","word",NA
"فاقعے","مدار","nonword","nonword","word",NA
"رقتھہ","وینٹیلیشن","nonword","nonword","word",NA
"کپم","بیڈروم","nonword","nonword","word",NA
"داخلنغریں","یقین","nonword","nonword","word",NA
"لکو","پروگرام","nonword","nonword","word",NA
"اؤن","حفاظت","nonword","nonword","word",NA
"ہوts","ڈاؤن لوڈ، اتارنا","nonword","nonword","word",NA
"نسد","چیس","nonword","nonword","word",NA
"auید","لباس","nonword","nonword","word",NA
"تخری","روانگی","nonword","nonword","word",NA
"تاح","انفرادی","nonword","nonword","word",NA
"ٹنک","بند کریں","nonword","nonword","word",NA
"انکویرے","دلہن","nonword","nonword","word",NA
"تيسر","سرمایہ کاری","nonword","nonword","word",NA
"نگڑے","کیا","nonword","nonword","word",NA
"ڈرامرتی","سٹو","nonword","nonword","word",NA
"راte","الفا","nonword","nonword","word",NA
"فرقا","جہاز","nonword","nonword","word",NA
"طبگڑیات","علاج","nonword","nonword","word",NA
"گشی","داخلہ","nonword","nonword","word",NA
"ﻠﺲ","پیلا","nonword","nonword","word",NA
"ریکالو","موسیقی","nonword","nonword","word",NA
"جنریکو","خواہش","nonword","nonword","word",NA
"ڈوترین","اختیار","nonword","nonword","word",NA
"لامبو","سور","nonword","nonword","word",NA
"مررش","اندر","nonword","nonword","word",NA
"رقلم","کوشش","nonword","nonword","word",NA
"کمبلے کم","معمولی","nonword","nonword","word",NA
"ٹیکنالروی","کچھ","nonword","nonword","word",NA
"تکلمند","پکڑنے","nonword","nonword","word",NA
"تخرکدت","انفیکشن","nonword","nonword","word",NA
"ؤنچ","عملی طور پر","nonword","nonword","word",NA
"پرزبڈ","آسمانی","nonword","nonword","word",NA
"زل","دھماکہ","nonword","nonword","word",NA
"سالگژر","دستاویز","nonword","nonword","word",NA
"سہجا","مکمل طور پر","nonword","nonword","word",NA
"بھbl","کھیل ہی کھیل میں","nonword","nonword","word",NA
"کیںآ","نامعلوم","nonword","nonword","word",NA
"جاسونا","مناسب","nonword","nonword","word",NA
"لاصہنا","مباحثہ","nonword","nonword","word",NA
"شورچ","باس","nonword","nonword","word",NA
"مشہونششخصیت","رضاکارانہ طور پر","nonword","nonword","word",NA
"روغلے","نفسیاتی","nonword","nonword","word",NA
"پہی","بت","nonword","nonword","word",NA
"diدور","بازو","nonword","nonword","word",NA
"apان","فیڈریشن","nonword","nonword","word",NA
"پلیٹدسارم","قتل","nonword","nonword","word",NA
"میکریٹ","تہذیب","nonword","nonword","word",NA
"مشاف","موٹی","nonword","nonword","word",NA
"کام کرپنہا ہے","علم","nonword","nonword","word",NA
"زیم","روشنی","nonword","nonword","word",NA
"سرکاری طورجنر","پھل","nonword","nonword","word",NA
"چڑیاعیھر","سیست","nonword","nonword","word",NA
"جیال","ماحول","nonword","nonword","word",NA
"انوپار","الجھاؤ","nonword","nonword","word",NA
"مااجات","خوبصورتی","nonword","nonword","word",NA
"بیغیر","ناک","nonword","nonword","word",NA
"اندنشن","ہم آہنگی","nonword","nonword","word",NA
"ئى","سالگرہ","nonword","nonword","word",NA
"ٹینگا","ویمپائر","nonword","nonword","word",NA
"حنت","لکھنا","nonword","nonword","word",NA
"کھٹو","ستارہ","nonword","nonword","word",NA
"وینیں","سپتیٹی","nonword","nonword","word",NA
"تمیمکو نوشی","ظاہر ہے","nonword","nonword","word",NA
"تمبالک","دسمبر","nonword","nonword","word",NA
"تعdo","مرچنٹ","nonword","nonword","word",NA
"مبارزوہو","شکاری","nonword","nonword","word",NA
"خاجھان","بیئر","nonword","nonword","word",NA
"سنجیی","علامات","nonword","nonword","word",NA
"احنکس","شیف","nonword","nonword","word",NA
"کاندر","تمغے","nonword","nonword","word",NA
"بابڑچیت","لوگ","nonword","nonword","word",NA
"مکامات","پیاز","nonword","nonword","word",NA
"بیحیالخلاء","مظاہرہ","nonword","nonword","word",NA
"نوربی","گوریلا","nonword","nonword","word",NA
"زاف","بہرا","nonword","nonword","word",NA
"ميار","نمائش","nonword","nonword","word",NA
"ڈرائٹر","گرام","nonword","nonword","word",NA
"برمدک","بندش","nonword","nonword","word",NA
"لحر","وسیع","nonword","nonword","word",NA
"رامونیڈ","ایمرجنسی","nonword","nonword","word",NA
"گاور","اداکار","nonword","nonword","word",NA
"انیک","حساب","nonword","nonword","word",NA
"چاجی","خرچ","nonword","nonword","word",NA
"neافی","تعمیر","nonword","nonword","word",NA
"پالیون","مشہور","nonword","nonword","word",NA
"نقم","فٹ بال","nonword","nonword","word",NA
"مادک","مریض","nonword","nonword","word",NA
"مهار","ظالمانہ","nonword","nonword","word",NA
"سیمو","اٹلانٹک","nonword","nonword","word",NA
"نسگر","غدار","nonword","nonword","word",NA
"نٹل","بحران","nonword","nonword","word",NA
"پاٹریمان","وینیلا","nonword","nonword","word",NA
"گوئٹر","مشرق","nonword","nonword","word",NA
"ھاٹ","سامراا","nonword","nonword","word",NA
"ڈیروفیت","پوچھو","nonword","nonword","word",NA
"غراق","ٹہلنے","nonword","nonword","word",NA
"سنرج","علامت","nonword","nonword","word",NA
"اعت","سنڈروم","nonword","nonword","word",NA
"تشاس","ڈکیتی","nonword","nonword","word",NA
"شاہس","ٹائی","nonword","nonword","word",NA
"کبھی کبھیڑ","سرگرمی","nonword","nonword","word",NA
"کرونر","توانائی","nonword","nonword","word",NA
"ﺪﯼ","فنڈ","nonword","nonword","word",NA
"باسنابی","مسلسل","nonword","nonword","word",NA
"weر","تیل","nonword","nonword","word",NA
"صدار","خطرناک","nonword","nonword","word",NA
"ھڑ","حساس","nonword","nonword","word",NA
"مہمالات","ویکسین","nonword","nonword","word",NA
"شکر بخار","اشارہ","nonword","nonword","word",NA
"آفح","نقشہ","nonword","nonword","word",NA
"اورون","دباؤ","nonword","nonword","word",NA
"جنnd","میگزین","nonword","nonword","word",NA
"چاجی","پائلٹ","nonword","nonword","word",NA
"کلرالحکومت","خوردبین","nonword","nonword","word",NA
"کیریلو","بچت","nonword","nonword","word",NA
"شادر","سوراخ","nonword","nonword","word",NA
"کیداڈر","تحقیقات","nonword","nonword","word",NA
"ڈرشون","الوداع","nonword","nonword","word",NA
"فرمیہ","محرک کریں","nonword","nonword","word",NA
"نۃ","منگل کو","nonword","nonword","word",NA
"میاب","زیادہ سے زیادہ","nonword","nonword","word",NA
"اؤ","مائیکروفون","nonword","nonword","word",NA
"وڈورٹر","جنگ","nonword","nonword","word",NA
"چاہےلر","سیاستدان","nonword","nonword","word",NA
"صلاحتر","جنازہ","nonword","nonword","word",NA
"مگوری","ریکٹرٹر","nonword","nonword","word",NA
"کانیٹی","حیاتیاتی","nonword","nonword","word",NA
"ونچار","آفس","nonword","nonword","word",NA
"نڈل","متلی","nonword","nonword","word",NA
"تسا","پاگل","nonword","nonword","word",NA
"طویلن","شفقت","nonword","nonword","word",NA
"مخافر","گروپ","nonword","nonword","word",NA
"کيلمانہ","عنصر","nonword","nonword","word",NA
"وپی","سکھاؤ","nonword","nonword","word",NA
"واخل طور پر","خوف","nonword","nonword","word",NA
"ربرتی طور پر","پرندہ","nonword","nonword","word",NA
"عام طواءپر","انفیکشن","nonword","nonword","word",NA
"غیانمعمولی","باتھ روم","nonword","nonword","word",NA
"سزی","بیماری","nonword","nonword","word",NA
"موجونشی","کام","nonword","nonword","word",NA
"اساتقاق","نجات دہندہ","nonword","nonword","word",NA
"کنات","وقار","nonword","nonword","word",NA
"اندام زنانی","چھپائیں","nonword","nonword","word",NA
"القہ","منتخب کریں","nonword","nonword","word",NA
"مخﺎﻝ","شمال","nonword","nonword","word",NA
"اجراپی","ہم جنس پرست","nonword","nonword","word",NA
"لفہ","چیلنج","nonword","nonword","word",NA
"پرلا","فروخت","nonword","nonword","word",NA
"تجہیہ","دوا","nonword","nonword","word",NA
"سبور","بچپن","nonword","nonword","word",NA
"ولانسی","نفسیات","nonword","nonword","word",NA
"لفﺅں","گلی","nonword","nonword","word",NA
"mwت مند","ذہنی دباؤ","nonword","nonword","word",NA
"عنائ","ایٹمی","nonword","nonword","word",NA
"یئم","عام طور پر","nonword","nonword","word",NA
"ی وہ","کشتی","nonword","nonword","word",NA
"یند","آسان","nonword","nonword","word",NA
"کیاپولک","کارپوریشن","nonword","nonword","word",NA
"جالیس","سردی","nonword","nonword","word",NA
"ﻗﺮہ","کنسرٹ","nonword","nonword","word",NA
"یتلی","آرمی","nonword","nonword","word",NA
"آزطی","گلوبل","nonword","nonword","word",NA
"غیر معنگل","شیمپین","nonword","nonword","word",NA
"صوانک","محبت","nonword","nonword","word",NA
"الہی امشی","ٹیلی فون","nonword","nonword","word",NA
"هسo","بہتری","nonword","nonword","word",NA
"گشم","الہی","nonword","nonword","word",NA
"ہاراأموا","خوبصورت","nonword","nonword","word",NA
"باسکقیبال","مچھلی","nonword","nonword","word",NA
"بھحد","تجزیہ","nonword","nonword","word",NA
"انگرکسی","فلم","nonword","nonword","word",NA
"جیال","چٹنی","nonword","nonword","word",NA
"یغہ داری","معمار","nonword","nonword","word",NA
"خرنپنے","عمارت","nonword","nonword","word",NA
"نیشنمی","کیڑے","nonword","nonword","word",NA
"لمویش","خاموش","nonword","nonword","word",NA
"dnش","مواد","nonword","nonword","word",NA
"مالی طورشھر","کیپ","nonword","nonword","word",NA
"سرٹ","خوشی","nonword","nonword","word",NA
"buریشنل","لیکچر","nonword","nonword","word",NA
"ڈیاؤین اے","بٹ","nonword","nonword","word",NA
"ilوگراف","پیارا","nonword","nonword","word",NA
"نٹل","پرنس","nonword","nonword","word",NA
"طاen","ڈالر","nonword","nonword","word",NA
"دکچ","غیر متوقع طور پر","nonword","nonword","word",NA
"کانگنی","کینسر","nonword","nonword","word",NA
"کاوڈیول","مشن","nonword","nonword","word",NA
"نٹل","پناہ گاہ","nonword","nonword","word",NA
"مسسیق","اولین مقصد","nonword","nonword","word",NA
"غیانمعمولی","شاید ہی","nonword","nonword","word",NA
"عساحت","بھیڑیا","nonword","nonword","word",NA
"اسمرگھا","اثر","nonword","nonword","word",NA
"قائڈ","تحقیقات","nonword","nonword","word",NA
"ششش","راستہ","nonword","nonword","word",NA
"غیولقانونی","منظم","nonword","nonword","word",NA
"ڈلر","فورک","nonword","nonword","word",NA
"انتہر","مسئلہ","nonword","nonword","word",NA
"تشر","آرمی","nonword","nonword","word",NA
"خواہشی","بٹالین","nonword","nonword","word",NA
"کرآہٹ","معلومات","nonword","nonword","word",NA
"موریز","دوستانہ","nonword","nonword","word",NA
"وڈمت","مصنوعی","nonword","nonword","word",NA
"ٹکل","شادی","nonword","nonword","word",NA
"کاdb","توجہ مرکوز","nonword","nonword","word",NA
"جررینہ","کارٹیل","nonword","nonword","word",NA
"یرشلال","بیکار","nonword","nonword","word",NA
"چلر","کارکن","nonword","nonword","word",NA
"بچل","ڈائن","nonword","nonword","word",NA
"کمزلی","رسی","nonword","nonword","word",NA
"ماربا","کمزور","nonword","nonword","word",NA
"iz","ٹماٹر","nonword","nonword","word",NA
"رى","حقیقی","nonword","nonword","word",NA
"شنان","کاروباری","nonword","nonword","word",NA
"ئرڈ","سورج","nonword","nonword","word",NA
"ملینرؤالر","تصدیق","nonword","nonword","word",NA
"کابا","عیسائی","nonword","nonword","word",NA
"cz","سائنسدان","nonword","nonword","word",NA
"ائم","گاڑی","nonword","nonword","word",NA
"acالی","تعمیر","nonword","nonword","word",NA
"انہیام","چوتھائی","nonword","nonword","word",NA
"روکھ","تکبر","nonword","nonword","word",NA
"کبھیئمہیں","بے لوث","nonword","nonword","word",NA
"ریئى","جیل","nonword","nonword","word",NA
"کمانشا","لیمسین","nonword","nonword","word",NA
"باکرل","شادی","nonword","nonword","word",NA
"ریسو","نشے میں","nonword","nonword","word",NA
"کچپانہیں","شاید","nonword","nonword","word",NA
"قيت","ملاقات","nonword","nonword","word",NA
"کرایہ وش","اینٹی","nonword","nonword","word",NA
"ٹیمپ","دھماکے","nonword","nonword","word",NA
"جنجہ","بدقسمتی","nonword","nonword","word",NA
"رشتہإشار","برو","nonword","nonword","word",NA
"سبپژیرین","بیمار","nonword","nonword","word",NA
"ضي","بیوی","nonword","nonword","word",NA
"weر","پیکیج","nonword","nonword","word",NA
"عام طواءپر","مالک مالک","nonword","nonword","word",NA
"luپتال","چیمپئن شپ","nonword","nonword","word",NA
"رپافہ","خوفناک","nonword","nonword","word",NA
"سائک ویئر","رقص","nonword","nonword","word",NA
"muبوط","ضلع","nonword","nonword","word",NA
"انسپلار","بیٹا","nonword","nonword","word",NA
"نسیٹپرست","ہنسی","nonword","nonword","word",NA
"آریشن","سیال","nonword","nonword","word",NA
"افر","فراہم","nonword","nonword","word",NA
"رالنہ","دوپہر","nonword","nonword","word",NA
"یتزگریج","مثلث","nonword","nonword","word",NA
"عروجن","ابتدائی","nonword","nonword","word",NA
"کھانا کھاننا","الماری","nonword","nonword","word",NA
"مرانا","قاتل","nonword","nonword","word",NA
"یعیا","ریستوراں","nonword","nonword","word",NA
"غذی","تصدیق","nonword","nonword","word",NA
"داق","حادثہ","nonword","nonword","word",NA
"کھےمیں","احساس","nonword","nonword","word",NA
"کاسیات","جاننا","nonword","nonword","word",NA
"دوسری لجہ","کھوپڑی","nonword","nonword","word",NA
"کوششنئریں","لیس کرنے کی","nonword","nonword","word",NA
"شکریف","رومانوی","nonword","nonword","word",NA
"نگائیں","رفتار","nonword","nonword","word",NA
"شیen","تار","nonword","nonword","word",NA
"soا","عجیب","nonword","nonword","word",NA
"مکثو","ہارس","nonword","nonword","word",NA
"کنٹھی","کہکشاں","nonword","nonword","word",NA
"لسنک","مکھن","nonword","nonword","word",NA
"لثومر","فیسٹیول","nonword","nonword","word",NA
"ٹلز","برطانیہ","nonword","nonword","word",NA
"باؤں","تاوان","nonword","nonword","word",NA
"کیؤن","وزیر","nonword","nonword","word",NA
"گاست","سرنج","nonword","nonword","word",NA
"زانٹ","سستا","nonword","nonword","word",NA
"ناانو","مل","nonword","nonword","word",NA
"رمو","جنگلی میدان","nonword","nonword","word",NA
"نہلی","سیل","nonword","nonword","word",NA
"خدق","برطرفی","nonword","nonword","word",NA
"تذا","کھلونا","nonword","nonword","word",NA
"ri","مواصلات","nonword","nonword","word",NA
"مہنگ","بھیجیں","nonword","nonword","word",NA
"ڈپلوتی","چاکلیٹ","nonword","nonword","word",NA
"گاسے","متغیر","nonword","nonword","word",NA
"بسمی","اپ","nonword","nonword","word",NA
"اننے","مقامی","nonword","nonword","word",NA
"چویس","خط","nonword","nonword","word",NA
"اقت","مؤثر","nonword","nonword","word",NA
"راجگل","رہو","nonword","nonword","word",NA
"گنسو","cognac","nonword","nonword","word",NA
"کنسلے","کھانا","nonword","nonword","word",NA
"باان","گندی","nonword","nonword","word",NA
"ڈروس","وہاں","nonword","nonword","word",NA
"ریاہ","پریمی","nonword","nonword","word",NA
"بنہی","کینو","nonword","nonword","word",NA
"سوتشکا گوشت","دستخط","nonword","nonword","word",NA
"صلاحتر","ہیروئن","nonword","nonword","word",NA
"ٹیکھٹ","بیٹھے","nonword","nonword","word",NA
"یڈٹ","انگوٹھے","nonword","nonword","word",NA
"پوغسل","سیٹلائٹ","nonword","nonword","word",NA
"وردااپ","شیڈول","nonword","nonword","word",NA
"لغک","ڈنگ","nonword","nonword","word",NA
"افنا","دوڑ","nonword","nonword","word",NA
"انم","دولت","nonword","nonword","word",NA
"چائن","واٹسن","nonword","nonword","word",NA
"سکدے","قبول","nonword","nonword","word",NA
"جنپیو","ایڈنالین","nonword","nonword","word",NA
"چیمپئنکلپ","حیرت انگیز","nonword","nonword","word",NA
"ڈوکی","آکسیجن","nonword","nonword","word",NA
"ں کے","خادم","nonword","nonword","word",NA
"پڑبیا","تفصیل","nonword","nonword","word",NA
"صاھیں","سطح","nonword","nonword","word",NA
"ساخا","انڈہ","nonword","nonword","word",NA
"تحادی","ممنوعہ","nonword","nonword","word",NA
"اکریا","ڈرائیور","nonword","nonword","word",NA
"ستم ظرنری","بھاری","nonword","nonword","word",NA
"جھکل","سو","nonword","nonword","word",NA
"ze","موٹل","nonword","nonword","word",NA
"سائٹن","رہنما","nonword","nonword","word",NA
"سارجاء","حملہ","nonword","nonword","word",NA
"مومینار","ٹیکنالوجی","nonword","nonword","word",NA
"ٹیاوی","بلیک میل","nonword","nonword","word",NA
"حوید","کے بارے میں","nonword","nonword","word",NA
"پہرٹی","عجیب","nonword","nonword","word",NA
"کییتے","جرم","nonword","nonword","word",NA
"مارللیات","غلط","nonword","nonword","word",NA
"اشکمارات","تابکاری","nonword","nonword","word",NA
"انتقبل","کیک","nonword","nonword","word",NA
"جاشہداد","گرنے","nonword","nonword","word",NA
"کرایڪندار","پادری","nonword","nonword","word",NA
"بینکھر","دلکش","nonword","nonword","word",NA
"دورین","مضحکہ خیز","nonword","nonword","word",NA
"والد صواب","بیان","nonword","nonword","word",NA
"ماوت","تصوراتی، بہترین","nonword","nonword","word",NA
"صدار","عملدرآمد","nonword","nonword","word",NA
"تعbi","ایماندار","nonword","nonword","word",NA
"aiتی","ردی کی ٹوکری","nonword","nonword","word",NA
"کم از شے","سگریٹ","nonword","nonword","word",NA
"چاپلڑیی","تصویر","nonword","nonword","word",NA
"تبدیل کراد","مدد","nonword","nonword","word",NA
"reتقاء","خزاں","nonword","nonword","word",NA
"استےل","شمسی توانائی","nonword","nonword","word",NA
"دالنہ","گرج","nonword","nonword","word",NA
"معنکم","سمندر","nonword","nonword","word",NA
"بير","ب","nonword","nonword","word",NA
"شاءا","تیز","nonword","nonword","word",NA
"سے نكات","اندھیرے","nonword","nonword","word",NA
"ٹرجی","سگریٹ","nonword","nonword","word",NA
"محاضظ","گوشت","nonword","nonword","word",NA
"حضمن","امریکہ","nonword","nonword","word",NA
"اسی لاح","گمشدہ","nonword","nonword","word",NA
"موصوٹر","چلنا","nonword","nonword","word",NA
"سیناے","پھول","nonword","nonword","word",NA
"مروٹہ","تخت","nonword","nonword","word",NA
"ئود","پرسکون","nonword","nonword","word",NA
"بیورٹ","پرواز","nonword","nonword","word",NA
"ئٹل","بیرونی","nonword","nonword","word",NA
"فلذدہ","بولا","nonword","nonword","word",NA
"مبارتی","بدصورت","nonword","nonword","word",NA
"کسدہ","درجہ حرارت","nonword","nonword","word",NA
"مجموکو","قلم","nonword","nonword","word",NA
"درھر","خوشگوار","nonword","nonword","word",NA
"صدار","سنکیکل","nonword","nonword","word",NA
"حف","تلفظ","nonword","nonword","word",NA
"دساحمت","شکرگزاری","nonword","nonword","word",NA
"ومامہ","مضبوطی سے","nonword","nonword","word",NA
"سفیدار","نمونہ","nonword","nonword","word",NA
"مصثات","دفن","nonword","nonword","word",NA
"نیگا","گرفتاری","nonword","nonword","word",NA
"ہملبہ","درخواست","nonword","nonword","word",NA
"رجرب","تخلیقی صلاحیت","nonword","nonword","word",NA
"ائم","قید","nonword","nonword","word",NA
"مقسیل","شہنشاہ","nonword","nonword","word",NA
"گلورہ","شہر","nonword","nonword","word",NA
"شافق","لیار","nonword","nonword","word",NA
"امانڈ","استعمال","nonword","nonword","word",NA
"پسرتی","روایتی","nonword","nonword","word",NA
"سوبت","ٹشو","nonword","nonword","word",NA
"مضبوطیگیے","کرایہ","nonword","nonword","word",NA
"مضحکہ نلز","انعام","nonword","nonword","word",NA
"داز","ہفتہ وار","nonword","nonword","word",NA
"تحفاق","ٹوپی","nonword","nonword","word",NA
"احاراج","سوٹکیس","nonword","nonword","word",NA
"امبنان","قابل فہم","nonword","nonword","word",NA
"معتر کر دو","مدد","nonword","nonword","word",NA
"اتاہدہ","کرسی","nonword","nonword","word",NA
"ڈیسن","حکمت عملی","nonword","nonword","word",NA
"انبریئر","فرانسیسی","nonword","nonword","word",NA
"ہنم","گواہی","nonword","nonword","word",NA
"عاگم","بدقسمتی","nonword","nonword","word",NA
"شہدار","سخت","nonword","nonword","word",NA
"جنرگی","شفا","nonword","nonword","word",NA
"آزادانہ طوعہپر","عنوان","nonword","nonword","word",NA
"abیجہ","دوپہر کا کھانا","nonword","nonword","word",NA
"تمہ","فنکشنل","nonword","nonword","word",NA
"علسبائی","پرائیویسی","nonword","nonword","word",NA
"اؤ","سنک","nonword","nonword","word",NA
"ائلی","منفرد","nonword","nonword","word",NA
"بایزل","مرکب","nonword","nonword","word",NA
"ومد","دانت","nonword","nonword","word",NA
"اؤنیکی","مضمون","nonword","nonword","word",NA
"دداش","ووڈکا","nonword","nonword","word",NA
"دیزیو","اعتراف","nonword","nonword","word",NA
"کالجرنس","اعصابی","nonword","nonword","word",NA
"وسک","بند","nonword","nonword","word",NA
"ممنویش","ناراض","nonword","nonword","word",NA
"منبشانہ","اخبار","nonword","nonword","word",NA
"منتختزکریں","سنا","nonword","nonword","word",NA
"زردام","مرنا","nonword","nonword","word",NA
"دوجھا","خانقاہ","nonword","nonword","word",NA
"پگوچ","شادی شدہ","nonword","nonword","word",NA
"مباری","سادہ","nonword","nonword","word",NA
"بندوینت","جاسوس","nonword","nonword","word",NA
"اجپنت","جادوگر","nonword","nonword","word",NA
"خصلحی","جسمانی","nonword","nonword","word",NA
"piبت","گیراج","nonword","nonword","word",NA
"ینر","لڑائی","nonword","nonword","word",NA
"آنلک","سیاسی","nonword","nonword","word",NA
"پرپاشتمل ہے","صبح","nonword","nonword","word",NA
"سمفکشناسی","بار","nonword","nonword","word",NA
"ہوke","ساحل","nonword","nonword","word",NA
"غزلی","سمجھو","nonword","nonword","word",NA
"استمین","گولی","nonword","nonword","word",NA
"موصو گرما","کامیاب","nonword","nonword","word",NA
"کروکار","لڑکا","nonword","nonword","word",NA
"نلز","ماہی گیری","nonword","nonword","word",NA
"چرصل","چھپکلی","nonword","nonword","word",NA
"شیڈا","ترتیب","nonword","nonword","word",NA
"کیﺪﺙ","عدم موجودگی","nonword","nonword","word",NA
"کلفلیٹر","مطالعہ","nonword","nonword","word",NA
"ٹورنامیو","تیرنا","nonword","nonword","word",NA
"آرہےیکٹ","بھائی","nonword","nonword","word",NA
"راین","چیپل","nonword","nonword","word",NA
"پلسزبوا","گولی مار","nonword","nonword","word",NA
"soب خانہ","ماہر","nonword","nonword","word",NA
"سمندریشراکو","جج","nonword","nonword","word",NA
"غیر آراملظہ","عقیدت","nonword","nonword","word",NA
"یمد","ہوائی اڈہ","nonword","nonword","word",NA
"رایئکا کھانا","ملک","nonword","nonword","word",NA
"ودہ","پٹھوں","nonword","nonword","word",NA
"کارلابی","انجن","nonword","nonword","word",NA
"اتنام","والٹ","nonword","nonword","word",NA
"abیجہ","خبریں","nonword","nonword","word",NA
"ہیne","سائنس","nonword","nonword","word",NA
"گوم","والد","nonword","nonword","word",NA
"فامل","مختلف","nonword","nonword","word",NA
"ٹنبر","بلیو","nonword","nonword","word",NA
"نیآخورک","نشان","nonword","nonword","word",NA
"معال","مقام","nonword","nonword","word",NA
"ذین","شکایات","nonword","nonword","word",NA
"الدڑ","قلعہ","nonword","nonword","word",NA
"گنسو","رومانش","nonword","nonword","word",NA
"اننڈومی","بطخ","nonword","nonword","word",NA
"شنی","غلطی","nonword","nonword","word",NA
"کماوس","کتاب","nonword","nonword","word",NA
"دیسکیں","شعلہ","nonword","nonword","word",NA
"زعپ","ایمان","nonword","nonword","word",NA
"گیامی، نگارخانہ","پریس","nonword","nonword","word",NA
"مائس","اپارٹمنٹ","nonword","nonword","word",NA
"گلت","شیطان","nonword","nonword","word",NA
"ہلور","وادی","nonword","nonword","word",NA
"نیانا","دفاع","nonword","nonword","word",NA
"نیاس","مفت","nonword","nonword","word",NA
"اواس","دھول","nonword","nonword","word",NA
"کمام","ایمانداری","nonword","nonword","word",NA
"دھتو","فرض","nonword","nonword","word",NA
"يں","آو","nonword","nonword","word",NA
"فيمت","انجکشن","nonword","nonword","word",NA
"ئرڈ","میچ","nonword","nonword","word",NA
"کابون","پتھر","nonword","nonword","word",NA
"انگواڑ","پرواز","nonword","nonword","word",NA
"پگھے","نغمہ","nonword","nonword","word",NA
"نگڑی","گیلا","nonword","nonword","word",NA
"اجتمکری","فروخت","nonword","nonword","word",NA
"مفتول","موسم سرما","nonword","nonword","word",NA
"الرا","رویہ","nonword","nonword","word",NA
"فالی","اسکول","nonword","nonword","word",NA
"ارینہ","شکریہ","nonword","nonword","word",NA
"غریہ","کلاسک","nonword","nonword","word",NA
"ہم جنستارست","درخت","nonword","nonword","word",NA
"لحدی","مساج","nonword","nonword","word",NA
"مساگاہٹ","قرض","nonword","nonword","word",NA
"واڈم","درست","nonword","nonword","word",NA
"ٹرمیزم","واپسی","nonword","nonword","word",NA
"بنادد","وان","nonword","nonword","word",NA
"کواسن","جاری رہے","nonword","nonword","word",NA
