"tr_target","tr_cue","tr_fake_cue","tr_fake_target","en_cue","en_target"
"yukarı","aşağı","yatğı","yumurtrı","down","up"
"yüksek","düşük","düica","uyusek","low","high"
"yükseklik","ağırlık","gençlık","yükkrallik","weight","height"
"yükseklik","majesteli","marilynteli","yükkrallik","majesty","highness"
"yumurta","yuva","yuger","yuanahta","nest","egg"
"yunan","roma","çırma","yumuz","roman","greek"
"yürümek","koşmak","matmak","yürüland","run","walk"
"yüz","bin","ern","onz","thousand","hundred"
"yüzey","katman","katlet","yüdog","layer","surface"
"yüzmek","bastırmak","alıştırmak","vişmek","drown","swim"
"zamanlayıcı","detonluk","deedeeluk","zawitchblayıcı","detonator","timer"
"zayıf","kuvvetli","ateşvetli","zahou","strong","weak"
"zeki","akıllı","özellı","psiki","smart","intelligent"
"zengin","yoksul","yokgas","zenlır","poor","rich"
"zıplamak","tırmanmak","tıraçılmak","omuzlamak","climb","jump"
"zırh","cephanelik","cephaneumann","zıua","arsenal","armory"
"zırh","kalkan","kalgim","zıua","shield","armor"
"zulüm","fenalık","fenaatin","zuvet","evil","cruelty"
