"lt_target","lt_cue","lt_fake_cue","lt_fake_target","en_cue","en_target"
"užšaldyti","lydalas","lydaniel","užsikrudyti","melt","freeze"
"užuojauta","kantrybė","įtarrybė","liaujauta","patience","compassion"
"vabzdys","voras","vokiu","grizdys","spider","insect"
"vaikas","kūdikis","kūdijuot","ieškas","baby","child"
"vaikystė","jaunimas","plienimas","vaišvietė","youth","childhood"
"vairuotojas","keleivis","kespalvis","vaisvarstojas","passenger","driver"
"vaisiai","obuolys","olanlys","vaišink","apple","fruit"
"vaistas","alkoholis","alkohotrauk","girstas","alcohol","drug"
"vakar","šiandien","liepdien","vasok","today","yesterday"
"vakaras","naktis","sintis","vakabint","night","evening"
"vakarėlis","priėmimas","prilygsmas","vakarėtrauk","reception","party"
"vakarų","pietinė","kvaitinė","vakalais","southern","western"
"vakcina","priešnuodis","linksšnuodis","kryžcina","antidote","vaccine"
"valgyti","maitinti","efektinti","priegyti","feed","eat"
"valstybė","federalinis","federalitraukt","komptybė","federal","state"
"valtis","povandeninis","potchbladeninis","suotis","submarine","boat"
"vampire","zombie","zomchų","flirpire","zombie","vampire"
"vandenilis","anglies","prilies","elektdenilis","carbon","hydrogen"
"vandenynas","jūra","arara","elektdenynas","sea","ocean"
"vanilė","cinamonas","cinamodžiui","vatuoklė","cinnamon","vanilla"
"variklis","tankas","dvykas","vabentlis","tank","engine"
"vartai","portalas","stentalas","vardin","portal","gate"
"važiuoti","drive","igove","vaplasti","drive","ride"
"vedęs","vienišas","vieniruok","venau","single","married"
"vėdinimas","vožtuvas","dmittuvas","vėdinifique","valve","ventilation"
"veidrodis","atspindys","atplukdys","skalrodis","reflection","mirror"
"veikla","active","reištive","griela","active","activity"
"velnias","angelas","angesink","velkaus","angel","devil"
"venera","mars","mank","partnera","mars","venus"
"verslas","industrija","intikvarija","versigs","industry","business"
"verslininkas","milijonierius","milijoniestengt","šlykšlininkas","millionaire","entrepreneur"
"vertas","nusipelno","nusilinksno","distas","deserve","worthy"
"vertinimas","stebėjimas","linksbėjimas","trauktinimas","observation","evaluation"
"vestuvės","dalyvavimas","dalyvavikreipk","slaptuvės","engagement","wedding"
"vėžlys","sraigė","riaugė","amalys","snail","turtle"
"vėžys","navikas","naviniuo","vėcho","tumor","cancer"
"video","dvd","ofd","viore","dvd","video"
"viduje","už","pn","viduriam","outside","inside"
"vidurdienis","vidurnaktis","vidurdžiuotis","vidurgurkšnis","midnight","noon"
"viela","kabelinė","kašiukšlinė","bukla","cable","wire"
"vienišas","vieni","chani","vieniruok","alone","lonely"
"vienuolynas","šventykla","aukštykla","vienuolygiuot","temple","monastery"
"vienuolynas","našlaičiai","našlaikaus","vienuolygiuot","orphanage","convent"
"vieta","vieta","hekta","zenta","place","location"
"vietinis","regioninis","rekonstninis","plastinis","regional","local"
"vilkas","turėti","tusiunti","tuokas","bear","wolf"
"virėjas","virėjas","virėliuo","virėliuo","cook","chef"
"viršuje","mažesnis","masparnis","klaušuje","lower","upper"
"viryklė","orkaitė","orjuostė","višerilė","oven","stove"
"vis dar","jau","sku","visaver","already","still"
"visiškai","absoliučiai","absoliuversk","vitvarkai","absolutely","completely"
"vitaminas","baltymas","klostymas","vitamidžiui","protein","vitamin"
"vizija","apreiškimas","apspjaukimas","vikrauja","revelation","vision"
"von","priekaba","tvarkaba","een","trailer","van"
"vonia","dušas","dusio","vojui","shower","bathroom"
"vykdymas","kabantis","kačiuotis","keisdymas","hanging","execution"
"vyriausybė","administracija","švieskaministracija","vyriausykiais","administration","government"
"vytis","sekite","troškite","vykom","follow","chase"
"warrior","kareivis","kalingvis","izilrior","soldier","warrior"
"watson","sherlock","sherersk","rezson","sherlock","watson"
"young","senas","seria","yorkg","old","young"
"žadinėjimas","budrus","klyrus","žadinėjikreipk","alert","alarm"
"žaidėjas","treneris","treneklau","žaidėliok","coach","player"
"žaidimas","žaisti","snaiti","blondimas","play","game"
"žaislas","doll","doka","žaivils","doll","toy"
"žarna","pump","puht","bokna","pump","hose"
"žavus","patrauklus","pasielglus","žagin","attractive","charming"
"žemėlapis","kompasas","kompačirš","žemėlatrauk","compass","map"
"ženklas","forma","disma","purklas","form","sign"
"žiaurumas","velnias","akinias","lengrumas","evil","cruelty"
"žiaurus","brutal","bruchi","nistrus","brutal","cruel"
"žiemos metu","vasara","vadekora","žiemos mšėjai","summer","winter"
"žiniatinklis","internetas","internekreip","žiniatinktrauk","internet","web"
"žinios","kanalas","kanamiui","žižiai","channel","news"
"žinios","patirtis","papraitis","žižiai","experience","knowledge"
"žinojau","atpažinkite","atpapastumkite","žinosios","recognize","knew"
"žinoti","dabar","dastų","žiplasti","now","know"
"žiūrėti","žiūrėkite","elektrėkite","traurėti","look","watch"
"žiurkė","pelė","gralė","kiekkė","mouse","rat"
"živ","aids","aiiš","dėv","aids","hiv"
"žlugimas","kritimas","sportimas","baršgimas","fall","collapse"
"žmogus","vyras","vydėk","žmosių","man","human"
"žmona","vyras","vydėk","ziana","husband","wife"
"žmonės","gyventojų skaičius","gyventojų skamėgstat","filnės","population","people"
"zona","plotas","tiatas","skana","area","zone"
"zondas","kapsulė","teissulė","hebdas","capsule","probe"
"žudikas","žudikas","žudidžia","žudidžia","killer","murderer"
"žudikas","savižudybė","savizvaigzdybė","žudidžia","suicide","murder"
"žurnalas","playboy","playpats","grįžnalas","playboy","magazine"
"žurnalistas","reporteris","linksorteris","šlykšnalistas","reporter","journalist"
"žuvys","ryklys","seglys","žuron","shark","fish"
"žvakė","lemputė","prinputė","slokė","lamp","candle"
"žvejyba","medžioklė","mečiauklė","smurjyba","hunting","fishing"
