"hy_cue","hy_target","hy_fake_target","hy_fake_cue","en_cue","en_target"
"պսակ","գահ","որհ","թմակ","crown","throne"
"պրակտիկա","վարժություն","վաստություն","պրոդտիկա","practice","exercise"
"պրոֆիլ","նկարագրություն","նկարներություն","պրոֆտա","profile","description"
"ջազ","երաժշտություն","երաժրձություն","զիզ","jazz","music"
"ջարդել","ընդմիջում","ընդմփլում","ջաաբել","smash","break"
"ջիպ","բեռնատար մեքենա","բեռնատարդէեքենա","toպ","jeep","truck"
"ջունգլիներում","անտառ","անդոռ","ջունտրիներում","jungle","forest"
"ջրանցք","լուրեր","լոշքեր","ջրանем","channel","news"
"ռադար","արբանյակային","արբագրակային","ռագեր","radar","satellite"
"ռադիո","հեռուստատեսություն","հեռուսմոտեսություն","ռաելո","radio","television"
"ռասիստ","կոմունիստ","կոմունավտ","ռադաստ","racist","communist"
"ռիթմ","ոճ","տօ","ռիcn","rhythm","style"
"ռիսկ","վտանգ","foանգ","ռիառ","risk","danger"
"ռիսկոտ","վտանգավոր","վտերգավոր","մասկոտ","risky","dangerous"
"ռոբոտ","ապարատ","ապնկատ","ռուատ","robot","machine"
"ռոդեո","կովբո","կորյո","ռոռնո","rodeo","cowboy"
"ռոմ","կոնյակ","կոգրակ","ոլմ","rum","cognac"
"ռոմեո","շուլ","շոin","թիմեո","romeo","juliet"
"ռումբ","պայթուցիկ","պաքնուցիկ","ծաւմբ","bomb","explosive"
"սագ","բադ","րեդ","ղեգ","goose","duck"
"սաղավարտ","գլխարկ","գլխաch","սաստվարտ","helmet","hat"
"սարդ","միջատ","միախտ","սաիր","spider","insect"
"սարսափ","վախ","նեխ","սարսճի","horror","fear"
"սարսափելի","ահավոր","շվավոր","պերսափելի","terrible","horrible"
"սարքավորում","սարքավորել","սարքավատել","սանսավորում","equipment","equip"
"սեղան","աթոռ","աթca","սեձեն","table","chair"
"սեմինար","ավտոտնակ","ավտոպոակ","սեմիջնր","workshop","garage"
"սեմինար","դասախոսություն","դասակիսություն","սեմիջնր","seminar","lecture"
"սենդվիչ","համբուրգեր","հարյուրգեր","սենդեղչ","sandwich","hamburger"
"սենյակ","ննջարան","ըսջարան","սեգրակ","room","bedroom"
"սենսացիոն","տպավորիչ","տպավորաբ","սեհնացիոն","sensational","spectacular"
"սենսոր","հաղորդիչ","հաղորդկա","սեիմոր","sensor","transmitter"
"սեպտեմբեր","հոկտեմբեր","հոնկեմբեր","սեռաեմբեր","september","october"
"սեռական","ֆիզիկական","ֆիջոկական","սեպտկան","sexual","physical"
"սերժանտ","լեյտենանտ","լեինենանտ","սեւշանտ","sergeant","lieutenant"
"սթափ","խմած","տնած","սթки","sober","drunk"
"սթրես","ընկճվածություն","ընղզվածություն","քերես","stress","depression"
"սիրողական","պրոֆեսիոնալ","պրոֆեսրինալ","սիրոյիկան","amateur","professional"
"սիրուհի","սիրահար","սիրապեր","սիրոեսի","mistress","lover"
"սիրուն","բրո","տվո","ասրուն","dude","bro"
"սխալ","սխալվել","սխեցվել","աոալ","error","mistake"
"սխալ","ճիշտ","muշտ","աոալ","wrong","correct"
"սխտոր","սոխ","ծախ","մպտոր","garlic","onion"
"սկյուռ","ջրարջ","մմարջ","սկյոds","squirrel","raccoon"
"սնունդ","կերակուր","կերակոլա","սնկենդ","food","meal"
"սով","ծարավ","ծատով","գեվ","hunger","thirst"
"սովորաբար","սովորաբար","սովորացվր","սովորագիր","normally","usually"
"սովորական","սովորական","սոճարական","սոճարական","ordinary","usual"
"սովորել","սովորեցնել","սովոնացնել","սովութլ","learn","teach"
"սուզանավ","նավակ","նամիկ","սոնաանավ","submarine","boat"
"սուտ","ստախոս","ստրըոս","սորո","lie","liar"
"սուրբ ծնունդ","տոն","ծին","սուրջիծնունդ","christmas","holiday"
"սպասել","ենթադրել","բիթադրել","սպխվել","wait","expect"
"սպիտակուց","վիտամին","նոտամին","սպիտուուց","protein","vitamin"
"սպիտակուց","սեվ","եով","սպիտուուց","white","black"
"ստադիոն","բեյսբոլ","բեյսթալ","ստինիոն","stadium","baseball"
"ստամոքս","կրծքավանդակ","կրծքուանդակ","ստամկիս","stomach","chest"
"ստեղծել","արտադրել","արտատվել","ստեղկալ","create","produce"
"ստեղծում","ոչնչացում","acնչացում","ստուծում","creation","destruction"
"ստորաբաժանում","բաժին","բաղեն","ստւցաբաժանում","unit","division"
"ստուգում","հաստատել","հաստորել","ստուրժւմ","check","verify"
"ստվեր","մութ","մորէ","ստրկր","shadow","dark"
"սրահ","ցուցահանդես","ցոսրահանդես","սրգա","gallery","exhibition"
"սրամիտ","զվարճալի","զվարճառմ","սրվոիտ","witty","funny"
"վազք","զբոսանք","զբեֆանք","վաsp","run","walk"
"վախեցնել","վախենալ","վափանալ","վածացնել","scare","frighten"
"վահան","զենք ու զրահ","զենք ու զրյլ","վաարն","shield","armor"
"վաղը","առավոտ","առավրգ","վանև","tomorrow","morning"
"վաճառող","գնորդ","գնչոդ","վաճաննղ","seller","buyer"
"վայրէջք","թռիչք","թռեյք","վայրագք","landing","flight"
"վանական","քահանա","քանձնա","վածքկան","monk","priest"
"վաշինգտոն","բոստոն","բոգդոն","վանենգտոն","washington","boston"
"վառարան","վառարան","վանդրան","վարերան","oven","stove"
"վատնել","ծախսել","ծալրել","վահրել","waste","spend"
"վարել","շարունակել","շարունակտի","վառալ","proceed","continue"
"վարկ","վարկ","վահը","վահը","credit","loan"
"վարձակալ","տանտիրուհի","տանտկվուհի","վածոակալ","tenant","landlord"
"վարձել","վարձում","վածոում","վաղվել","hire","rent"
"վարմունք","պայուսակ","պարնւսակ","վատթունք","box","bag"
"վեհություն","բարձրություն","բածերություն","վեսեւթյուն","majesty","highness"
"վերականգնել","բուժել","բոնձել","վերակամանել","recover","heal"
"վերացնել","հեռացնել","հեռամաել","վերանըել","eliminate","remove"
"վերլուծող","քննիչ","պինիչ","վեոնուծող","analyst","investigator"
"վերմակ","սրբիչ","սրռեչ","վեժնակ","blanket","towel"
"վերնաշապիկ","կճեպ","մբեպ","վերնաշտիիկ","shirt","jacket"
"վերջ","վերջացնել","վեհրացնել","վեցք","end","finish"
"վերջապես","ի վերջո","ի վեմեո","վեմտապես","finally","eventually"
"վերք","վնասվածք","շվասվածք","ուրք","wound","injury"
"վիճակ","ճգնաժամ","թխնաժամ","վիռիկ","situation","crisis"
"վիշապ","առյուծ","առյոня","վիզեպ","dragon","lion"
"վիսկի","օղի","каի","ոդսկի","whiskey","vodka"
"վիրաբույժ","բժիշկ","բժյսկ","վիրայեւյժ","surgeon","doctor"
"վիրավորանք","վիրավորել","դարավորել","շարավորանք","insult","offend"
"վիրուս","վարակ","վաուկ","րդրուս","virus","infection"
"վկա","ցուցմունք","ցուցմոածք","стա","witness","testimony"
"վկայություն","ապացույց","ապացուий","faայություն","evidence","proof"
"վստահել","հավատալ","հավագել","կվտահել","trust","believe"
"վրեժ","արդարություն","արդամբւթյուն","վրст","revenge","justice"
"տաճար","վանք","վարա","տապիր","temple","monastery"
"տանջանք","խոշտանգում","խոեջանգում","տարբանք","torment","torture"
"տառապանք","ցավ","reվ","տառապայի","suffering","pain"
"տառապել","մեռնել","մերդել","տառաւոլ","suffer","die"
"տարածաշրջանային","տեղական","տեղափոն","տարանտշրջանային","regional","local"
"տարածություն","գոտի","եստի","տարանըւթյուն","area","zone"
"տարեդարձ","ծննդյան օր","ծննդյան հմ","տարեթիրձ","anniversary","birthday"
"տաք","զով","ակվ","մոք","warm","cool"
"տաք","ցուրտ","ցողըտ","մոք","hot","cold"
"տաքություն","ջերմաստիճան","ջերմաստիսէն","տարքւթյուն","heat","temperature"
"տաքսի","լիմուզին","լիոսւզին","տաւլի","taxi","limousine"
"տեխնիկական","մեխանիկական","մեխաընկական","տեխնգրական","technical","mechanical"
"տեխնոլոգիա","գիտություն","բրտություն","տեատոլոգիա","technology","science"
"տեղ","գտնվելու վայր","գտնվելուվմայր","խող","place","location"
"տեղադրել","դնել","ովել","տեղատվել","insert","put"
"տեղավորել","մտադրություն","նրադրություն","տեղավութլ","purpose","intention"
"տեղավորել","հեռանկար","հեռանկլը","տեղավութլ","view","perspective"
"տեսախցիկ","միկրոֆոն","միկրքոոն","տեսացոիկ","camera","microphone"
"տեսնել","հանդիպել","հանդկրել","տենիել","see","meet"
"տեսուչ","հանձնակատար","հաղթնակատար","տեսովր","inspector","commissioner"
"տերմինալ","օդանավակայան","լրանավակայան","տերմստալ","terminal","airport"
"տեքստ","բանաստեղծություն","բալիստեղծություն","տեռոտ","text","poem"
"տիեզերագնաց","օդաչու","օդրջու","տիեզերագայց","astronaut","pilot"
"տիեզերք","գալակտիկայում","գալադեիկայում","տիհներք","universe","galaxy"
"տիկնիկ","խաղալիք","խատոլիք","տիզմիկ","doll","toy"
"տխուր","ողորկ","ողլսկ","հբուր","sad","tragic"
"տհաճ","կեղտոտ","կեւնոտ","աժաճ","nasty","filthy"
"տղաներ","աղջիկները","բնջիկները","իզաներ","boys","girls"
"տնակ","տախտակամած","տախտակամպլ","stակ","cabin","deck"
"տոմս","անձնագիր","անձնյաիր","տոկե","ticket","passport"
"տոստ","բեկոն","բերվն","տուո","toast","bacon"
"տուգանք","բանտարկություն","բանտարգեւթյուն","տոբոանք","penalty","imprisonment"
"տուն","բնակարան","աշակարան","լաւն","house","apartment"
"տպավորիչ","զարմանալի","զայիանալի","տպավորաբ","impressive","amazing"
"տպում","զգացմունք","զգացմոածք","չոում","impression","feeling"
"տվյալներ","տեղեկություն","տեոսկություն","էյյալներ","data","information"
"ցածր","բարձր","բամբր","ցավե","low","high"
"ցանկություն","ցանկություն","reնկություն","reնկություն","desire","wish"
"ցանց","համակարգ","համակաձև","reնց","network","system"
"ցեխ","ավազ","ավld","րոխ","mud","sand"
"ցեմենտ","պլաստիկ","ւսաստիկ","սնմենտ","cement","plastic"
"ցնցուղ","լոգարան","լովիրան","ցնցորմ","shower","bathroom"
"ցուցադրում","կատարումը","կատայիւմը","սկւցադրում","show","performance"
"փախչել","փախուստ","փաբաւստ","փաեկել","flee","escape"
"փախստական","փախստական","փաեշտական","փամփտական","refugee","fugitive"
"փայլուն","պայծառ","պայծսկ","փաուուն","shine","bright"
"փառավոր","փառք","փաин","փալիվոր","glorious","glory"
"փառք","աստղ","ասկկ","փալտ","celebrity","star"
"փափուկ","մեղմ","մեաչ","փափոre","soft","gentle"
"փեսան","հարսնացու","հանքնացու","փեվեն","groom","bride"
"փիլիսոփայություն","կրոն","կրաս","փիլիսոյթյություն","philosophy","religion"
"փխրուն","օդափոխում","օդափլռում","գշրուն","valve","ventilation"
"փոթորիկ","տորնադո","տորննկո","փոմբրիկ","hurricane","tornado"
"փոխադրամիջոց","ավտոմեքենա","ավտոյիքենա","փոխադրամոնոց","vehicle","car"
"փոխարինել","փոխարինող","փոխարիուղ","փոխաոցնել","replace","substitute"
"փոխում","բարելավում","բարեարվում","ընխում","change","improvement"
"փոստ","ֆաքս","ֆայէ","ամստ","mail","fax"
"փորել","թաղել","թաքցլ","նկրել","dig","bury"
"փորլուծություն","սրտխառնոց","վոտխառնոց","փորլուրգւթյուն","diarrhea","nausea"
"փորձ","փորձարկում","փորձարգեւմ","փոет","experiment","test"
"փորձ","գիտելիք","բրտելիք","փոет","experience","knowledge"
"փորձագետ","մասնագետ","մասնագիր","փոձնագետ","expert","specialist"
"փորձել","փորձ","փոет","փորձվա","try","attempt"
"փուլ","ժամանակաշրջան","ժամանակալեջան","փոin","phase","period"
"փոքր քանակություն","փոքր","փոոպ","փոքրմտանակություն","little","small"
"փրկել","խնայել","խնայնե","մեկել","rescue","save"
"քաղաքականություն","քաղաքագետ","քաղաքավատ","քաղադրկանություն","policy","politician"
"քաղաքավարի","բարեկամական","բարեցիմական","քաղաիլվարի","polite","friendly"
"քաղաքացիական","ռազմական","ռաստական","քաղաքաջնական","civil","military"
"քաղցր","գեղեցիկ","գեմացիկ","քանիր","sweet","cute"
"քամի","փոթորիկ","փոխմրիկ","նոմի","wind","storm"
"քանակ","որակ","զոակ","ղինակ","quantity","quality"
"քաշ","բարձրություն","բածերություն","լիշ","weight","height"
"քաոս","խառնաշփոթություն","խառնփրփոթություն","դիոս","chaos","confusion"
"քեռի","հայրենիք","հայրենծի","քեստ","uncle","dad"
"քերել","կապտուկ","կամրուկ","ռիրել","scratch","bruise"
"քիմիա","կենսաբանություն","կեշտաբանություն","քիատա","chemistry","biology"
"քիմիական","կենսաբանական","կեւցաբանական","քիմիսիան","chemical","biological"
"քծնել","զբոսանք","զբեֆանք","mdնել","nap","stroll"
"քննադատական","քաղաքական","քաղադրկան","ձանադատական","critical","political"
"քննել","հետաքննել","հետաթմնել","իճնել","examine","investigate"
"քննություն","զննում","ռանում","ձանություն","examination","inspection"
"քշել","լողալ","լոյէլ","фиել","drive","ride"
"քոլեջ","համալսարան","համանյարան","մպլեջ","college","university"
"քույր","եղբայր","եղանյր","նվւյր","sister","brother"
"օբյեկտ","առարկա","առևտկա","anյեկտ","object","subject"
"օգնություն","աջակցել","լսակցել","ադնություն","help","assist"
"օգտակար","ուժեղ","ուսաղ","ադտակար","useful","effective"
"օդային","թթվածին","թթվարմն","ողային","air","oxygen"
"օղակ","մանյակ","մամլակ","woակ","ring","necklace"
"օր","սահմանադրություն","սահմիրադրություն","ая","law","constitution"
"օրական","շաբաթական","շաբաղկկան","ուական","daily","weekly"
"օրացույց","ժամանակաչափ","ժամանակահրփ","օրացուրծ","calendar","schedule"
"օրգազմ","մոնտաժ","մոնտкт","օրգաow","orgasm","erection"
"ֆայլ","փաստաթուղթ","փաստաթուժե","ֆագա","file","document"
"ֆենոմեն","միջոցառում","միջորջռում","մինոմեն","phenomenon","event"
"ֆերմեր","աշխատող","աշխառնղ","ֆեէներ","farmer","worker"
"ֆիզիկա","մաթեմատիկա","մաթեմատիիչ","ֆիզիիչ","physics","mathematics"
"ֆինանսապես","ֆինանսավորում","ֆինարքավորում","ֆինանստիես","financially","financing"
"ֆինանսներ","ներդնել","նեերնել","ֆինանսոլր","finance","invest"
"ֆունտ","դոլար","դույր","ֆոնոտ","pound","dollar"
