"he_target","he_cue","type","target_type","cue_type","he_cosine"
"הניפ","שמיעה","nonword","nonword","word",NA
"תִסמוֹכסת","שוחד","nonword","nonword","word",NA
"לְהַשְׁלאפם","חסר ישע","nonword","nonword","word",NA
"כוהר","שבע רצון","nonword","nonword","word",NA
"יץבֶן","א ירו נ י ה","nonword","nonword","word",NA
"רָחובה","ל ת כ נ ן","nonword","nonword","word",NA
"זרן","מו ח ","nonword","nonword","word",NA
"דבמלון","סיוט","nonword","nonword","word",NA
"סםשׁוּד","יפה","nonword","nonword","word",NA
"מןשׁוּת","ש  ל ה צ י","nonword","nonword","word",NA
"rlשָׁרֵת","ר חו ם","nonword","nonword","word",NA
"סְחניב","פ  כ  ח ","nonword","nonword","word",NA
"cfד","מ ש  מ עו ת","nonword","nonword","word",NA
"רָמחישׁ","א ק ד ח","nonword","nonword","word",NA
"הואבה","ר ד יו ","nonword","nonword","word",NA
"לסושע","נו ע ר","nonword","nonword","word",NA
"ckזֶן","תמיכה","nonword","nonword","word",NA
"ךברֶק","הדק","nonword","nonword","word",NA
"tvדַעַת","ש  נא ה","nonword","nonword","word",NA
"פראנוררטית","יו ר ה","nonword","nonword","word",NA
"סשׁרִיר","ת בו א ה","nonword","nonword","word",NA
"לייעץ בזה","א חו ת","nonword","nonword","word",NA
"גורהולת","ש ו ל ח ן כ  ת יב ה","nonword","nonword","word",NA
"dbרָגִי","השראה","nonword","nonword","word",NA
"twנוֹכִי","תיק מסמכים","nonword","nonword","word",NA
"אזטטה","ה סב  ר","nonword","nonword","word",NA
"llירוֹם","מכ ם","nonword","nonword","word",NA
"טץדָשׁוֹת","ש  ע ר","nonword","nonword","word",NA
"זןיגָר","מ חו ז","nonword","nonword","word",NA
"אדבוֹדָה","נ ר ת יק","nonword","nonword","word",NA
"גָלַקסִיci","שום","nonword","nonword","word",NA
"מַאֲבדר","ל גנו ב","nonword","nonword","word",NA
"הנמללות","ק ה ל","nonword","nonword","word",NA
"טורקמת","פלייבוי","nonword","nonword","word",NA
"רִקמהע","ל ח ס ל","nonword","nonword","word",NA
"ששֹבֵעַ","נהר","nonword","nonword","word",NA
"ןתv","חו ט ף","nonword","nonword","word",NA
"ירב","מ ש נ י","nonword","nonword","word",NA
"zsיר","א ש  ל י ה","nonword","nonword","word",NA
"הםט","מ חס ן נ ש  ק","nonword","nonword","word",NA
"ftוֹלִיטִיקָה","נובל","nonword","nonword","word",NA
"עכברשי","תראה","nonword","nonword","word",NA
"לףעֲדָה","מפעל","nonword","nonword","word",NA
"עָשִחסר","ר פו א י","nonword","nonword","word",NA
"xyרָפֶל","קסם","nonword","nonword","word",NA
"חיריר","א ר מו ן","nonword","nonword","word",NA
"סתיר","ק רנ ב ל","nonword","nonword","word",NA
"jcעֲשׂוֹת","מול","nonword","nonword","word",NA
"אכר","גורם","nonword","nonword","word",NA
"מִסעָדps","א פ ר יק ה","nonword","nonword","word",NA
"fo","ע צו ב","nonword","nonword","word",NA
"סכן","לתקן","nonword","nonword","word",NA
"מֵימlm","פ  יקנ יק","nonword","nonword","word",NA
"ןעאַהֵב","נ כ ד","nonword","nonword","word",NA
"קֶמפאשינג","עזרי","nonword","nonword","word",NA
"ךשבְנֶה","ס פ ט מב  ר","nonword","nonword","word",NA
"שינדר","נפילה","nonword","nonword","word",NA
"נִמלjr","ה סת ב  רו ת","nonword","nonword","word",NA
"לִתְקונן","בחיים","nonword","nonword","word",NA
"במצוני","ס ע יף","nonword","nonword","word",NA
"נבר","ל ה א ט","nonword","nonword","word",NA
"icיטָרָה","נו ס ע ","nonword","nonword","word",NA
"רשילות","קטלני","nonword","nonword","word",NA
"רביעה","מ ג פ ה","nonword","nonword","word",NA
"חומריטפץ","הכנה","nonword","nonword","word",NA
"חֲחציר","סופי","nonword","nonword","word",NA
"jdּרָטִיוּת","יו ם ה ש  נ ה","nonword","nonword","word",NA
"תםדַלִיָה","ר ק ט ה","nonword","nonword","word",NA
"אדפור","פ  צ ע","nonword","nonword","word",NA
"מךנָט","א צ יל י","nonword","nonword","word",NA
"שישלק","דננה","nonword","nonword","word",NA
"באופלהבלתי צפוי","מ נה ל","nonword","nonword","word",NA
"סגירכתמעגל","ב  ע ל","nonword","nonword","word",NA
"טֶכרס","ל ע מו ד","nonword","nonword","word",NA
"uvת","נו ב מב  ר","nonword","nonword","word",NA
"זתחֲנָה","ר ע ל","nonword","nonword","word",NA
"בזנית","עבודה","nonword","nonword","word",NA
"תיודר","ל ש  או ב","nonword","nonword","word",NA
"ותינה","ס פ ר י ה","nonword","nonword","word",NA
"ckּשָׁרוֹן","להגביר","nonword","nonword","word",NA
"מפורומ","חזור","nonword","nonword","word",NA
"וטט","רום","nonword","nonword","word",NA
"מָשבימָטִיקָה","רומיאו","nonword","nonword","word",NA
"מתנג","ב  ר יאו ת","nonword","nonword","word",NA
"סִמטña","מ א מ ן","nonword","nonword","word",NA
"חוזין","בטון","nonword","nonword","word",NA
"כםהַפְרִיעַ","ח ת ן","nonword","nonword","word",NA
"להטרין","ס ב  א","nonword","nonword","word",NA
"רךטוּרָף","ל נ סו ת","nonword","nonword","word",NA
"למוסה","מ ס ח ר י","nonword","nonword","word",NA
"רתייר","ב  רו ן","nonword","nonword","word",NA
"בקייד","ר ק","nonword","nonword","word",NA
"נכל","ב  כ יר","nonword","nonword","word",NA
"ohטָאָה","מותג","nonword","nonword","word",NA
"ההומה","סנאי","nonword","nonword","word",NA
"דםירָה","ח קלא י","nonword","nonword","word",NA
"וסינה","מקום","nonword","nonword","word",NA
"וםשְׁרוֹק","ב  נק א י","nonword","nonword","word",NA
"גזג","בסיס","nonword","nonword","word",NA
"ewּרַח","ש  נו ן","nonword","nonword","word",NA
"קלנוּעַ","ק ל יב  ר","nonword","nonword","word",NA
"בְּעָיnn","מיוחד","nonword","nonword","word",NA
"poל","רו ח ","nonword","nonword","word",NA
"חוֹרwh","קו ק א ין","nonword","nonword","word",NA
"ngרַם","נ ש  יק ה","nonword","nonword","word",NA
"בצר","מ לכ  ה","nonword","nonword","word",NA
"רוכי","ת א","nonword","nonword","word",NA
"סףיסָר","נ צח י","nonword","nonword","word",NA
"dmדֵר","נ ז יר","nonword","nonword","word",NA
"tlּדוּר","ל ה ב ין","nonword","nonword","word",NA
"ביאנ","מ נו מ ס","nonword","nonword","word",NA
"כּוֹטכס","מגיע","nonword","nonword","word",NA
"oaשָׁף","מ ינ י","nonword","nonword","word",NA
"oxוֹבַע","מ פר ץ","nonword","nonword","word",NA
"lyלַחַת","בזבוז","nonword","nonword","word",NA
"סִגְנוag","סדנה","nonword","nonword","word",NA
"jpסטִיבָל","חלב","nonword","nonword","word",NA
"קָשֶxy","ב  י ת","nonword","nonword","word",NA
"הוהיה","נ פש  י","nonword","nonword","word",NA
"נוקאי","ב  ד","nonword","nonword","word",NA
"אָרוwa","ל מ מ ן","nonword","nonword","word",NA
"מפגעה","ש  ק ט","nonword","nonword","word",NA
"בֵּית קְבָרוtc","אירוסין","nonword","nonword","word",NA
"מסתר","ר ש  ת","nonword","nonword","word",NA
"מִבטגק","עייף","nonword","nonword","word",NA
"pjׁטִיחַ","מרק","nonword","nonword","word",NA
"עםעֲרוֹבֶת","שום דבר","nonword","nonword","word",NA
"גודמִילָה","ת לו נ ה","nonword","nonword","word",NA
"הֵרוֹאבהן","מנורה","nonword","nonword","word",NA
"סיפעה","ש  ד ר ה","nonword","nonword","word",NA
"בפק","מ ס מ ר","nonword","nonword","word",NA
"תוֹקln","מ קו ר י","nonword","nonword","word",NA
"קָטלָנoo","קבלה","nonword","nonword","word",NA
"mpטָן","ד ם","nonword","nonword","word",NA
"מילדז","ב  יש ו ף","nonword","nonword","word",NA
"ג כוֹלֶת","חיישן","nonword","nonword","word",NA
"עורכ","ל כאו ב","nonword","nonword","word",NA
"רזיל","כוכב לכת","nonword","nonword","word",NA
"מְכַשֵׁפככ","פינה","nonword","nonword","word",NA
"נץּחִירָה","יחיד","nonword","nonword","word",NA
"יוֹפwa","עיתונאות","nonword","nonword","word",NA
"ארבק","לו ח ם","nonword","nonword","word",NA
"בתצפודה","דבש","nonword","nonword","word",NA
"vxּתִיבָה","בית יתומים","nonword","nonword","word",NA
"עףוֹלִיטִי","חוסר יכולת","nonword","nonword","word",NA
"ינמית","יחידה","nonword","nonword","word",NA
"רוסך","מ נ ת ח ","nonword","nonword","word",NA
"cfלֶוִיזִיָה","מ ר ג ש ","nonword","nonword","word",NA
"היאו","כללי","nonword","nonword","word",NA
"מםדִיב","ב  טו ן","nonword","nonword","word",NA
"ieדִין","רעידת אדמה","nonword","nonword","word",NA
"סקשאל","לחימה","nonword","nonword","word",NA
"djאוֹרִיָה","בית קולנוע","nonword","nonword","word",NA
"ncהֲרוֹג","ב  יו ן","nonword","nonword","word",NA
"נשכך","ח ר ב","nonword","nonword","word",NA
"פְּסיתכוֹלוֹגִי","פ  ר ס","nonword","nonword","word",NA
"לאתאונה","פ  ר פ  ר","nonword","nonword","word",NA
"cfיל","sherlock","nonword","nonword","word",NA
"נםרְקוֹד","ל חפ ו ר","nonword","nonword","word",NA
"פירכת","לשקול","nonword","nonword","word",NA
"הססטה","ת א","nonword","nonword","word",NA
"גירון","שקר","nonword","nonword","word",NA
"cfגִיל","נוגדן","nonword","nonword","word",NA
"ngצבָּעָה","אי סדר","nonword","nonword","word",NA
"ההכוֹנָה","ש  ל יש  י","nonword","nonword","word",NA
"dsוֹקֵר","י ר יד ה","nonword","nonword","word",NA
"גדרה","ל ב ר ך","nonword","nonword","word",NA
"למוני","מרשימים","nonword","nonword","word",NA
"רונךֵחַ","כדורסל","nonword","nonword","word",NA
"מַרגִיks","ל ע נו ת","nonword","nonword","word",NA
"dbקְדָח","להציע","nonword","nonword","word",NA
"הַכנָספצ","אמר","nonword","nonword","word",NA
"כשניאק","ב ו ץ","nonword","nonword","word",NA
"וaולייט","מ ע ר ב","nonword","nonword","word",NA
"מעה","י ק ר","nonword","nonword","word",NA
"ציא","ח ד ר","nonword","nonword","word",NA
"אופנ","מ ס ך","nonword","nonword","word",NA
"אותלוֹבּוּס","ר ד יו ס","nonword","nonword","word",NA
"ewחַבֵּר","ועוד","nonword","nonword","word",NA
"pdמָא","יריד","nonword","nonword","word",NA
"הִתְפּוֹצְצוןו","כ  מו ת","nonword","nonword","word",NA
"gtּקָשָׁה","ד ר קו ן","nonword","nonword","word",NA
"הזמי","רכב","nonword","nonword","word",NA
"אַכְזָרִיופה","צ פ ר ד ע ","nonword","nonword","word",NA
"לִשְׁאלדל","עו ל ם","nonword","nonword","word",NA
"נהב","ק ש  ר","nonword","nonword","word",NA
"התוה","ל מ צו ץ","nonword","nonword","word",NA
"ןהשׁפָּחָה","יום יומי","nonword","nonword","word",NA
"פנות","פ  צ צ ה","nonword","nonword","word",NA
"מםפּשׁוּת","ב  ח יר ה","nonword","nonword","word",NA
"שר בממחכה","נסיכה","nonword","nonword","word",NA
"jbחוֹב","ט ב  ע ת","nonword","nonword","word",NA
"לְהִשָׁאio","ג ש  ם","nonword","nonword","word",NA
"דִיוoh","רו צ ח ","nonword","nonword","word",NA
"טֵלֵפוpm","עוף","nonword","nonword","word",NA
"שףתנַקֵשׁ","ע י ן","nonword","nonword","word",NA
"משתד","דו א ר","nonword","nonword","word",NA
"סםתבַּגֵר","ה נה ל ה","nonword","nonword","word",NA
"טת","ה תפ  ר צו ת","nonword","nonword","word",NA
"פציעי","ח ם","nonword","nonword","word",NA
"kfּטנִי","מ ש ו ר ר","nonword","nonword","word",NA
"וסילה","פ  נס י ה","nonword","nonword","word",NA
"כווץת","מוות","nonword","nonword","word",NA
"שְׁמֵיעפי","מ ט פ  ל ת","nonword","nonword","word",NA
"ilגֶבֶת","ס נס צ יו נ י","nonword","nonword","word",NA
"ffקָה","א ש ","nonword","nonword","word",NA
"פתבה","או י ב","nonword","nonword","word",NA
"ליחיק","הכנסת אורחים","nonword","nonword","word",NA
"שַׁעof","ק ילו ","nonword","nonword","word",NA
"hpחִי","ש ו כ ר","nonword","nonword","word",NA
"fpחֲלָה","מ קו ר","nonword","nonword","word",NA
"נִיחוֹcj","סט טו ס","nonword","nonword","word",NA
"לְהַרְפשיעַ","ש  ב ט","nonword","nonword","word",NA
"ראבןהעיר","ל נ קו ת","nonword","nonword","word",NA
"תחזולו","נ א מ נו ת","nonword","nonword","word",NA
"בfּיוֹר","באופן טבעי","nonword","nonword","word",NA
"חֶחקל","מטה","nonword","nonword","word",NA
"יסח","שולחן","nonword","nonword","word",NA
"umידיוֹט","ש  רו ת ים","nonword","nonword","word",NA
"בעתךבית","ת קצ יב","nonword","nonword","word",NA
"שןשׂרָד","מו צ ק","nonword","nonword","word",NA
"ארמט","כריך","nonword","nonword","word",NA
"איוצריה","א סטרו נ או ט","nonword","nonword","word",NA
"סםׂמֵחַ","ל ש  לו ט","nonword","nonword","word",NA
"שןשׂרָד","ב  לת י חו ק י","nonword","nonword","word",NA
"ךנסְחוֹט","כ  נו פ י ה","nonword","nonword","word",NA
"jpּסֵא","מ ח נ ה","nonword","nonword","word",NA
"תשל","להבטיח","nonword","nonword","word",NA
"משמד","מ או ד","nonword","nonword","word",NA
"פַּטרוgt","ת נו מ ה","nonword","nonword","word",NA
"נכר","ש  מ יכ ה","nonword","nonword","word",NA
"rlץ","ל א פש  ר","nonword","nonword","word",NA
"ןעכנִיקָה","לזהות","nonword","nonword","word",NA
"הַשׁבָּחjj","עיתון","nonword","nonword","word",NA
"cjקָן","ק יס ר","nonword","nonword","word",NA
"פרמזזמן","ט ל סקו פ ","nonword","nonword","word",NA
"תקי","טופס","nonword","nonword","word",NA
"ניאמי","סו פ  רמ ן","nonword","nonword","word",NA
"riיבֵּרָלִי","סיבה","nonword","nonword","word",NA
"המוורור","בית חולים","nonword","nonword","word",NA
"וויקה","פורנו","nonword","nonword","word",NA
"lhׁחַר","ל ה ת נ ד ב","nonword","nonword","word",NA
"שַׁקמסן","מו ד א ג","nonword","nonword","word",NA
"הוורה","ז הו ב","nonword","nonword","word",NA
"ארליה","ישן","nonword","nonword","word",NA
"חםיפּוּן","ג ן ח יו ת","nonword","nonword","word",NA
"ומא","ש ו ש  ל ת","nonword","nonword","word",NA
"ציח","ש  ל ג יל ה ע ש ר ה","nonword","nonword","word",NA
"וגים","להקשיב","nonword","nonword","word",NA
"jfהִתְאַגֵד","ט ר ף","nonword","nonword","word",NA
"בםלִיפוּת","ל ל וו ת","nonword","nonword","word",NA
"צףת","נוזל","nonword","nonword","word",NA
"ספאזֹרט","מעמד","nonword","nonword","word",NA
"זתלֶד","ת קר ית","nonword","nonword","word",NA
"בייקע","פ ל טפו רמ ה","nonword","nonword","word",NA
"iאאֲשָׁמָה","אסיר תודה","nonword","nonword","word",NA
"צוונה","י צ ר","nonword","nonword","word",NA
"לְהִתְהַבסך","ג זע ן","nonword","nonword","word",NA
"ךנסֶק","שלום","nonword","nonword","word",NA
"הַעֲרָלעה","מקל","nonword","nonword","word",NA
"ערמון","מ לח מ ה","nonword","nonword","word",NA
"תְאוּנטז","ל ה חל ים","nonword","nonword","word",NA
"תַרְבּשסת","איזון","nonword","nonword","word",NA
"ivחַס","ה ח ל ש ו ת","nonword","nonword","word",NA
"הַצהָרpn","קו ב ץ","nonword","nonword","word",NA
"אוdd","ש  כב ה","nonword","nonword","word",NA
"הסליך","נ פ ש ","nonword","nonword","word",NA
"פןחשֵׁב","א ש ו ר","nonword","nonword","word",NA
"mtחָשׁ","מ פ ק ח ","nonword","nonword","word",NA
"נוזףָף","ט ב  ק","nonword","nonword","word",NA
"תוֹצָארנ","ד ר מ ה","nonword","nonword","word",NA
"dnקרֶה","גודל","nonword","nonword","word",NA
"להתחטט","הזנה","nonword","nonword","word",NA
"בשוודה","ש  רו ת","nonword","nonword","word",NA
"סולים","מדינה","nonword","nonword","word",NA
"ieמִיד","לא נכון","nonword","nonword","word",NA
"סִיוכחַ","ק סד ה","nonword","nonword","word",NA
"אָשֵעא","ט כנ י","nonword","nonword","word",NA
"hmטוּפָּשׁ","תו כנ ה","nonword","nonword","word",NA
"צִינey","ר כ ילו ת","nonword","nonword","word",NA
"רשולה","ת ינו ק","nonword","nonword","word",NA
"jcנוּר","פ  רסו ם","nonword","nonword","word",NA
"שלבנייה","ת ח ת","nonword","nonword","word",NA
"גתי","שומר","nonword","nonword","word",NA
"הקבדה","ש ו ע ל","nonword","nonword","word",NA
"אשון","ח ג ה מו ל ד","nonword","nonword","word",NA
"תרתכל","ל ח כו ת","nonword","nonword","word",NA
"תשליה","אסור","nonword","nonword","word",NA
"םממְשׁוֹך","אמון","nonword","nonword","word",NA
"סֵנָטוֹר","digusbook","nonword","word","nonword",NA
"לֶחִי","ררd","nonword","word","nonword",NA
"פְּסִיכוֹלוֹגִיָה","sherkoit","nonword","word","nonword",NA
"הַעֲרָכָה","בfב  א","nonword","word","nonword",NA
"להשקיע","כףדו ם","nonword","word","nonword",NA
"פנטזיה","tcדו ן","nonword","word","nonword",NA
"לטוס, זבוב","עהזה ר ה","nonword","word","nonword",NA
"ניסוי","סוזו ר","nonword","word","nonword",NA
"שוקולד","סוזו ר י","nonword","word","nonword",NA
"לְהַגזִים","א זר חjt","nonword","word","nonword",NA
"מושלם","סףח ר יו ת","nonword","word","nonword",NA
"קָשֶׁה","twחו ת","nonword","word","nonword",NA
"אתגר","zsטו מ י","nonword","word","nonword",NA
"קוֹמוּנִיסט","א יד א לסז","nonword","word","nonword",NA
"מִשׁפָּחָה","lnירו נ י ה","nonword","word","nonword",NA
"מְמַמֵן","כףכ ז ר י","nonword","word","nonword",NA
"לְחַבֵּק","צץלב ו ם","nonword","word","nonword",NA
"הַדבָּקָה","א לוiq","nonword","word","nonword",NA
"תִסמוֹנֶת","נםלמ נ ה","nonword","word","nonword",NA
"מגזין","otמ א","nonword","word","nonword",NA
"צַלָף","יםמב ו ל נס","nonword","word","nonword",NA
"דַרכּוֹן","א נ טו מ יtr","nonword","word","nonword",NA
"גוֹרִילָה","וםנ רכ י ה","nonword","word","nonword",NA
"מָחוֹז","cfנד רט ה","nonword","word","nonword",NA
"ג'ולייט","שךסטרו נ או ט","nonword","word","nonword",NA
"לאכול","שףספ  יר ין","nonword","word","nonword",NA
"טֶכנִיקָה","א חמר","nonword","word","nonword",NA
"כָּבוֹד","רםפ ר יק ה","nonword","word","nonword",NA
"מַעְצָר","עףצ יל י","nonword","word","nonword",NA
"גַרעִינִי","א צבןיע","nonword","word","nonword",NA
"צָנוּעַ","כץצט דיו ן","nonword","word","nonword",NA
"המשקיעים","fpק ד ח","nonword","word","nonword",NA
"א '","א ר מוgy","nonword","word","nonword",NA
"טביעת אצבע","צטרו ח ת ע ר ב","nonword","word","nonword",NA
"שן","א xo","nonword","word","nonword",NA
"להתחלף","fmש  ל י ה","nonword","word","nonword",NA
"רַעַם","ףלש ו ר","nonword","word","nonword",NA
"לֶהָבָה","א ש פ fr","nonword","word","nonword",NA
"קפה","rpש ר אי","nonword","word","nonword",NA
"וודקה","אבולשחיה","nonword","word","nonword",NA
"אִשָׁה","רטיב","nonword","word","nonword",NA
"וִיטָמִין","אבקתקעריפה","nonword","word","nonword",NA
"לבוא","דכם","nonword","word","nonword",NA
"משפט","או יqu","nonword","word","nonword",NA
"אֹזֶן","אוהר לו ס י ה","nonword","word","nonword",NA
"לנצח","או ממסל","nonword","word","nonword",NA
"מַקסִים","או פ ט יעקי","nonword","word","nonword",NA
"בֵּית קְבָרוֹת","או צac","nonword","word","nonword",NA
"נישואים","או רג זמoh","nonword","word","nonword",NA
"חֶרֶק","אומאז","nonword","word","nonword",NA
"מגפה","אוינר","nonword","word","nonword",NA
"לצייר","הקלי","nonword","word","nonword",NA
"לנעול","הנמנות","nonword","word","nonword",NA
"יֶדַע","אובח","nonword","word","nonword",NA
"חֲשִׁיבוּת","הנפי","nonword","word","nonword",NA
"מכירה","אוארתי","nonword","word","nonword",NA
"מלוכלך","חיד","nonword","word","nonword",NA
"אֲגוּדָל","והי","nonword","word","nonword",NA
"לִשְׁאוֹל","איתןדר","nonword","word","nonword",NA
"עבר","איכסדק","nonword","word","nonword",NA
"הִתְפּוֹצְצוּת","איימן","nonword","word","nonword",NA
"דאגה","אירועון","nonword","word","nonword",NA
"פטיש","ונש","nonword","word","nonword",NA
"חיל הים","איש פטר","nonword","word","nonword",NA
"לִשְׂרוֹד","איחו","nonword","word","nonword",NA
"מְכוֹנָה","אלעמים","nonword","word","nonword",NA
"טְרָגִי","ניף","nonword","word","nonword",NA
"כָּבֵד","געון","nonword","word","nonword",NA
"בוסטון","כין","nonword","word","nonword",NA
"ווסטרן","כיר","nonword","word","nonword",NA
"מידע","אניכית","nonword","word","nonword",NA
"פסל","שלור","nonword","word","nonword",NA
"סֶרֶן","אסירלטודה","nonword","word","nonword",NA
"מַאֲסָר","ארוןקסבורה","nonword","word","nonword",NA
"אמריקה","ייץ","nonword","word","nonword",NA
"הַגדָרָה","sn ב ירו ר","nonword","word","nonword",NA
"טֵלֵפוֹן","ב jt","nonword","word","nonword",NA
"סיסמה","פם ד יק ה","nonword","word","nonword",NA
"מרפאה","hb ח יר ה","nonword","word","nonword",NA
"לִמְשׁוֹך","ב  חו פ ש  ינמת","nonword","word","nonword",NA
"בקבוק","xo ט חו ן","nonword","word","nonword",NA
"נחישות","ב  טrv","nonword","word","nonword",NA
"מימון","iq טו ן","nonword","word","nonword",NA
"רָטוֹב","zv י ת","nonword","word","nonword",NA
"חֶלְקִיק","ב  יערן","nonword","word","nonword",NA
"עֵץ","ב  יש חיף","nonword","word","nonword",NA
"רִקמָה","ב  כהתר","nonword","word","nonword",NA
"לְסַפֵּק","ב  לת י חו קdd","nonword","word","nonword",NA
"מַרגִישׁ","ץר מ קו ם א ח ר","nonword","word","nonword",NA
"שְׁבוּעִי","ב  נ יmk","nonword","word","nonword",NA
"קְבוּצָה","nf נק א י","nonword","word","nonword",NA
"טוֹרֵף","ב  נק אודב","nonword","word","nonword",NA
"לֶאֱסוֹר","םר ע יט ה","nonword","word","nonword",NA
"אַבָּא","נם ע ל","nonword","word","nonword",NA
"עוֹלָם","ב  רףלא","nonword","word","nonword",NA
"הפקה","ב  ר יאוru","nonword","word","nonword",NA
"לִשְׁדוֹד","kr ר ק","nonword","word","nonword",NA
"גְרַם","lp רו ן","nonword","word","nonword",NA
"צָרְפָתִית","פן רז ל","nonword","word","nonword",NA
"גורם","ב dl","nonword","word","nonword",NA
"ארוחת בוקר","fb תו ק ף","nonword","word","nonword",NA
"צייר","rbו ב  ה","nonword","word","nonword",NA
"פעילות","יןו ץ","nonword","word","nonword",NA
"דינג","דףו רו ת","nonword","word","nonword",NA
"צהוב","באופיכטבעי","nonword","word","nonword",NA
"להתחבא","נארך כלל","nonword","word","nonword",NA
"כּוֹמֶר","בהגנט","nonword","word","nonword",NA
"תחליף","בזוכז","nonword","word","nonword",NA
"hiv","בחרט","nonword","word","nonword",NA
"יְצִיאָה","שויים","nonword","word","nonword",NA
"מִבְנֶה","וכר","nonword","word","nonword",NA
"מַקסִימוּם","בטכם","nonword","word","nonword",NA
"סִיוּעַ","גמון","nonword","word","nonword",NA
"אָרְטִילֶרִיָה","בטנית","nonword","word","nonword",NA
"רוטב","בישבאומי","nonword","word","nonword",NA
"אחיין","בית המינש","nonword","word","nonword",NA
"נשמע","בית נגלים","nonword","word","nonword",NA
"דָת","ביזליתומים","nonword","word","nonword",NA
"חרום","בירסמשפט","nonword","word","nonword",NA
"על אודות","ביקרקולנוע","nonword","word","nonword",NA
"מִשְׂחָק","בלתיטופשרי","nonword","word","nonword",NA
"מְכִירָה","בלתילךגרתי","nonword","word","nonword",NA
"ביולוגיה","וצים","nonword","word","nonword",NA
"טִפּשׁוּת","בנדו","nonword","word","nonword",NA
"אֱמוּנָה","בסוט","nonword","word","nonword",NA
"נמל","ואיס","nonword","word","nonword",NA
"יום הולדת","בעדרום שם","nonword","word","nonword",NA
"כָּחוֹל","בעמלערך","nonword","word","nonword",NA
"מַטָרָה","בערפ","nonword","word","nonword",NA
"בחר","בפודות","nonword","word","nonword",NA
"צי","בריך","nonword","word","nonword",NA
"בּוֹגֵד","בשטןחזיר","nonword","word","nonword",NA
"תרומה","בתרארובה","nonword","word","nonword",NA
"לְקַבֵּל","ג je","nonword","word","nonword",NA
"שִׁריוֹן","ג  יםא","nonword","word","nonword",NA
"חדר אמבטיה","ufאו ן","nonword","word","nonword",NA
"מוּסָך","ufאו ן","nonword","word","nonword",NA
"סביר","gpב יע ","nonword","word","nonword",NA
"לא מסוגל","ג בעqc","nonword","word","nonword",NA
"חָמוּד","מדדו ד","nonword","word","nonword",NA
"עותק","ג דוzi","nonword","word","nonword",NA
"יָשָׁר","ג ו נגex","nonword","word","nonword",NA
"נָדִיב","בךז","nonword","word","nonword",NA
"אווורור","ג זעםו","nonword","word","nonword",NA
"כביש מהיר","ג ששב","nonword","word","nonword",NA
"תְרוּפָה","lyנ ב ה","nonword","word","nonword",NA
"יווני","ג ן ח יוםל","nonword","word","nonword",NA
"מִתנַקֵשׁ","מןן ע ד ן","nonword","word","nonword",NA
"חירש","ךשנ ר טו ר","nonword","word","nonword",NA
"עוזרת","ג רוof","nonword","word","nonword",NA
"אלפא","icש  ם","nonword","word","nonword",NA
"שלילי","טפה","nonword","word","nonword",NA
"מִינוּס","בזווה","nonword","word","nonword",NA
"מערכת","גוטןף","nonword","word","nonword",NA
"זוֹל","גוmu","nonword","word","nonword",NA
"הַרמוֹנִיָה","גוגן ל","nonword","word","nonword",NA
"חתול","גורח","nonword","word","nonword",NA
"מַחשֵׁב","גוננ","nonword","word","nonword",NA
"לְהַצִיעַ","גיעהר","nonword","word","nonword",NA
"זֶה","גידופלסרטני","nonword","word","nonword",NA
"קַר","גליהה","nonword","word","nonword",NA
"מֶלְצָרִית","אבון","nonword","word","nonword",NA
"אינטואיציה","ףאא ג ה","nonword","word","nonword",NA
"סגור","wrג ל","nonword","word","nonword",NA
"נושא","צףג ם","nonword","word","nonword",NA
"עִתוֹנָאִי","ד יקהפ","nonword","word","nonword",NA
"סִגְנוֹן","xoם","nonword","word","nonword",NA
"ביצוע","iאמיו ן","nonword","word","nonword",NA
"שחקן","ד ר האה","nonword","word","nonword",NA
"יָעִיל","nfר מ ט י","nonword","word","nonword",NA
"לְשַׁלֵשׁ","lhר קו ן","nonword","word","nonword",NA
"בִּמְהִירוּת","ד רוvo","nonword","word","nonword",NA
"השפעה","ד רו מci","nonword","word","nonword",NA
"עמדה","סוורה","nonword","word","nonword",NA
"מוּסִיקָה","רדר","nonword","word","nonword",NA
"וַעֲדָה","שעש","nonword","word","nonword",NA
"סָבִיר","דוטק ר","nonword","word","nonword",NA
"תפסיק","דוxo","nonword","word","nonword",NA
"-","דותנ ה","nonword","word","nonword",NA
"אַבָּא","דו פעא","nonword","word","nonword",NA
"יוֹשֶׁר","בהב","nonword","word","nonword",NA
"טֶמפֶּרָטוּרָה","יהוף","nonword","word","nonword",NA
"הֵרוֹאִין","דיוןומה","nonword","word","nonword",NA
"ראש העיר","דמבל","nonword","word","nonword",NA
"ווטסון","טלנה","nonword","word","nonword",NA
"אֵנֶרְגִיָה","סכה","nonword","word","nonword",NA
"חֲלוּקָה","ונש","nonword","word","nonword",NA
"מיץ","טםג ע ה","nonword","word","nonword",NA
"מָסוֹרתִי","ה גוfr","nonword","word","nonword",NA
"לִשְׁלוֹחַ","ה זד מ נךלת","nonword","word","nonword",NA
"צוֹרֶך","fdח ל ש ו ת","nonword","word","nonword",NA
"נסיך","אץחו צ ה","nonword","word","nonword",NA
"לָלֶכֶת","לרנה ל ה","nonword","word","nonword",NA
"רָגִיל","jcסב  ר","nonword","word","nonword",NA
"זָקָן","טםסת ב  רו ת","nonword","word","nonword",NA
