"he_cue","he_target","he_fake_target","he_fake_cue","en_cue","en_target"
"סיור","קוֹנצֶרט","קוֹנלטרט","סימט","tour","concert"
"סיכום","הנחה","הניפ","סיחכם","conclusion","assumption"
"סימפטום","תִסמוֹנֶת","תִסמוֹכסת","סיבתטום","symptom","syndrome"
"סך הכל","לְהַשְׁלִים","לְהַשְׁלאפם","rl הכל","total","complete"
"סלבריטאי","כוכב","כוהר","סלבריטרו","celebrity","star"
"סלע","אֶבֶן","יץבֶן","עבע","rock","stone"
"סמוך ל","רָחוֹק","רָחובה","סמוךןה","near","far"
"סמל","סגן","זרן","ישל","sergeant","lieutenant"
"סנאי","דביבון","דבמלון","נחאי","squirrel","raccoon"
"ספק","חָשׁוּד","סםשׁוּד","וסק","doubt","suspect"
"סקוור","רָשׁוּת","מןשׁוּת","סקרטר","jurisdiction","authority"
"ע ב ד","מְשָׁרֵת","rlשָׁרֵת","wrב ד","slave","servant"
"ע גו ל","סְבִיב","סְחניב","ע גוצש","round","around"
"ע ד","עֵד","cfד","ptד","witness","testimony"
"ע ד ין","רָגִישׁ","רָמחישׁ","rvד ין","delicate","sensitive"
"ע דו ת","הוכחה","הואבה","ע דוoh","evidence","proof"
"ע זר ה","לסייע","לסושע","ע זרmo","help","assist"
"ע י ן","אֹזֶן","ckזֶן","תםי ן","eye","ear"
"ע כ  ב יש ","חֶרֶק","ךברֶק","סםכ  ב יש ","spider","insect"
"ע כש  יו","לָדַעַת","tvדַעַת","ע כשטויו","now","know"
"ע ל ט בע י","פראנורמלית","פראנוררטית","ע ל ט בעדנ","supernatural","paranormal"
"ע צ ב","שְׁרִיר","סשׁרִיר","jiצ ב","nerve","muscle"
"ע צ ה","לייעץ עצה","לייעץ בזה","קןצ ה","advice","advise"
"ע צ ם","גולגולת","גורהולת","cmצ ם","bone","skull"
"ע צו ב","טְרָגִי","dbרָגִי","ע צוap","sad","tragic"
"ע קש  ן","אָנוֹכִי","twנוֹכִי","יץקש  ן","stubborn","selfish"
"ע ר נ י","אזעקה","אזטטה","כךר נ י","alert","alarm"
"ע רו ם","עֵירוֹם","llירוֹם","חצרו ם","nude","naked"
"ע רו ץ","חֲדָשׁוֹת","טץדָשׁוֹת","רםרו ץ","channel","news"
"ע ש  ן","סִיגָר","זןיגָר","ע ש zi","smoke","cigar"
"עבודה","עֲבוֹדָה","אדבוֹדָה","אכודה","job","work"
"עו ל ם","גָלַקסִיָה","גָלַקסִיci","עוון ם","universe","galaxy"
"עו נ ש ","מַאֲסָר","מַאֲבדר","עוהד ש ","penalty","imprisonment"
"עוני","אומללות","הנמללות","רמני","poverty","misery"
"עוף","טורקיה","טורקמת","ולף","chicken","turkey"
"עור","רִקמָה","רִקמהע","ימר","skin","tissue"
"עורך דין","תוֹבֵעַ","ששֹבֵעַ","עומד דין","lawyer","prosecutor"
"עזרי","hiv","ןתv","דירי","aids","hiv"
"עייף","רעב","ירב","עירנ","tired","hungry"
"עיר בירה","עִיר","zsיר","עיכובירה","capital","city"
"עיתון","עֵט","הםט","אמתון","paper","pen"
"עיתונאות","פּוֹלִיטִיקָה","ftוֹלִיטִיקָה","עיתוהמות","journalism","politics"
"עכבר","עכברוש","עכברשי","צנבר","mouse","rat"
"עמלה","וַעֲדָה","לףעֲדָה","לדלה","commission","committee"
"עני","עָשִׁיר","עָשִחסר","תרי","poor","rich"
"ענן","עֲרָפֶל","xyרָפֶל","וען","cloud","fog"
"עצם בלתי מזוהה","חייזר","חיריר","עצם לחתי מזוהה","ufo","alien"
"ערך","מחיר","סתיר","חבך","value","price"
"עשה","לַעֲשׂוֹת","jcעֲשׂוֹת","רחה","make","do"
"עתיד","עבר","אכר","כהיד","future","past"
"פ  אב ","מִסעָדָה","מִסעָדps","xo אב ","pub","restaurant"
"פ  ה","אף","fo","פ jr","mouth","nose"
"פ  ח ם","שמן","סכן","פ  חqu","coal","oil"
"פ  חמ ן","מֵימָן","מֵימlm","fm חמ ן","carbon","hydrogen"
"פ  יל ג ש ","מְאַהֵב","ןעאַהֵב","bm יל ג ש ","mistress","lover"
"פ  יקנ יק","קֶמפִּינג","קֶמפאשינג","ao יקנ יק","picnic","camping"
"פ  יר מ יד ה","מִבְנֶה","ךשבְנֶה","לם יר מ יד ה","pyramid","structure"
"פ  כ  ח ","שיכור","שינדר","sd כ  ח ","sober","drunk"
"פ  ל יט","נִמלָט","נִמלjr","oh ל יט","refugee","fugitive"
"פ  ל יש  ה","לִתְקוֹף","לִתְקונן","פ  ל יש bu","invasion","attack"
"פ  נ ימ י","חיצוני","במצוני","טף נ ימ י","internal","external"
"פ  נס י ה","שכר","נבר","oa נס י ה","pension","salary"
"פ  ס נ ת ר","גִיטָרָה","icיטָרָה","פ  ס נ תjr","piano","guitar"
"פ  ע יל","פעילות","רשילות","ךב ע יל","active","activity"
"פ  צ ע","פציעה","רביעה","ים צ ע","wound","injury"
"פ  צ צ ה","חומר נפץ","חומריטפץ","פ  צ צbp","bomb","explosive"
"פ  ר ה","חֲזִיר","חֲחציר","jj ר ה","cow","pig"
"פ  ר ט י","פְּרָטִיוּת","jdּרָטִיוּת","רף ר ט י","private","privacy"
"פ  ר ס","מֵדַלִיָה","תםדַלִיָה","פ  רwh","trophy","medal"
"פ  ר פ  ר","ציפור","אדפור","fb ר פ  ר","butterfly","bird"
"פ  רל מ נט","סֵנָט","מךנָט","פ  רל שדנט","parliament","senate"
"פ  רסו ם","שיווק","שישלק","זך רסו ם","advertising","marketing"
"פ  ת או ם","באופן בלתי צפוי","באופלהבלתי צפוי","כץ ת או ם","suddenly","unexpectedly"
"פ  ת יח ה","סגירת מעגל","סגירכתמעגל","tl ת יח ה","opening","closure"
"פ ו לח ן","טֶקֶס","טֶכרס","zhו לח ן","ritual","ceremony"
"פ ילו סו פ י ה","דָת","uvת","פ ילו סו פ יךת","philosophy","religion"
"פ ל טפו רמ ה","תַחֲנָה","זתחֲנָה","פ ל טפו רמyo","platform","station"
"פ רו י קט","תכנית","בזנית","bmרו י קט","project","program"
"פ רו פ יל","תיאור","תיודר","פ רובם יל","profile","description"
"פדרלי","מדינה","ותינה","פדיקי","federal","state"
"פוטנציאל","כִּשָׁרוֹן","ckּשָׁרוֹן","פוביציאל","potential","talent"
"פופולרי","מפורסם","מפורומ","פופומלי","popular","famous"
"פורנו","סרט","וטט","פוצץו","porn","movie"
"פיזיקה","מָתֵימָטִיקָה","מָשבימָטִיקָה","מעזיקה","physics","mathematics"
"פינג","דינג","מתנג","פיתי","ping","ding"
"פינה","סִמטָה","סִמטña","פיתי","corner","alley"
"פלייבוי","מגזין","חוזין","פלייושי","playboy","magazine"
"פסיקת","לְהַפְרִיעַ","כםהַפְרִיעַ","פסללת","interrupt","disturb"
"פקודה","להזמין","להטרין","דמודה","command","order"
"פרנואידית","מְטוּרָף","רךטוּרָף","פרנוודדית","paranoid","crazy"
"פשוטו כמשמעו","למעשה","למוסה","פשוטענכמשמעו","literally","practically"
"צ ב ע","לצייר","רתייר","ךאב ע","paint","draw"
"צ יו ד","לצייד","בקייד","צ יולפ","equipment","equip"
"צ ל","אפל","נכל","רךל","shadow","dark"
"צ פ ר ד ע ","לְטָאָה","ohטָאָה","קםפ ר ד ע ","frog","lizard"
"צדקה","תרומה","ההומה","ווקה","charity","donation"
"צו ל ל ת","סִירָה","דםירָה","צוחצ ל ת","submarine","boat"
"צוות","ספינה","וסינה","כחות","crew","ship"
"צופר","לִשְׁרוֹק","וםשְׁרוֹק","תיפר","horn","whistle"
"ציד","דיג","גזג","ננד","hunting","fishing"
"צמח","פֶּרַח","ewּרַח","ובח","plant","flower"
"צנוע","צָנוּעַ","קלנוּעַ","עכוע","humble","modest"
"צרה","בְּעָיָה","בְּעָיnn","רסה","trouble","problem"
"ק ה ל","קהל","poל","ק םהל","crowd","audience"
"ק י ץ","חוֹרֶף","חוֹרwh","טףי ץ","summer","winter"
"ק ילו ","גְרַם","ngרַם","ק ילft","kilo","gram"
"ק ילו מ ט ר","מטר","בצר","msילו מ ט ר","kilometer","meter"
"ק יס ר","רומא","רוכי","גסיס ר","caesar","rome"
"ק יס ר י","קֵיסָר","סףיסָר","ק יס רןו","imperial","emperor"
"ק יר","גָדֵר","dmדֵר","שךיר","wall","fence"
"ק ל יב  ר","כַּדוּר","tlּדוּר","ק תניב  ר","caliber","bullet"
"ק ן","ביצה","ביאנ","zuן","nest","egg"
"ק נ א י","כּוֹעֵס","כּוֹטכס","שםנ א י","jealous","angry"
"ק ס ם","אַשָׁף","oaשָׁף","rjס ם","magic","wizard"
"ק סד ה","כּוֹבַע","oxוֹבַע","כףסד ה","helmet","hat"
"ק ע ר ה","צַלַחַת","lyלַחַת","ק ע כהה","bowl","plate"
"ק צ ב","סִגְנוֹן","סִגְנוag","lhצ ב","rhythm","style"
"ק רנ ב ל","פֶסטִיבָל","jpסטִיבָל","כףרנ ב ל","carnival","festival"
"ק ש  ה","קָשֶׁה","קָשֶxy","srש  ה","tough","hard"
"ק ש  ר","הונאה","הוהיה","וםש  ר","conspiracy","fraud"
"ק תו ל י","נוצרי","נוקאי","ק תו לey","catholic","christian"
"קבינט","אָרוֹן","אָרוwa","קבובט","cabinet","closet"
"קבלה","מפלגה","מפגעה","צילה","reception","party"
"קבר","בֵּית קְבָרוֹת","בֵּית קְבָרוtc","אכר","grave","cemetery"
"קו ב ץ","מסמך","מסתר","קופג ץ","file","document"
"קו ל","מִבטָא","מִבטגק","קוהע","voice","accent"
"קו מ ה","שָׁטִיחַ","pjׁטִיחַ","קו מja","floor","carpet"
"קו מב  ינ צ י ה","תַעֲרוֹבֶת","עםעֲרוֹבֶת","קואהב  ינ צ י ה","combination","mixture"
"קו ף","גוֹרִילָה","גודמִילָה","קוap","monkey","gorilla"
"קו ק א ין","הֵרוֹאִין","הֵרוֹאבהן","קו ק אסשן","cocaine","heroin"
"קוד","סיסמה","סיפעה","חיד","code","password"
"קופסא","תיק","בפק","ההפסא","box","bag"
"קורבן","תוֹקֵף","תוֹקln","ההרבן","victim","attacker"
"קטלני","קָטלָנִי","קָטלָנoo","קטאשי","deadly","fatal"
"קטן","קָטָן","mpטָן","חמן","little","small"
"קטשופ","מיונז","מילדז","תפשופ","ketchup","mayonnaise"
"קיבולת","יְכוֹלֶת","ג כוֹלֶת","קישרלת","capacity","ability"
"קינוח","עוגה","עורכ","קיותח","dessert","cake"
"קינמון","וניל","רזיל","קיישון","cinnamon","vanilla"
"קללה","מְכַשֵׁפָה","מְכַשֵׁפככ","זבלה","curse","witch"
"קמפיין","בְּחִירָה","נץּחִירָה","טופיין","campaign","election"
"קסם","יוֹפִי","יוֹפwa","גום","charm","beauty"
"קצר","ארוך","ארבק","גנר","short","long"
"קרוב משפחה","בת דודה","בתצפודה","קרובמצשפחה","relative","cousin"
"קריאה","כְּתִיבָה","vxּתִיבָה","קרותה","reading","writing"
"קריטי","פּוֹלִיטִי","עףוֹלִיטִי","לביטי","critical","political"
"קריירה","תדמית","ינמית","מחיירה","career","reputation"
"קרם","רוטב","רוסך","עום","cream","sauce"
"ר ד יו ","טֵלֶוִיזִיָה","cfלֶוִיזִיָה","מןד יו ","radio","television"
"ר ד יו ס","היקף","היאו","ר ד יוnr","radius","perimeter"
"ר חו ם","נָדִיב","מםדִיב","lpחו ם","compassionate","generous"
"ר ך","עָדִין","ieדִין","תםך","soft","gentle"
"ר כ ילו ת","סקנדל","סקשאל","osכ ילו ת","gossip","scandal"
"ר ע יו ן","תֵאוֹרִיָה","djאוֹרִיָה","zuע יו ן","idea","theory"
"ר ע ל","לַהֲרוֹג","ncהֲרוֹג","סםע ל","poison","kill"
"ר ע ש ","נשמע","נשכך","ר ע zo","noise","sound"
"ר פו א י","פְּסִיכוֹלוֹגִי","פְּסיתכוֹלוֹגִי","otפו א י","medical","psychological"
"ר ק","לאחרונה","לאתאונה","rlק","just","recently"
"ר ק ט ה","טִיל","cfיל","adק ט ה","rocket","missile"
"ר קד ן","לִרְקוֹד","נםרְקוֹד","ןעקד ן","dancer","dance"
"ר ש  ת","מערכת","פירכת","ttש  ת","network","system"
"ר ש ו ת","הסכמה","הססטה","mtש ו ת","permission","approval"
"ראשון","אחרון","גירון","ראכין","first","last"
"רגיל","רָגִיל","cfגִיל","רגני","ordinary","usual"
"רו ב","הַצבָּעָה","ngצבָּעָה","רוםו","majority","vote"
"רו ב ו ט","מְכוֹנָה","ההכוֹנָה","רו ב וtc","robot","machine"
"רו ד או ","בּוֹקֵר","dsוֹקֵר","רוטמ או ","rodeo","cowboy"
"רו ח ","סערה","גדרה","רוצד ","wind","storm"
"רו מ י","יווני","למוני","רו מxt","roman","greek"
"רו צ ח ","רוֹצֵחַ","רונךֵחַ","רובד ח ","killer","murderer"
"רו ש  ם","מַרגִישׁ","מַרגִיks","רו שתגם","impression","feeling"
"רובה","אֶקְדָח","dbקְדָח","בשבה","rifle","gun"
"רווח","הַכנָסָה","הַכנָספצ","רוכם","profit","income"
"רום","קוניאק","כשניאק","ולם","rum","cognac"
"רומיאו","ג'ולייט","וaולייט","רומיסת","romeo","juliet"
"רזה","עבה","מעה","מעה","thin","thick"
"ריק","מלא","ציא","לתק","empty","full"
"רכב","אוטו","אופנ","ציב","vehicle","car"
"רכבת","אוֹטוֹבּוּס","אותלוֹבּוּס","תובת","train","bus"
"רסיס","לְחַבֵּר","ewחַבֵּר","לעיס","fragment","piece"
"רעב","צָמָא","pdמָא","בהב","hunger","thirst"
"רעידת אדמה","הִתְפּוֹצְצוּת","הִתְפּוֹצְצוןו","רעידרנאדמה","earthquake","explosion"
"רצון עז","בַּקָשָׁה","gtּקָשָׁה","וטון עז","desire","wish"
"רשמית","רשמי","הזמי","הזמית","officially","official"
"רשע","אַכְזָרִיוּת","אַכְזָרִיופה","פעע","evil","cruelty"
"ש  א ל ה","לִשְׁאוֹל","לִשְׁאלדל","ש  א לzo","question","ask"
"ש  ב  לו ל","צָב","נהב","ש  ב  לוחצ","snail","turtle"
"ש  ב ב","התקן","התוה","il ב ב","chip","device"
"ש  ב ט","מִשׁפָּחָה","ןהשׁפָּחָה","ש  בןו","clan","family"
"ש  ג יא ה","טעות","פנות","og ג יא ה","error","mistake"
"ש  ג עו ן","טִפּשׁוּת","מםפּשׁוּת","חף ג עו ן","madness","stupidity"
"ש  ג ר יר","שר בממשלה","שר בממחכה","zs ג ר יר","ambassador","minister"
"ש  ד ר ה","רְחוֹב","jbחוֹב","ש  ד רag","avenue","street"
"ש  הו ת","לְהִשָׁאֵר","לְהִשָׁאio","ש  התסת","stay","remain"
"ש  יח ה","דִיוּן","דִיוoh","tt יח ה","conversation","discussion"
"ש  יח ה","טֵלֵפוֹן","טֵלֵפוpm","tt יח ה","call","telephone"
"ש  כ יר ח ר ב","מִתנַקֵשׁ","שףתנַקֵשׁ","ds כ יר ח ר ב","mercenary","assassin"
"ש  כב ה","משטח","משתד","דם כב ה","layer","surface"
"ש  ל ג יל ה ע ש ר ה","מִתבַּגֵר","סםתבַּגֵר","wr ל ג יל ה ע ש ר ה","teenage","teenager"
"ש  ל ה צ י","צי","טת","ao ל ה צ י","naval","fleet"
"ש  ל יש  י","רביעי","פציעי","ob ל יש  י","third","fourth"
"ש  ל ע מו ד ה ש  דר ה","בִּטנִי","kfּטנִי","ש  ל ע מו ד ה ש  דתאה","spinal","abdominal"
"ש  לש ו ל","בחילה","וסילה","זך לש ו ל","diarrhea","nausea"
"ש  ם","כותרת","כווץת","ש zi","name","title"
"ש  מ י ם","שְׁמֵימִי","שְׁמֵיעפי","ש  מ יun","sky","heavenly"
"ש  מ יכ ה","מַגֶבֶת","ilגֶבֶת","oh מ יכ ה","blanket","towel"
"ש  נ י ה","דַקָה","ffקָה","טץ נ י ה","second","minute"
"ש  נא ה","אהבה","פתבה","חם נא ה","hate","love"
"ש  נו ן","מצחיק","ליחיק","ש  נהתן","witty","funny"
"ש  ע ר","שַׁעַר","שַׁעof","ש  עdc","portal","gate"
"ש  פ ה","לֶחִי","hpחִי","צץ פ ה","lip","cheek"
"ש  פ ע ת","מַחֲלָה","fpחֲלָה","ש  פ עks","flu","disease"
"ש  פ תו ן","נִיחוֹחַ","נִיחוֹcj","qc פ תו ן","lipstick","perfume"
"ש  ק ט","לְהַרְגִיעַ","לְהַרְפשיעַ","fs ק ט","quiet","calm"
"ש  ר יף","ראש העיר","ראבןהעיר","lp ר יף","sheriff","mayor"
"ש  רו ת","תחזוקה","תחזולו","זן רו ת","service","maintenance"
"ש  רו ת ים","כִּיוֹר","בfּיוֹר","cm רו ת ים","toilet","sink"
"ש  רש  ר ת","חֶבֶל","חֶחקל","ש  רש  רןה","chain","rope"
"ש ו ד ד י ם","מלח","יסח","ש ו ד ד שרם","pirate","sailor"
"ש ו ט ה","אִידיוֹט","umידיוֹט","bsו ט ה","fool","idiot"
"ש ו כ ר","בעל בית","בעתךבית","ש ו שרר","tenant","landlord"
"ש ו ל ח ן כ  ת יב ה","מִשׂרָד","שןשׂרָד","ש ו ל ח ן כ  ת יטתה","desk","office"
"ש ו ע ל","ארנב","ארמט","םמו ע ל","fox","rabbit"
"ש ו ש  ל ת","אימפריה","איוצריה","ש ו ש  לתפ","dynasty","empire"
"שבע רצון","שַׂמֵחַ","סםׂמֵחַ","שבצורצון","satisfied","happy"
"שגרירות","מִשׂרָד","שןשׂרָד","שגרישית","embassy","ministry"
"שוחד","לִסְחוֹט","ךנסְחוֹט","שוטל","bribe","blackmail"
"שולחן","כִּסֵא","jpּסֵא","שוצון","table","chair"
"שום","בצל","תשל","בחם","garlic","onion"
"שום דבר","משהו","משמד","לסם דבר","nothing","something"
"שומר","פַּטרוֹל","פַּטרוgt","שוחו","guard","patrol"
"שותף לעבודה","חבר","נכר","שודד לעבודה","colleague","friend"
"שיח","עֵץ","rlץ","ונח","bush","tree"
"שיטה","טֶכנִיקָה","ןעכנִיקָה","שיוו","method","technique"
"שינוי","הַשׁבָּחָה","הַשׁבָּחjj","שימאי","change","improvement"
"שיער","זָקָן","cjקָן","שיקן","hair","beard"
"שלב","פרק זמן","פרמזזמן","וחב","phase","period"
"שלום","ביי","תקי","שלכו","hello","bye"
"שמיעה","ניסוי","ניאמי","שמבקה","hearing","trial"
"שמרני","לִיבֵּרָלִי","riיבֵּרָלִי","שמסקי","conservative","liberal"
"שסתום","אווורור","המוורור","העתום","valve","ventilation"
"שקט","שתיקה","וויקה","טנט","silent","silence"
"שקיעת החמה","שַׁחַר","lhׁחַר","שקיעת ששמה","sunset","dawn"
"שקר","שַׁקרָן","שַׁקמסן","וחר","lie","liar"
"שריטה","חבורה","הוורה","שרתוה","scratch","bruise"
"שתיים","ארבעה","ארליה","שתנום","two","four"
"ת א","סִיפּוּן","חםיפּוּן","ןעא","cabin","deck"
"ת א","כלא","ומא","ןעא","cell","prison"
"ת בו א ה","קמח","ציח","ת בוחט ה","grain","flour"
"ת ג","מדים","וגים","ckג","badge","uniform"
"ת זמו ר ת","לְהִתְאַגֵד","jfהִתְאַגֵד","רץזמו ר ת","orchestra","band"
"ת ח רו ת","אַלִיפוּת","בםלִיפוּת","ת ח רוtu","competition","championship"
"ת ח ת","קַת","צףת","jiח ת","ass","butt"
"ת חב  יב","ספּוֹרט","ספאזֹרט","כךחב  יב","hobby","sport"
"ת ינו ק","יֶלֶד","זתלֶד","vxינו ק","baby","child"
"ת ל י ה","ביצוע","בייקע","ת ל בפה","hanging","execution"
"ת לו נ ה","הַאֲשָׁמָה","iאאֲשָׁמָה","ת לו נoo","complaint","accusation"
"ת מו נ ה","תמונה","צוונה","סךמו נ ה","picture","photo"
"ת נו מ ה","לְהִתְהַלֵך","לְהִתְהַבסך","כךנו מ ה","nap","stroll"
"ת ע ש  י ה","עֵסֶק","ךנסֶק","ת ע ש  יאנ","industry","business"
"ת צ פ  ית","הַעֲרָכָה","הַעֲרָלעה","ךנצ פ  ית","observation","evaluation"
"ת קצ יב","מימון","ערמון","dbקצ יב","budget","funding"
"ת קר ית","תְאוּנָה","תְאוּנטז","לנקר ית","incident","accident"
"ת ר ב ו ת","תַרְבּוּת","תַרְבּשסת","dmר ב ו ת","culture","civilization"
"ת ר פ י ה","יַחַס","ivחַס","וxר פ י ה","therapy","treatment"
"תגובה","הַצהָרָה","הַצהָרpn","סבובה","comment","statement"
"תדירות","אוֹת","אוdd","לתירות","frequency","signal"
"תהליך","תהליך","הסליך","חיליך","process","procedure"
"תו כנ ה","מַחשֵׁב","פןחשֵׁב","תודרנ ה","software","computer"
"תו ל ע ת","נָחָשׁ","mtחָשׁ","תו ל עשכ","worm","snake"
"תו ס פ ת","נוֹסָף","נוזףָף","תו ס פדפ","extra","additional"
"תו צ א ה","תוֹצָאָה","תוֹצָארנ","תו צ אqu","result","outcome"
"תופעה","מִקרֶה","dnקרֶה","תווךה","phenomenon","event"
"תור","להתחלף","להתחטט","ורר","turn","rotate"
"תיק מסמכים","מזוודה","בשוודה","תיק מסהלים","briefcase","suitcase"
"תכונה","בעלים","סולים","בקונה","property","owner"
"תמיד","תָמִיד","ieמִיד","תמשי","always","constantly"
"תמיכה","סִיוּעַ","סִיוכחַ","להיכה","support","assistance"
"תמים","אָשֵׁם","אָשֵעא","שכים","innocent","guilty"
"תמים","מְטוּפָּשׁ","hmטוּפָּשׁ","שכים","naïve","stupid"
"תמים","צִינִי","צִינey","שכים","naive","cynical"
"תנועות","פעולה","רשולה","יפועות","gesture","act"
"תנור","תַנוּר","jcנוּר","תנתי","oven","stove"
"תפוח אדמה","עגבנייה","שלבנייה","שכוח אדמה","potato","tomato"
"תפוח עץ","פרי","גתי","שדוח עץ","apple","fruit"
"תקליט","הקלטה","הקבדה","נעליט","record","recording"
"תראה","שעון","אשון","התאה","look","watch"
"תרגול","תרגיל","תרתכל","למגול","practice","exercise"
"תשובה","תשובה","תשליה","תשליה","answer","reply"
"תשומת הלב","לִמְשׁוֹך","םממְשׁוֹך","תשומבזהלב","attention","attract"
