"sk_target","sk_cue","sk_fake_cue","sk_fake_target","en_cue","en_target"
"zmraziť","roztaviť sa","roztaviťcient","znešziť","melt","freeze"
"znalosť","skúsenosť","skúseriál","znamoch","experience","knowledge"
"znamenie","tvar","măar","schomenie","form","sign"
"zničenie","stvorenie","adoprenie","opračenie","creation","destruction"
"znížiť","zvýšiť","meršiť","vonžiť","increase","reduce"
"zomrieť","trpieť","trming","zochiel","suffer","die"
"zóna","oblasť","obťach","lahna","area","zone"
"zorganizovať","usporiadať","idenriadať","hviezdganizovať","arrange","organize"
"zostať","pobyt","povid","zorial","stay","remain"
"zradca","špión","kreón","grécca","spy","traitor"
"zriedka","príležitostne","príleživzdychne","hniezka","occasionally","rarely"
"zrkadlo","odraz","odlen","zrýchlo","reflection","mirror"
"zub","klinec","uponec","crb","nail","tooth"
"žuť","prehĺtať","prehŕdaš","kŕť","swallow","chew"
"zvuk","hluk","hlps","yuuk","noise","sound"
"zvyčajne","normálne","kresmálne","zvychybne","normally","usually"
