"et_cue","et_target","et_fake_target","et_fake_cue","en_cue","en_target"
"viisakas","sõbralik","sõbratuur","tähtsakas","polite","friendly"
"vintpüss","relv","rerl","vintpoon","rifle","gun"
"viski","viin","vibü","hukki","whiskey","vodka"
"võib olla","ilmselt","padselt","võib osöe","maybe","probably"
"võileib","hamburger","hamburkuid","võikeed","sandwich","hamburger"
"võimatu","lihtne","rektne","koormatu","impossible","easy"
"võimetus","võimetu","seadmetu","võimekord","inability","unable"
"võimsus","energia","veetgia","teissus","power","energy"
"võimsus","võime","kanme","teissus","capacity","ability"
"võit","lüüasaamine","kõõrdsaamine","võty","victory","defeat"
"võitlus","võitlema","kindlema","võitdad","combat","fight"
"võlts","vale","vaban","dilts","fake","FALSE"
"võlu","ilu","ggu","võnas","charm","beauty"
"vool","elektrienergia","kaitsrienergia","voig","current","electricity"
"võrk","süsteem","erateem","võpp","network","system"
"vorm","allkirjastama","allreaalajastama","voek","form","sign"
"võti","lukustama","lumeinitama","husti","key","lock"
"washington","boston","ohuton","wasdownton","washington","boston"
"žest","tegutsema","tesiaalsema","gpst","gesture","act"
"zombie","vampiir","vampart","zombuk","zombie","vampire"
