"lv_target","lv_cue","lv_fake_cue","lv_fake_target","en_cue","en_target"
"tunelis","tilts","tinēs","tunestrī","bridge","tunnel"
"tur","šeit","hoit","žer","here","there"
"turcija","cālis","cājām","elekcija","chicken","turkey"
"turēt","aizturēt","aiztuliem","tudus","hold","keep"
"turpināt","rīkoties","rīkolēģu","elekpināt","proceed","continue"
"ūdeņradis","ogleklis","ogmauglis","blļeradis","carbon","hydrogen"
"unikāls","īpašs","āfašs","unidiis","special","unique"
"universitāte","koledža","kolemēts","universitāteņutyrrell","college","university"
"urīns","asinis","gotnis","urkts","blood","urine"
"uz augšu","uz leju","uz lsien","uz aubaak","down","up"
"uz visiem laikiem","mūžīgs","mūsūds","uz visiem lpriekš","eternal","forever"
"uz ziemeļiem","dienvidos","starvidos","uz ziemsauiē","south","north"
"uzbrucējs","cietušais","cietuļiem","uzbrudzēt","victim","attacker"
"uzbrukums","iebrukums","iebruciet","uzbrutāia","invasion","attack"
"uzglabāt","veikals","veisers","uzglarauj","shop","store"
"uzklausīt","klausīties","priesīties","uzsprisīt","listen","hear"
"uzlabošana","mainīt","maidza","uzlabošanabadzîgiem","change","improvement"
"uzņēmējs","miljonārs","miljolīdz","uzņēteau","millionaire","entrepreneur"
"uzraudzīt","siets","sikus","uzraunošs","screen","monitor"
"uzskatīt","uzticība","uzticībaterfīldas","uzskadies","trust","believe"
"uzticība","cieņa","kauņa","uzticībaterfīldas","respect","confidence"
"uzticīgs","lojāls","loslis","uztiniet","loyal","faithful"
"uztraukums","bažas","bazil","uztrauciet","concern","worry"
"uzturēšana","apkalpošana","apkalpošanabadzîgiem","uzturēšanabadzîgiem","service","maintenance"
"uzturēt","uzglabāt","uzglasmes","uztuliem","preserve","maintain"
"uzvārds","segvārds","sersārds","uzprāts","nickname","surname"
"uzvarēt","iegūt","ienis","uzvaliem","gain","win"
"uzvarētājs","zaudētājs","zaudējiem","uzvarēdziet","loser","winner"
"vāciņš","brilles","grūtles","vākies","glasses","cap"
"vadītājs","pasažieris","pasatraukris","vadīgiem","passenger","driver"
"vaigs","lūpa","lūpastâvođajâm","vaeds","lip","cheek"
"vainīgs","nevainīgs","nevaistam","vairāms","innocent","guilty"
"vājš","spēcīgs","laucīgs","apjš","strong","weak"
"vakar","šodienas","šonaktnas","vatāj","today","yesterday"
"vakars","naktis","vietis","vaņots","night","evening"
"vakcīna","antidots","antistat","dzērcīna","antidote","vaccine"
"valdība","administrācija","adminisspēkstacija","spiedība","administration","government"
"valsts","federāls","fedeslīd","vaiets","federal","state"
"vampīrs","zombija","lauzbija","vamdins","zombie","vampire"
"vaniļa","kanēlis","kanēstam","vanimums","cinnamon","vanilla"
"vannas istaba","duša","nieša","vannas istsāknēt","shower","bathroom"
"vārti","portāls","pordzīs","fanti","portal","gate"
"vecāks","pieaugušais","pieaugumijlē","vehovs","adult","parent"
"vecmāmiņa","vectēvs","vecvāks","skaismāmiņa","grandfather","grandmother"
"vēdera","muguras","muguļiem","vēderatiņkrēsls","spinal","abdominal"
"vednis","maģija","manītsja","etanis","magic","wizard"
"veiktspēja","parādīt","parāgiem","šķeisspēja","show","performance"
"vēlēšanas","kampaņa","brīvpaņa","vēlēšadziet","campaign","election"
"vēlēšanās","vēlēties","vēlēdzām","vēlēšavarmu","desire","wish"
"vēlētājs","kandidāts","kandilīdz","vēlējiet","candidate","voter"
"velns","eņģelis","eņģestam","veils","angel","devil"
"veltīšana","precizitāte","precizitāteņutyrrell","veltīšanabadzîgiem","fidelity","devotion"
"venera","marss","magos","veneratiņkrēslā","mars","venus"
"ventilācija","vārsts","vālats","stjuartilācija","valve","ventilation"
"vēstule","telegramma","striptīzmeitelegramma","dientule","telegram","letter"
"vētra","vējš","vēģa","spira","wind","storm"
"vēzis","audzējs","auģisks","vēvot","tumor","cancer"
"video","dvd","ļād","visēž","dvd","video"
"viegli","neiespējams","neiespēskrien","glezli","impossible","easy"
"vienāds","žetons","ženais","vienint","badge","uniform"
"vienkāršs","vienkārši","draukārši","vienfords","simply","simple"
"vientuļš","vienīgais","vienīniem","viengust","alone","lonely"
"viesmīle","viesmīlis","brīvmīlis","brīvmīle","waiter","waitress"
"vietējais","reģionālais","reģionākošmē","vietēsiet","regional","local"
"vilks","lācis","lākam","vimas","bear","wolf"
"vilkt","virzīt","virnēs","virūt","push","pull"
"vilšanās","pārsteigums","pārsteidzām","pļaušanās","surprise","disappointment"
"vingrinājums","prakse","kreise","vingrinākošne","practice","exercise"
"virsotne","slānis","hidnis","virsotnedraudzŗjas","layer","surface"
"virve","ķēde","svede","vinje","chain","rope"
"vitamīns","proteīns","protrots","vitaleet","protein","vitamin"
"vīzija","atklāšana","atklāšanabadzîgiem","griezija","revelation","vision"
"watson","šerloks","šerdass","tūsson","sherlock","watson"
"žēlastība","piedošana","piedošanabadzîgiem","žēlastībaterfīldas","forgiveness","mercy"
"zemeņu","banāns","bašķēs","zemeties","banana","strawberry"
"zēns","meitene","meitenedraudzŗjas","rens","girl","boy"
"ziedojums","labdarība","labdarībaterfīldas","ziedodiet","charity","donation"
"zieds","augs","auču","zisas","plant","flower"
"ziema","vasara","vasaratiņkrēslā","taima","summer","winter"
"zils","brūns","brbûs","zirē","brown","blue"
"zīme","forma","svema","zīļas","form","sign"
"zināja","atpazīt","atpalaiž","zināties","recognize","knew"
"zināšanas","pieredze","pierekons","zināšadziet","experience","knowledge"
"zināt","tagad","tabes","zites","now","know"
"zinātne","tehnoloģija","parjaunoloģija","zinātnedraudzŗjas","technology","science"
"zinātnieks","ģēnijs","ģēgāks","zinātdziet","genius","scientist"
"ziņojums","brīdinājums","brīdinākošne","ziņotiem","warning","message"
"zirgs","ēzelis","sešlis","zibas","donkey","horse"
"zivis","haizivs","haiptas","zikan","shark","fish"
"zobs","nagla","fiola","zotā","nail","tooth"
"žogs","siena","launa","eegs","wall","fence"
"zona","platība","kristība","manna","area","zone"
"zonde","kapsula","džeisula","omīde","capsule","probe"
"žurka","pele","peris","sapka","mouse","rat"
"žurnālists","reportieris","redzētstieris","žurnādains","reporter","journalist"
"žurnāls","playboy","plpaboy","žurtējs","playboy","magazine"
"zvaigzne","slavenība","slavenībaterfīldas","zvaiggūs","celebrity","star"
"zveja","medības","medīsiet","dokja","hunting","fishing"
"zvērests","zvērināt","lielrināt","zvēbergs","swear","oath"
