"eu_cue","eu_target","eu_fake_target","eu_fake_cue","en_cue","en_target"
"zoriondu","agurtu","agurga","zoriradu","congratulate","greet"
"zoru","itsas armada","itsaoiarmada","zoar","marine","navy"
"ztatu","vodka","votwa","pèatu","whiskey","vodka"
"zubi","tunel","tugal","zult","bridge","tunnel"
"zuhaiska","zuhaitz","zuhadez","zuharoka","bush","tree"
"zuri","beltz","beaiz","zune","white","black"
"zurrupatu","miazkatu","tuazkatu","zurrenatu","suck","lick"
"zutik egon","eseri","rberi","zutiopegon","stand","sit"
"zuzen","ezker","teker","zulan","right","left"
"zuzen","berriki","berrlli","zulan","just","recently"
"zuzen","forman","foagan","zulan","direct","directly"
"zuzengabekeria","bidegabeko","bidegabehi","zutungabekeria","injustice","unfair"
