"vi_cue","vi_target","type","cue_type","target_type","vi_cosine"
"phí chính","năng lượng","nonword","nonword","word",NA
"tûa","chính trị gia","nonword","nonword","word",NA
"họchcởi","ngực","nonword","nonword","word",NA
"vcng đầu","liên lạc","nonword","nonword","word",NA
"frapg rỗng","điềm tĩnh","nonword","nonword","word",NA
"kup","điều tra viên","nonword","nonword","word",NA
"chròi","văn phòng","nonword","nonword","word",NA
"nhữngkthể nào","hôm qua","nonword","nonword","word",NA
"trạmu đại","cướp bóc","nonword","nonword","word",NA
"nhạnphép","quyến rũ","nonword","nonword","word",NA
"biddphải","hoàn thành","nonword","nonword","word",NA
"vso","hài lòng","nonword","nonword","word",NA
"cador","nhà văn","nonword","nonword","word",NA
"đếnmđôi","ngai vàng","nonword","nonword","word",NA
"axp","con khỉ đột","nonword","nonword","word",NA
"đinàog","điều đó","nonword","nonword","word",NA
"chrb","con rắn","nonword","nonword","word",NA
"mec trưa","nhạc sĩ","nonword","nonword","word",NA
"cáicbua","heroin","nonword","nonword","word",NA
"conswa","hiểu biết","nonword","nonword","word",NA
"thiênóiđúng","say","nonword","nonword","word",NA
"aik vực","đồng phục","nonword","nonword","word",NA
"chấtbring","dầu","nonword","nonword","word",NA
"iềm","chữ ký","nonword","nonword","word",NA
"ếở","hố","nonword","nonword","word",NA
"kaf tĩnh","tìm thấy","nonword","nonword","word",NA
"hiệnunàng","biết","nonword","nonword","word",NA
"từkhinh","ngày sinh nhật","nonword","nonword","word",NA
"sứi","thuê","nonword","nonword","word",NA
"táchoid","va li","nonword","nonword","word",NA
"cálàgì","phân tích","nonword","nonword","word",NA
"xelomét","thập kỷ","nonword","nonword","word",NA
"kiểmzuha","thiên đường","nonword","nonword","word",NA
"tiddphân tích","căn hộ, chung cư","nonword","nonword","word",NA
"khlu","người nói dối","nonword","nonword","word",NA
"ểung","giai đoạn = stage","nonword","nonword","word",NA
"èmtưởng","bao giờ","nonword","nonword","word",NA
"lsé dàng","bỏ phiếu","nonword","nonword","word",NA
"háo bê","bí ẩn","nonword","nonword","word",NA
"ino","hiểu biết","nonword","nonword","word",NA
"wiel diện","lễ cưới","nonword","nonword","word",NA
"nhà triệusien","bỏ rơi","nonword","nonword","word",NA
"bán đấungày","họp báo","nonword","nonword","word",NA
"đặo việt","thành công","nonword","nonword","word",NA
"liênóđược","hành chính","nonword","nonword","word",NA
"mệtmuội","tuyết","nonword","nonword","word",NA
"yêumeha","nước ép","nonword","nonword","word",NA
"xehhứng","xác minh","nonword","nonword","word",NA
"đaikhóa","vẽ","nonword","nonword","word",NA
"tanishly","cưới nhau","nonword","nonword","word",NA
"hộbring","tai nạn","nonword","nonword","word",NA
"nhhé","ích kỷ","nonword","nonword","word",NA
"cçnh mạch","chủ đích","nonword","nonword","word",NA
"dys hiệu","thần kinh","nonword","nonword","word",NA
"prie","kitô giáo","nonword","nonword","word",NA
"sự tiếhchắc","dusty","nonword","nonword","word",NA
"cui bé","sô cô la","nonword","nonword","word",NA
"dụnghđộ","ủy ban","nonword","nonword","word",NA
"tuyếohđường","trung thành","nonword","nonword","word",NA
"héu","anh trai","nonword","nonword","word",NA
"đại 樣啊","mãi mãi","nonword","nonword","word",NA
"rý đạo","đáy","nonword","nonword","word",NA
"whaty","bạc","nonword","nonword","word",NA
"bảo iần","ẩn núp","nonword","nonword","word",NA
"有用lại","thái độ","nonword","nonword","word",NA
"nj","đại dương","nonword","nonword","word",NA
"rấởng","bí mật","nonword","nonword","word",NA
"hugothận","chuyên gia","nonword","nonword","word",NA
"đắ","lãnh đạo","nonword","nonword","word",NA
"thbố","thường xuyên","nonword","nonword","word",NA
"cruinrel","quyên góp","nonword","nonword","word",NA
"penn tính nữ","ngôi trường","nonword","nonword","word",NA
"tønh nọt","hoa","nonword","nonword","word",NA
"chắc người","công tố viên","nonword","nonword","word",NA
"cii","tù nhân","nonword","nonword","word",NA
"giátriệ","bán","nonword","nonword","word",NA
"giaczyk","tử thi","nonword","nonword","word",NA
"wadd kết luận","khăn giấy","nonword","nonword","word",NA
"giailigân","xà lách","nonword","nonword","word",NA
"tchu lên","mũi tiêm","nonword","nonword","word",NA
"nhà sảđixuất","gay","nonword","nonword","word",NA
"zou giản","sương mù","nonword","nonword","word",NA
"âmcmới","alpha","nonword","nonword","word",NA
"sức shio","gây ấn tượng","nonword","nonword","word",NA
"trưởng kinh","miền tây","nonword","nonword","word",NA
"qungđịnh","tuyên bố","nonword","nonword","word",NA
"học gutz","ác quỷ","nonword","nonword","word",NA
"despkhiên","alien","nonword","nonword","word",NA
"zae","tháng bảy","nonword","nonword","word",NA
"ngthe","lời khai","nonword","nonword","word",NA
"liot","tin nhắn","nonword","nonword","word",NA
"typt độc","armory","nonword","nonword","word",NA
"tựrâl","cảm giác","nonword","nonword","word",NA
"giọngvnia","tức giận","nonword","nonword","word",NA
"vie giới","ngon","nonword","nonword","word",NA
"tổchich","ở phía sau","nonword","nonword","word",NA
"ghế sôpaha","nhà nguyện","nonword","nonword","word",NA
"düs hôn","dấu trừ","nonword","nonword","word",NA
"kiger","tôn giáo","nonword","nonword","word",NA
"manguyền","đi dạo","nonword","nonword","word",NA
"hènphản xạ","chạy trốn","nonword","nonword","word",NA
"ugnh","làng quê","nonword","nonword","word",NA
"sự câhtrung","dương vật","nonword","nonword","word",NA
"fsch","thứ lỗi","nonword","nonword","word",NA
"thoải ðài","hoàn toàn","nonword","nonword","word",NA
"wup biển","ngủ","nonword","nonword","word",NA
"ebe quân","nước hoa","nonword","nonword","word",NA
"trọngurụi","dễ","nonword","nonword","word",NA
"opt ngàn","cô đơn","nonword","nonword","word",NA
"cờng ngày","chim","nonword","nonword","word",NA
"sự quảbesc","ngựa","nonword","nonword","word",NA
"cửhcởi","người hy lạp","nonword","nonword","word",NA
"uổi","kinh phí","nonword","nonword","word",NA
"jonềắt của lính","người yêu","nonword","nonword","word",NA
"vấn lổ","người hầu","nonword","nonword","word",NA
"âmsosch","giàu có","nonword","nonword","word",NA
"oằng","đạn","nonword","nonword","word",NA
"mri biến","tiết kiệm","nonword","nonword","word",NA
"mầc","doanh nhân","nonword","nonword","word",NA
"coversne","nhảy","nonword","nonword","word",NA
"cực uỵ","bị kích thích","nonword","nonword","word",NA
"xessh thoảng","tai","nonword","nonword","word",NA
"hợpaying","phòng ngủ","nonword","nonword","word",NA
"nhậnwem","diễn viên nam","nonword","nonword","word",NA
"thim qua","thép","nonword","nonword","word",NA
"ảnhĩarằng","hệ thống điều khiển","nonword","nonword","word",NA
"rheh ảnh","quán ba","nonword","nonword","word",NA
"aing","thất vọng","nonword","nonword","word",NA
"mpt","tối cao","nonword","nonword","word",NA
"rộng sông","liên đoàn","nonword","nonword","word",NA
"têntñixí","rửa sạch","nonword","nonword","word",NA
"òt","dây thừng","nonword","nonword","word",NA
"yar giúp","chèo","nonword","nonword","word",NA
"óngc vật","đam mê","nonword","nonword","word",NA
"điể táo","sinh vật học","nonword","nonword","word",NA
"họa lg","bảo trì","nonword","nonword","word",NA
"kiế lửa","hộ chiếu","nonword","nonword","word",NA
"ngây bac","sự tiếp kiến","nonword","nonword","word",NA
"lýhtđứng","con thằn lằn","nonword","nonword","word",NA
"toànkyo","lòng biết ơn","nonword","nonword","word",NA
"jhoo dứt","sớm","nonword","nonword","word",NA
"chắc chắturks","vương quốc","nonword","nonword","word",NA
"thành gứi","cánh cổng","nonword","nonword","word",NA
"cotsợ hãi","vinh quang","nonword","nonword","word",NA
"côngchpan","boston","nonword","nonword","word",NA
"tíchđươc","cố ý","nonword","nonword","word",NA
"我學kiến","viên ngọc","nonword","nonword","word",NA
"câuchọp","nói","nonword","nonword","word",NA
"trubs chứng","gram","nonword","nonword","word",NA
"hômgđây","tu viện","nonword","nonword","word",NA
"sự phốlypop","bằng chứng","nonword","nonword","word",NA
"lyhưnư","lịch trình","nonword","nonword","word",NA
"ôitơ mục","thầy tu","nonword","nonword","word",NA
"khuymás","sự phát triển","nonword","nonword","word",NA
"cônguđang","dài","nonword","nonword","word",NA
"đầy ịa","anh em họ","nonword","nonword","word",NA
"bất hợphgiám","ngón tay cái","nonword","nonword","word",NA
"cấm bạo","tiếp thị","nonword","nonword","word",NA
"chêt gân","tập trung","nonword","nonword","word",NA
"afống","đánh giá cao","nonword","nonword","word",NA
"mối quasiel","sóng sót","nonword","nonword","word",NA
"chiếescúp","kẻ giết người","nonword","nonword","word",NA
"cargie","kiêu căng","nonword","nonword","word",NA
"khung bỉnh","tháng 12","nonword","nonword","word",NA
"imolệnh","đô la","nonword","nonword","word",NA
"lốczych","giáo dục","nonword","nonword","word",NA
"rosos","sao chép","nonword","nonword","word",NA
"lính đánhdashi","nhựa","nonword","nonword","word",NA
"ode súng","gian lận","nonword","nonword","word",NA
"sát yus","sự chấp thuận","nonword","nonword","word",NA
"lừa vất","nhảy","nonword","nonword","word",NA
"thán điệp","giáo sư","nonword","nonword","word",NA
"nạn chir","để lại","nonword","nonword","word",NA
"kim tựtramp","chương trình","nonword","nonword","word",NA
"kếthiel","hỗn hợp","nonword","nonword","word",NA
"cơhộng","chắc chắn","nonword","nonword","word",NA
"gitog","chiến lược","nonword","nonword","word",NA
"bệnh hạnh","chủ nhà","nonword","nonword","word",NA
"nhét cấp","tập đoàn","nonword","nonword","word",NA
"ie","dễ thương","nonword","nonword","word",NA
"cái vởn","isurd","nonword","nonword","word",NA
"sắi","sấm sét","nonword","nonword","word",NA
"sức okn","nhỏ","nonword","nonword","word",NA
"nạn dải","gặp","nonword","nonword","word",NA
"khaitấạc","tôm hùm","nonword","nonword","word",NA
"khiêmchël","dấu vân tay","nonword","nonword","word",NA
"khinóithoải mái","phía đông","nonword","nonword","word",NA
"chuồnkhóa","bản đồ","nonword","nonword","word",NA
"công nbén","cậu bé","nonword","nonword","word",NA
"khỏa trôi","người mua","nonword","nonword","word",NA
"tínhvòng","mỉa mai","nonword","nonword","word",NA
"ìna đêm","van","nonword","nonword","word",NA
"bấtolệnh","ánh sáng","nonword","nonword","word",NA
"môi trngng","mặt","nonword","nonword","word",NA
"không cóhókhnnhng","cháu trai","nonword","nonword","word",NA
"vôdrahn","họ","nonword","nonword","word",NA
"hoanghĩrằng","tòa nhà","nonword","nonword","word",NA
"keinkhuyên","gây tử vong","nonword","nonword","word",NA
"gạ súng","mảnh","nonword","nonword","word",NA
"chúapthí nghiệm","biết","nonword","nonword","word",NA
"nỗ sư","đường dẫn","nonword","nonword","word",NA
"choon hiểu biết","kỹ thuật","nonword","nonword","word",NA
"bàncát","phản đối","nonword","nonword","word",NA
"kính thiêlonghs","deck","nonword","nonword","word",NA
"ấnhtđứng","đàn ghi ta","nonword","nonword","word",NA
"niel sách","bạn bè","nonword","nonword","word",NA
"bẩn tião","có tội","nonword","nonword","word",NA
"côngcgiày","ung thư","nonword","nonword","word",NA
"phương paña","đế chế","nonword","nonword","word",NA
"không bìnhrimsung","hỗ trợ","nonword","nonword","word",NA
"máysar","sản lượng","nonword","nonword","word",NA
"lánhxe","atlantic","nonword","nonword","word",NA
"wam","hành tây","nonword","nonword","word",NA
"lii","muốn","nonword","nonword","word",NA
"fsch","một vài nơi","nonword","nonword","word",NA
"trjo","đáp lại","nonword","nonword","word",NA
"nóngcmóc","không xác định","nonword","nonword","word",NA
"hội vhach","hàng hóa","nonword","nonword","word",NA
"sự chuẩdris","thuộc thân thể","nonword","nonword","word",NA
"cungóeiện","thách thức","nonword","nonword","word",NA
"nghi lđấy","hải quân","nonword","nonword","word",NA
"hôođược","lễ","nonword","nonword","word",NA
"lễ hội htasẽsống","mới đây","nonword","nonword","word",NA
"eich","chức vụ","nonword","nonword","word",NA
"tỏt","kẻ ngốc","nonword","nonword","word",NA
"toxoc địa","buộc tội","nonword","nonword","word",NA
"nùn đường","con thuyền","nonword","nonword","word",NA
"luào","bài học","nonword","nonword","word",NA
"xe tzashi","rượu vodka","nonword","nonword","word",NA
"oung","quân sự","nonword","nonword","word",NA
"nhp tâm","medallion","nonword","nonword","word",NA
"oblaphát điện","rùng mình","nonword","nonword","word",NA
"hho","chính trị","nonword","nonword","word",NA
"wer hành","mẹ","nonword","nonword","word",NA
"ngừng kiến","samurai","nonword","nonword","word",NA
"同啊","sao kim","nonword","nonword","word",NA
"thết hiếu khách","cuộc đua","nonword","nonword","word",NA
"chmh","địa chỉ","nonword","nonword","word",NA
"shalaa chọn","cướp bóc","nonword","nonword","word",NA
"sứchoặc","việc kinh doanh","nonword","nonword","word",NA
"lươngvhen","dịu dàng","nonword","nonword","word",NA
"vưi","phẫu thuật","nonword","nonword","word",NA
"thâywoi","chính trị","nonword","nonword","word",NA
"gesh hằng","bài hát","nonword","nonword","word",NA
"maỉ","vừa qua","nonword","nonword","word",NA
"ỏan","chó sói","nonword","nonword","word",NA
"misig","cửa hàng","nonword","nonword","word",NA
"punt chắc","cho","nonword","nonword","word",NA
"mbp","cuối cùng","nonword","nonword","word",NA
"qa số","tối đa","nonword","nonword","word",NA
"ól áp","bẩn thỉu","nonword","nonword","word",NA
"elo trăng","cà chua","nonword","nonword","word",NA
"stega","địa ngục","nonword","nonword","word",NA
"conc rãi","tam giác","nonword","nonword","word",NA
"tráºg","morphin","nonword","nonword","word",NA
"màu ơơ","bánh hamburger","nonword","nonword","word",NA
"eru nâu","bờ biển","nonword","nonword","word",NA
"xe cứuhtasống","yếu tố","nonword","nonword","word",NA
"rohes","bắp thịt","nonword","nonword","word",NA
"pash mềm","rộng lượng","nonword","nonword","word",NA
"sốt cterđưa","phát nổ","nonword","nonword","word",NA
"ợc","kiểm tra","nonword","nonword","word",NA
"tạo lộc","giữ","nonword","nonword","word",NA
"thuoc ve thuogiỏilắm","xa lộ","nonword","nonword","word",NA
"oã","ngọn lửa","nonword","nonword","word",NA
"mainfrag kiểu ý","chuyến bay","nonword","nonword","word",NA
"ăca trêu","vùng","nonword","nonword","word",NA
"tựlời","bếp","nonword","nonword","word",NA
"phíaleau","giám đốc","nonword","nonword","word",NA
"ngthe","buổi tiệc","nonword","nonword","word",NA
"bondác mộng","hiếm","nonword","nonword","word",NA
"hànhưrý","nhanh","nonword","nonword","word",NA
"chỉnern","thăm dò","nonword","nonword","word",NA
"dânbột","hải cảng","nonword","nonword","word",NA
"iệt","vận mạng","nonword","nonword","word",NA
"nks","kẻ tấn công","nonword","nonword","word",NA
"aspilots","nỗi đau","nonword","nonword","word",NA
"làmhtúi","cảm tạ","nonword","nonword","word",NA
"mộtanít","sự nguy hiểm","nonword","nonword","word",NA
"ở nơischáu","râu","nonword","nonword","word",NA
"tasch sạn","sự sụp đổ","nonword","nonword","word",NA
"ứanh","siêu linh","nonword","nonword","word",NA
"mùaith","tình trạng","nonword","nonword","word",NA
"mùlexuân","tâm lý","nonword","nonword","word",NA
"inm","xinh đẹp","nonword","nonword","word",NA
"vãm","xe buýt","nonword","nonword","word",NA
"liềuừđượng","bài thơ","nonword","nonword","word",NA
"sự mongchung","bão","nonword","nonword","word",NA
"chtr phi","hùng vĩ","nonword","nonword","word",NA
"châm năng","rộng","nonword","nonword","word",NA
"sứchđánh","đi","nonword","nonword","word",NA
"ălng","đóng cửa","nonword","nonword","word",NA
"hển ngủ","con kiến","nonword","nonword","word",NA
"sự tgach","người giúp việc","nonword","nonword","word",NA
"lúc hoá","nghi ngờ","nonword","nonword","word",NA
"maang miện","thịt","nonword","nonword","word",NA
"vũwerp","khùng","nonword","nonword","word",NA
"giáng hạnó","lò phản ứng","nonword","nonword","word",NA
"dịp ktụđiểm","trung thực","nonword","nonword","word",NA
"rethe","chính thức","nonword","nonword","word",NA
"xelomét","quốc gia","nonword","nonword","word",NA
"đậpgyk","chữa trị","nonword","nonword","word",NA
"nghtinga","học thuyết","nonword","nonword","word",NA
"phầnkyo","kháng cự","nonword","nonword","word",NA
"trách nenếu","tội ác","nonword","nonword","word",NA
"biệ kiếm","thành phố","nonword","nonword","word",NA
"ngây bac","cái ghế","nonword","nonword","word",NA
"réng","hoàng tử","nonword","nonword","word",NA
"danh nagh","toán học","nonword","nonword","word",NA
"mbp","quan trọng","nonword","nonword","word",NA
"nghĩt","bị phạt tù","nonword","nonword","word",NA
"âua","còi","nonword","nonword","word",NA
"ngónhtồn","đấu sĩ","nonword","nonword","word",NA
"nghểôngấy","nước xốt","nonword","nonword","word",NA
"điêncruits","viết","nonword","nonword","word",NA
"kịa","giao thức","nonword","nonword","word",NA
"dạgiey","thông báo","nonword","nonword","word",NA
"nguô ngừa","xúc phạm","nonword","nonword","word",NA
"anhesun","bụi bặm","nonword","nonword","word",NA
"kẻ thulesund","lo","nonword","nonword","word",NA
"huấn luyện fraid","chai","nonword","nonword","word",NA
"đốo mẫu","răng","nonword","nonword","word",NA
"nôvni","điếu xì gà","nonword","nonword","word",NA
"rober","trạm","nonword","nonword","word",NA
"hành aaaah","cái bút","nonword","nonword","word",NA
"nôngoâng","nhớ","nonword","nonword","word",NA
"ngườilern","tuyệt vời","nonword","nonword","word",NA
"uôm","xiếc","nonword","nonword","word",NA
"highg anh","khiêm tốn","nonword","nonword","word",NA
"chúanyj","bột","nonword","nonword","word",NA
"mãnhnnhân","cuộc bầu cử","nonword","nonword","word",NA
"người edu","công việc","nonword","nonword","word",NA
"lýatm","vị trí","nonword","nonword","word",NA
"nguyênlha","tống tiền","nonword","nonword","word",NA
"quânx viên","cowboy","nonword","nonword","word",NA
"gisker","hết sức","nonword","nonword","word",NA
"thiêncbin","batman","nonword","nonword","word",NA
"ngănthờ","máy móc","nonword","nonword","word",NA
"brokthơ","bố","nonword","nonword","word",NA
"nữchuóng","mông","nonword","nonword","word",NA
"cacoĩ","lập kế hoạch","nonword","nonword","word",NA
"gsốt","nguyên nhân","nonword","nonword","word",NA
"lăn ông","nến","nonword","nonword","word",NA
"vậtnnhiên","viễn cảnh","nonword","nonword","word",NA
"tha vod","mát lạnh","nonword","nonword","word",NA
"chuf","điện thoại","nonword","nonword","word",NA
"vũnđàng","tội phạm","nonword","nonword","word",NA
"trtn","hợp lý","nonword","nonword","word",NA
"khoặ bén","rác","nonword","nonword","word",NA
"khíorõ","lạnh","nonword","nonword","word",NA
"chẩuký","thượng nghị viện","nonword","nonword","word",NA
"nhhật","kinh ngạc","nonword","nonword","word",NA
"émi bé","hành động","nonword","nonword","word",NA
"quêtởđó","bầm tím","nonword","nonword","word",NA
"nướ thiết","xứng đáng","nonword","nonword","word",NA
"xiriăng","con mèo","nonword","nonword","word",NA
"ltng đất","xe tải","nonword","nonword","word",NA
"uừm","vòng cổ","nonword","nonword","word",NA
"rr gắng","thông gió","nonword","nonword","word",NA
"aci","tủ đồ","nonword","nonword","word",NA
"mur chuyện","vâng","nonword","nonword","word",NA
"mộtcáigìđóự nhiên","con rùa","nonword","nonword","word",NA
"đau tog","quà","nonword","nonword","word",NA
"lưổitrữ","tạp chí","nonword","nonword","word",NA
"đánh giá qutrnhnh","hệ thống","nonword","nonword","word",NA
"kinhien","nghỉ","nonword","nonword","word",NA
"lzu biến","cây búa","nonword","nonword","word",NA
"phục vhángb","truyền thuyết","nonword","nonword","word",NA
"óii","người chiến thắng","nonword","nonword","word",NA
"dảa","bia","nonword","nonword","word",NA
"sonmuội","nội dung","nonword","nonword","word",NA
"ngor chanh","bà ngoại","nonword","nonword","word",NA
"vûu","quán ăn","nonword","nonword","word",NA
"ựám","trứng","nonword","nonword","word",NA
"aay","xấu xí","nonword","nonword","word",NA
"sự trhtrăng","động cơ","nonword","nonword","word",NA
"ryn","vị hôn thê","nonword","nonword","word",NA
"người quảcđây","đẹp","nonword","nonword","word",NA
"câyhpie","trẻ tuổi","nonword","nonword","word",NA
"đừngkkhông","chữ cái","nonword","nonword","word",NA
"sốàđượng","bưu kiện","nonword","nonword","word",NA
"tựchìm","cụm từ","nonword","nonword","word",NA
"đơnhkể","cơ trưởng","nonword","nonword","word",NA
"kẻ glo","khoa học","nonword","nonword","word",NA
"nopin","lương","nonword","nonword","word",NA
"thểo kem","xưng","nonword","nonword","word",NA
"khám nghiệm hảitrả","kết cấu","nonword","nonword","word",NA
"vở sĩ","khăn tay","nonword","nonword","word",NA
"ẽn","mau","nonword","nonword","word",NA
"cál hành","người làm việc","nonword","nonword","word",NA
"phi hàchỉđưa","sáng","nonword","nonword","word",NA
"schil bị đầu cuối","trọng tài","nonword","nonword","word",NA
"hướngotàn","phi trường","nonword","nonword","word",NA
"thấpcóbn","nhà khoa học","nonword","nonword","word",NA
"ngtại","ôm","nonword","nonword","word",NA
"căng taynh","centimet","nonword","nonword","word",NA
"ocnh mỳ","thực tế","nonword","nonword","word",NA
"nhäc","hôn nhân","nonword","nonword","word",NA
"usmh viện","sự an toàn","nonword","nonword","word",NA
"phimg","khó chịu","nonword","nonword","word",NA
"lyz sen","cấm","nonword","nonword","word",NA
"bảoefm","khỏa thân","nonword","nonword","word",NA
"tíchđươc","dao","nonword","nonword","word",NA
"nguyềnzron","vợ","nonword","nonword","word",NA
"thứhàđi","nổ","nonword","nonword","word",NA
"gir bạc","bên ngoài","nonword","nonword","word",NA
"khểu ngợi","hợp pháp","nonword","nonword","word",NA
"chơii","hướng lên","nonword","nonword","word",NA
"qulm","sự giúp đỡ","nonword","nonword","word",NA
"onb","đánh bại","nonword","nonword","word",NA
"chuồnạc bộ","sự vui mừng","nonword","nonword","word",NA
"quân đynn","câu","nonword","nonword","word",NA
"dânpđể","sự quyết tâm","nonword","nonword","word",NA
"quýquit","chức vụ","nonword","nonword","word",NA
"chỉay","sự mô tả","nonword","nonword","word",NA
"ngsu","đầu tư","nonword","nonword","word",NA
"tot tước","thực tế","nonword","nonword","word",NA
"nich tinh","mọi người","nonword","nonword","word",NA
"tổ chức từđâuđến","sự lôi kéo","nonword","nonword","word",NA
"ryt dẫn","misery","nonword","nonword","word",NA
"eoc","sau cùng","nonword","nonword","word",NA
"móngcaaa","sự tin tưởng","nonword","nonword","word",NA
"sẽờng","hạm đội","nonword","nonword","word",NA
"rạphiềungườimỹ","cá","nonword","nonword","word",NA
"xálasrất","giả thiết","nonword","nonword","word",NA
"owc","tiếp tục","nonword","nonword","word",NA
"làa tiền","thừa kế","nonword","nonword","word",NA
"chậtrhic","cộng sản","nonword","nonword","word",NA
"thươngogót","bữa trưa","nonword","nonword","word",NA
"lauoojn","lốc xoáy","nonword","nonword","word",NA
"àong","vấn đề","nonword","nonword","word",NA
"đángếcợ","lái","nonword","nonword","word",NA
"óat","nhiên liệu","nonword","nonword","word",NA
"rưdó","can đảm","nonword","nonword","word",NA
"brigky","vòi nước","nonword","nonword","word",NA
"sự tcáchti","duy trì","nonword","nonword","word",NA
"quyếntaý","ảo giác","nonword","nonword","word",NA
"kinh chnia","quấy rầy","nonword","nonword","word",NA
"đồnóig","quả dâu","nonword","nonword","word",NA
"nci","phòng tắm","nonword","nonword","word",NA
"lightstal","hydro","nonword","nonword","word",NA
"nhẫndrix","chuyển khoản","nonword","nonword","word",NA
"thzz","cái túi","nonword","nonword","word",NA
"xưởng sảrixuất","vắc-xin","nonword","nonword","word",NA
"thươngmđiều","đầu gối","nonword","nonword","word",NA
"tạohđo","băng hình","nonword","nonword","word",NA
"chiếnssáng","nhai","nonword","nonword","word",NA
"trí tưởngrõràng","cái nĩa","nonword","nonword","word",NA
"nguyêngđến","cát","nonword","nonword","word",NA
"saoclar","tâm lý","nonword","nonword","word",NA
"cass cùng","chiến binh","nonword","nonword","word",NA
"eruh táo","hoạt động","nonword","nonword","word",NA
"đêp hình","kẻ phản bội","nonword","nonword","word",NA
"óió","tính toán","nonword","nonword","word",NA
"siêu nhnected","bác sĩ","nonword","nonword","word",NA
"ởyu chất","độc nhất","nonword","nonword","word",NA
"quáilatt","ba","nonword","nonword","word",NA
"mli học","gia đình","nonword","nonword","word",NA
"thứhàđi","khuyên nhủ","nonword","nonword","word",NA
"lnờng","cửa","nonword","nonword","word",NA
"ềnư","gà tây","nonword","nonword","word",NA
"mụng","nhà vua","nonword","nonword","word",NA
"muûi","nổi tiếng","nonword","nonword","word",NA
"trổn tiếp","hỏa tiễn","nonword","nonword","word",NA
"ie","đồ chơi","nonword","nonword","word",NA
"bảoefm","sách","nonword","nonword","word",NA
"ô gáiem","dịch","nonword","nonword","word",NA
"thay đyn","biểu tượng","nonword","nonword","word",NA
"sự chospiel","chính xác","nonword","nonword","word",NA
"sự trảhưió","danh tiếng","nonword","nonword","word",NA
"quanbist","đầm","nonword","nonword","word",NA
"uku liệu","tuyên thệ","nonword","nonword","word",NA
"ápcường","sốt","nonword","nonword","word",NA
"sự phẫcoub","thường","nonword","nonword","word",NA
"khoscậu","mật khẩu mở khóa","nonword","nonword","word",NA
"hỗtrie","ding","nonword","nonword","word",NA
"sự hỗdelson","chức năng","nonword","nonword","word",NA
"ivn","im lặng","nonword","nonword","word",NA
"myop xúc","cao thủ","nonword","nonword","word",NA
"gìi vào","cà vạt","nonword","nonword","word",NA
"bài oup","dân tộc","nonword","nonword","word",NA
"qo sơ","chu vi","nonword","nonword","word",NA
"gip ro","vui mừng","nonword","nonword","word",NA
"gip ro","trang bị","nonword","nonword","word",NA
"vimex","xác nhận","nonword","nonword","word",NA
"thán điệp","thu nhập = earnings","nonword","nonword","word",NA
"sự sángytôi","trung úy","nonword","nonword","word",NA
"flet triển","tận tụy","nonword","nonword","word",NA
"wind can đảm","điện","nonword","nonword","word",NA
"ricer","làm","nonword","nonword","word",NA
"chagthu","có hiệu lực","nonword","nonword","word",NA
"thànhtđừng","đường phố","nonword","nonword","word",NA
"cçanh giác","dây điện","nonword","nonword","word",NA
"dềy đàn","duy trì","nonword","nonword","word",NA
"ưông","thú vật","nonword","nonword","word",NA
"oàng","tháng mười","nonword","nonword","word",NA
"vui lòai","ruồi","nonword","nonword","word",NA
"ogo chữa","buổi triển lãm","nonword","nonword","word",NA
"skee trường","motel","nonword","nonword","word",NA
"đámsmột","bộ phim","nonword","nonword","word",NA
"conczyt","lãng mạn","nonword","nonword","word",NA
"ăgiú hàng","tẩy","nonword","nonword","word",NA
"phí chính","áo khoác","nonword","nonword","word",NA
"tậpdinn","thịt ba rọi","nonword","nonword","word",NA
"biếntắc","phiền muộn","nonword","nonword","word",NA
"bank tròn","tra tấn","nonword","nonword","word",NA
"y lyou","chủ tịch","nonword","nonword","word",NA
"việnnphẫu học","tầm quan trọng","nonword","nonword","word",NA
"hơin huyền","câu nói đùa","nonword","nonword","word",NA
"ý nclửa","rẻ","nonword","nonword","word",NA
"brahthấp nhất","phân công","nonword","nonword","word",NA
"bâ ác","xa","nonword","nonword","word",NA
"cuộc xâtyđang","thu hút","nonword","nonword","word",NA
"mcquadelity","thiết bị","nonword","nonword","word",NA
"quanmđôi","cắt","nonword","nonword","word",NA
"playhần","buồn nôn","nonword","nonword","word",NA
"tanganhóm","dạy","nonword","nonword","word",NA
"côngføx","má","nonword","nonword","word",NA
"hàngplett","chiều dài","nonword","nonword","word",NA
"tiêchhiểu","đông cứng","nonword","nonword","word",NA
"phi hàchơiđàn","cerebral","nonword","nonword","word",NA
"loạiuôi","tài chính","nonword","nonword","word",NA
"kinh stons","cà phê","nonword","nonword","word",NA
"goớn","tự nguyện","nonword","nonword","word",NA
"trvẵngại","đánh đập","nonword","nonword","word",NA
"我學kiến","thám tử","nonword","nonword","word",NA
"ã nh","gương","nonword","nonword","word",NA
"viên conrushka","người lái xe","nonword","nonword","word",NA
"quyềnguín","thuốc lá","nonword","nonword","word",NA
"đại pc","sẹo","nonword","nonword","word",NA
"lo ligg","đồng hành","nonword","nonword","word",NA
"riêngkred","hài kịch","nonword","nonword","word",NA
"chúahàrồi","phút","nonword","nonword","word",NA
"lịchchủ","gửi","nonword","nonword","word",NA
"nhngk mười một","cung cấp","nonword","nonword","word",NA
"quáng sáu","trợ lý","nonword","nonword","word",NA
