"vi_target","vi_cue","vi_fake_cue","vi_fake_target","en_cue","en_target"
"thuộc thân thể","tình dục","dalh dục","thuộc thânclửa","sexual","physical"
"thuốc uống","rượu","rưdó","thuốhvuông","alcohol","drug"
"thường","bình thường","bình hëuñng","thoạng","ordinary","usual"
"thường","thỉnh thoảng","xessh thoảng","thoạng","sometimes","often"
"thương hại","kiên nhẫn","kiên books","thươngcươi","patience","compassion"
"thượng nghị sĩ","thống đốc","thống vóc","thươngđighị sĩ","governor","senator"
"thượng nghị viện","quốc hội","cầuc hội","nhưngôngghị viện","parliament","senate"
"thường xuyên","thông thường","thậtngthường","thănng xuyên","normally","usually"
"thủy thủ","cướp biển","chén biển","thủy weg","pirate","sailor"
"tiền bạc","tiền mặt","tiềncrat","tiềncsức","cash","money"
"tiếp thị","quảng cáo","quảngacts","tiếp end","advertising","marketing"
"tiếp tục","tiếp tục","tiếpstuf","tiếpotại","proceed","continue"
"tiết kiệm","giải thoát","giải choèn","cost kiệm","rescue","save"
"tìm thấy","tìm kiếm","biệ kiếm","tìm tđặc","search","find"
"timer","ngòi nổ","nguư nổ","ticle","detonator","timer"
"tin","lòng tin","lòngnoir","iăn","trust","believe"
"tin nhắn","cảnh báo","sath báo","taamnhắn","warning","message"
"tin tức","kênh truyền hình","kênh truyềnahmet","tinhóac","channel","news"
"tính cách","nhân vật","nhânkott","agah cách","character","personality"
"tinh thần","linh hồn","terh hồn","tinh blow","soul","spirit"
"tính toán","đếm","tnm","tínhadows","count","calculate"
"tình trạng","liên bang","liênpears","fluh trạng","federal","state"
"tivi","đài","ysi","tiren","radio","television"
"tổ chức","sắp xếp","sắvìxúc","tổvchuk","arrange","organize"
"tổ chức","pháp luật","adop luật","tổvchuk","law","constitution"
"to lớn","to lớn","tohứớn","tockớn","big","huge"
"tòa nhà","tòa tháp","cònttháp","tòa ait","tower","building"
"toàn cầu","quốc gia","κenc gia","cool cầu","national","global"
"toán học","vật lý","vậtfes","toánchẳn","physics","mathematics"
"tốc độ","khoảng cách","dhoond cách","tốclên","distance","speed"
"tối","bóng","ảnng","ổii","shadow","dark"
"tối","đêm","sưm","ổii","night","evening"
"tội ác","tội","ggi","tộgiác","sin","crime"
"tối cao","uy nghi","uy nexi","tốiscme","majesty","highness"
"tối đa","tối thiểu","piz thiểu","tối lô","minimum","maximum"
"tối hậu","cuối cùng","cass cùng","amp hậu","final","ultimate"
"tội phạm","thief","thtif","baidphạm","thief","criminal"
"tồi tệ","tốt","obt","sýi tệ","good","bad"
"tôm hùm","cá ngừ","cá ndạ","otá hùm","tuna","lobster"
"tôn giáo","triết học","stric học","đóg giáo","philosophy","religion"
"tôn kính","đặc quyền","đặhtruyền","lsé kính","privilege","honor"
"tống tiền","mua chuộc","muachuyến","menc tiền","bribe","blackmail"
"tốt nghiệp","bằng cấp","bằnghcób","trảinghiệp","diploma","graduate"
"tra tấn","dằn vặt","hét vặt","trasahn","torment","torture"
"trái cam","màu xanh lá","chukxanh lá","tráischa","green","orange"
"trái ngược","đối diện","swa diện","quái ngược","opposite","contrary"
"trạm","nền tảng","taa tảng","trsc","platform","station"
"trận đánh","chiến tranh","chiếnvelanh","trap đánh","war","battle"
"trang bị","trang thiết bị","trang thiếphet","tranghéo","equipment","equip"
"tranh chấp","cuộc xung đột","sesc xung đột","muñnh chấp","conflict","dispute"
"trẻ em","người lớn tuổi","người lớnetrin","trýcem","senior","junior"
"trẻ tuổi","cũ","hv","ilu tuổi","old","young"
"trình diễn","quả quyết","jem quyết","meinh diễn","protest","demonstration"
"trò chơi","chơi","chuô","lut chơi","play","game"
"trợ lý","thư ký","thư 學校","trợ ểt","secretary","assistant"
"trở về","trở lại","treolại","trởguō","back","return"
"trọng tài","tòa án","dóa án","trọngtoin","court","judge"
"trụ sở chính","cơ sở","cơexở","tempsở chính","base","headquarters"
"trực giác","bản năng","bảnuđang","atec giác","instinct","intuition"
"trực tiếp","trực tiếp","trổn tiếp","trưỡ tiếp","direct","directly"
"trứng","tổ","iế","tráog","nest","egg"
"trùng khớp","giải đấu","giải đảm","trùng kook","tournament","match"
"trung thành","trung thành","thắngnthành","trung cmạnh","loyal","faithful"
"trung thực","lòng trung thành","park trung thành","trung chst","loyalty","honesty"
"trung thực","tử tế","tửbop","trung chst","decent","honest"
"trung úy","trung sĩ","trung iụ","trung yì","sergeant","lieutenant"
"trường đại học","trường đại học","trường đạishly","trường đạishly","college","university"
"truyên thông","hiện đại","hiệnìlại","truyên hđồng","modern","traditional"
"truyền thuyết","huyền thoại","huyền chcởi","truyền cứuytế","myth","legend"
"từ biệt","xin chào","lỗi chào","từbrist","hello","bye"
"tủ đồ","buồng","bushg","tủchồ","cabinet","closet"
"tự do","thận trọng","đấyn trọng","tựbụi","conservative","liberal"
"tù giam","tủ","åi","tù gcưỡi","cell","prison"
"tụ họp","sưu tầm","ttu tầm","tụchặt","collect","gather"
"tự nguyện","tình nguyện viên","fourfnguyện viên","mãinguyện","volunteer","voluntarily"
"tù nhân","con tin","congenn","nemnhân","hostage","prisoner"
"tử thi","cơ thể người","thẩthể người","tửtrin","body","corpse"
"tu viện","cô nhi viện","cô nhtickin","tutriệu","orphanage","convent"
"tu viện","ngôi đền","ngôi đop","tutriệu","temple","monastery"
"tuần","tháng","iđáng","tuớc","month","week"
"tuần tra","bảo vệ","bảoefm","tuầnclửa","guard","patrol"
"tức giận","ghen tị","khai tị","tứcgiếtn","jealous","angry"
"tượng","đài kỷ niệm","đừngkỷ niệm","tươig","monument","statue"
"tưởng tượng","thực tế","thựcđiế","kyung tượng","reality","fantasy"
"tuyên bố","nhận xét","trận xét","tuyênlđó","comment","statement"
"tuyên thệ","thề","mđề","tuyên vëa","swear","oath"
"tuyết","cơn mưa","kib mưa","tuồnt","rain","snow"
"tuyệt vời","thông minh","thôngphing","tuyệtdayi","excellent","great"
"tuyệt vời","tuyệt vời","tuyệtcvik","tuyệtdayi","wonderful","fantastic"
"tỷ","triệu","trượu","嵐了","million","billion"
"ung thư","khối u","khốivf","ung ess","tumor","cancer"
"ướt","khô","đêô","đảt","dry","wet"
"ủy ban","uỷ ban","uỷplar","ủynoon","commission","committee"
"ủy viên","thanh tra","thanhtroy","ủy vcous","inspector","commissioner"
"va li","va li công tác","va li cônahlee","vacđa","briefcase","suitcase"
"vắc-xin","giải độc","giải đậu","echicxin","antidote","vaccine"
"van","đoạn phim giới thiệu","đoạn phim gihitôiđến","osn","trailer","van"
"vấn đề","rắc rối","rắcurds","vấn 幹嘛","trouble","problem"
"vận dụng","điều khiển","điều chcon","puy dụng","control","manipulate"
"văn học","nghệ thuật","nghệ tokđã","gez học","art","literature"
"vận mạng","số phận","số lyon","aυs mạng","fate","destiny"
"văn phòng","bàn","efn","văn guống","desk","office"
"vâng","được chứ","đượcscme","ường","okay","yeah"
"vắng mặt","sự có mặt","sự cterất","bant mặt","presence","absence"
"vanilla","quế","uyế","vanillalaaaaaaaaa","cinnamon","vanilla"
"vẽ","sơn","iun","rẩ","paint","draw"
"vệ tinh","radar","racom","vệphins","radar","satellite"
"vị hôn thê","groom","wwoom","vị hônbïan","groom","bride"
"ví tiền","túi","lịi","vítient","pocket","wallet"
"vị trí","địa điểm","sôa điểm","vịstof","place","location"
"việc kinh doanh","ngành công nghiệp","ngành công o việt","việc kinh vetya","industry","business"
"viễn cảnh","quang cảnh","quanggiành","rwan cảnh","view","perspective"
"viên ngọc","kim cương","tha cương","viêcusgọi","diamond","jewel"
"viên thuốc","viên thuốc","viên chiếm","viên chmnh","tablet","pill"
"viết","đọc hiểu","đọchđiều","viny","reading","writing"
"viết","đọc","tệc","viny","read","write"
"vinh quang","vinh quang","seih quang","tsuh quang","glorious","glory"
"vịt","goose","ticse","oảt","goose","duck"
"vitamin","chất đạm","iset đạm","vitacháu","protein","vitamin"
"vợ","chồng","choág","ồc","husband","wife"
"vô giá trị","vô ích","vôkênh","vô gitehrt","useless","worthless"
"vô trách nhiệm","không hợp lý","không hnaylà","vô tráchvewill","unreasonable","irresponsible"
"vòi nước","bơm","àđm","vòi nưoa","pump","hose"
"vòng cổ","nhẫn","nhxi","vòngbßi","ring","necklace"
"vụ bê bối","mach lẻo","macheroo","vụ bmidji","gossip","scandal"
"vũ khí","súng lục","súngcnic","vũ scứ","pistol","weapon"
"vừa qua","tương lai","tươngnait","vừaseux","future","past"
"vui","dí dỏm","díhdập","ææi","witty","funny"
"vui mừng","thỏa mãn","thỏa mầu","vui sing","satisfied","happy"
"vùng","khu vực","aik vực","izng","area","zone"
"vương quốc","hoàng gia","hoàngprin","cheng quốc","royal","kingdom"
"watson","sherlock","sherport","dreson","sherlock","watson"
"web","internet","interland","đób","internet","web"
"xa","gần","cfn","ºi","near","far"
"xà lách","súp","cãp","hấ lách","soup","salad"
"xa lộ","đường bộ","đườngcno","ou lộ","road","highway"
"xác minh","kiểm tra","kiểmzuha","xág vinh","check","verify"
"xác nhận","xác nhận","xác đóđã","xác tđịa","confirmation","confirm"
"xấu xí","digusting","digushers","xấu np","digusting","ugly"
"xây dựng","xây dựng","mệy dựng","xây iong","construction","build"
"xảy ra","xảy ra","xảyalm","xảylub","occur","happen"
"xe buýt","xe lửa","xeslau","xehbolt","train","bus"
"xe ô tô","phương tiện giao thông","phương tiện giahữngđám","xe amặc","vehicle","car"
"xe tải","xe jeep","xehseen","xeknói","jeep","truck"
"xiếc","vườn bách thú","enra bách thú","krếc","zoo","circus"
"xinh đẹp","khá","ïmá","skyh đẹp","pretty","beautiful"
"xúc phạm","sự sỉ nhục","sự sỉcnước","xúc triệ","insult","offend"
"xưng","thừa nhận","thừa hyên","ehng","admit","confess"
"xứng đáng","xứng đáng","àang đáng","就這ng đáng","deserve","worthy"
"xung quanh","ngoài","ngtại","hyun quanh","out","about"
"xung quanh","vòng","ồing","hyun quanh","round","around"
"yếu","mạnh","eonh","kèu","strong","weak"
"yêu cầu","nhu cầu","nhuslau","yêulash","demand","request"
"yếu tố","hệ số","tộ số","yếu xộ","factor","element"
"yêu và quý","ghét","ghoa","yêu vlimét","hate","love"
