"ro_cue","ro_target","type","cue_type","target_type","ro_cosine"
"loc de mproşez","carte","nonword","nonword","word",NA
"olancultor","batalion","nonword","nonword","word",NA
"degre","președinte","nonword","nonword","word",NA
"neînţecut","rămâne","nonword","nonword","word",NA
"nersec","a zbura","nonword","nonword","word",NA
"aparluţie","pa","nonword","nonword","word",NA
"bilanţulotecă","garaj","nonword","nonword","word",NA
"jabla","scrie","nonword","nonword","word",NA
"cântădomniţă","oficial","nonword","nonword","word",NA
"triră","autobuz","nonword","nonword","word",NA
"gotră","simbol","nonword","nonword","word",NA
"echizis","a rade","nonword","nonword","word",NA
"ancocioa","coniac","nonword","nonword","word",NA
"matai","undeva","nonword","nonword","word",NA
"brpuc","biologic","nonword","nonword","word",NA
"paranoteşti","contrar","nonword","nonword","word",NA
"gennim","talent","nonword","nonword","word",NA
"poziceţi","muzică","nonword","nonword","word",NA
"lub","ding","nonword","nonword","word",NA
"incodish","nepotrivit","nonword","nonword","word",NA
"nebam","glonţ","nonword","nonword","word",NA
"nemulţutate","criminal","nonword","nonword","word",NA
"necedent","marinar","nonword","nonword","word",NA
"novem","idiot","nonword","nonword","word",NA
"hid","mers pe jos","nonword","nonword","word",NA
"sănărind","cred","nonword","nonword","word",NA
"sammic","scaun","nonword","nonword","word",NA
"poregeni","joc","nonword","nonword","word",NA
"loatârnă","parola","nonword","nonword","word",NA
"îngeni","cauză","nonword","nonword","word",NA
"populakesho","global","nonword","nonword","word",NA
"cieze","flacără","nonword","nonword","word",NA
"matic","destin","nonword","nonword","word",NA
"septemțați","mașină","nonword","nonword","word",NA
"chelcial","o largă","nonword","nonword","word",NA
"refletist","glorie","nonword","nonword","word",NA
"getal","tehnică","nonword","nonword","word",NA
"loiadezvoltate","bogat","nonword","nonword","word",NA
"privileseşti","nevoie","nonword","nonword","word",NA
"frângere","albastru","nonword","nonword","word",NA
"capicios","vrednic","nonword","nonword","word",NA
"cţiunetă","genunchi","nonword","nonword","word",NA
"coaborda","senat","nonword","nonword","word",NA
"stânja","financiar","nonword","nonword","word",NA
"terisley","frumuseţe","nonword","nonword","word",NA
"becii","presupunere","nonword","nonword","word",NA
"raib","perspectivă","nonword","nonword","word",NA
"spr","pisică","nonword","nonword","word",NA
"buna zcleod","galben","nonword","nonword","word",NA
"vâic","naviga","nonword","nonword","word",NA
"junnţa","informație","nonword","nonword","word",NA
"dincă","penal","nonword","nonword","word",NA
"civok","aroganţă","nonword","nonword","word",NA
"secventne","restaurant","nonword","nonword","word",NA
"suemoţionatural","pentru totdeauna","nonword","nonword","word",NA
"anj","covor","nonword","nonword","word",NA
"owd","armată","nonword","nonword","word",NA
"recerici","atentat, încercare","nonword","nonword","word",NA
"matenesc","bere","nonword","nonword","word",NA
"bioşi","bunica","nonword","nonword","word",NA
"pierture","subiect","nonword","nonword","word",NA
"entuzigriji","depresie","nonword","nonword","word",NA
"canatron","marketing","nonword","nonword","word",NA
"dovid","cruzime","nonword","nonword","word",NA
"gartism","minus","nonword","nonword","word",NA
"lostructura","jalnic","nonword","nonword","word",NA
"penalizaremorchea","onestitate","nonword","nonword","word",NA
"iuţ","prieteni","nonword","nonword","word",NA
"energina","infecţie","nonword","nonword","word",NA
"etcon","faimos","nonword","nonword","word",NA
"shoal","muşchi","nonword","nonword","word",NA
"arantacol","credincios","nonword","nonword","word",NA
"riod","wizard","nonword","nonword","word",NA
"avocant","stop","nonword","nonword","word",NA
"racol","atlantic","nonword","nonword","word",NA
"famie","înfrângere","nonword","nonword","word",NA
"calobster","furtună","nonword","nonword","word",NA
"olandere","linge","nonword","nonword","word",NA
"înmulţirupe","gun","nonword","nonword","word",NA
"vânăciunire","cerere","nonword","nonword","word",NA
"resuan","limuzina","nonword","nonword","word",NA
"deşedar","copilărie","nonword","nonword","word",NA
"roney","bogatie","nonword","nonword","word",NA
"ardian","creştin","nonword","nonword","word",NA
"astrocâie","sugera","nonword","nonword","word",NA
"aproprimat","frate","nonword","nonword","word",NA
"tilne","ceresc","nonword","nonword","word",NA
"pamtie","sursa de venit","nonword","nonword","word",NA
"condreaptabil","energie","nonword","nonword","word",NA
"pregătiglonţ","sigur","nonword","nonword","word",NA
"cideti","perimetru","nonword","nonword","word",NA
"explicabluri","adversar","nonword","nonword","word",NA
"agresire","campionat","nonword","nonword","word",NA
"străduce","intrare","nonword","nonword","word",NA
"pui dsomnii","camion","nonword","nonword","word",NA
"destal","investiga","nonword","nonword","word",NA
"tenh","document","nonword","nonword","word",NA
"jocuri de cienţii","adrenalina","nonword","nonword","word",NA
"mantic","fructe","nonword","nonword","word",NA
"jurnachii","activati","nonword","nonword","word",NA
"postructică","leu","nonword","nonword","word",NA
"născă","fotograf","nonword","nonword","word",NA
"dalec","peşte","nonword","nonword","word",NA
"epide","profesional","nonword","nonword","word",NA
"buzuiesc","calitate","nonword","nonword","word",NA
"clăsă","căsătorie","nonword","nonword","word",NA
"aiure","şantaj","nonword","nonword","word",NA
"litenenţiimente","salut","nonword","nonword","word",NA
"gendă","menţine","nonword","nonword","word",NA
"adesin","pilot","nonword","nonword","word",NA
"elecbire","sus","nonword","nonword","word",NA
"noşit","prietenos","nonword","nonword","word",NA
"călulung","blând","nonword","nonword","word",NA
"buşim","atitudine","nonword","nonword","word",NA
"canceresc","intim","nonword","nonword","word",NA
"puag","psihologic","nonword","nonword","word",NA
"concludeau","gunoi","nonword","nonword","word",NA
"vapierre","dinamită","nonword","nonword","word",NA
"coram","baseball","nonword","nonword","word",NA
"relaturi","complet","nonword","nonword","word",NA
"polititiuni","amprentă","nonword","nonword","word",NA
"segrăjdar","uşor","nonword","nonword","word",NA
"şejah","adolescent","nonword","nonword","word",NA
"tranzasă","plauzibil","nonword","nonword","word",NA
"ostajezi","asasin","nonword","nonword","word",NA
"swe fi","fals","nonword","nonword","word",NA
"avanseababilitate","aştepta","nonword","nonword","word",NA
"protraume","scrisoare","nonword","nonword","word",NA
"proggy","excitat","nonword","nonword","word",NA
"kiz","fraudă","nonword","nonword","word",NA
"bircat","milă","nonword","nonword","word",NA
"fatoarcă","probabil","nonword","nonword","word",NA
"blica","trage","nonword","nonword","word",NA
"ghitor","tata","nonword","nonword","word",NA
"detri","constituţie","nonword","nonword","word",NA
"stuteam","abilitate","nonword","nonword","word",NA
"proşeli","soare","nonword","nonword","word",NA
"castiudar","camping","nonword","nonword","word",NA
"garanduri","arestare","nonword","nonword","word",NA
"nigeriaş","împărat","nonword","nonword","word",NA
"dezmemprietate","pericol","nonword","nonword","word",NA
"cheltură","trage","nonword","nonword","word",NA
"natä","proprietar","nonword","nonword","word",NA
"nebujori","a pastra","nonword","nonword","word",NA
"regurați","arhitect","nonword","nonword","word",NA
"mociu","fatal","nonword","nonword","word",NA
"obstagger","jucător","nonword","nonword","word",NA
"medinist","bucurie","nonword","nonword","word",NA
"anatotari","cinic","nonword","nonword","word",NA
"esențime","dinte","nonword","nonword","word",NA
"cabitori","ordin","nonword","nonword","word",NA
"cu fermitgământ","iad","nonword","nonword","word",NA
"grop","gaură","nonword","nonword","word",NA
"vechiulriţă","detectiv","nonword","nonword","word",NA
"rabilită","urât","nonword","nonword","word",NA
"ndreaptaminare","criză","nonword","nonword","word",NA
"stld","muzeu","nonword","nonword","word",NA
"dini","vrăjitoare","nonword","nonword","word",NA
"răsy","întoarcere","nonword","nonword","word",NA
"înlzi","aduna","nonword","nonword","word",NA
"rămâzional","universitate","nonword","nonword","word",NA
"marajezi","cale","nonword","nonword","word",NA
"răren","selectați","nonword","nonword","word",NA
"răsmânt","întâlnire","nonword","nonword","word",NA
"dincă","nebun","nonword","nonword","word",NA
"îmn","durere","nonword","nonword","word",NA
"omodat","teorie","nonword","nonword","word",NA
"generaţiuni","bumbac","nonword","nonword","word",NA
"adevălesc","lume","nonword","nonword","word",NA
"optiffer","statie","nonword","nonword","word",NA
"fierpleşite","jignița","nonword","nonword","word",NA
"riar","deplin","nonword","nonword","word",NA
"hyat","cuptor","nonword","nonword","word",NA
"asemă","ling","nonword","nonword","word",NA
"ospitalitatebracci","urină","nonword","nonword","word",NA
"coarte","vreodată","nonword","nonword","word",NA
"regitimi","făină","nonword","nonword","word",NA
"proastop","ţigară","nonword","nonword","word",NA
"filozonanţă","navă","nonword","nonword","word",NA
"excerinţenal","dans","nonword","nonword","word",NA
"fixablei","înmormântare","nonword","nonword","word",NA
"înlzi","încă","nonword","nonword","word",NA
"cauşoară","mizerie","nonword","nonword","word",NA
"wob","birou","nonword","nonword","word",NA
"joaca bailanski","întâlni","nonword","nonword","word",NA
"fama","recent","nonword","nonword","word",NA
"reprentat","western","nonword","nonword","word",NA
"fuzio","planificare","nonword","nonword","word",NA
"satta","pantof","nonword","nonword","word",NA
"ceţit","prost","nonword","nonword","word",NA
"afirmatic","radiații","nonword","nonword","word",NA
"carcăr","cadavru","nonword","nonword","word",NA
"tuje","alee","nonword","nonword","word",NA
"dezminţirecunoaşte","transfer","nonword","nonword","word",NA
"spioperi","mort","nonword","nonword","word",NA
"cufun","diferit","nonword","nonword","word",NA
"cămament","dragoste","nonword","nonword","word",NA
"pendentne","tron","nonword","nonword","word",NA
"suler","dezgustător","nonword","nonword","word",NA
"va felgrezi","discuţie","nonword","nonword","word",NA
"prinvare","pilulă","nonword","nonword","word",NA
"erab","mic","nonword","nonword","word",NA
"ign","veniți","nonword","nonword","word",NA
"sârja","amuzant","nonword","nonword","word",NA
"părtă","religie","nonword","nonword","word",NA
"luţul","nord","nonword","nonword","word",NA
"gărnic","afirmație","nonword","nonword","word",NA
"clovtere","în jurul","nonword","nonword","word",NA
"cadah","străin","nonword","nonword","word",NA
"viadulme","specialist","nonword","nonword","word",NA
"tagliară","tenis","nonword","nonword","word",NA
"ramie","client","nonword","nonword","word",NA
"itafă","pachet","nonword","nonword","word",NA
"ponsa","ulei","nonword","nonword","word",NA
"gămsă","apăra","nonword","nonword","word",NA
"cipăm","găsi","nonword","nonword","word",NA
"poron","distrugere","nonword","nonword","word",NA
"cifici","ceas","nonword","nonword","word",NA
"teleziunimă","elicopter","nonword","nonword","word",NA
"erută","speria","nonword","nonword","word",NA
"ngrite","absurd","nonword","nonword","word",NA
"batrâ","mămică","nonword","nonword","word",NA
"administracţiuni","aprobare","nonword","nonword","word",NA
"munge","castel","nonword","nonword","word",NA
"asemă","a sari","nonword","nonword","word",NA
"afirvență","monitor","nonword","nonword","word",NA
"irebru","magazin","nonword","nonword","word",NA
"parlatori","pedeapsa cu închisoarea","nonword","nonword","word",NA
"guacţionator","singuratic","nonword","nonword","word",NA
"delippov","greu","nonword","nonword","word",NA
"impretesc","portocale","nonword","nonword","word",NA
"rm","chiuvetă","nonword","nonword","word",NA
"opuny","scris","nonword","nonword","word",NA
"scârv","vitamina","nonword","nonword","word",NA
"săpme","zăpadă","nonword","nonword","word",NA
"juorientate","trimite","nonword","nonword","word",NA
"liinundă","unt","nonword","nonword","word",NA
"sireţ","predică","nonword","nonword","word",NA
"seminţiaritate","triplu","nonword","nonword","word",NA
"strâg","organiza","nonword","nonword","word",NA
"pur şi sginţi","acuzare","nonword","nonword","word",NA
"decuti","cumpărător","nonword","nonword","word",NA
"simpgre","investigator","nonword","nonword","word",NA
"sinţat","cicatrice","nonword","nonword","word",NA
"renoa","capac","nonword","nonword","word",NA
"pupraznic","a confirma","nonword","nonword","word",NA
"paine prajproşez","heroina","nonword","nonword","word",NA
"aparoter","rață","nonword","nonword","word",NA
"lutio","corporație","nonword","nonword","word",NA
"furtuse","copac","nonword","nonword","word",NA
"lucim","efectiv","nonword","nonword","word",NA
"pleasulă","lider","nonword","nonword","word",NA
"enească","ultimul","nonword","nonword","word",NA
"digmă","şopârlă","nonword","nonword","word",NA
"inț","pescuit","nonword","nonword","word",NA
"laeterna","minut","nonword","nonword","word",NA
"cuţii","local","nonword","nonword","word",NA
"tință","programa","nonword","nonword","word",NA
"excard","luptă","nonword","nonword","word",NA
"senzathrasnal","informator","nonword","nonword","word",NA
"cumens","plimbare","nonword","nonword","word",NA
"a sphaps","ușoară","nonword","nonword","word",NA
"sugels","stat","nonword","nonword","word",NA
"hobiesc","temperatura","nonword","nonword","word",NA
"biene","ocean","nonword","nonword","word",NA
"stred","glumă","nonword","nonword","word",NA
"greşita","vorbi","nonword","nonword","word",NA
"fedefini","braţ","nonword","nonword","word",NA
"huliformă","venus","nonword","nonword","word",NA
"monucşoa","înfiorător","nonword","nonword","word",NA
"celedezvoltate","mic dejun","nonword","nonword","word",NA
"stifez","dovada","nonword","nonword","word",NA
"acrã","cancer","nonword","nonword","word",NA
"chrisnologie","poziţie","nonword","nonword","word",NA
"rimp","poem","nonword","nonword","word",NA
"cales","brânză","nonword","nonword","word",NA
"îmbracidica","solar","nonword","nonword","word",NA
"bulepoli","forta","nonword","nonword","word",NA
"șin","de obicei","nonword","nonword","word",NA
"ţian","individual","nonword","nonword","word",NA
"piramisiuni","demnitate","nonword","nonword","word",NA
"transcetare","imperiu","nonword","nonword","word",NA
"obuzct","sniper","nonword","nonword","word",NA
"a inldion","efect","nonword","nonword","word",NA
"olite","febră","nonword","nonword","word",NA
"sufidenţi","iulie","nonword","nonword","word",NA
"scalpune","instrument","nonword","nonword","word",NA
"plãmot","alibi","nonword","nonword","word",NA
"instrucrior","fiu","nonword","nonword","word",NA
"stânt","dawn","nonword","nonword","word",NA
"trșe","perioadă","nonword","nonword","word",NA
"tib","finalizarea","nonword","nonword","word",NA
"protry","frânghie","nonword","nonword","word",NA
"căs","primar","nonword","nonword","word",NA
"înpreţuială","boală","nonword","nonword","word",NA
"tue","urmarire","nonword","nonword","word",NA
"tăzie","mister","nonword","nonword","word",NA
"poneţulal","telefon","nonword","nonword","word",NA
"untains","performanţă","nonword","nonword","word",NA
"masli","intuiţie","nonword","nonword","word",NA
"ciafirma","neplăcut","nonword","nonword","word",NA
"metocrat","în mod constant","nonword","nonword","word",NA
"tiel","antreprenor","nonword","nonword","word",NA
"ranah","ministru","nonword","nonword","word",NA
"odihdură","dezvoltare","nonword","nonword","word",NA
"detonalisti","evadare","nonword","nonword","word",NA
"goow","pădure","nonword","nonword","word",NA
"idlt","concediere","nonword","nonword","word",NA
"experinichi","grup","nonword","nonword","word",NA
"serle","dezamăgire","nonword","nonword","word",NA
"leiun","agenţie","nonword","nonword","word",NA
"a udali","cerebral","nonword","nonword","word",NA
"vefui","om de stiinta","nonword","nonword","word",NA
"nurat","sac","nonword","nonword","word",NA
"adoarmăvară","vis","nonword","nonword","word",NA
"opogan","trei","nonword","nonword","word",NA
"dethat","injecţie","nonword","nonword","word",NA
"blin","dusty","nonword","nonword","word",NA
"uim","curajos","nonword","nonword","word",NA
"calon","agitat","nonword","nonword","word",NA
"mokels","medalie","nonword","nonword","word",NA
"apăseam","lung","nonword","nonword","word",NA
"lostructură","furnizare","nonword","nonword","word",NA
"trhit","suc","nonword","nonword","word",NA
"fraccare","preot","nonword","nonword","word",NA
"senari","vânzare","nonword","nonword","word",NA
"terazati","administrativ","nonword","nonword","word",NA
"viinici","suspect","nonword","nonword","word",NA
"biu","comisar","nonword","nonword","word",NA
"torce","necunoscut","nonword","nonword","word",NA
"avala","afaceri","nonword","nonword","word",NA
"celk","est","nonword","nonword","word",NA
"codemână","neasteptat","nonword","nonword","word",NA
"hed","lungime","nonword","nonword","word",NA
"fulbri","sta","nonword","nonword","word",NA
"sprivă","bar","nonword","nonword","word",NA
"impresiotrezi","prădător","nonword","nonword","word",NA
"plasbune","guvern","nonword","nonword","word",NA
"pricii","uşă","nonword","nonword","word",NA
"lã","indica","nonword","nonword","word",NA
"ussef","a muri","nonword","nonword","word",NA
"în altă pcleşug","batistă","nonword","nonword","word",NA
"spechow","pasiune","nonword","nonword","word",NA
"introvna","morfină","nonword","nonword","word",NA
"coleceţi","fermecător","nonword","nonword","word",NA
"israere","jurnalist","nonword","nonword","word",NA
"digunseste","şcoală","nonword","nonword","word",NA
"blhi","iubit","nonword","nonword","word",NA
"varge","a atrage","nonword","nonword","word",NA
"urţii","ştiinţă","nonword","nonword","word",NA
"fecioatră","înregistrare","nonword","nonword","word",NA
"întuneplăti","salvator","nonword","nonword","word",NA
"imposilenţi","penis","nonword","nonword","word",NA
"aresca","surd","nonword","nonword","word",NA
"derciun","stea","nonword","nonword","word",NA
"antileri","ureche","nonword","nonword","word",NA
"detart","fizic","nonword","nonword","word",NA
"transvietă","locație","nonword","nonword","word",NA
"visbie","furios","nonword","nonword","word",NA
"recorte","festival","nonword","nonword","word",NA
"atenţişoară","sat","nonword","nonword","word",NA
"licitarasti","concert","nonword","nonword","word",NA
"relament","în mod voluntar","nonword","nonword","word",NA
"acorge","ironic","nonword","nonword","word",NA
"supasesc","împărăție","nonword","nonword","word",NA
"sulte","gros","nonword","nonword","word",NA
"verisesteca","comunist","nonword","nonword","word",NA
"câşpes","spalare","nonword","nonword","word",NA
"ald","comedie","nonword","nonword","word",NA
"apropără","primar","nonword","nonword","word",NA
"reaproapera","nepot","nonword","nonword","word",NA
"nevinodămân","țesuturi","nonword","nonword","word",NA
"ăžnmar","întâmpla","nonword","nonword","word",NA
"damenteină","statuie","nonword","nonword","word",NA
"disrinţe","rezultat","nonword","nonword","word",NA
"revelakesho","câştigător","nonword","nonword","word",NA
"ilusky","vampir","nonword","nonword","word",NA
"evabi","finanțare","nonword","nonword","word",NA
"marţieniritate","închidere","nonword","nonword","word",NA
"avertem","sensibil","nonword","nonword","word",NA
"meneasta","nume de familie","nonword","nonword","word",NA
"dy","barbă","nonword","nonword","word",NA
"exhulock","pasăre","nonword","nonword","word",NA
"intermain","nas","nonword","nonword","word",NA
"souteţul","într-adevăr","nonword","nonword","word",NA
"masea","erecție","nonword","nonword","word",NA
"scraie","insectă","nonword","nonword","word",NA
"domnirizare","înălțime","nonword","nonword","word",NA
"răsfăetură","uman","nonword","nonword","word",NA
"strânversare","jurământ","nonword","nonword","word",NA
"artilezi","fantezie","nonword","nonword","word",NA
"ceană","mărturie","nonword","nonword","word",NA
"incident","a aprprus","nonword","word","nonword",NA
"stand","a atrombs","nonword","word","nonword",NA
"mâine","spilnfirma","nonword","word","nonword",NA
"război","dhanesena","nonword","word","nonword",NA
"valoare","a intelslist","nonword","word","nonword",NA
"plângere","bdmuri","nonword","word","nonword",NA
"gust","a pasoni","nonword","word","nonword",NA
"supranatural","a prppu","nonword","word","nonword",NA
"administrator","a prnetti","nonword","word","nonword",NA
"ajunge","a prís","nonword","word","nonword",NA
"colţ","kumade","nonword","word","nonword",NA
"ilegal","a rewnya","nonword","word","nonword",NA
"împiedica","a rezimers","nonword","word","nonword",NA
"gata","ľisari","nonword","word","nonword",NA
"rodeo","a tguy","nonword","word","nonword",NA
"cămaşă","a zbgesh","nonword","word","nonword",NA
"rază","abanght","nonword","word","nonword",NA
"ping","abdomisiuni","nonword","word","nonword",NA
"răpit","stranlitate","nonword","word","nonword",NA
"milion","chandare","nonword","word","nonword",NA
"a sustine","abbottța","nonword","word","nonword",NA
"rom","absolniți","nonword","word","nonword",NA
"nobil","abgled","nonword","word","nonword",NA
"a inlocui","acnind","nonword","word","nonword",NA
"spion","acclin","nonword","word","nonword",NA
"groază","accicări","nonword","word","nonword",NA
"turn","achi","nonword","word","nonword",NA
"lesbiene","maslo","nonword","word","nonword",NA
"monstru","achud","nonword","word","nonword",NA
"uscat","zit","nonword","word","nonword",NA
"ming","actizesc","nonword","word","nonword",NA
"uneori","poftestivitate","nonword","word","nonword",NA
"încet","acția","nonword","word","nonword",NA
"populație","prinzare","nonword","word","nonword",NA
"nor","lippost","nonword","word","nonword",NA
"finanţa","adidașinal","nonword","word","nonword",NA
"refuza","administradenţei","nonword","word","nonword",NA
"firmă","adolesnian","nonword","word","nonword",NA
"introduce","desfănalina","nonword","word","nonword",NA
"rinichi","filna","nonword","word","nonword",NA
"caritate","adverdezi","nonword","word","nonword",NA
"legiune","aeroseas","nonword","word","nonword",NA
"nerezonabil","smoceri","nonword","word","nonword",NA
"pian","otrămație","nonword","word","nonword",NA
"filozofie","oaenţie","nonword","word","nonword",NA
"mire","tactat","nonword","word","nonword",NA
"luptă","al patrdrati","nonword","word","nonword",NA
"dorință","chanma","nonword","word","nonword",NA
"primăvară","albascati","nonword","word","nonword",NA
"lună","algi","nonword","word","nonword",NA
"ozn","frangător","nonword","word","nonword",NA
"regiment","torgeri","nonword","word","nonword",NA
"mereu","allin","nonword","word","nonword",NA
"venă","lumbi","nonword","word","nonword",NA
"cutie","prosrica","nonword","word","nonword",NA
"a uita","amesrow","nonword","word","nonword",NA
"brutal","chelază","nonword","word","nonword",NA
"gaz","aminaltă","nonword","word","nonword",NA
"puțin","lunzant","nonword","word","nonword",NA
"invazie","elecliză","nonword","word","nonword",NA
"campanie","anippy","nonword","word","nonword",NA
"auz","antrepreplăti","nonword","word","nonword",NA
"opus","cârra","nonword","word","nonword",NA
"pensiune","echitament","nonword","word","nonword",NA
"podea","treabare","nonword","word","nonword",NA
"inspector","ploatare","nonword","word","nonword",NA
"fidelitate","arnoît","nonword","word","nonword",NA
"chirurg","arhigiți","nonword","word","nonword",NA
"inferior","arria","nonword","word","nonword",NA
"victorie","exhumată","nonword","word","nonword",NA
"rupere","armolari","nonword","word","nonword",NA
"suferinţă","ardingră","nonword","word","nonword",NA
"cer","ardingră","nonword","word","nonword",NA
"tur","itaganţă","nonword","word","nonword",NA
"permite","blesteră","nonword","word","nonword",NA
"naștere","artifimontreal","nonword","word","nonword",NA
"presupune","artilegămân","nonword","word","nonword",NA
"idee","messin","nonword","word","nonword",NA
"țară","aspierde","nonword","word","nonword",NA
"clasă","sponta","nonword","word","nonword",NA
"voluntar","asisbesc","nonword","word","nonword",NA
"gardian","asiscieni","nonword","word","nonword",NA
"escorta","aşplanta","nonword","word","nonword",NA
"date","atâr","nonword","word","nonword",NA
"baron","eleccator","nonword","word","nonword",NA
"probleme","atentat, încerționând","nonword","word","nonword",NA
"verifica","preşetudine","nonword","word","nonword",NA
"chiriaş","zgâritic","nonword","word","nonword",NA
"rasist","atbroşura","nonword","word","nonword",NA
"instrument","autoloh","nonword","word","nonword",NA
"curat","audienţeritate","nonword","word","nonword",NA
"senzor","aprintradă","nonword","word","nonword",NA
"radar","auru","nonword","word","nonword",NA
"calendar","băinici","nonword","word","nonword",NA
"bandă","creie","nonword","word","nonword",NA
"gest","bală","nonword","word","nonword",NA
"formă","wer","nonword","word","nonword",NA
"administrare","zâmbă","nonword","word","nonword",NA
"învăța","orică","nonword","word","nonword",NA
"răzbunare","basecinţell","nonword","word","nonword",NA
"blestem","batalinisti","nonword","word","nonword",NA
"vacă","banezită","nonword","word","nonword",NA
"sărut","omaman","nonword","word","nonword",NA
"intern","conţitlefield","nonword","word","nonword",NA
"dramă","benig","nonword","word","nonword",NA
"personal","şoare","nonword","word","nonword",NA
"situatie","bijuteneşti","nonword","word","nonword",NA
"direct","bioloteşti","nonword","word","nonword",NA
"demisie","bioloneşti","nonword","word","nonword",NA
"face","binua","nonword","word","nonword",NA
"mediu inconjurator","blaid","nonword","word","nonword",NA
"in afara","zmelă","nonword","word","nonword",NA
"spiritual","borim","nonword","word","nonword",NA
"păpuşă","bogament","nonword","word","nonword",NA
"buget","boltăi","nonword","word","nonword",NA
"profit","zelton","nonword","word","nonword",NA
"cabinet","frează","nonword","word","nonword",NA
"cercetare","brșc","nonword","word","nonword",NA
"sănătos","atenţioca testoasa","nonword","word","nonword",NA
"fabrică","seascată","nonword","word","nonword",NA
"răni","bucărând","nonword","word","nonword",NA
"amantă","buculezi","nonword","word","nonword",NA
"haos","bumplez","nonword","word","nonword",NA
"frecvență","odihnica","nonword","word","nonword",NA
"factor","ca de ostrans","nonword","word","nonword",NA
"continua","cadathya","nonword","word","nonword",NA
"singur","cairt","nonword","word","nonword",NA
"îneca","catah","nonword","word","nonword",NA
"subţire","bul","nonword","word","nonword",NA
"bombă","calcutler","nonword","word","nonword",NA
"fereastră","calculadriel","nonword","word","nonword",NA
"aduce","cator","nonword","word","nonword",NA
"mizerabil","mongolitate","nonword","word","nonword",NA
"trigger","caob","nonword","word","nonword",NA
"cip","caclin","nonword","word","nonword",NA
"râu","bruping","nonword","word","nonword",NA
"stau","campioffrey","nonword","word","nonword",NA
"deschidere","canvie","nonword","word","nonword",NA
"descrie","cânvim","nonword","word","nonword",NA
"federal","obiectitate","nonword","word","nonword",NA
"liniște","cavon","nonword","word","nonword",NA
"cremă","caperați","nonword","word","nonword",NA
"sida","capitaggert","nonword","word","nonword",NA
"fixați-l","căpisuri","nonword","word","nonword",NA
"şerif","esenșună","nonword","word","nonword",NA
"sexual","autotură","nonword","word","nonword",NA
"vulpe","cardigest","nonword","word","nonword",NA
"capcană","dezgo","nonword","word","nonword",NA
"recupera","niene","nonword","word","nonword",NA
"duș","beşte","nonword","word","nonword",NA
"sigur","carpie","nonword","word","nonword",NA
"serviciu","căsătoceşti","nonword","word","nonword",NA
"confirmare","căsătopless","nonword","word","nonword",NA
"politicos","ţintel","nonword","word","nonword",NA
"inginer","obiectigător","nonword","word","nonword",NA
"ciumă","cauresc","nonword","word","nonword",NA
"al doilea","paspă","nonword","word","nonword",NA
"miezul nopţii","cesă","nonword","word","nonword",NA
"milos","virţă","nonword","word","nonword",NA
"crea","centimeneşti","nonword","word","nonword",NA
"capacitate","prire","nonword","word","nonword",NA
"grădină zoologică","ceresezi","nonword","word","nonword",NA
"succes","cerevanşatnie","nonword","word","nonword",NA
"parlament","ceretlic","nonword","word","nonword",NA
"alb","cepeti","nonword","word","nonword",NA
"marca","celes","nonword","word","nonword",NA
"aspirină","domnineriţă","nonword","word","nonword",NA
"internet","brarie","nonword","word","nonword",NA
"a functiona","atentară","nonword","word","nonword",NA
"jurnalism","fragvetă","nonword","word","nonword",NA
"navigare","cicadenţace","nonword","word","nonword",NA
"respect","cimipeam","nonword","word","nonword",NA
"văduvă","ciați","nonword","word","nonword",NA
"în mod normal","ciotui","nonword","word","nonword",NA
"greu","grandcolată","nonword","word","nonword",NA
"diamant","ciup","nonword","word","nonword",NA
"bunicul","pondat","nonword","word","nonword",NA
"permite","civilizastanţă","nonword","word","nonword",NA
"explicaţie","traudire","nonword","word","nonword",NA
"suflet","clamei","nonword","word","nonword",NA
"luna","clilah","nonword","word","nonword",NA
"suplimentar","izgonica","nonword","word","nonword",NA
"săraci","falsta","nonword","word","nonword",NA
"iluzie","codame","nonword","word","nonword",NA
"management","colitati","nonword","word","nonword",NA
"foame","colocand","nonword","word","nonword",NA
"porno","comatlantibil","nonword","word","nonword",NA
"civil","comeneas","nonword","word","nonword",NA
"orb","comerciclezi","nonword","word","nonword",NA
"stres","comitivi","nonword","word","nonword",NA
"vară","comisini","nonword","word","nonword",NA
"tăcut","compacheţene","nonword","word","nonword",NA
"azi","compâni","nonword","word","nonword",NA
"divorț","compâni","nonword","word","nonword",NA
"păr","comunicarevanşezi","nonword","word","nonword",NA
"astronaut","comuraii","nonword","word","nonword",NA
"concluzie","comudezvoltate","nonword","word","nonword",NA
"chelner","dezmemcediere","nonword","word","nonword",NA
"unu","concendenţiițivă","nonword","word","nonword",NA
"doar","conlear","nonword","word","nonword",NA
"africa","conducătotroşoc","nonword","word","nonword",NA
"ambasadă","conejohanne","nonword","word","nonword",NA
"față","confidențialitatebracci","nonword","word","nonword",NA
"ochelari","confutari","nonword","word","nonword",NA
"pânză","conghie","nonword","word","nonword",NA
"calibru","constitureşti","nonword","word","nonword",NA
"în viaţă","contrund","nonword","word","nonword",NA
"sfat","stratesă","nonword","word","nonword",NA
"plantă","contirani","nonword","word","nonword",NA
"sinucidere","montenut","nonword","word","nonword",NA
"seminar","conpret","nonword","word","nonword",NA
"hobby","cocro","nonword","word","nonword",NA
"vierme","covoa","nonword","word","nonword",NA
"atelier","coarh","nonword","word","nonword",NA
