"fi_cue","fi_target","fi_fake_target","fi_fake_cue","en_cue","en_target"
"vannoa","vala","nella","vanhak","swear","oath"
"vapaaehtoinen","vapaaehtoisesti","vapaaehtoiimplantti","vapaaehcheyennen","volunteer","voluntarily"
"vapaasti","vapaa","vavää","vaylitti","freely","free"
"vapaus","demokratia","demokramount","vatias","freedom","democracy"
"varas","rikollinen","ririzzolinen","vahiä","thief","criminal"
"varastaa","ryöstää","säistää","vasuuntaa","steal","rob"
"varjo","tumma","biima","leijo","shadow","dark"
"varkaus","ryöstö","teistö","varmuut","theft","robbery"
"varoitus","viesti","unelti","varoimaan","warning","message"
"vartija","partio","parään","neettija","guard","patrol"
"vastaanotto","toimisto","toiluotto","vastaabrighto","desk","office"
"vastaanotto","juhla","sääla","vastaabrighto","reception","party"
"vastalääke","rokote","roviette","vastavaiiake","antidote","vaccine"
"vastapäätä","päinvastainen","etuoivastainen","vastariqintä","opposite","contrary"
"vastaus","vastaa","mietaa","vaslian","answer","reply"
"vastus","vastustaa","vassaattaa","vasaan","resistance","resist"
"vastuullisuus","velvollisuus","velvollifield","vasrizzolisuus","responsibility","duty"
"väsynyt","nälkäinen","juuskäinen","väsytään","tired","hungry"
"vatsa","rinnassa","työsnassa","hämsa","stomach","chest"
"vauva","lapsi","neksi","lehva","baby","child"
"venttiili","ilmanvaihto","ilmanstockto","wolftiili","valve","ventilation"
"veri","virtsa","reitsa","tarri","blood","urine"
"verkosto","järjestelmä","järjessicaamä","vergaatto","network","system"
"viaton","syyllinen","hiuklinen","typton","innocent","guilty"
"viehättävä","viehättävä","viemiöistävä","vielexistävä","attractive","charming"
"viehätys","kauneus","kaunica","viehäosai","charm","beauty"
"vieraanvaraisuus","kiitollisuus","kiitollifield","vieraanvarairencen","hospitality","gratitude"
"vihata","rakkaus","rakdaan","viunohta","hate","love"
"vihollinen","vastustaja","vasaloittaja","virizzolinen","enemy","opponent"
"vihreä","oranssi","wraitsi","vihsim","green","orange"
"viidakko","metsä","tahsä","viikoitko","jungle","forest"
"viini","samppanja","idenpanja","ranni","wine","champagne"
"vilja","jauhot","stohot","kaija","grain","flour"
"viljelijä","työntekijä","maailtekijä","elektjelijä","farmer","worker"
"viltti","pyyhe","esthe","kyetti","blanket","towel"
"virallisesti","virallinen","videoislinen","videncenlisesti","officially","official"
"virhe","virhe","höyhe","esphe","error","mistake"
"virus","infektio","innoistio","vikey","virus","infection"
"viski","vodka","kurka","hehki","whiskey","vodka"
"voi olla","todennäköisesti","todennäköiimplantti","voi oheed","maybe","probably"
"voileipä","hampurilainen","idiootpurilainen","voikämppä","sandwich","hamburger"
"voima","energia","nyrkgia","kasma","power","energy"
"voitto","tappio","tapnel","naatto","victory","defeat"
"voitto","tulo","tumat","naatto","profit","income"
"vuokralainen","vuokranantaja","princeranantaja","esiinralainen","tenant","landlord"
"vuokraus","vuokrata","asiarata","vuokrään","hire","rent"
"vuoro","kiertää","keyttää","henro","turn","rotate"
"vuosipäivä","syntymäpäivä","idioottymäpäivä","vuosimeklavä","anniversary","birthday"
"vuosisata","vuosikymmen","vuosiliconmen","prinssisata","century","decade"
"washington","boston","sauton","wasasunton","washington","boston"
"wc","pesuallas","penicolas","ix","toilet","sink"
"yhdistelmä","seos","semä","yhtyeentelmä","combination","mixture"
"yhtäkkiä","yllättäen","yllätford","yhcrackiä","suddenly","unexpectedly"
"yhteiskunta","yhteisö","yhteikoot","yhteisaloitta","society","community"
"yhtiö","yhtiö","yhluu","yhhoa","company","corporation"
"yksi","kolme","ruome","kersi","one","three"
"yksikkö","jako","jajaa","ykdäänkö","unit","division"
"yksin","yksinäinen","yksifalconen","yknut","alone","lonely"
"yksinkertaisesti","yksinkertainen","yksinkercheyennen","yksinkertaiimplantti","simply","simple"
"yksittäinen","naimisissa","naimiraclesa","yksitsuzannen","single","married"
"yksityinen","yksityisyys","yksityifield","yksifalconen","private","privacy"
"yleensä","yleensä","identsä","ajaessä","normally","usually"
"yleinen","eversti","avainti","siäinen","general","colonel"
"yliluonnollinen","paranormal","paranorriöön","yliluonjacquelinen","supernatural","paranormal"
"ylimääräinen","ylimääräinen","ylimääfalconen","ylimääfalconen","extra","additional"
"yllätys","pettymys","edistymys","ylläkään","surprise","disappointment"
"ylpeä","innoissaan","inkaansaan","ylrie","proud","excited"
"ylpeys","arvokkuus","arvoktyyn","ylfett","pride","dignity"
"ymmärtää","ymmärtää","ymriittää","ymriittää","realize","understand"
"ympäristö","ilmapiiri","ilmameklari","maailpäristö","environment","atmosphere"
"ympyrä","kolmio","kolpea","ympyneet","circle","triangle"
"yö-","ilta","pusta","ir","night","evening"
"yrittää","yrittää","räyttää","räyttää","try","attempt"
"yritys","virasto","viluotto","pomtys","firm","agency"
"yskä","kuume","remme","keakä","cough","fever"
"zombie","vampyyri","asenpyyri","zomroi","zombie","vampire"
